Date,Open,High,Low,Close,Volume,OpenInt
20111109,19.292,20.739,18.809,19.764,7792,0
20111110,20.739,20.739,18.327,20.257,2758,0
20111114,20.257,20.739,20.257,20.739,259,0
20111115,21.703,22.186,20.449,21.222,958,0
20111116,21.703,21.703,21.124,21.124,120,0
20111117,21.222,21.222,19.283,19.283,5556,0
20111121,19.147,19.147,18.424,18.424,122,0
20111122,18.424,19.283,18.424,19.099,192,0
20111123,19.186,19.186,17.845,17.845,198,0
20111124,17.382,17.797,16.881,17.314,2652,0
20111125,17.314,17.362,17.314,17.362,68,0
20111128,17.643,17.643,16.881,16.881,136,0
20111129,16.784,16.784,15.144,16.591,202,0
20111130,16.822,17.314,16.639,17.314,261,0
20111201,17.835,17.835,17.835,17.835,5,0
20111202,17.681,17.681,17.169,17.169,140,0
20111205,17.169,17.169,16.591,16.639,600,0
20111206,16.591,16.591,16.302,16.494,1333,0
20111207,16.494,16.591,16.012,16.591,614,0
20111208,16.398,16.976,16.398,16.976,227,0
20111213,16.687,16.687,16.687,16.687,10,0
20111214,16.639,16.639,16.601,16.639,2065,0
20111215,16.639,16.639,16.601,16.601,48,0
20111220,16.591,16.591,16.591,16.591,30,0
20111221,16.407,16.976,16.407,16.976,1439,0
20111222,16.976,16.976,16.736,16.976,4789,0
20111223,16.976,16.976,16.976,16.976,10,0
20111227,17.073,19.002,17.073,19.002,5608,0
20111228,19.002,19.002,19.002,19.002,622,0
20111229,19.002,19.002,19.002,19.002,279,0
20111230,19.002,26.044,19.002,24.597,17522,0
20120102,24.597,26.527,23.247,24.597,3737,0
20120103,23.642,26.334,23.247,25.563,848,0
20120104,26.527,26.96,26.044,26.517,3285,0
20120105,26.527,26.912,26.334,26.334,1027,0
20120109,26.285,26.285,25.563,25.563,1710,0
20120110,25.369,26.622,24.887,26.527,798,0
20120111,26.622,30.868,26.622,30.858,5677,0
20120112,32.149,36.847,32.149,35.207,4445,0
20120113,36.075,37.706,35.207,36.075,519,0
20120116,38.479,38.479,35.689,36.655,1071,0
20120117,35.207,36.172,29.42,34.725,916,0
20120118,33.761,34.725,30.868,33.761,1215,0
20120119,32.796,34.725,30.868,34.725,430,0
20120120,33.761,34.629,30.963,34.049,642,0
20120123,32.99,32.99,32.99,32.99,7,0
20120124,32.314,34.725,32.314,34.677,790,0
20120125,34.435,35.014,33.761,35.014,1031,0
20120126,34.821,35.786,32.796,35.786,733,0
20120127,34.725,35.689,34.34,35.593,516,0
20120130,34.725,34.725,34.435,34.725,79,0
20120131,34.725,36.164,34.725,36.164,1244,0
20120201,36.164,36.645,34.725,34.725,766,0
20120202,35.689,35.699,33.857,35.498,287,0
20120203,36.075,38.584,35.689,38.535,4623,0
20120206,38.535,39.548,37.716,38.535,1743,0
20120207,38.574,39.538,36.655,37.716,961,0
20120208,38.584,39.066,37.426,38.469,2963,0
20120209,39.066,40.513,39.066,39.452,2525,0
20120210,40.513,43.407,40.513,43.359,1217,0
20120213,43.696,46.242,42.442,44.361,1995,0
20120214,46.3,55.552,46.252,52.087,8177,0
20120215,52.378,56.863,50.265,53.526,3862,0
20120216,52.956,54.017,52.666,52.666,1782,0
20120217,53.284,53.284,46.3,51.365,493,0
20120220,51.365,51.5,41.96,51.5,501,0
20120221,51.509,51.509,48.23,50.159,1417,0
20120222,50.525,50.525,46.31,50.11,311,0
20120223,50.11,50.11,48.132,50.005,342,0
20120224,49.966,56.843,49.966,56.843,6000,0
20120227,56.139,66.557,56.12,66.557,10675,0
20120228,65.592,65.592,59.804,63.403,167,0
