Date,Open,High,Low,Close,Volume,OpenInt
20110225,19.994,20.886,19.928,20.366,48171,0
20110228,20.302,20.325,19.548,19.917,7985,0
20110301,19.473,19.718,19.028,19.028,4094,0
20110302,18.954,18.954,18.447,18.507,3722,0
20110303,18.507,19.176,17.854,19.028,2617,0
20110304,18.954,19.921,18.954,19.77,1819,0
20110307,19.326,19.326,18.597,19.236,2090,0
20110308,18.731,18.954,18.434,18.582,3514,0
20110309,18.582,18.658,18.284,18.293,665,0
20110310,18.218,19.326,18.218,19.065,5286,0
20110311,18.439,18.439,18.396,18.434,796,0
20110314,18.358,18.939,18.358,18.396,1055,0
20110315,18.434,18.582,18.434,18.434,4388,0
20110316,18.47,18.946,18.321,18.366,424,0
20110317,18.363,18.853,18.326,18.853,193,0
20110318,18.954,19.326,18.218,19.326,1717,0
20110321,18.403,19.317,18.403,18.954,228,0
20110322,18.425,19.326,18.425,18.589,363,0
20110323,18.589,18.954,18.589,18.694,322,0
20110324,18.589,19.028,18.589,18.658,530,0
20110325,18.671,18.768,18.589,18.768,1038,0
20110328,18.731,18.768,18.582,18.582,938,0
20110329,18.768,18.768,18.582,18.658,242,0
20110330,18.434,18.731,18.434,18.731,54,0
20110331,18.471,18.627,18.471,18.579,370,0
20110401,18.804,19.31,18.804,18.954,1533,0
20110404,18.954,19.623,18.954,18.954,1278,0
20110405,18.968,19.846,18.968,19.696,3626,0
20110406,19.399,19.399,18.991,18.991,412,0
20110407,18.998,19.102,18.976,19.102,300,0
20110408,19.028,19.102,18.879,18.954,438,0
20110411,18.954,19.31,18.887,19.303,470,0
20110412,18.991,18.991,18.85,18.85,352,0
20110413,18.991,19.028,18.991,18.991,81,0
20110414,18.628,18.991,18.628,18.954,217,0
20110415,18.954,19.102,18.954,19.028,387,0
20110418,19.028,19.028,18.917,18.917,865,0
20110419,18.694,19.251,18.582,19.102,1537,0
20110420,18.425,18.879,18.425,18.879,41,0
20110421,18.658,19.028,18.582,18.879,1035,0
20110426,18.658,19.243,18.658,19.243,260,0
20110427,18.658,19.243,18.658,18.879,3317,0
20110428,18.768,18.954,18.768,18.917,192,0
20110429,19.23,19.23,18.936,18.952,796,0
20110502,18.954,18.954,18.954,18.954,150,0
20110504,18.991,19.227,18.954,18.954,381,0
20110505,18.951,19.027,18.778,19.027,960,0
20110506,18.842,18.954,18.842,18.864,191,0
20110509,18.864,18.879,18.842,18.864,925,0
20110510,18.739,19.176,18.061,18.864,428,0
20110511,18.951,18.951,18.778,18.793,1192,0
20110512,18.247,18.954,18.224,18.954,275,0
20110513,18.582,18.954,18.582,18.954,559,0
20110516,18.954,19.696,18.589,18.954,1974,0
20110517,18.954,18.954,18.768,18.954,409,0
20110518,18.701,18.701,18.701,18.701,238,0
20110520,19.178,19.321,19.178,19.321,40,0
20110523,18.255,18.255,18.033,18.033,405,0
20110524,18.351,19.028,18.351,19.028,40,0
20110525,18.782,18.782,18.739,18.739,596,0
20110526,18.582,18.731,18.582,18.694,108,0
20110527,18.696,19.313,18.62,19.254,686,0
20110530,18.619,19.102,18.619,18.619,317,0
20110531,18.579,18.579,18.549,18.549,462,0
20110602,18.671,18.954,18.619,18.954,364,0
20110603,18.951,18.951,18.951,18.951,197,0
20110606,18.589,18.954,18.589,18.954,330,0
20110607,18.597,19.178,18.597,19.178,470,0
20110608,19.141,19.178,18.628,18.634,2286,0
20110609,18.951,18.951,18.77,18.77,210,0
20110610,18.725,18.77,18.725,18.77,245,0
20110613,18.733,18.733,18.725,18.725,34,0
20110614,18.725,18.725,18.582,18.582,66,0
20110615,18.597,18.597,18.597,18.597,14,0
20110616,18.634,19.239,18.597,18.597,396,0
20110617,18.597,18.597,18.597,18.597,31,0
20110620,17.806,18.484,16.825,18.484,1350,0
20110621,18.408,19.23,17.653,17.955,699,0
20110622,17.955,18.853,17.955,18.853,524,0
20110624,17.096,18.778,17.096,18.008,31,0
20110627,17.352,18.008,17.352,17.428,49,0
20110628,16.975,18.477,16.975,18.477,576,0
20110629,17.753,18.484,17.753,18.484,459,0
20110630,17.167,19.24,17.167,19.24,1701,0
20110701,17.615,19.192,17.615,19.192,26,0
20110704,17.806,19.124,17.806,19.124,48,0
20110705,18.853,19.049,18.853,19.012,314,0
20110708,17.767,19.012,17.352,19.012,898,0
20110711,19.087,19.087,18.151,18.151,91,0
20110712,17.819,18.936,17.428,18.928,548,0
20110714,18.936,18.936,18.936,18.936,33,0
20110719,17.647,18.861,17.625,18.861,833,0
20110721,18.861,18.861,18.861,18.861,577,0
20110722,17.903,18.861,17.888,18.861,1850,0
20110725,17.978,18.484,17.978,18.151,100,0
