Date,Open,High,Low,Close,Volume,OpenInt
20120525,10.351,10.351,9.553,9.553,747,0
20120528,9.4957,9.4957,9.4957,9.4957,2,0
20120531,9.4957,9.4957,7.6993,7.6993,104,0
20120601,8.3171,8.3171,8.3171,8.3171,23,0
20120613,8.2696,8.4121,7.9369,8.2696,1878,0
20120614,8.2696,8.2696,7.6042,7.8133,2135,0
20120615,7.8228,7.8228,7.6993,7.6993,20,0
20120618,7.7088,7.7088,7.6897,7.6897,1072,0
20120619,7.6042,7.6042,7.5567,7.5567,117,0
20120620,7.6042,7.6042,7.319,7.319,37,0
20120621,7.6042,7.6042,7.3856,7.4901,1615,0
20120622,7.4996,7.4996,7.0909,7.4616,610,0
20120625,7.4996,7.4996,7.4616,7.4616,384,0
20120626,7.319,7.319,6.9673,7.319,384,0
20120627,7.319,7.319,6.9673,7.319,1043,0
20120628,7.319,7.319,7.319,7.319,5,0
20120629,7.1289,7.1289,6.7582,7.0814,1121,0
20120702,7.0814,7.0814,6.7392,7.0814,364,0
20120703,7.0814,7.0814,6.416,7.0339,1323,0
20120704,7.0814,7.0814,7.0814,7.0814,5,0
20120705,7.0814,7.0814,6.7012,6.7487,5539,0
20120706,6.7012,6.7012,6.3685,6.7012,316,0
20120709,6.7012,6.7012,6.7012,6.7012,5,0
20120710,6.7012,6.7012,6.5776,6.7012,7,0
20120711,6.7012,6.7012,6.7012,6.7012,1,0
20120712,6.7012,6.7012,6.321,6.6061,1183,0
20120713,6.6061,6.6061,6.6061,6.6061,11,0
20120716,6.4636,6.4636,6.4636,6.4636,5,0
20120717,6.5111,6.5111,6.359,6.359,21,0
20120719,6.359,6.359,6.359,6.359,5,0
20120720,6.3685,6.3685,6.3685,6.3685,5,0
20120724,5.9693,6.3685,5.9693,6.3685,3,0
20120726,6.3685,6.3685,6.3685,6.3685,11,0
20120801,6.359,6.359,6.359,6.359,5,0
20120806,6.0548,6.321,6.0548,6.321,1184,0
20120807,6.321,6.321,6.321,6.321,1,0
20120808,6.321,6.321,6.321,6.321,5,0
20120809,6.321,6.321,6.321,6.321,11,0
20120810,6.321,6.321,5.6271,5.6271,1320,0
20120813,6.321,6.321,6.321,6.321,21,0
20120814,6.321,6.321,6.321,6.321,5,0
20120816,6.321,6.321,6.321,6.321,5,0
20120817,6.2259,6.2259,6.2259,6.2259,11,0
20120820,6.2259,6.2259,6.2259,6.2259,3,0
20120821,6.2259,6.2259,6.2259,6.2259,5,0
20120822,6.2259,6.2259,6.2259,6.2259,5,0
20120823,6.2259,6.2259,6.2259,6.2259,5,0
20120824,6.2259,6.2259,6.2259,6.2259,5,0
20120827,6.2259,6.2259,6.2259,6.2259,11,0
20120828,6.2259,6.2259,6.2259,6.2259,5,0
20120829,6.2259,6.2259,6.2259,6.2259,5,0
20120830,6.2259,6.2259,6.2259,6.2259,75,0
20120831,6.2259,6.2259,6.2259,6.2259,68,0
20120903,6.2259,6.2259,6.2259,6.2259,11,0
20120904,5.6081,6.2259,5.6081,6.2259,79,0
20120905,6.2259,6.2259,6.2259,6.2259,11,0
20120906,6.2259,6.2259,5.7031,5.7031,328,0
20120907,5.6936,5.6936,5.6841,5.6841,116,0
20120910,5.7031,5.7031,5.3705,5.7031,46,0
20120911,5.7031,5.7031,5.1518,5.2944,1524,0
20120912,5.6746,5.6746,5.6746,5.6746,5,0
20120913,5.6746,5.6746,5.1043,5.2659,2721,0
20120914,5.6746,5.6746,5.6746,5.6746,3,0
20120917,5.1804,5.6746,4.5625,4.5625,4132,0
20120918,4.6005,4.9903,4.6005,4.9903,537,0
20120919,4.9903,4.9903,4.9903,4.9903,5,0
20120920,5.3229,5.3229,4.7146,4.9332,1604,0
20120921,4.9427,4.9427,4.9427,4.9427,14,0
20120924,4.9427,4.9427,4.9427,4.9427,5,0
20120925,4.7526,4.7526,4.2774,4.7526,251,0
20120926,4.7526,4.7526,4.7526,4.7526,5,0
20120927,4.9903,4.9903,4.9903,4.9903,1,0
20120928,4.9903,4.9903,4.9903,4.9903,11,0
20121001,4.9903,4.9903,4.9903,4.9903,4,0
20121002,4.9903,4.9903,4.9903,4.9903,5,0
20121003,4.9903,4.9903,4.9903,4.9903,5,0
20121004,4.9427,4.9427,4.9427,4.9427,5,0
20121005,4.9903,4.9903,4.591,4.9903,1596,0
20121008,5.4655,5.4655,5.0663,5.0663,465,0
20121009,5.0378,5.0378,5.0378,5.0378,11,0
20121010,5.0378,5.0378,5.0378,5.0378,5,0
20121011,5.0378,5.0378,5.0378,5.0378,11,0
20121012,5.0378,5.0378,5.0378,5.0378,11,0
20121015,5.0378,5.0378,5.0378,5.0378,5,0
20121016,4.7526,4.7526,4.4199,4.7526,5273,0
20121017,4.7526,4.7526,4.1728,4.2679,2773,0
20121018,4.2679,4.2679,4.2679,4.2679,5,0
20121019,4.2679,4.2679,4.2679,4.2679,5,0
20121022,4.2679,4.2679,3.8021,3.8021,713,0
20121023,3.8021,3.8496,3.5835,3.8496,5087,0
20121024,3.8496,4.2298,3.7261,3.7261,709,0
20121025,4.0968,4.1728,3.8781,4.1728,53,0
20121026,4.1728,4.1728,4.1728,4.1728,53,0
