Date,Open,High,Low,Close,Volume,OpenInt
20131028,28.233,28.233,26.821,28.092,23052,0
20131029,28.092,30.021,26.831,27.762,1515,0
20131030,26.821,27.104,26.351,26.915,6836,0
20131031,26.915,26.915,25.88,25.88,1049,0
20131104,25.88,26.351,25.88,26.351,1331,0
20131105,26.163,26.163,25.438,25.438,70,0
20131106,25.41,26.341,25.41,26.341,6862,0
20131107,26.332,26.332,26.332,26.332,26,0
20131114,24.469,24.864,24.469,24.864,149,0
20131115,25.645,27.292,25.41,27.292,660,0
20131118,26.821,27.179,25.89,26.351,6123,0
20131119,26.257,26.351,25.984,25.993,1368,0
20131120,25.88,26.163,25.88,26.163,7398,0
20131122,25.692,26.163,25.692,25.88,19963,0
20131125,26.304,26.304,26.304,26.304,29,0
20131126,25.41,25.41,25.41,25.41,170,0
20131127,25.419,25.457,25.419,25.457,13,0
20131128,25.41,25.457,24.892,24.996,2023,0
20131129,25.41,25.41,25.41,25.41,12415,0
20131202,25.447,26.153,25.447,26.153,16,0
20131204,24.845,25.41,24.751,25.41,17501,0
20131205,25.786,25.786,24.657,24.657,935,0
20131206,25.391,25.786,24.949,25.41,5689,0
20131209,25.41,25.598,25.41,25.598,903,0
20131216,24.007,25.316,24.007,25.316,531,0
20131220,25.109,25.316,23.669,25.316,24717,0
20131223,25.269,25.41,25.269,25.41,31878,0
20131227,24.939,26.351,24.939,26.351,25368,0
20131230,25.927,26.351,24.939,26.351,11385,0
20140103,24.949,26.351,24.949,26.351,1832,0
20140107,24.375,26.351,24.375,26.304,14481,0
20140108,24.375,26.304,24.375,26.304,115,0
20140113,24.13,24.13,24.13,24.13,11,0
20140114,24.939,24.939,24.939,24.939,122,0
20140116,25.41,25.41,25.033,25.033,30444,0
20140120,25.41,25.41,25.41,25.41,122,0
20140121,24.967,24.967,24.967,24.967,199,0
20140122,26.116,26.821,26.116,26.351,2723,0
20140123,26.351,26.351,26.351,26.351,1148,0
20140124,26.351,26.351,26.351,26.351,308,0
20140128,26.163,26.351,26.163,26.351,234,0
20140130,26.351,26.351,26.351,26.351,2091,0
20140205,24.563,26.351,24.563,26.351,40,0
20140212,25.41,25.504,25.41,25.504,69,0
20140213,24.469,25.504,22.069,25.504,182,0
20140214,25.504,25.504,25.504,25.504,31264,0
20140217,25.504,26.445,23.904,26.445,34677,0
20140219,25.504,26.445,25.504,26.445,32824,0
20140220,25.504,26.915,24.939,26.915,1906,0
20140221,25.551,26.351,25.504,26.351,820,0
20140224,26.351,26.351,26.351,26.351,38,0
20140225,24.845,25.4,23.358,24.092,1786,0
20140226,25.222,26.351,24.751,26.351,22527,0
20140227,25.316,25.316,25.316,25.316,444,0
20140228,25.88,25.88,25.88,25.88,106,0
20140303,24.958,25.41,24.958,25.41,725,0
20140304,25.316,25.316,25.316,25.316,30,0
20140306,25.974,26.351,25.974,26.351,35293,0
20140307,26.351,26.351,26.351,26.351,38,0
20140312,24.986,26.586,24.986,26.285,296,0
20140314,25.41,25.41,25.41,25.41,31,0
20140317,24.186,25.88,24.186,25.88,404,0
20140318,25.062,26.257,25.062,26.257,163,0
20140403,23.716,23.716,23.716,23.716,9,0
