Date,Open,High,Low,Close,Volume,OpenInt
19980402,2.0049,2.0049,2.0049,2.0049,0,0
19980407,2.4213,2.4213,2.4213,2.4213,798249,0
19980408,2.3443,2.3443,2.3443,2.3443,401421,0
19980409,2.2365,2.2365,2.2365,2.2365,272162,0
19980414,2.1588,2.1588,2.1588,2.1588,208787,0
19980415,2.1977,2.1977,2.1977,2.1977,157085,0
19980416,2.2673,2.2673,2.2673,2.2673,98982,0
19980417,2.2365,2.2365,2.2365,2.2365,102098,0
19980420,2.3134,2.3134,2.3134,2.3134,112136,0
19980421,2.1588,2.1588,2.1588,2.1588,92151,0
19980422,2.1669,2.1669,2.1669,2.1669,118226,0
19980423,2.1977,2.1977,2.1977,2.1977,82829,0
19980424,2.2899,2.2899,2.2899,2.2899,150002,0
19980427,2.2365,2.2365,2.2365,2.2365,154085,0
19980428,2.1588,2.1588,2.1588,2.1588,154882,0
19980429,2.1588,2.1588,2.1588,2.1588,82633,0
19980430,2.1588,2.1588,2.1588,2.1588,56131,0
19980504,2.1588,2.1588,2.1588,2.1588,57019,0
19980505,2.1588,2.1588,2.1588,2.1588,107820,0
19980506,2.0818,2.0818,2.0818,2.0818,48493,0
19980507,2.0818,2.0818,2.0818,2.0818,51909,0
19980508,1.9976,1.9976,1.9976,1.9976,193095,0
19980511,2.013,2.013,2.013,2.013,117120,0
19980512,2.0049,2.0049,2.0049,2.0049,83487,0
19980513,1.8121,1.8121,1.8121,1.8121,149090,0
19980514,1.8121,1.8121,1.8121,1.8121,176113,0
19980515,1.8121,1.8121,1.8121,1.8121,158147,0
19980518,1.8047,1.8047,1.8047,1.8047,47755,0
19980519,1.7732,1.7732,1.7732,1.7732,98060,0
19980520,1.5958,1.5958,1.5958,1.5958,203907,0
19980521,1.7351,1.7351,1.7351,1.7351,337812,0
19980522,1.8047,1.8047,1.8047,1.8047,345440,0
19980525,1.6963,1.6963,1.6963,1.6963,52461,0
19980526,1.689,1.689,1.689,1.689,115320,0
19980527,1.6193,1.6193,1.6193,1.6193,154051,0
19980528,1.5424,1.5424,1.5424,1.5424,208117,0
19980529,1.5885,1.5885,1.5885,1.5885,129545,0
19980601,1.5343,1.5343,1.5343,1.5343,109758,0
19980602,1.4264,1.4264,1.4264,1.4264,148734,0
19980603,1.4419,1.4419,1.4419,1.4419,211798,0
19980604,1.5035,1.5035,1.5035,1.5035,216333,0
19980605,1.4881,1.4881,1.4881,1.4881,193454,0
19980608,1.5035,1.5035,1.5035,1.5035,107209,0
19980609,1.5035,1.5035,1.5035,1.5035,169201,0
19980610,1.4572,1.4572,1.4572,1.4572,135187,0
19980615,1.3188,1.3188,1.3188,1.3188,151964,0
19980616,1.3106,1.3106,1.3106,1.3106,274771,0
19980617,1.4345,1.4345,1.4345,1.4345,97447,0
19980618,1.4654,1.4654,1.4654,1.4654,258491,0
19980619,1.5115,1.5115,1.5115,1.5115,238624,0
19980622,1.5804,1.5804,1.5804,1.5804,219851,0
19980623,1.6501,1.6501,1.6501,1.6501,178684,0
19980624,1.6193,1.6193,1.6193,1.6193,179157,0
19980625,1.6963,1.6963,1.6963,1.6963,154514,0
19980626,1.7351,1.7351,1.7351,1.7351,163132,0
19980629,1.7732,1.7732,1.7732,1.7732,117120,0
19980630,1.7732,1.7732,1.7732,1.7732,92764,0
19980701,1.8121,1.8121,1.8121,1.8121,111281,0
19980702,1.7732,1.7732,1.7732,1.7732,54504,0
19980703,1.6963,1.6963,1.6963,1.6963,82749,0
19980706,1.7505,1.7505,1.7505,1.7505,138742,0
19980707,1.7886,1.7886,1.7886,1.7886,193809,0
19980708,1.7732,1.7732,1.7732,1.7732,97782,0
19980709,1.7732,1.7732,1.7732,1.7732,52635,0
19980710,1.6581,1.6581,1.6581,1.6581,56442,0
19980713,1.8047,1.8047,1.8047,1.8047,90733,0
19980714,1.8356,1.8356,1.8356,1.8356,174543,0
19980715,1.8121,1.8121,1.8121,1.8121,141153,0
19980716,1.7732,1.7732,1.7732,1.7732,78226,0
19980717,1.8202,1.8202,1.8202,1.8202,63261,0
19980720,1.8817,1.8817,1.8817,1.8817,159209,0
19980721,1.851,1.851,1.851,1.851,153913,0
19980722,1.7351,1.7351,1.7351,1.7351,94459,0
19980723,1.6963,1.6963,1.6963,1.6963,64462,0
19980724,1.7424,1.7424,1.7424,1.7424,106031,0
19980727,1.6963,1.6963,1.6963,1.6963,94691,0
19980728,1.6193,1.6193,1.6193,1.6193,102813,0
19980729,1.5424,1.5424,1.5424,1.5424,139526,0
19980730,1.6193,1.6193,1.6193,1.6193,134391,0
19980731,1.5804,1.5804,1.5804,1.5804,63411,0
19980803,1.4962,1.4962,1.4962,1.4962,156740,0
19980804,1.4419,1.4419,1.4419,1.4419,131934,0
19980805,1.4419,1.4419,1.4419,1.4419,200721,0
19980806,1.4727,1.4727,1.4727,1.4727,95152,0
19980807,1.45,1.45,1.45,1.45,91299,0
19980810,1.45,1.45,1.45,1.45,48482,0
19980811,1.3877,1.3877,1.3877,1.3877,51560,0
19980812,1.3877,1.3877,1.3877,1.3877,194849,0
19980813,1.4264,1.4264,1.4264,1.4264,120108,0
19980814,1.4037,1.4037,1.4037,1.4037,102489,0
19980817,1.411,1.411,1.411,1.411,109135,0
19980818,1.4572,1.4572,1.4572,1.4572,71372,0
19980819,1.5035,1.5035,1.5035,1.5035,215237,0
19980820,1.4654,1.4654,1.4654,1.4654,169235,0
19980821,1.4654,1.4654,1.4654,1.4654,64392,0
19980824,1.4264,1.4264,1.4264,1.4264,138915,0
19980825,1.45,1.45,1.45,1.45,71533,0
19980826,1.4264,1.4264,1.4264,1.4264,52024,0
19980827,1.2879,1.2879,1.2879,1.2879,151744,0
19980828,1.1641,1.1641,1.1641,1.1641,0,0
19980831,1.1025,1.1025,1.1025,1.1025,303719,0
19980901,0.9947,0.9947,0.9947,0.9947,216747,0
19980902,1.0182,1.0182,1.0182,1.0182,135280,0
19980903,1.0101,1.0101,1.0101,1.0101,405089,0
19980904,0.9404,0.9404,0.9404,0.9404,152299,0
19980907,1.0336,1.0336,1.0336,1.0336,144014,0
19980908,1.0717,1.0717,1.0717,1.0717,315026,0
19980909,1.0952,1.0952,1.0952,1.0952,206860,0
19980910,1.0643,1.0643,1.0643,1.0643,82138,0
19980911,1.0256,1.0256,1.0256,1.0256,82702,0
19980914,1.126,1.126,1.126,1.126,158598,0
19980915,1.1722,1.1722,1.1722,1.1722,140102,0
19980916,1.1333,1.1333,1.1333,1.1333,139480,0
19980917,1.1179,1.1179,1.1179,1.1179,120384,0
19980918,1.0491,1.0491,1.0491,1.0491,45805,0
19980921,1.0029,1.0029,1.0029,1.0029,240574,0
19980922,1.0564,1.0564,1.0564,1.0564,80395,0
19980923,1.0717,1.0717,1.0717,1.0717,139561,0
19980924,1.1179,1.1179,1.1179,1.1179,168404,0
19980925,1.0491,1.0491,1.0491,1.0491,167493,0
19980928,1.0336,1.0336,1.0336,1.0336,153325,0
19980929,0.9866,0.9866,0.9866,0.9866,502549,0
19980930,0.9639,0.9639,0.9639,0.9639,194145,0
19981001,0.9251,0.9251,0.9251,0.9251,125334,0
19981002,0.887,0.887,0.887,0.887,159728,0
19981005,0.8943,0.8943,0.8943,0.8943,146437,0
19981006,0.8482,0.8482,0.8482,0.8482,57216,0
19981007,0.8789,0.8789,0.8789,0.8789,130619,0
19981008,0.8482,0.8482,0.8482,0.8482,39632,0
19981009,0.7938,0.7938,0.7938,0.7938,44650,0
19981012,0.8482,0.8482,0.8482,0.8482,162209,0
19981013,0.8482,0.8482,0.8482,0.8482,65441,0
19981014,0.8173,0.8173,0.8173,0.8173,49796,0
19981015,0.8328,0.8328,0.8328,0.8328,51112,0
19981016,0.8482,0.8482,0.8482,0.8482,79207,0
19981019,0.8482,0.8482,0.8482,0.8482,91517,0
