Date,Open,High,Low,Close,Volume,OpenInt
19971030,0.7216,0.7216,0.4048,0.6688,1401707,0
19971031,0.5984,0.6952,0.5984,0.6688,227078,0
19971103,0.6864,0.7656,0.6864,0.7656,294149,0
19971104,0.7744,0.8448,0.7744,0.8448,684835,0
19971105,0.8536,0.9064,0.8536,0.88,577688,0
19971106,0.9064,0.9064,0.7392,0.8008,309793,0
19971107,0.792,0.8008,0.7656,0.8008,91772,0
19971112,0.792,0.8184,0.7392,0.7392,452482,0
19971113,0.7392,0.748,0.7392,0.748,208377,0
19971114,0.792,0.792,0.748,0.748,85226,0
19971117,0.748,0.7744,0.748,0.7744,61553,0
19971118,0.7392,0.7744,0.7216,0.748,206140,0
19971119,0.748,0.748,0.7392,0.748,9997,0
19971120,0.748,0.748,0.7392,0.7392,22160,0
19971121,0.748,0.7744,0.748,0.7744,13539,0
19971124,0.7744,0.7744,0.7656,0.7656,7405,0
19971125,0.7216,0.7392,0.7216,0.7216,44828,0
19971126,0.7656,0.7656,0.7128,0.7128,34414,0
19971127,0.7128,0.7128,0.7128,0.7128,2989,0
19971128,0.7128,0.7216,0.6952,0.7216,31275,0
19971201,0.7128,0.7128,0.7128,0.7128,747,0
19971202,0.7216,0.7216,0.7216,0.7216,52150,0
19971203,0.7216,0.7216,0.7216,0.7216,135460,0
19971204,0.7216,0.7744,0.7216,0.7744,62514,0
19971205,0.7744,0.7744,0.7744,0.7744,24223,0
19971208,0.792,0.792,0.7656,0.7744,97845,0
19971209,0.792,0.792,0.792,0.792,11207,0
19971210,0.792,0.792,0.792,0.792,1703,0
19971211,0.7744,0.7744,0.7656,0.7744,33248,0
19971212,0.7392,0.8712,0.7392,0.8712,19986,0
19971215,0.792,0.8008,0.792,0.8008,1927,0
19971216,0.8008,0.8008,0.8008,0.8008,1494,0
19971217,0.8008,0.8008,0.8008,0.8008,24656,0
19971218,0.792,0.8184,0.792,0.8184,103777,0
19971219,0.8184,0.8184,0.8008,0.8008,220406,0
19971222,0.8184,0.8184,0.8008,0.8008,50432,0
19971223,0.8008,0.8184,0.8008,0.8008,88536,0
19971229,0.8184,0.8272,0.8184,0.8272,91786,0
19971230,0.8184,0.8272,0.8184,0.8184,56783,0
19971231,0.8184,0.8184,0.8008,0.8008,97382,0
19980105,0.8008,0.8008,0.8008,0.8008,14009,0
19980106,0.8272,0.8272,0.8184,0.8184,31007,0
19980107,0.8448,0.8712,0.8448,0.8448,40644,0
19980108,0.8184,0.924,0.8008,0.924,105720,0
19980109,0.9328,1.0032,0.9328,0.9944,140835,0
19980112,0.9944,1.0032,0.9504,0.9504,179485,0
19980113,0.9504,1.1088,0.9504,1.0824,302166,0
19980114,1.1264,1.3112,1.1264,1.3024,362549,0
19980115,1.2672,1.3112,1.2056,1.2056,352186,0
19980116,1.2056,1.2672,1.2056,1.232,174614,0
19980119,1.2056,1.2672,1.2056,1.2672,53047,0
19980120,1.2584,1.2584,1.2144,1.232,20845,0
19980121,1.2056,1.232,1.2056,1.2144,48482,0
19980122,1.2144,1.232,1.2056,1.2056,75947,0
19980123,1.2144,1.2144,1.1352,1.1352,119281,0
19980126,1.188,1.188,1.1528,1.188,357656,0
19980127,1.1616,1.2408,1.1616,1.2408,95716,0
19980128,1.232,1.2672,1.232,1.2584,45949,0
19980129,1.2584,1.2584,1.2144,1.232,84127,0
19980130,1.2672,1.2672,1.2144,1.2144,51590,0
19980202,1.2408,1.2408,1.2056,1.2144,315793,0
19980203,1.2144,1.2144,1.2056,1.2144,46472,0
19980204,1.188,1.2408,1.188,1.2144,734408,0
19980205,1.2408,1.3024,1.2408,1.3024,134373,0
19980206,1.3112,1.54,1.3112,1.4608,574669,0
19980209,1.54,1.5752,1.4344,1.4872,567938,0
19980210,1.4696,1.496,1.408,1.4696,78823,0
19980211,1.4696,1.4696,1.4168,1.4344,29139,0
19980212,1.4608,1.54,1.4432,1.5136,147231,0
19980213,1.5224,1.6456,1.5224,1.6192,383649,0
19980216,1.6104,1.672,1.6104,1.6632,32523,0
19980217,1.6632,1.6896,1.5928,1.6104,138273,0
19980218,1.6456,1.6632,1.6192,1.6368,45113,0
19980219,1.6456,1.672,1.6368,1.6632,34368,0
19980220,1.6456,1.6632,1.6456,1.6632,50394,0
19980223,1.6368,1.6632,1.6192,1.6368,63373,0
19980224,1.6368,1.6456,1.6192,1.6456,36983,0
19980225,1.6368,1.6368,1.54,1.6104,61302,0
19980226,1.54,1.6104,1.54,1.6104,7658,0
19980227,1.5928,1.6104,1.5752,1.6104,40719,0
19980302,1.6192,1.6632,1.6104,1.6104,9585,0
19980303,1.6192,1.6192,1.5752,1.5752,25030,0
19980304,1.5752,1.6104,1.5664,1.5752,15690,0
19980305,1.5664,1.5752,1.5136,1.5224,53794,0
19980306,1.4872,1.5136,1.4696,1.4696,58650,0
19980309,1.4872,1.4872,1.4432,1.4432,41990,0
19980310,1.4872,1.4872,1.3904,1.408,23983,0
19980311,1.408,1.5224,1.364,1.4608,76731,0
19980312,1.408,1.4168,1.408,1.408,6724,0
19980313,1.4168,1.4168,1.408,1.408,17035,0
19980316,1.408,1.4344,1.364,1.4168,33024,0
19980317,1.3904,1.408,1.3904,1.408,11902,0
19980318,1.364,1.364,1.3552,1.364,10460,0
19980319,1.3904,1.3904,1.3904,1.3904,1263,0
19980320,1.3816,1.3904,1.3552,1.3552,23535,0
19980323,1.3816,1.408,1.364,1.408,31007,0
19980324,1.408,1.4696,1.408,1.4696,23161,0
19980325,1.4696,1.5224,1.4344,1.496,59555,0
19980326,1.5136,1.5224,1.4432,1.5136,70477,0
19980327,1.5136,1.5224,1.4432,1.4432,213360,0
19980330,1.4344,1.496,1.4344,1.496,64464,0
19980331,1.4872,1.5136,1.4696,1.5136,32575,0
19980401,1.5224,1.6104,1.496,1.5928,1194264,0
19980402,1.6368,1.7424,1.6368,1.7424,151168,0
19980406,1.716,1.7776,1.6368,1.7424,60077,0
19980407,1.7424,1.8216,1.7424,1.8216,220757,0
19980408,1.7952,1.804,1.716,1.716,52606,0
19980409,1.7512,1.8304,1.7512,1.8304,49349,0
19980414,1.8304,1.8744,1.8216,1.8744,59174,0
