Date,Open,High,Low,Close,Volume,OpenInt
19951211,15.596,15.879,15.596,15.879,820,0
19951212,15.702,15.782,15.637,15.782,1111,0
19951222,15.046,15.467,15.046,15.467,3521,0
19951227,14.956,15.596,14.956,15.596,4845,0
19951228,15.637,15.774,15.418,15.774,5916,0
19951229,15.791,15.863,15.791,15.791,5490,0
19960104,16.123,17.409,16.123,17.336,1729,0
19960105,18.437,21.545,18.437,20.153,1170,0
19960108,20.687,21.828,20.687,21.407,8230,0
19960109,21.424,21.424,20,21.424,4199,0
19960110,20.72,21.213,20.647,21.076,3207,0
19960111,20.421,20.565,20.063,20.209,1064,0
19960112,19.343,20.056,18.85,19.764,3928,0
19960115,19.286,19.845,19.133,19.635,2045,0
19960116,19.659,20.517,19.659,20.445,1568,0
19960117,20.339,20.63,19.919,20.275,484,0
19960118,19.838,20.477,19.838,20.266,1222,0
19960119,20.314,20.743,20.105,20.46,1688,0
19960122,20.565,20.777,20.565,20.565,3294,0
19960123,20.558,21.132,20.558,21.132,2848,0
19960124,20.889,21.448,20.889,21.173,11061,0
19960125,21.48,22.047,21.269,21.764,9056,0
19960126,21.586,21.586,21.448,21.586,2738,0
19960129,21.553,22.387,21.553,22.387,2231,0
19960130,22.492,24.605,22.492,24.459,2222,0
19960131,24.499,24.993,24.499,24.993,5866,0
19960201,25.073,25.358,24.652,25.001,6306,0
19960202,24.977,24.977,24.135,24.483,3779,0
19960205,24.385,24.523,24.24,24.459,1725,0
19960206,23.997,24.135,23.713,23.997,1546,0
19960207,23.771,23.989,23.771,23.917,636,0
19960208,23.763,23.893,23.689,23.893,1634,0
19960209,23.997,25.333,23.997,24.766,7160,0
19960212,24.337,25.114,24.2,24.832,1055,0
19960213,24.596,24.945,24.24,24.669,2975,0
19960214,24.354,24.491,23.787,24.491,3882,0
19960215,24.046,24.046,21.222,21.998,1814,0
19960216,21.099,21.666,19.692,20.258,918,0
19960219,20.088,20.161,18.971,19.812,4199,0
19960220,19.968,19.968,19.262,19.262,268,0
19960221,19.635,20.412,19.498,20.412,320,0
19960222,21.156,21.998,21.156,21.861,1247,0
19960223,22.452,24.135,22.452,23.851,3723,0
19960226,24.191,25.041,24.191,24.832,799,0
19960227,24.636,24.636,23.512,23.859,1880,0
19960228,23.512,24.215,23.512,24.07,2202,0
19960229,23.827,23.9,23.481,23.689,1145,0
19960301,23.794,24.224,23.794,24.151,1008,0
19960304,24.063,24.912,24.063,24.912,3815,0
19960305,24.79,26.408,24.79,26.062,3198,0
19960306,26.045,26.96,26.045,26.393,4164,0
19960307,26.223,26.223,25.656,26.012,961,0
19960308,25.504,25.504,24.718,24.79,5373,0
19960311,24.094,24.094,23.035,23.957,447,0
19960312,24.79,25.504,24.078,25.211,293,0
19960313,24.686,24.896,24.612,24.686,183,0
19960314,25.228,25.584,25.017,25.584,1883,0
19960318,25.382,25.73,25.235,25.382,2577,0
19960319,25.154,25.154,23.957,24.022,2021,0
19960320,23.949,24.014,23.803,23.949,491,0
19960321,24.119,24.119,23.131,23.277,1312,0
19960322,23.537,23.537,21.91,22.193,2381,0
19960325,23.277,23.277,22.638,22.638,2114,0
19960326,22.71,22.71,22.217,22.217,1650,0
19960327,21.975,21.975,21.626,21.975,7573,0
19960328,22.573,22.573,21.294,21.294,1447,0
19960329,21.536,21.893,21.189,21.536,880,0
19960401,21.634,21.699,21.424,21.424,1461,0
19960402,21.78,21.78,20.801,20.801,2078,0
19960403,21.092,21.229,21.018,21.229,1532,0
19960404,21.853,21.853,21.285,21.432,1209,0
19960405,21.536,22.241,21.399,21.82,412,0
19960409,22.047,22.184,21.052,21.553,1003,0
19960410,21.456,21.529,21.391,21.529,346,0
19960411,21.553,21.553,20.145,20.711,1162,0
19960412,21.189,21.189,20.615,20.897,1947,0
19960415,21.319,21.391,21.035,21.108,1386,0
19960416,21.674,21.747,21.189,21.464,1304,0
19960417,21.626,21.626,19.926,20.421,2715,0
19960418,20.833,21.189,20.833,21.042,2195,0
19960419,21.148,22.137,21.148,21.78,4919,0
19960422,21.981,22.338,21.772,21.981,2237,0
19960423,22.427,22.427,21.869,22.144,2186,0
19960424,22.225,22.225,21.95,22.152,1466,0
19960425,22.314,22.663,22.241,22.597,1099,0
19960426,22.734,22.872,22.525,22.809,1367,0
19960429,22.848,22.994,22.784,22.848,643,0
19960430,22.621,22.904,22.558,22.558,812,0
19960502,22.331,22.394,22.331,22.331,1211,0
19960503,22.508,22.929,22.508,22.856,1576,0
19960506,22.799,22.937,22.727,22.865,1271,0
19960507,22.809,22.809,22.597,22.597,1986,0
19960508,22.88,23.794,22.743,23.374,3294,0
19960509,23.537,23.893,23.398,23.819,2337,0
19960510,23.884,23.884,23.035,23.035,1006,0
19960513,23.23,23.851,22.809,23.851,1635,0
19960514,24.385,26.822,24.385,26.612,10946,0
19960515,28.174,28.174,25.366,25.925,3688,0
19960516,25.94,26.086,25.382,25.591,2118,0
19960517,25.414,25.414,24.565,24.775,1189,0
19960520,24.693,25.333,24.693,25.114,1295,0
19960521,25.284,25.422,25.001,25.001,4314,0
19960522,25.292,25.292,24.588,25.009,1842,0
19960523,24.758,24.903,24.548,24.621,1389,0
19960524,24.523,25.438,24.102,24.806,3238,0
19960528,24.58,24.58,24.442,24.58,1883,0
19960529,24.507,25.001,24.507,24.863,1473,0
19960530,24.896,25.253,24.823,24.961,1470,0
19960531,24.621,24.693,24.475,24.475,488,0
19960603,24.782,24.993,24.782,24.782,1364,0
19960604,24.872,25.292,24.872,25.009,2957,0
19960605,24.839,24.839,24.693,24.693,968,0
19960606,24.507,24.507,23.374,24.297,1425,0
19960607,24.11,24.11,23.406,23.689,474,0
19960610,23.722,24.07,23.367,23.933,512,0
19960611,23.997,23.997,23.292,23.642,1120,0
19960612,23.812,24.03,23.812,23.964,1299,0
19960613,24.232,24.232,23.949,24.168,233,0
19960614,23.997,23.997,23.423,23.779,503,0
19960617,23.487,23.706,23.415,23.487,477,0
19960618,22.412,22.695,22.063,22.412,1576,0
19960619,22.629,23.633,22.492,23.487,4740,0
19960620,23.512,23.94,23.512,23.869,894,0
19960621,23.561,23.561,23.423,23.496,2471,0
19960624,23.496,23.561,22.848,22.848,210,0
19960625,22.994,22.994,22.638,22.71,1429,0
19960626,22.734,22.734,22.314,22.452,1414,0
19960627,22.605,23.593,22.605,23.164,4826,0
19960628,23.358,23.713,23.358,23.642,1509,0
