Date,Open,High,Low,Close,Volume,OpenInt
20061220,21.799,22.479,21.483,21.868,457256,0
20061221,22.183,22.627,21.897,22.627,77030,0
20061222,22.676,23.633,22.676,23.633,90696,0
20061227,23.859,24.628,23.662,24.333,40780,0
20061228,24.313,24.313,23.672,24.047,19788,0
20061229,24.057,24.737,23.652,24.648,29616,0
20070102,23.721,24.648,23.721,24.648,8971,0
20070103,24.648,24.944,24.155,24.944,21537,0
20070104,24.648,24.796,24.254,24.796,87676,0
20070105,24.835,24.835,24.451,24.648,9644,0
20070108,24.855,27.31,24.855,26.413,55332,0
20070109,26.521,27.507,26.196,27.507,32612,0
20070110,27.024,27.803,26.433,26.472,39226,0
20070111,26.916,27.409,26.62,27.162,10790,0
20070112,27.212,27.606,27.113,27.212,24668,0
20070115,27.409,27.507,26.62,26.719,19618,0
20070116,26.62,27.507,25.644,27.458,45928,0
20070117,27.596,29.381,26.866,29.085,36148,0
20070118,29.568,29.676,28.493,29.568,34832,0
20070119,29.459,29.459,28.099,28.493,8950,0
20070122,28.493,28.493,26.62,26.817,8127,0
20070123,27.803,28.099,25.782,26.117,40575,0
20070124,26.028,26.857,25.052,25.161,40845,0
20070125,25.338,25.881,25.141,25.151,18995,0
20070126,25.535,25.831,24.944,25.417,46045,0
20070129,25.92,27.32,25.831,25.979,9731,0
20070130,26.226,27.133,26.226,27.103,14007,0
20070131,27.271,27.606,27.162,27.576,26606,0
20070201,27.902,28.148,26.728,28.148,125059,0
20070202,27.902,28.188,27.409,28,33306,0
20070205,27.517,28.188,27.507,28.099,13307,0
20070206,27.902,28.05,27.705,27.764,5845,0
20070207,28.099,28.128,27.803,28.099,16286,0
20070208,28.188,28.493,27.714,28.099,23445,0
20070209,27.606,28.089,27.409,28.079,8353,0
20070212,27.606,27.705,25.93,27.705,15087,0
20070213,27.606,27.606,26.719,27.606,26865,0
20070214,27.606,27.902,27.606,27.705,37771,0
20070215,27.803,28.454,27.803,28.454,27756,0
20070216,28.395,28.888,27.705,28.592,25023,0
20070219,28.641,28.74,28.099,28.335,11642,0
20070220,28.493,28.592,28.099,28.197,23165,0
20070221,28.099,28.395,28.099,28.345,3785,0
20070222,28.099,28.247,28.099,28.197,4012,0
20070223,28.197,30.564,28.197,29.578,105526,0
20070226,30.021,30.071,29.292,29.578,19988,0
20070227,29.578,29.578,27.113,28.099,37970,0
20070228,26.62,29.282,26.62,29.085,27859,0
20070301,28.592,29.558,28.592,29.183,23321,0
20070302,29.479,29.479,28.651,29.43,3710,0
20070305,28.493,28.592,28.109,28.493,7291,0
20070306,29.085,29.568,28.493,29.558,8619,0
20070307,29.568,34.014,29.568,33.521,72478,0
20070308,35.355,38.352,35,36.44,90464,0
20070309,36.282,36.371,34.606,35.69,27929,0
20070312,35.69,37.948,35.69,37.86,45612,0
20070313,37.86,42.878,37.465,39.831,52945,0
20070314,38.057,41.409,37.82,41.409,49909,0
20070315,44.169,44.367,42.395,44.091,44492,0
20070316,44.317,44.564,42.592,44.179,34869,0
20070319,44.367,44.367,42.207,44.219,15091,0
20070320,44.219,44.367,43.41,43.923,16551,0
20070321,43.923,43.923,42.405,43.371,15410,0
20070322,43.381,44.268,42.198,43.578,23594,0
20070323,43.134,43.381,39.536,42.395,16138,0
20070326,41.32,41.803,41.014,41.113,13064,0
20070327,41.212,41.902,40.423,40.916,9594,0
20070328,40.916,41.409,39.536,39.536,18996,0
20070329,39.595,40.216,38.491,38.944,15328,0
20070330,39.043,39.634,39.043,39.536,10886,0
20070402,39.831,43.134,39.437,42.395,23886,0
20070403,42.395,42.878,40.916,41.606,15333,0
20070404,41.705,45.846,40.433,44.86,58778,0
20070405,45.353,45.826,44.465,44.86,26775,0
20070410,46.338,48.803,43.529,44.653,63392,0
20070411,44.367,44.367,42.198,43.381,30342,0
