Date,Open,High,Low,Close,Volume,OpenInt
20160428,6.6223,7.0118,6.184,6.7197,62721,0
20160429,6.8171,6.8171,6.5736,6.7002,1278,0
20160502,6.7002,6.7197,6.7002,6.7197,486,0
20160504,6.7197,6.7197,6.671,6.7099,1479,0
20160505,6.7099,6.7099,6.5444,6.7099,943,0
20160506,7.0118,7.0118,6.5444,6.7197,190,0
20160509,6.7197,6.7197,6.7197,6.7197,243,0
20160510,6.5736,6.5736,6.5736,6.5736,186,0
20160511,6.5736,6.7586,6.5736,6.7586,11,0
20160512,6.7586,6.7586,6.7586,6.7586,90,0
20160513,6.7586,6.8073,6.6807,6.6807,4040,0
20160516,6.6418,6.8171,6.6418,6.8171,2120,0
20160517,6.6807,6.6807,6.671,6.671,2244,0
20160518,6.7197,6.7586,6.7197,6.7586,329,0
20160519,6.7294,6.7586,6.6515,6.7586,1682,0
20160520,6.6515,6.7586,6.6515,6.7197,3493,0
20160523,6.6515,6.7197,6.6515,6.7197,2912,0
20160524,6.6515,6.7197,6.6515,6.7197,27,0
20160525,6.7684,6.7684,6.7684,6.7684,36,0
20160527,6.8171,6.8171,6.8171,6.8171,1,0
20160530,6.7684,6.7684,6.7586,6.7586,401,0
20160531,6.7586,6.7878,6.5444,6.7878,3115,0
20160601,6.7781,6.7781,6.5152,6.5639,412,0
20160602,6.3983,6.7781,6.3886,6.7781,2833,0
20160603,6.7781,6.7781,6.5833,6.5833,32,0
20160606,6.5833,6.7781,6.5833,6.7781,30,0
20160607,6.7781,6.7781,6.7781,6.7781,2,0
20160608,6.7781,6.7781,6.5833,6.5833,47,0
20160609,6.7781,6.7781,6.5541,6.5541,1766,0
20160610,6.7489,6.7489,6.7489,6.7489,3,0
20160613,6.7781,6.7781,6.5249,6.6223,4663,0
20160614,6.7781,6.7781,6.5152,6.5346,5297,0
20160615,6.7781,6.7781,6.5054,6.5346,241,0
20160616,6.7781,6.7781,6.7197,6.7197,50,0
20160617,6.7781,6.7781,6.7781,6.7781,83,0
20160620,6.7781,6.7781,6.7781,6.7781,11,0
20160621,6.7586,6.7586,6.4762,6.6515,1751,0
20160622,6.75862,6.75862,6.6515,6.6515,29,0
20160623,6.76836,6.76836,6.6515,6.70993,3188,0
20160624,6.33012,6.33012,5.84319,6.33012,3493,0
20160627,6.32039,6.4762,6.32039,6.4762,597,0
20160628,6.49568,6.67098,6.49568,6.66124,135,0
20160629,6.76836,6.76836,6.66124,6.66124,2,0
20160630,6.66124,7.10922,6.64176,6.76836,50604,0
20160701,6.7781,6.7781,6.71967,6.71967,2,0
20160704,6.72941,6.9534,6.72941,6.9534,12537,0
20160705,6.96314,7.08,6.96314,7.08,3,0
20160706,7.3,7.3,6.67,7.03,3828,0
20160707,7.03,7.03,6.96,7.03,23,0
20160708,7.01,7.01,7.01,7.01,44,0
20160711,7.01,7.01,6.94,7,2880,0
20160712,7.01,7.01,6.85,6.85,2022,0
20160713,7.01,7.01,7.01,7.01,1,0
20160714,7,7,7,7,3,0
20160715,7.01,7.01,6.8,6.98,4119,0
20160718,6.8,6.8,6.43,6.8,7038,0
20160719,6.8,6.8,6.8,6.8,2,0
20160720,6.8,6.8,6.44,6.76,3898,0
20160721,6.7,6.7,6.7,6.7,2,0
20160722,6.7,6.7,6.7,6.7,1,0
20160725,6.76,6.99,6.55,6.99,2245,0
20160726,6.99,6.99,6.6,6.72,2154,0
20160727,6.99,6.99,6.99,6.99,1,0
20160728,6.99,6.99,6.94,6.94,6,0
20160729,6.99,6.99,6.84,6.84,12,0
20160801,6.99,6.99,6.99,6.99,2,0
20160802,6.99,6.99,6.84,6.99,270,0
20160803,6.99,6.99,6.6,6.7,8471,0
20160804,6.99,6.99,6.6,6.75,281,0
20160805,6.99,6.99,6.99,6.99,2,0
20160808,6.99,6.99,6.99,6.99,2,0
20160809,6.99,6.99,6.8,6.8,201,0
20160810,6.99,6.99,6.69,6.69,250,0
20160811,6.69,6.8,6.6,6.8,38721,0
20160812,6.7,6.8,6.7,6.8,252,0
20160816,6.9,6.9,6.72,6.9,1117,0
20160817,6.9,6.9,6.59,6.9,3127,0
20160818,6.9,6.9,6.76,6.9,102,0
20160819,6.9,6.9,6.75,6.75,2202,0
20160822,6.75,6.75,6.69,6.75,206,0
20160823,6.75,6.75,6.6,6.6,5802,0
20160824,6.75,6.75,6.47,6.7,1072,0
20160825,6.7,6.7,6.62,6.7,657,0
20160826,6.7,6.7,6.6,6.6,2,0
20160829,6.7,6.7,6.61,6.68,112,0
20160830,6.7,6.7,6.7,6.7,2,0
20160831,6.7,7,6.44,7,10661,0
20160901,7.18,7.18,6.48,6.48,4672,0
20160902,6.48,6.48,6.48,6.48,1611,0
20160905,6.8,6.8,6.55,6.55,511,0
20160906,6.8,6.8,6.55,6.56,18,0
20160907,6.7,6.7,6.25,6.34,2820,0
20160908,6.2,6.24,6.01,6.1,4432,0
20160909,6.1,6.6,6.1,6.6,97814,0
20160912,6.6,6.6,5.98,6,1453,0
20160913,5.96,6.15,5.96,6.15,195,0
20160914,5.97,6.45,5.97,6.45,1860,0
20160915,6.45,6.45,6.24,6.4,683,0
20160916,6.35,6.76,6.35,6.76,65427,0
20160919,6.76,6.76,6.54,6.76,50122,0
20160920,6.76,6.76,6.75,6.75,2,0
20160921,6.75,6.75,6.75,6.75,2,0
20160922,6.75,6.75,6.75,6.75,16,0
20160923,6.75,6.76,6.75,6.76,261,0
20160926,6.76,6.76,6.55,6.76,106,0
20160927,6.76,6.76,6.76,6.76,5,0
20160928,6.76,6.87,6.54,6.8,47007,0
20160929,6.8,6.9,6.8,6.9,101,0
20160930,6.8,7.01,6.8,7.01,3001,0
20161003,7.16,7.16,7.15,7.15,200,0
20161004,7.16,7.16,6.75,7.02,40301,0
20161005,7.02,7.02,7.02,7.02,96227,0
20161006,7.02,7.02,7,7,1102,0
20161007,7,7,7,7,2,0
20161010,6.9,6.9,6.8,6.9,1010,0
20161011,7.02,7.02,7.02,7.02,1,0
20161012,7,7,6.93,6.93,2,0
20161013,7,7,6.93,6.93,2,0
20161014,7,7,7,7,1,0
20161017,6.89,7,6.68,7,16049,0
20161018,7,7,6.99,6.99,565,0
20161019,7,7,6.82,6.9,74010,0
20161020,6.99,6.99,6.86,6.86,353,0
20161021,7,7,7,7,2,0
20161024,7,7,6.79,7,66,0
20161025,7.02,7.02,6.99,7,12,0
20161026,7,7,6.76,6.95,1602,0
20161027,7.02,7.02,6.8,6.94,1133,0
20161028,6.95,6.95,6.71,6.95,83,0
20161031,6.95,6.95,6.92,6.92,2082,0
20161102,6.93,6.93,6.7,6.9,3189,0
20161103,7.02,7.02,6.7,7,107,0
20161104,7.02,7.02,6.55,6.7,2574,0
20161107,6.58,6.68,6.3,6.37,4431,0
