Date,Open,High,Low,Close,Volume,OpenInt
20080619,12.79,58.046,12.79,15.741,3017,0
20080620,15.741,17.315,14.561,15.053,13396,0
20080623,14.757,14.757,13.774,14.738,2303,0
20080624,15.239,15.239,14.019,14.757,1300,0
20080625,14.757,14.757,14.265,14.265,1921,0
20080626,13.921,14.462,13.774,14.462,422,0
20080627,13.872,15.564,13.872,15.249,156,0
20080630,15.544,17.089,15.053,15.731,176,0
20080701,16.715,16.715,15.249,15.731,53,0
20080702,15.741,15.741,15.643,15.643,3,0
20080703,15.741,15.741,15.741,15.741,1,0
20080704,14.954,14.954,14.954,14.954,212,0
20080707,15.387,15.387,14.875,14.875,27,0
20080708,14.875,14.875,14.816,14.816,2,0
20080709,14.856,15.495,14.856,15.495,19,0
20080710,15.544,15.544,14.757,14.954,2529,0
20080711,14.974,14.974,14.315,14.757,104,0
20080714,14.925,14.925,14.413,14.925,1040,0
20080715,14.925,14.954,14.925,14.954,469,0
20080716,15.131,15.131,14.462,14.954,46,0
20080717,15.121,15.121,15.082,15.082,2,0
20080718,15.131,15.131,14.452,15.131,53,0
20080721,15.033,15.033,15.033,15.033,2,0
20080722,15.131,15.131,15.131,15.131,2,0
20080723,15.741,15.741,15.239,15.239,2,0
20080724,15.131,15.131,15.131,15.131,2,0
20080725,14.413,14.413,14.413,14.413,2,0
20080728,14.413,14.413,14.413,14.413,1,0
20080729,14.413,14.413,14.413,14.413,10,0
20080730,14.364,14.364,14.265,14.265,94,0
20080731,14.167,14.167,13.577,13.577,747,0
20080801,13.478,14.757,13.478,14.757,1157,0
20080804,15.741,15.741,15.692,15.692,208,0
20080805,14.905,14.905,14.905,14.905,1,0
20080806,15.003,15.003,15.003,15.003,1,0
20080807,15.003,15.003,15.003,15.003,1,0
20080808,14.954,14.954,14.954,14.954,1,0
20080811,14.954,14.954,14.954,14.954,1,0
20080812,14.993,14.993,14.993,14.993,1,0
20080813,14.993,14.993,14.993,14.993,1,0
20080814,14.993,14.993,14.993,14.993,2,0
20080818,14.993,14.993,14.993,14.993,1,0
20080819,15.003,15.003,14.944,14.944,357,0
20080820,14.757,14.757,14.757,14.757,1,0
20080821,14.757,14.757,14.757,14.757,11,0
20080822,14.757,14.757,14.757,14.757,1,0
20080825,14.757,14.757,14.757,14.757,1,0
20080826,14.757,14.757,14.757,14.757,1,0
20080827,14.757,14.757,14.757,14.757,1,0
20080828,14.757,14.757,14.757,14.757,1,0
20080829,14.757,14.757,14.757,14.757,1,0
20080901,14.748,14.748,14.748,14.748,1,0
20080902,14.708,14.708,14.698,14.698,602,0
20080903,14.561,14.561,14.561,14.561,1,0
20080904,14.462,14.462,14.462,14.462,1,0
20080905,14.443,14.443,14.443,14.443,1,0
20080908,14.472,14.472,14.472,14.472,1,0
20080909,14.472,14.472,14.462,14.462,204,0
20080910,14.364,14.364,14.364,14.364,1,0
20080911,14.354,14.354,14.354,14.354,1,0
20080912,14.354,14.354,14.354,14.354,210,0
20080915,13.97,13.97,13.97,13.97,1,0
20080917,13.921,13.921,13.921,13.921,10,0
20080918,13.774,13.774,13.774,13.774,11,0
20080919,14.256,14.256,14.256,14.256,21,0
20080922,14.354,14.354,14.354,14.354,1,0
20080924,14.354,14.354,14.354,14.354,1,0
20081001,14.354,14.354,13.675,13.675,21,0
20081007,13.941,13.941,13.941,13.941,1,0
