Date,Open,High,Low,Close,Volume,OpenInt
20070928,8.0289,8.0289,5.6261,6.1726,163064,0
20071001,6.1726,6.1886,5.8189,5.9474,13027,0
20071002,5.8752,5.9474,5.5055,5.8189,20830,0
20071003,5.8189,5.8268,5.4732,5.8189,15582,0
20071004,5.9073,6.3895,5.9073,6.0681,22512,0
20071005,6.1886,6.8316,6.1886,6.5503,16078,0
20071008,7.0325,7.0325,6.7673,6.8718,3439,0
20071009,6.9119,6.9119,6.5904,6.6145,3476,0
20071010,6.6306,6.6386,6.1886,6.2127,9922,0
20071011,6.269,6.3895,6.1083,6.1886,12025,0
20071012,6.1886,6.3494,6.0278,6.1083,24471,0
20071015,6.3895,6.3895,6.0278,6.1083,20504,0
20071016,6.3332,6.3332,6.0198,6.0278,10505,0
20071017,6.0278,6.1483,5.9958,6.1483,2357,0
20071018,6.2931,6.2931,5.9958,5.9958,6451,0
20071019,6.0278,6.0278,5.7868,5.9474,12506,0
20071022,5.9474,5.9474,5.8671,5.9073,2673,0
20071023,6.0278,6.1483,5.9073,6.1243,5876,0
20071024,6.1323,6.269,6.0761,6.269,1843,0
20071025,6.0841,6.0841,6.0117,6.0198,2682,0
20071026,6.0278,6.0278,6.0198,6.0278,2989,0
20071029,6.1886,6.269,6.0278,6.1083,6038,0
20071030,6.1083,6.1083,6.0278,6.0278,1763,0
20071031,6.1083,6.1083,6.1083,6.1083,12,0
20071102,6.1083,6.1083,5.9958,6.0278,1144,0
20071105,6.2207,6.2207,6.0038,6.2046,1061,0
20071106,6.1806,6.2046,6.0038,6.0278,3626,0
20071107,6.0278,6.0278,5.8671,5.8671,5606,0
20071108,5.7063,5.9073,5.6261,5.7868,8324,0
20071109,5.7868,5.7948,5.6742,5.6742,2853,0
20071112,5.6261,5.6742,5.6261,5.6261,3398,0
20071113,5.6261,5.7466,5.6261,5.7466,3475,0
20071114,5.7546,5.9395,5.7546,5.8671,5312,0
20071115,5.7868,5.7868,5.642,5.7063,4044,0
20071116,5.7868,5.851,5.4893,5.851,3234,0
20071119,5.851,5.851,5.6261,5.7466,287382,0
20071120,5.7385,5.7385,5.5456,5.5857,6944,0
20071121,5.5857,5.5857,5.4572,5.4652,10066,0
20071122,5.4572,5.4572,4.3883,5.3688,2594,0
20071123,5.5777,5.5857,5.3929,5.409,9788,0
20071126,5.5857,6.0038,5.5857,6.0038,2687,0
20071127,6.0278,6.0278,6.0198,6.0198,509,0
20071128,6.0278,6.8316,6.0278,6.8316,19777,0
20071129,7.153,7.2334,6.7512,7.2334,18868,0
20071130,7.1851,7.6352,6.8316,7.6352,38525,0
20071203,7.9166,7.9166,7.7236,7.796,3440,0
20071204,7.7076,7.7076,7.4503,7.4503,971,0
20071205,7.1129,7.4423,7.0806,7.4423,695,0
20071206,7.4746,7.5549,7.4746,7.5146,2203,0
20071207,7.7076,7.7156,7.5549,7.5549,1573,0
20071210,7.6513,7.8361,7.6513,7.796,3599,0
20071211,7.788,7.788,7.7156,7.7156,1014,0
20071212,7.6352,7.6352,7.3138,7.3539,2385,0
20071213,7.6352,7.6352,7.6352,7.6352,1636,0
20071214,7.5549,7.5549,7.3138,7.5469,808,0
20071217,7.4746,7.4746,7.0726,7.2254,1721,0
20071218,6.92,7.153,6.92,7.0325,4789,0
20071219,7.0084,7.0084,7.0084,7.0084,41,0
20071221,7.1369,7.1369,6.0761,6.4458,2432,0
20071227,6.8316,6.8316,6.518,6.518,528,0
20071228,6.5904,6.5904,6.5904,6.5904,622,0
20080102,6.9038,7.1049,6.711,7.1049,5288,0
20080103,7.0244,7.1049,6.9923,7.0726,2353,0
20080104,7.0084,7.0806,6.8316,6.8316,1794,0
20080107,6.7913,6.8235,6.5904,6.8235,1218,0
20080108,6.7351,6.7351,6.4378,6.4378,2219,0
20080109,6.518,6.518,6.1886,6.1886,1996,0
20080110,6.1886,6.1886,5.7868,5.7868,1055,0
20080111,5.7063,6.4297,5.7063,6.4297,1718,0
20080114,6.4055,6.4055,6.3815,6.3815,3298,0
20080115,6.1083,6.1083,6.1083,6.1083,3732,0
20080116,5.7948,5.7948,5.7063,5.7466,1596,0
20080117,5.6261,6.1083,5.5055,5.5376,11999,0
20080118,5.5376,5.618,5.4251,5.618,10033,0
20080121,5.618,6.1083,5.4652,5.4652,7098,0
20080122,4.983,5.6099,4.983,5.4652,22713,0
20080123,5.6261,5.6261,5.6099,5.6099,1318,0
20080124,5.7063,5.7787,5.7063,5.7225,1134,0
20080125,5.7466,5.7466,5.7225,5.7225,1403,0
20080128,5.9877,5.9877,5.9877,5.9877,622,0
20080129,5.8671,5.9395,5.8671,5.9395,2203,0
