Date,Open,High,Low,Close,Volume,OpenInt
19990729,61.606,64.814,60.184,62.876,8621123,0
19990730,61.229,61.676,60.86,61.606,280856,0
19990802,61.606,62.352,60.86,61.975,574913,0
19990803,63.021,63.021,61.907,61.907,142524,0
19990804,61.606,62.198,61.453,61.453,67401,0
19990805,61.975,61.975,53.839,57.123,205800,0
19990806,57.645,57.645,56.9,57.123,64396,0
19990809,56.599,56.599,54.062,54.062,17533,0
19990810,50.477,54.062,50.107,51.6,461054,0
19990811,51.523,52.192,50.401,51.9,14586,0
19990812,52.046,54.961,52.046,54.961,165327,0
19990813,54.807,54.807,54.062,54.062,31214,0
19990816,53.692,54.438,53.692,53.692,21575,0
19990817,53.239,53.239,50.331,51.746,137879,0
19990818,50.477,51.001,47.339,47.339,25561,0
19990819,47.793,47.793,47.793,47.793,8030,0
19990820,49.209,49.586,48.839,49.586,43091,0
19990823,49.586,50.331,49.586,49.954,158747,0
19990824,50.254,50.631,50.031,50.031,47305,0
19990825,50.107,50.477,47.863,47.863,178409,0
19990826,47.863,48.239,47.193,47.193,98086,0
19990827,46.816,47.193,46.447,47.193,74319,0
19990830,48.161,48.161,46.893,46.893,55580,0
19990831,50.924,50.924,48.685,48.685,193614,0
19990901,49.877,50.031,48.908,48.908,63252,0
19990902,49.354,49.731,48.239,49.731,90382,0
19990903,49.354,51.6,49.354,51.223,44860,0
19990907,51.9,52.647,50.924,52.27,69627,0
19990908,51.446,52.569,51.223,51.223,45135,0
19990909,52.046,52.046,50.7,51.3,6695,0
19990910,50.924,51.077,50.177,50.554,8030,0
19990913,50.7,51.823,50.7,51.823,3615,0
19990914,52.346,52.346,51.377,51.523,11122,0
19990915,52.423,53.168,52.423,53.168,24785,0
19990916,53.462,54.216,53.092,54.216,38719,0
19990917,54.216,59.214,53.462,58.469,82241,0
19990920,58.022,58.022,55.776,55.93,122196,0
19990921,57.798,59.737,55.93,58.168,58284,0
19990922,58.692,59.737,57.645,58.768,67654,0
19990923,57.499,60.114,57.499,58.022,95515,0
19990924,57.945,57.945,56.823,57.422,50742,0
19990927,57.199,58.022,56.453,56.453,42459,0
19990928,56.599,57.345,55.107,55.484,120637,0
19990929,55.33,55.707,54.961,54.961,15535,0
19990930,54.884,54.884,52.647,53.761,40576,0
19991001,52.569,53.168,52.569,53.168,1606,0
19991004,53.462,53.839,52.715,53.538,46214,0
19991005,54.138,54.138,54.138,54.138,3347,0
19991006,53.168,53.915,53.168,53.915,18354,0
19991007,53.015,55.107,53.015,55.107,23297,0
19991008,54.216,55.184,54.216,54.216,83460,0
19991011,54.584,54.584,53.839,54.216,27043,0
19991012,53.692,54.062,53.692,54.062,5627,0
19991013,53.015,53.015,53.015,53.015,6565,0
19991014,53.015,53.015,50.924,51.077,71692,0
19991015,50.854,50.854,49.354,49.354,9241,0
19991018,49.586,49.586,47.863,49.062,159036,0
19991019,49.285,50.254,49.131,49.131,359262,0
19991020,49.131,50.631,48.762,49.131,39230,0
19991021,48.762,48.762,48.762,48.762,670,0
19991022,51.146,51.146,51.146,51.146,537,0
19991025,51.146,51.146,49.586,49.808,11243,0
19991027,49.954,49.954,49.508,49.954,4551,0
19991028,50.554,50.924,49.354,49.354,54929,0
19991029,49.432,49.432,48.239,49.062,36679,0
19991101,48.839,49.432,48.839,49.209,10719,0
19991102,48.986,49.354,44.655,46.224,104061,0
19991103,45.024,46.593,44.655,45.847,111224,0
19991104,45.323,45.7,44.501,44.501,49815,0
19991105,46.293,47.116,45.477,46.07,109959,0
19991108,43.755,44.055,42.863,42.94,26403,0
19991109,44.209,44.209,43.386,43.978,3216,0
19991110,43.908,43.908,42.34,42.34,8970,0
19991111,42.34,43.531,41.894,41.894,35384,0
19991112,42.34,43.908,42.34,43.163,9635,0
19991115,42.709,44.732,42.709,44.732,20099,0
19991116,44.209,44.209,43.386,43.832,13519,0
19991117,43.978,43.978,42.786,42.786,81786,0
19991118,43.086,43.832,42.263,43.832,57459,0
19991119,43.009,43.832,42.64,43.009,73412,0
19991122,42.709,42.709,41.517,42.117,322081,0
