Date,Open,High,Low,Close,Volume,OpenInt
20040930,35.235,35.465,33.142,34.845,44780,0
20041001,34.845,35.465,34.845,35.083,14684,0
20041004,35.465,35.935,35.465,35.624,9696,0
20041005,35.624,35.695,35.624,35.624,10066,0
20041006,35.314,35.546,35.235,35.546,1188,0
20041007,35.235,35.465,35.235,35.465,2054,0
20041008,34.845,35.314,34.845,35.314,679,0
20041011,34.845,34.845,33.682,34.693,2035,0
20041012,33.922,34.073,33.301,33.301,627,0
20041013,33.611,33.611,33.451,33.451,971,0
20041014,33.532,33.532,33.532,33.532,646,0
20041015,32.911,33.611,32.911,33.611,25,0
20041018,33.301,33.381,32.521,33.381,758,0
20041020,32.139,32.521,32.139,32.521,1404,0
20041021,32.521,33.532,32.521,33.532,807,0
20041022,32.059,32.059,31.98,31.98,988,0
20041025,33.142,33.142,31.749,31.749,2880,0
20041026,31.749,34.463,31.359,34.463,810,0
20041027,34.383,34.383,32.219,34.151,13750,0
20041028,33.922,33.922,33.922,33.922,1,0
20041029,34.073,34.073,33.994,33.994,10,0
20041102,34.232,34.232,32.911,34.073,949,0
20041103,34.073,34.073,32.759,34.073,1422,0
20041104,33.922,33.994,32.991,32.991,1848,0
20041105,32.991,33.381,32.991,33.07,250,0
20041108,32.601,33.842,32.521,33.842,839,0
20041110,33.763,33.763,32.681,33.682,1561,0
20041112,32.911,33.842,32.831,33.842,1033,0
20041115,33.301,33.842,32.991,33.842,851,0
20041116,33.221,33.221,32.991,33.221,945,0
20041117,33.301,33.381,33.301,33.381,969,0
20041118,33.221,33.301,33.221,33.301,1030,0
20041119,33.301,33.301,32.911,32.911,1929,0
20041122,33.682,33.682,33.451,33.451,132,0
20041123,31.359,32.521,31.359,32.449,3807,0
20041124,31.518,32.521,31.359,32.521,2864,0
20041125,32.521,32.521,32.521,32.521,10,0
20041126,31.359,32.291,31.359,32.291,3116,0
20041129,32.449,32.681,31.518,32.681,2872,0
20041201,32.521,32.521,32.139,32.521,5448,0
20041202,32.521,32.681,32.521,32.681,2743,0
20041203,32.521,32.521,31.749,32.521,2479,0
20041206,32.291,32.291,32.291,32.291,52,0
20041207,31.439,32.521,31.439,32.521,2244,0
20041208,32.449,32.521,32.369,32.521,1428,0
20041209,32.291,32.991,32.139,32.831,1985,0
20041213,32.521,32.521,32.521,32.521,194,0
20041214,31.829,32.831,31.829,32.831,1320,0
20041215,31.909,32.521,31.909,32.521,666,0
20041216,32.521,32.759,32.521,32.759,1607,0
20041217,32.219,32.759,32.139,32.759,713,0
20041220,32.139,32.521,32.139,32.521,826,0
20041221,32.521,32.521,32.521,32.521,4649,0
20041222,32.449,32.449,32.449,32.449,54,0
20041223,31.829,32.449,31.829,32.449,699,0
20041224,32.449,32.521,32.449,32.521,1290,0
20041227,32.521,32.521,32.219,32.219,111,0
20041228,31.909,31.909,31.829,31.829,1400,0
20041229,31.749,32.681,31.749,32.521,2676,0
20041230,31.518,33.301,31.518,33.301,2824,0
20041231,33.221,33.221,32.911,32.911,313,0
20050103,33.682,33.682,32.911,32.911,127,0
20050104,32.521,33.381,32.521,33.381,1420,0
20050110,32.601,33.221,32.601,32.911,2654,0
20050111,32.139,33.07,32.139,33.07,704,0
20050112,32.139,33.07,32.139,33.07,771,0
20050113,32.911,32.911,32.911,32.911,3950,0
20050114,32.521,32.831,32.521,32.831,39385,0
20050118,32.219,32.449,32.059,32.449,223,0
20050119,32.291,32.681,32.291,32.681,711,0
20050120,32.449,32.681,31.909,32.681,1718,0
20050121,31.909,32.601,31.829,31.829,1030,0
20050124,31.829,32.601,30.206,32.601,3953,0
20050125,31.598,33.07,31.598,33.07,921,0
20050127,32.059,32.521,31.98,32.521,735,0
20050128,32.139,32.139,32.059,32.059,76,0
20050131,31.287,32.601,31.287,32.601,11132,0
20050202,31.598,32.369,31.598,32.369,105,0
20050203,31.749,32.449,31.749,32.139,70,0
20050204,32.369,32.521,32.369,32.521,1240,0
20050207,31.749,32.521,31.749,31.909,1413,0
20050208,31.909,32.449,31.909,32.449,195,0
20050209,31.829,31.829,31.749,31.749,357,0
20050210,30.746,32.369,30.746,32.369,819,0
20050211,32.139,32.759,31.829,32.759,5725,0
20050214,33.142,33.994,32.291,33.994,5785,0
20050215,33.994,33.994,32.991,33.922,849,0
20050216,33.451,33.682,33.142,33.682,4908,0
20050218,32.831,33.301,32.759,33.301,1555,0
20050221,32.601,32.991,32.601,32.991,105,0
20050222,32.831,32.911,32.831,32.831,1419,0
20050223,32.831,32.911,32.601,32.831,758,0
20050224,32.521,32.521,32.449,32.521,693,0
20050225,32.521,32.521,32.521,32.521,322,0
20050228,31.909,31.909,31.909,31.909,30,0
20050301,32.449,32.911,31.829,32.911,1230,0
20050302,31.98,32.911,31.98,32.911,702,0
20050303,32.911,33.142,32.139,33.142,925,0
20050304,32.521,32.911,32.521,32.521,754,0
20050307,32.991,32.991,32.991,32.991,128,0
20050308,31.98,33.07,31.98,33.07,243,0
20050310,32.911,32.911,32.291,32.601,112,0
20050311,32.911,32.911,32.911,32.911,60,0
20050315,32.059,32.759,32.059,32.601,278,0
20050316,32.059,32.521,31.518,32.369,2550,0
20050317,32.139,32.521,32.139,32.521,722,0
20050321,32.521,32.521,31.749,31.749,483,0
20050322,31.749,32.521,31.749,32.521,98,0
20050323,31.749,32.449,31.598,32.449,424,0
20050329,31.439,32.521,31.056,32.521,1918,0
20050330,32.369,32.521,32.369,32.521,3099,0
20050331,32.521,32.521,31.749,32.521,2907,0
20050401,32.449,32.449,32.449,32.449,659,0
20050404,32.139,32.449,32.139,32.449,177,0
20050405,31.909,32.449,31.909,32.449,129,0
20050406,31.98,32.449,31.98,32.449,104,0
20050407,32.521,32.521,32.521,32.521,113,0
20050413,31.98,32.521,31.909,31.909,246,0
20050414,31.909,31.909,31.909,31.909,137,0
20050418,32.369,32.369,32.369,32.369,65,0
20050422,31.749,31.749,31.749,31.749,23,0
20050425,31.749,32.059,31.749,32.059,42,0
20050426,30.437,32.059,30.437,32.059,435,0
20050429,31.128,32.219,30.746,32.219,926,0
20050505,30.818,31.749,30.356,30.437,1725,0
20050506,31.749,31.909,29.426,30.206,663,0
20050511,29.426,29.426,29.426,29.426,3,0
20050512,30.206,30.206,29.895,29.895,12829,0
20050516,29.505,29.505,29.505,29.505,5166,0
20050517,30.206,30.978,28.423,29.814,6021,0
20050518,29.426,29.426,29.114,29.426,54,0
20050519,30.509,30.587,27.882,29.346,525,0
20050520,28.033,28.805,27.644,28.805,5478,0
20050523,28.264,28.654,28.184,28.654,308,0
20050524,28.885,29.584,28.033,29.044,132,0
20050525,29.044,29.044,28.264,28.264,1032,0
20050527,29.195,29.195,29.195,29.195,65,0
20050530,29.346,29.346,28.264,28.965,206,0
20050531,28.113,28.423,28.113,28.184,852,0
20050601,27.882,28.184,27.882,28.184,28,0
20050603,28.184,28.184,28.184,28.184,374,0
20050606,28.184,28.184,28.184,28.184,65,0
20050607,27.492,27.573,27.492,27.492,5743,0
20050608,27.492,27.573,26.72,27.262,1070,0
20050613,27.262,27.954,27.262,27.954,39,0
20050614,26.482,27.802,26.482,26.72,30,0
20050615,27.802,28.184,25.631,27.03,354,0
20050616,27.802,27.802,27.802,27.802,10,0
20050617,27.723,27.802,27.102,27.412,427,0
20050620,27.262,27.262,24.858,26.641,2676,0
20050621,26.95,27.03,26.1,26.1,66,0
20050622,25.869,26.873,24.858,26.873,1279,0
20050623,25.559,26.873,25.559,26.1,220,0
20050624,25.709,27.573,25.559,27.412,1305,0
20050627,27.723,27.723,26.95,27.492,40,0
20050628,26.95,27.644,26.95,27.644,123,0
20050629,26.873,27.573,26.873,27.573,131,0
20050630,26.95,27.573,26.792,27.573,331,0
