Date,Open,High,Low,Close,Volume,OpenInt
20070720,43.636,47.154,40.965,40.965,983142,0
20070723,41.756,41.756,38.293,41.409,125888,0
20070724,41.409,41.409,40.073,40.965,92015,0
20070725,38.47,40.965,38.47,40.965,13977,0
20070726,40.965,40.965,39.628,40.083,11899,0
20070727,38.382,38.907,38.293,38.739,7758,0
20070730,37.989,38.293,36.512,36.6,10472,0
20070731,36.512,37.883,36.512,37.776,2635,0
20070801,37.179,38.676,36.067,38.302,7626,0
20070802,38.739,40.965,38.739,40.073,4850,0
20070803,40.073,41.855,38.649,40.119,8367,0
20070806,38.47,40.119,37.848,40.065,7744,0
20070807,39.228,40.073,39.183,39.183,966,0
20070808,38.025,40.065,37.046,39.886,799,0
20070809,40.038,40.038,38.114,39.183,2928,0
20070810,36.512,38.283,36.512,38.283,3074,0
20070813,40.038,40.038,36.512,39.174,6632,0
20070814,37.848,38.739,37.401,37.848,3426,0
20070816,35.621,35.621,34.73,35.621,6441,0
20070817,35.621,38.293,33.84,38.293,5280,0
20070820,38.293,40.038,38.293,39.094,3453,0
20070821,39.174,39.174,38.186,38.186,29,0
20070822,39.094,39.094,37.401,38.283,256,0
20070823,36.752,37.401,36.752,36.956,2870,0
20070824,36.956,36.956,36.512,36.956,1133,0
20070827,36.956,37.401,35.621,37.401,3605,0
20070828,38.114,38.114,37.401,37.401,2604,0
20070829,36.512,37.401,36.512,37.401,5879,0
20070830,37.401,38.114,37.401,37.848,3240,0
20070831,37.759,37.838,37.401,37.838,791,0
20070903,38.293,38.293,36.512,38.07,827,0
20070904,38.739,38.739,37.401,37.401,943,0
20070905,37.848,37.892,37.759,37.848,6401,0
20070906,37.848,38.025,37.046,37.848,6873,0
20070907,37.634,38.293,37.634,37.848,13588,0
20070910,36.707,37.838,35.719,36.512,4942,0
20070911,36.512,37.401,36.512,36.512,1371,0
20070912,36.512,37.625,36.512,37.625,254,0
20070913,36.067,37.838,36.067,37.838,2417,0
20070914,36.165,37.401,36.165,37.401,91,0
20070917,36.956,36.956,36.067,36.067,88,0
