Date,Open,High,Low,Close,Volume,OpenInt
20131205,20.451,20.896,20.05,20.674,4147325,0
20131206,20.674,20.674,19.827,20.362,556034,0
20131209,20.496,20.496,20.246,20.317,284891,0
20131210,20.264,20.264,19.827,19.881,158768,0
20131211,19.801,19.881,19.213,19.605,125814,0
20131212,19.427,19.515,19.07,19.213,155271,0
20131213,19.159,19.587,19.159,19.266,40076,0
20131216,19.587,19.587,19.354,19.515,36176,0
20131217,19.515,19.515,18.9,19.159,70822,0
20131218,18.98,19.515,18.98,19.248,18772,0
20131219,19.515,19.587,18.812,18.856,61268,0
20131220,18.9,18.98,18.74,18.9,54947,0
20131223,19.016,19.515,19.016,19.337,17817,0
20131227,19.337,19.498,19.159,19.498,21793,0
20131230,19.435,19.551,19.274,19.4,19970,0
20140102,19.515,19.596,19.427,19.427,76758,0
20140103,19.427,19.515,19.266,19.453,11746,0
20140107,19.515,19.515,19.204,19.337,71311,0
20140108,19.408,19.408,18.936,19.07,23463,0
20140109,18.963,18.98,18.179,18.313,47169,0
20140110,18.313,18.98,18.223,18.98,107058,0
20140113,19.159,19.248,18.892,19.248,120107,0
20140114,19.23,19.23,18.98,19.043,63129,0
20140115,19.159,19.159,19.016,19.016,81111,0
20140116,19.016,19.159,18.892,18.99,5414,0
20140117,19.025,19.159,18.9,19.079,79729,0
20140120,19.337,19.561,19.123,19.4,14474,0
20140121,19.515,19.605,19.266,19.337,45313,0
20140122,19.337,19.417,19.266,19.302,151859,0
20140123,19.248,19.337,19.186,19.319,17503,0
20140124,19.293,19.293,19.07,19.088,6696,0
20140127,19.025,19.14,19.025,19.07,23152,0
20140128,19.07,19.221,19.025,19.159,16554,0
20140129,19.221,19.578,19.168,19.177,99481,0
20140130,19.159,19.248,19.043,19.248,8561,0
20140131,19.248,19.328,18.892,19.248,57557,0
20140203,19.248,19.248,18.812,19.088,14259,0
20140204,18.892,19.088,18.82,19.07,16465,0
20140205,19.025,19.248,18.99,19.177,43369,0
20140206,18.999,19.186,18.999,19.088,159716,0
20140207,19.159,19.159,18.892,19.053,124420,0
20140210,18.909,19.025,18.508,18.882,101204,0
20140211,18.713,18.892,18.625,18.829,13094,0
20140212,18.749,18.829,18.642,18.758,48161,0
20140213,18.713,18.846,18.713,18.722,33006,0
20140214,18.758,18.945,18.678,18.945,10408,0
20140217,18.829,19.053,18.802,18.919,72127,0
20140218,19.043,19.053,18.802,18.963,26959,0
20140219,18.892,19.515,18.892,19.168,22148,0
20140220,19.06,19.159,18.722,18.926,79153,0
20140221,18.98,18.99,18.651,18.909,118506,0
20140224,18.936,19.016,18.802,18.9,13472,0
20140225,18.9,18.936,18.508,18.535,198661,0
20140226,18.535,18.535,17.732,17.732,163020,0
20140227,17.732,17.983,17.645,17.732,104749,0
20140228,17.645,17.732,17.144,17.358,46828,0
20140303,17.1,17.11,16.486,16.584,40354,0
20140304,16.504,17.064,16.504,16.931,35137,0
20140305,16.931,16.976,16.842,16.913,10770,0
20140306,16.923,16.976,16.672,16.672,9364,0
20140307,16.682,16.833,16.665,16.672,98285,0
20140310,16.655,16.709,16.254,16.29,8965,0
20140311,16.272,16.619,16.263,16.557,125583,0
20140312,16.575,16.753,16.254,16.317,8301,0
20140313,16.298,16.486,16.298,16.397,11290,0
20140314,16.298,16.298,15.603,16.103,25600,0
20140317,16.138,16.244,15.906,16.218,16543,0
20140318,16.218,16.237,15.95,16.129,9426,0
20140319,16.04,16.244,16.04,16.129,7017,0
20140320,15.996,16.2,15.996,16.2,1441,0
20140321,16.174,16.371,16.129,16.371,4999,0
20140324,16.397,17.19,16.397,17.19,137258,0
20140325,17.19,18.036,17.19,18,24020,0
20140326,17.929,18.268,17.813,18.045,27332,0
20140327,17.822,18.036,17.813,17.822,6571,0
20140328,17.822,18.036,17.822,18,43547,0
20140331,18.009,18.153,17.377,17.377,30485,0
20140401,17.68,17.946,17.645,17.732,27478,0
20140402,17.866,17.912,17.394,17.912,37748,0
20140403,17.591,18.287,17.572,18.268,56609,0
20140404,18.268,18.268,18.179,18.268,38210,0
20140407,18.241,18.241,18.099,18.179,29694,0
20140408,18.179,18.313,18.179,18.223,26883,0
20140409,18.179,18.214,18.179,18.179,15548,0
20140410,18.179,18.223,18.179,18.179,5600,0
20140411,18.08,18.197,18.027,18.179,4932,0
20140414,18.17,18.17,17.608,18.045,55531,0
20140415,18.09,18.09,17.822,17.885,3287,0
20140416,17.822,17.822,17.742,17.822,28677,0
20140417,17.822,17.822,17.671,17.813,945,0
20140422,17.778,17.822,17.715,17.715,22507,0
20140423,17.725,17.742,17.725,17.732,33344,0
20140424,17.732,17.732,17.564,17.706,27103,0
20140425,17.394,17.706,17.394,17.421,7670,0
20140428,17.404,17.652,17.377,17.511,32999,0
20140429,17.377,17.626,17.314,17.377,28347,0
20140430,17.207,17.377,17.029,17.368,18685,0
20140502,17.377,17.377,17.288,17.288,282,0
20140505,17.288,17.288,16.842,17.056,4205,0
20140506,17.02,17.02,16.753,16.78,2642,0
20140507,16.753,16.78,16.103,16.486,32341,0
20140508,16.486,16.753,16.486,16.575,31211,0
20140509,16.575,16.575,16.451,16.521,55885,0
20140512,16.486,16.486,16.218,16.308,188093,0
20140513,16.308,16.557,15.95,16.405,16634,0
20140514,16.272,16.397,16.218,16.334,2347,0
20140515,16.397,16.486,16.397,16.397,13513,0
20140516,16.423,16.486,16.049,16.174,1262,0
20140519,16.441,16.451,16.04,16.325,14538,0
20140520,16.451,17.377,16.334,17.368,38096,0
20140521,17.368,18.25,17.056,18.25,41895,0
20140522,18.25,18.535,17.912,17.992,196882,0
20140523,18.527,18.527,17.742,18.134,7720,0
20140526,18.179,18.179,17.946,17.974,69659,0
20140527,17.946,17.965,17.876,17.956,101412,0
20140528,17.822,17.822,17.421,17.778,4544,0
20140529,17.555,17.68,17.386,17.582,1332,0
20140530,17.386,17.912,17.386,17.822,57689,0
20140602,17.6,17.822,17.6,17.732,525,0
20140603,17.698,17.732,17.421,17.715,1060,0
20140604,17.725,17.725,17.421,17.421,1921,0
20140605,17.421,17.822,17.421,17.822,21203,0
20140606,17.912,17.912,17.706,17.822,4236,0
20140609,17.466,17.939,17.466,17.822,3981,0
20140610,17.822,18.313,17.591,18.313,37521,0
20140611,18.357,18.455,17.912,18.107,9059,0
20140612,18.107,18.134,17.894,18.09,1718,0
20140613,18.08,18.08,17.894,17.912,788,0
20140616,17.805,17.805,17.377,17.6,2841,0
20140617,17.555,17.635,17.332,17.608,2133,0
20140618,17.377,17.635,17.377,17.6,9476,0
20140620,17.394,17.6,17.394,17.555,588,0
20140623,17.6,17.6,17.421,17.448,1983,0
20140624,17.431,17.511,17.261,17.261,1673,0
20140625,17.243,17.252,17.207,17.243,2625,0
20140626,17.11,17.332,16.762,16.798,4210,0
20140627,16.771,17.11,16.762,16.86,1521,0
20140630,16.86,17.19,16.753,17.19,4796,0
20140701,17.19,17.19,16.566,16.566,2271,0
20140702,16.566,16.619,16.263,16.602,2562,0
20140703,16.575,16.602,16.2,16.441,2795,0
20140704,16.432,16.486,16.432,16.486,1022,0
20140707,16.486,16.486,16.308,16.343,8576,0
20140708,16.343,16.575,16.334,16.441,2012,0
20140709,16.397,16.691,16.397,16.397,2339,0
20140710,16.405,16.7,16.405,16.486,34959,0
20140711,16.504,16.665,16.227,16.441,70900,0
20140714,16.451,16.833,16.441,16.619,2629,0
20140715,16.753,16.753,16.619,16.619,1218,0
20140716,16.665,16.753,16.575,16.628,1164,0
20140717,16.637,16.709,16.308,16.308,2093,0
20140718,16.218,16.388,16.147,16.147,4744,0
20140721,16.129,16.352,16.04,16.049,20259,0
20140722,16.218,16.308,16.058,16.21,4207,0
20140723,16.263,16.263,16.067,16.067,66215,0
20140724,16.129,16.21,15.809,15.915,11048,0
20140725,15.915,15.996,15.595,15.773,4131,0
20140728,15.764,16.218,15.764,15.906,5316,0
20140729,16.29,16.29,15.782,15.782,38362,0
20140730,16.04,16.04,15.684,15.684,2804,0
20140731,15.826,15.996,15.318,15.996,32354,0
20140801,15.978,15.978,15.603,15.835,16338,0
20140804,15.835,15.996,15.63,15.63,1594,0
20140805,15.969,16.129,15.862,15.862,4082,0
20140806,15.862,16.04,15.764,15.816,1251,0
20140807,15.816,15.816,15.568,15.568,3630,0
20140808,15.648,15.648,15.149,15.221,7548,0
20140811,15.238,15.809,15.238,15.595,2877,0
20140812,15.684,15.684,15.506,15.656,911,0
20140813,15.639,15.639,14.704,15.639,15673,0
20140814,15.078,15.621,15.078,15.336,3566,0
20140818,15.506,15.532,15.301,15.336,1854,0
20140819,15.541,15.639,15.416,15.452,2398,0
20140820,15.576,15.576,15.327,15.381,1488,0
20140821,15.381,15.506,15.327,15.327,3725,0
20140822,15.416,15.434,15.158,15.158,2699,0
20140825,15.194,15.416,15.194,15.416,11635,0
20140826,15.042,15.987,15.042,15.87,17931,0
20140827,15.969,15.969,15.88,15.88,3244,0
20140828,15.969,15.969,15.648,15.648,12021,0
20140829,15.648,15.96,15.648,15.96,1881,0
20140901,16.2,17.056,16.2,16.931,50468,0
20140902,17.056,17.956,17.056,17.956,67149,0
20140903,18.054,18.713,17.813,18.713,183175,0
20140904,18.411,18.615,17.84,18.153,39780,0
20140905,18.153,18.268,18,18.073,10847,0
20140908,18.073,18.304,18.073,18.125,20502,0
20140909,18.125,18.313,18.125,18.268,29440,0
20140910,18.223,19.159,18.223,18.892,68119,0
20140911,19.07,19.159,18.686,18.98,25778,0
20140912,18.98,19.302,18.856,19.159,55117,0
20140915,18.222,19.66,18.222,19.296,80604,0
20140916,19.296,19.568,18.849,19.568,37323,0
20140917,19.568,19.614,18.941,19.386,28826,0
20140918,19.068,19.568,19.068,19.568,89283,0
20140919,19.478,19.568,19.359,19.568,11750,0
20140922,19.568,19.568,19.386,19.568,12161,0
20140923,19.332,19.614,19.332,19.568,100635,0
20140924,19.568,19.642,19.568,19.614,25779,0
20140925,19.396,19.614,19.351,19.568,23171,0
20140926,19.478,19.486,19.478,19.478,20091,0
20140929,19.478,19.568,19.132,19.568,19063,0
20140930,19.568,19.568,19.259,19.523,17520,0
20141001,19.25,19.386,19.068,19.113,17526,0
20141002,18.931,19.113,18.358,19.113,135488,0
20141003,19.296,19.578,19.296,19.568,50538,0
20141006,19.568,19.678,19.414,19.66,20501,0
20141007,19.568,19.696,19.568,19.66,46280,0
20141008,19.568,19.66,19.486,19.568,63760,0
20141009,19.66,19.66,19.568,19.578,2720,0
20141010,19.168,19.65,19.168,19.568,45031,0
20141013,19.568,19.678,19.568,19.678,20104,0
20141014,19.568,19.66,19.568,19.568,14738,0
20141015,19.568,19.568,19.568,19.568,5903,0
20141016,19.568,19.614,19.568,19.614,12642,0
20141017,19.614,19.614,19.568,19.568,18831,0
20141020,19.568,19.568,19.568,19.568,4124,0
20141021,19.66,19.66,19.296,19.568,1064,0
20141022,19.568,19.568,19.259,19.568,10549,0
