Date,Open,High,Low,Close,Volume,OpenInt
20061023,8.0929,8.7856,8.0929,8.4437,2473048,0
20061024,8.5519,8.6688,8.5359,8.645,1844687,0
20061025,8.7064,8.7381,8.6291,8.7381,1875768,0
20061026,8.7223,9.1192,8.7223,9.1043,1273651,0
20061027,9.1583,9.609,9.1424,9.547,678669,0
20061030,9.64,9.874,8.9564,9.4924,1829242,0
20061031,9.4297,9.4767,9.2513,9.4454,453445,0
20061101,9.4062,9.936,9.4062,9.936,362103,0
20061102,9.865,9.911,9.64,9.834,3244740,0
20061103,9.881,9.881,9.812,9.865,132202,0
20061106,9.748,10.138,9.718,10.092,360920,0
20061107,10.146,10.402,10.146,10.34,570346,0
20061108,10.418,10.448,10.378,10.378,1070909,0
20061109,10.433,10.433,10.153,10.239,227660,0
20061110,10.239,10.239,9.911,10.045,292018,0
20061113,10.605,10.907,10.378,10.737,574803,0
20061114,10.798,11.164,10.737,10.963,667506,0
20061115,11.04,11.218,10.938,10.993,728192,0
20061116,11.063,11.125,10.558,10.83,1047013,0
20061117,10.947,11.188,10.83,11.141,773974,0
20061120,11.148,11.475,11.148,11.444,828203,0
20061121,11.436,11.436,11.111,11.258,334848,0
20061122,11.281,11.281,10.86,10.938,364289,0
20061123,10.984,10.984,10.744,10.885,676650,0
20061124,10.916,10.916,10.348,10.464,808997,0
20061127,10.48,10.9,10.464,10.837,153369,0
20061128,10.854,10.854,10.628,10.854,124557,0
20061129,10.891,11.008,10.744,10.876,147577,0
20061130,10.9,10.993,10.87,10.963,81102,0
20061201,10.969,11.171,10.969,11.171,148541,0
20061204,11.234,11.444,11.218,11.444,120743,0
20061205,11.397,11.475,11.357,11.429,395177,0
20061206,11.429,11.505,11.357,11.505,348160,0
20061207,11.459,11.538,11.39,11.436,246939,0
20061208,11.436,11.747,11.436,11.684,385819,0
20061211,11.764,12.252,11.764,12.244,425636,0
20061212,12.221,12.221,11.817,12.12,129743,0
20061213,12.082,12.221,11.879,12.082,591943,0
20061214,12.058,12.205,12.058,12.158,538575,0
20061215,12.128,12.128,12.01,12.097,28566,0
20061218,12.137,12.137,11.917,12.035,2069137,0
20061219,12.089,12.509,12.089,12.431,113617,0
20061220,12.471,12.943,12.471,12.943,353378,0
20061221,13.046,13.046,12.679,12.897,831019,0
20061222,13.091,13.341,13.03,13.24,97893,0
20061227,13.776,13.776,13.255,13.317,252948,0
20061228,13.395,13.395,13.194,13.325,56868,0
20061229,13.271,13.302,13.231,13.286,244812,0
20070102,13.294,13.558,13.162,13.535,179939,0
20070103,13.558,13.589,13.364,13.442,722697,0
20070104,13.519,13.667,13.519,13.582,641372,0
20070105,13.807,13.901,13.744,13.807,193808,0
20070108,13.791,14.094,13.76,13.908,559292,0
20070109,13.901,14.094,13.869,13.869,137384,0
20070110,14.189,14.795,14.118,14.491,527498,0
20070111,14.522,14.522,13.995,14.328,327705,0
20070112,14.313,14.53,14.242,14.53,56025,0
20070115,14.359,14.507,14.282,14.343,86554,0
20070116,14.328,14.949,14.328,14.826,330407,0
20070117,14.88,14.957,14.655,14.88,527942,0
20070118,14.833,14.934,14.755,14.895,585501,0
20070119,14.732,14.989,14.648,14.779,98729,0
20070122,14.919,14.919,14.639,14.817,58553,0
20070123,14.864,15.027,14.786,14.996,179840,0
20070124,15.105,15.377,15.012,15.221,359239,0
20070125,15.361,15.75,15.331,15.735,220697,0
20070126,15.868,16.598,15.868,16.357,395712,0
20070129,16.551,16.807,16.536,16.661,410638,0
20070130,16.901,16.901,16.536,16.708,375249,0
20070131,16.722,17.057,16.645,16.909,158609,0
20070201,16.925,17.508,16.831,17.227,326653,0
20070202,17.361,17.531,17.273,17.273,206692,0
20070205,17.11,17.508,17.033,17.43,231363,0
20070206,17.461,18.409,17.461,18.121,243347,0
20070207,18.09,18.09,17.104,17.12,242699,0
20070208,17.235,17.235,15.415,16.1,1430433,0
20070209,15.323,16.917,15.021,16.886,1133472,0
20070212,16.388,16.769,16.022,16.022,670201,0
20070213,15.743,16.661,15.595,16.357,611088,0
20070214,16.124,17.01,16.124,16.769,212655,0
20070215,16.777,17.189,16.683,16.869,260516,0
20070216,16.933,17.08,16.62,16.777,91054,0
20070219,16.699,16.792,16.457,16.777,133708,0
20070220,16.777,16.777,16.309,16.536,95097,0
20070221,16.411,16.504,16.341,16.489,125947,0
20070222,16.442,16.504,15.898,15.898,656298,0
20070223,15.681,15.681,15.377,15.502,404912,0
20070226,15.533,15.898,15.533,15.804,233257,0
20070227,15.821,15.821,14.537,14.889,260111,0
20070228,13.606,14.826,13.606,14.143,779784,0
20070301,15.377,15.455,14.694,15.215,709388,0
20070302,15.136,15.673,14.911,15.067,336771,0
20070305,14.826,14.826,13.923,13.939,232610,0
20070306,13.784,14.296,13.784,13.901,203309,0
20070307,14.078,14.461,13.97,14.305,380933,0
20070308,14.414,14.414,14.189,14.414,291826,0
20070309,14.414,14.989,14.414,14.755,144713,0
20070312,14.842,15.097,14.842,14.949,172068,0
20070313,15.067,15.082,14.554,14.748,138527,0
20070314,14.165,14.468,14.056,14.313,213683,0
20070315,14.367,14.655,14.367,14.461,58789,0
20070316,14.515,14.515,14.157,14.189,52940,0
20070319,14.102,14.296,13.923,14.072,102408,0
20070320,14.056,14.236,13.995,14.072,67130,0
20070321,14.078,14.143,13.837,13.853,32605,0
20070322,13.893,14.795,13.893,14.795,167885,0
20070323,14.942,15.502,14.748,15.369,301457,0
20070326,15.377,15.455,15.292,15.455,164109,0
20070327,15.518,15.518,15.262,15.409,251037,0
20070328,15.323,15.323,15.021,15.221,31514,0
20070329,15.136,15.44,14.981,15.361,166790,0
20070330,15.415,15.735,15.385,15.689,210726,0
20070402,15.641,16.349,15.641,16.201,146160,0
20070403,16.232,16.605,16.232,16.605,370226,0
20070404,17.336,17.656,17.336,17.539,374736,0
20070405,17.687,17.687,17.104,17.314,99387,0
20070410,17.421,17.662,17.243,17.616,45233,0
20070411,17.608,17.608,17.4,17.531,42672,0
20070412,17.546,17.601,16.481,16.769,581826,0
20070413,17.235,17.531,17.087,17.12,168088,0
20070416,17.041,17.221,16.879,17.057,731016,0
20070417,17.227,17.375,17.095,17.095,128107,0
20070418,17.087,17.087,16.823,16.94,115722,0
20070419,16.972,16.972,16.195,16.373,144661,0
20070420,16.504,16.582,16.357,16.373,99184,0
20070423,16.341,16.667,16.341,16.52,76134,0
20070424,16.551,16.699,16.404,16.404,24209,0
