Date,Open,High,Low,Close,Volume,OpenInt
20051020,6.5156,7.593,6.1564,6.2205,910675,0
20051021,6.6053,7.0414,6.5412,6.7079,230051,0
20051024,6.8876,7.1312,6.7336,6.9259,203269,0
20051025,7.0543,7.0543,6.5668,6.631,50288,0
20051026,6.5925,6.6438,6.323,6.4002,93491,0
20051027,6.3104,6.3104,6.1436,6.2848,35623,0
20051028,6.1564,6.2718,6.0538,6.2205,36575,0
20051031,6.2205,6.695,6.2205,6.3874,34875,0
20051102,6.3874,6.5284,6.2848,6.4002,22432,0
20051103,6.5668,6.5668,6.2848,6.3488,23116,0
20051104,6.3488,6.3488,6.0281,6.2205,9659,0
20051107,6.118,6.1308,5.9897,6.1308,22680,0
20051108,6.0025,6.118,5.9897,6.0153,16342,0
20051109,5.9128,5.964,5.7716,5.8742,16045,0
20051110,5.8742,6.2077,5.5408,5.8615,33315,0
20051114,5.8871,5.8871,5.3613,5.6948,33635,0
20051115,5.6819,6.3617,5.4254,6.3617,89218,0
20051116,6.2077,6.2591,5.9384,6.1308,15453,0
20051117,6.1564,6.477,6.0281,6.3104,64642,0
20051118,6.3488,6.3617,6.0794,6.0923,17988,0
20051121,6.1564,6.2462,6.0281,6.0281,46133,0
20051122,6.0281,6.041,5.8742,6.0281,48331,0
20051123,6.0153,6.0281,5.8486,6.0281,16599,0
20051124,6.0281,6.0923,5.964,6.0153,25450,0
20051125,6.0794,6.0794,5.9384,6.0153,5029,0
20051128,5.964,6.0794,5.9128,5.9768,4944,0
20051129,6.0281,6.0281,5.8486,5.8486,7612,0
20051130,5.9255,5.9255,5.7973,5.7973,881,0
20051201,5.7075,5.8999,5.6691,5.8615,9466,0
20051202,5.7075,5.9384,5.7075,5.8999,31873,0
20051205,5.8229,5.8357,5.6434,5.7716,19562,0
20051206,5.7973,5.8615,5.7845,5.8357,3197,0
20051207,5.8357,6.3488,5.7461,6.1308,62591,0
20051208,6.0923,6.323,6.0153,6.1308,30977,0
20051209,6.0923,6.1693,5.9897,5.9897,17489,0
20051212,6.118,6.2077,6.0281,6.1308,28202,0
20051213,6.1821,6.1821,6.0923,6.0923,17988,0
20051214,6.2077,6.413,6.0923,6.2462,28964,0
20051215,6.2718,6.5156,6.2718,6.413,72362,0
20051216,6.413,6.7336,6.413,6.695,80993,0
20051219,6.6694,6.6694,6.6053,6.6567,14558,0
20051220,6.5796,6.6053,6.5412,6.5796,15912,0
20051221,6.4642,6.5412,6.413,6.5412,24591,0
20051222,6.4386,6.477,6.413,6.477,22611,0
20051223,6.477,6.5156,6.477,6.477,3705,0
20051227,6.5412,6.5541,6.4899,6.5541,9325,0
20051228,6.5541,6.6182,6.5541,6.6182,16895,0
20051229,6.6694,6.695,6.6438,6.6694,28606,0
20051230,6.6438,6.6694,6.6182,6.6694,19141,0
20060102,6.6438,6.6438,6.413,6.5412,19881,0
20060103,6.4514,6.7336,6.4514,6.7336,87573,0
20060104,6.6694,6.6823,6.5541,6.6053,20130,0
20060105,6.6823,6.6823,6.4514,6.5412,11797,0
20060106,6.5028,6.6438,6.4899,6.5412,32286,0
20060109,6.6438,6.6438,6.4514,6.5284,8763,0
20060110,6.5412,6.5668,6.477,6.477,33722,0
20060111,6.4899,6.5541,6.4899,6.5541,29191,0
20060112,6.5156,6.6438,6.5156,6.5668,7072,0
20060113,6.6053,6.8619,6.5412,6.8619,65040,0
20060116,6.9132,6.9388,6.7336,6.9388,21230,0
20060117,6.9132,6.9388,6.8876,6.8876,12966,0
20060118,6.8619,6.8619,6.7465,6.7977,14829,0
20060119,6.7721,6.8363,6.7336,6.7977,18391,0
20060120,6.7465,6.7465,6.6823,6.7336,5957,0
20060123,6.5668,6.8363,6.5668,6.8363,5402,0
20060124,6.6694,6.7336,6.6694,6.7336,1084,0
20060125,6.7336,6.7465,6.7336,6.7336,22050,0
20060126,6.6694,6.7977,6.6694,6.7336,5271,0
20060127,6.7336,6.7336,6.7336,6.7336,3119,0
20060130,6.785,6.7977,6.5412,6.6694,7991,0
20060131,6.6694,6.6694,6.5412,6.6567,19859,0
20060201,6.4899,6.6182,6.4899,6.6182,4641,0
20060202,6.5412,6.6182,6.5412,6.6182,1247,0
20060203,6.6182,6.6182,6.0923,6.413,2985,0
20060206,6.4257,6.6053,6.413,6.6053,4445,0
20060207,6.5541,6.6182,6.4386,6.5412,4803,0
20060208,6.4386,6.5028,6.413,6.477,12289,0
20060209,6.413,6.5156,6.413,6.4899,3766,0
20060210,6.5028,6.5028,6.413,6.413,6574,0
20060213,6.5541,6.5541,6.2848,6.5412,9122,0
20060214,6.5284,6.5412,6.5284,6.5412,7056,0
20060215,6.5668,6.7977,6.5668,6.7207,22087,0
20060216,6.7977,6.8619,6.7336,6.7977,21496,0
20060217,6.7977,6.9902,6.7977,6.9773,14598,0
20060220,6.9259,7.1824,6.9259,7.1312,25892,0
20060221,7.144,7.144,7.0798,7.1183,26939,0
20060222,7.0798,7.0798,7.0543,7.0798,4007,0
20060223,7.0669,7.144,7.003,7.0543,19079,0
20060224,7.1183,7.1569,7.1056,7.1183,22096,0
20060227,7.1183,7.2466,7.0926,7.2466,50679,0
20060228,7.2466,7.5417,7.2466,7.4006,28591,0
20060301,7.5032,7.6827,7.4389,7.6185,74037,0
20060302,7.7853,7.7853,7.6059,7.7468,33980,0
20060303,7.6955,7.6955,7.4006,7.5417,13239,0
20060306,7.221,7.5288,7.2082,7.5288,27515,0
20060307,7.6059,7.6059,7.1824,7.2082,10197,0
20060308,7.1824,7.2852,6.9516,7.221,15265,0
20060309,7.3493,7.5671,7.3493,7.516,24194,0
20060310,7.516,7.516,7.3107,7.4646,2876,0
20060313,7.4519,7.4519,7.3749,7.3877,6059,0
20060314,7.3107,7.4903,7.3107,7.4261,20218,0
20060315,7.3235,7.4261,7.3107,7.4261,10207,0
20060316,7.3364,7.5032,7.3235,7.5032,12093,0
20060317,7.5032,7.8238,7.5032,7.6955,75348,0
20060320,7.6955,7.6955,7.58,7.6314,9716,0
20060321,7.6314,7.6314,7.58,7.6314,795,0
20060322,7.6314,7.7981,7.6185,7.7981,39805,0
20060323,7.7981,8.1057,7.7981,7.9517,18712,0
20060324,8.0807,8.2089,7.9517,8.1449,47701,0
20060327,8.2731,8.3371,8.0807,8.298,6345,0
20060328,8.3371,8.3371,8.2089,8.2473,5522,0
20060329,8.2089,8.2473,8.0807,8.2215,7719,0
20060330,8.0933,8.3238,8.0807,8.3238,9591,0
20060331,8.2089,8.2731,8.0807,8.2731,3990,0
20060403,8.2089,8.3878,8.2089,8.3878,69041,0
20060404,8.2731,8.516,8.2731,8.516,38041,0
20060405,8.5293,8.5293,8.5035,8.5293,4116,0
20060406,8.5935,8.7478,8.5935,8.6579,23805,0
20060407,9.2607,9.748,8.9777,9.606,113941,0
20060410,9.748,9.941,9.748,9.889,122907,0
20060411,10.132,10.197,9.889,9.889,41339,0
20060412,10.004,10.004,9.876,9.941,14940,0
20060413,10.004,10.17,10.004,10.068,19429,0
20060418,10.132,10.235,10.132,10.132,35077,0
20060419,10.223,10.223,9.748,9.851,15958,0
20060420,9.851,9.876,9.748,9.761,17652,0
20060421,9.709,9.812,9.4264,9.761,16084,0
20060424,9.684,9.812,9.684,9.812,15656,0
20060425,9.62,9.684,9.2988,9.453,29082,0
20060426,9.4921,9.837,9.4778,9.799,8739,0
20060427,9.863,9.889,9.799,9.824,23031,0
20060428,9.837,10.12,9.837,10.082,17605,0
20060502,10.132,10.132,10.004,10.03,11666,0
20060504,10.132,10.132,9.644,10.004,9753,0
20060505,10.132,10.132,9.786,9.824,5948,0
20060508,9.684,9.991,9.684,9.696,4685,0
20060509,9.723,9.979,9.709,9.979,33650,0
20060510,9.876,10.12,9.876,10.106,10144,0
20060511,10.12,10.209,10.068,10.132,23273,0
20060512,10.094,10.235,9.991,10.183,31341,0
20060515,10.132,10.132,9.761,10.12,3790,0
20060516,10.004,10.223,9.812,9.991,11118,0
20060517,9.991,10.004,9.812,9.876,13239,0
20060518,9.772,9.876,9.2988,9.748,22345,0
20060519,9.761,9.914,9.748,9.851,3891,0
20060522,9.851,9.851,9.4016,9.568,20966,0
20060523,8.7732,9.62,7.9134,9.62,20747,0
20060524,9.3626,9.594,9.1702,9.4264,3172,0
20060525,9.3626,9.723,8.7478,9.594,10306,0
20060526,9.709,9.734,9.1445,9.4921,10415,0
20060529,9.594,9.748,9.53,9.53,8757,0
20060530,9.556,9.62,9.4921,9.62,3002,0
20060531,9.556,9.556,9.4921,9.4921,813,0
20060601,9.556,9.734,9.556,9.734,2386,0
20060602,9.684,9.748,9.671,9.748,7836,0
20060605,9.748,9.748,9.734,9.734,10213,0
20060606,9.3759,9.606,9.3759,9.606,8982,0
20060607,9.594,9.606,9.594,9.594,1310,0
20060608,9.2473,9.62,9.2473,9.581,3843,0
20060609,9.3883,9.543,9.3883,9.543,7367,0
20060612,9.3759,9.3883,9.3626,9.3626,11189,0
20060613,9.2216,9.2349,8.5935,8.8877,17878,0
20060614,8.7215,8.7215,8.3371,8.4654,11204,0
20060616,8.4778,9.1064,8.4778,8.7215,3268,0
20060619,8.5552,8.5935,8.4654,8.4654,1171,0
20060620,8.4654,8.8759,8.4654,8.8242,1161,0
20060621,8.8496,9.2607,8.8378,9.2216,1910,0
20060622,9.2349,9.2349,9.0168,9.0168,16,0
20060623,8.8496,9.2607,8.8496,9.2607,788,0
20060626,9.1702,9.1702,9.1702,9.1702,5,0
20060627,9.1702,9.2473,8.8759,9.2216,1380,0
20060628,9.2216,9.2216,8.9141,8.9141,4030,0
20060629,8.9777,8.9777,8.8759,8.8759,3773,0
20060630,8.9659,8.9913,8.9141,8.9141,1404,0
20060703,8.9141,8.9141,8.7215,8.8242,3804,0
20060704,8.4654,8.7088,8.4654,8.7088,4819,0
20060705,8.7088,8.9141,8.7088,8.9141,5599,0
20060706,8.8759,8.8759,8.8759,8.8759,5,0
20060707,8.8759,9.2349,8.6059,9.2349,20740,0
20060710,8.8759,9.2607,8.8759,9.2216,755,0
20060711,9.2216,9.2216,8.9777,9.1702,983,0
20060712,9.2473,9.2473,9.0422,9.1064,1631,0
20060713,9.094,9.094,8.8623,9.004,18696,0
20060714,9.004,9.0422,9.004,9.0422,8796,0
20060717,9.1197,9.2473,9.1197,9.2473,1761,0
20060718,9.2349,9.2854,9.1321,9.2854,8739,0
20060719,9.3502,9.3626,9.3502,9.3626,3751,0
20060720,9.556,9.556,9.3759,9.3759,937,0
20060721,9.4921,9.4921,9.4921,9.4921,779,0
20060724,9.4016,9.4016,9.3626,9.3759,4669,0
20060725,9.1702,9.3502,9.1702,9.2349,476,0
20060726,9.4149,9.4149,8.9659,9.2854,2486,0
20060727,9.2349,9.2854,9.2349,9.2854,4014,0
20060728,9.273,9.273,9.273,9.273,5,0
20060731,9.273,9.273,9.273,9.273,1325,0
20060801,9.273,9.273,9.2607,9.2607,4429,0
20060802,8.9268,9.2349,8.8496,9.2349,1278,0
20060803,9.2349,9.2349,9.2349,9.2349,78,0
20060804,9.2473,9.2473,9.004,9.2349,842,0
20060807,9.2216,9.2216,9.2216,9.2216,5,0
20060808,9.1197,9.2083,9.1064,9.2083,365,0
20060809,9.2216,9.2349,9.2216,9.2349,1272,0
20060810,9.2473,9.2607,9.2473,9.2607,297,0
20060811,9.2854,9.3502,9.2854,9.3502,4469,0
20060814,9.2349,9.3502,9.1321,9.2988,13129,0
20060816,9.2988,9.2988,9.2349,9.2349,11804,0
20060817,9.1197,9.1197,9.1197,9.1197,779,0
20060818,9.1197,9.2216,9.1197,9.2216,788,0
20060821,9.2083,9.2216,9.1702,9.1702,858,0
20060822,8.9913,8.9913,8.7596,8.7596,2066,0
20060823,8.7978,8.9523,8.7478,8.9523,6534,0
20060824,8.9777,9.0294,8.7215,9.0294,359,0
20060825,8.9777,8.9777,8.6059,8.7478,8460,0
20060828,8.9523,8.9523,8.9523,8.9523,30,0
20060829,8.9523,8.9523,8.4902,8.8378,2526,0
20060830,8.6059,8.8242,8.6059,8.8242,3773,0
20060831,8.6579,8.7215,8.6443,8.7215,1520,0
20060901,8.7088,8.7088,8.5935,8.6579,858,0
