Date,Open,High,Low,Close,Volume,OpenInt
20070716,6240,9920,6160,9440,14030,0
20070717,9424,9600,8192,9280,2872,0
20070718,9408,9760,8976,9552,740,0
20070719,9336,12000,9200,12000,1246,0
20070720,12608,13472,11120,11920,1796,0
20070723,11920,11920,10448,10496,1006,0
20070724,10768,10768,9696,9760,427,0
20070725,9440,10864,8960,10720,1854,0
20070726,10832,11152,9760,9920,835,0
20070727,9936,10720,9792,9920,935,0
20070730,10296,10296,9360,9600,312,0
20070731,9920,10080,9360,9520,339,0
20070801,9200,9504,8160,8160,583,0
20070802,8480,8848,7856,8032,297,0
20070803,8240,8400,7856,8080,421,0
20070806,8000,8224,7552,7936,489,0
20070807,8016,8320,8016,8104,251,0
20070808,8000,8160,7792,7936,186,0
20070809,7992,8000,7680,7680,233,0
20070810,7280,7520,6160,6416,1268,0
20070813,6576,6752,6080,6080,205,0
20070814,6080,6558.4,5952,6400,605,0
20070816,5840,6464,5760,6400,797,0
20070817,6352,7324.8,6304,7324.8,856,0
20070820,7744,7776,7024,7217.6,530,0
20070821,7200,7200,6640,6800,178,0
20070822,6880,7520,6880,7504,494,0
20070823,7600,7680,7280,7360,589,0
20070824,7200,7436.8,6960,7424,51,0
20070827,7296,7710.4,7296,7648,244,0
20070828,7408,7552,7264,7296,54,0
20070829,6976,7440,6976,7184,300,0
20070830,7209.6,7420.8,5040,5760,3474,0
20070831,6192,6304,5632,5728,2247,0
20070903,5728,5728,5160,5168,1635,0
20070904,5120,5120,4721.6,4881.6,1321,0
20070905,5120,5248,4928,4928,2005,0
20070906,5008,5272,5008,5184,813,0
20070907,5344,6465.6,5217.6,6016,3636,0
20070910,6160,6736,5760,5824,4193,0
20070911,6088,6531.2,5888,6240,2386,0
20070912,6320,6475.2,6144,6240,887,0
20070913,6288,6432,6208,6241.6,1014,0
20070914,6302.4,6320,5952,6160,530,0
20070917,6000,6048,5840,5888,331,0
20070918,5697.6,5872,5456,5840,877,0
20070919,6080,6208,5888,5937.6,512,0
20070920,5920,5920,5608,5712,380,0
20070921,5779.2,5824,5680,5760,417,0
20070924,6112,6392,6056,6096,1964,0
20070925,6208,6208,6016,6078.4,670,0
20070926,6048,6075.2,5921.6,5964.8,339,0
20070927,5808,5920,5680,5712,585,0
20070928,5632,5632,5248,5499.2,800,0
20071001,5440,5598.4,5328,5400,195,0
20071002,5440,5440,5080,5169.6,331,0
20071003,5120,5120,4832,4896,738,0
20071004,4920,5115.2,4915.2,5115.2,293,0
20071005,5262.4,5360,5200,5206.4,317,0
20071008,5248,5392,5208,5328,226,0
20071009,5328,5328,5220.8,5220.8,141,0
20071010,5200,5216,5040,5112,266,0
20071011,5185.6,5185.6,4976,4992,306,0
20071012,4993.6,5059.2,4963.2,5009.6,336,0
20071015,5056,5184,4944,5008,173,0
20071016,5008,5040,4944,4952,226,0
20071017,4952,4992,4768,4792,700,0
20071018,4800,4800,4560,4624,406,0
20071019,4641.6,4944,4624,4889.6,851,0
20071022,4912,5392,4912,5281.6,2483,0
20071023,5520,5964.8,5440,5920,2240,0
20071024,5824,6368,5776,5840,1898,0
20071025,5952,6128,5680,5788.8,742,0
20071026,5792,5792,5534.4,5553.6,640,0
20071029,5616,5728,5534.4,5580.8,296,0
20071030,5560,5560,5296,5376,371,0
20071031,5393.6,5624,5331.2,5488,361,0
