Date,Open,High,Low,Close,Volume,OpenInt
19981118,7.9015,8.0894,7.7192,7.7192,11251873,0
19981119,7.6722,7.6722,7.2966,7.5314,7454952,0
19981120,7.6722,7.8547,7.6722,7.8547,5655510,0
19981123,7.9486,8.1364,7.9486,7.9956,5496934,0
19981124,7.9956,7.9956,7.6722,7.7192,3432619,0
19981125,7.7192,7.8077,7.6252,7.7608,1835326,0
19981126,7.7608,7.7608,7.6252,7.6722,1053320,0
19981127,7.6252,7.6252,7.5314,7.5314,1521727,0
19981130,7.4374,7.5314,7.4374,7.4374,2138107,0
19981201,7.2966,7.2966,7.2027,7.2497,2234890,0
19981202,7.2497,7.3905,7.2497,7.3436,1292842,0
19981203,7.2966,7.6252,7.2966,7.5314,1177090,0
19981204,7.4843,7.8077,7.4843,7.8077,1753607,0
19981207,7.8547,7.8547,7.6252,7.7192,1154430,0
19981208,7.7192,7.8077,7.7192,7.7608,1622438,0
19981209,7.7608,7.7608,7.7192,7.7608,1467531,0
19981210,7.8547,7.8547,7.7608,7.7608,2153918,0
19981211,7.7192,7.8077,7.6252,7.7608,1708397,0
19981214,7.7192,7.8547,7.7192,7.8077,1105942,0
19981215,7.8077,7.8547,7.7608,7.7608,756208,0
19981216,7.8547,7.9956,7.8547,7.9486,2002537,0
19981217,7.8547,7.9015,7.8077,7.8077,561393,0
19981218,7.8547,7.9015,7.8547,7.9015,1222029,0
19981221,7.8547,7.9956,7.8547,7.9486,859851,0
19981222,7.9956,8.0894,7.9956,8.0423,2200046,0
19981223,8.1364,8.3239,8.1364,8.2768,1589509,0
19981228,8.2768,8.3712,8.1832,8.2768,711189,0
19981229,8.2305,8.2305,8.0894,8.1364,1616694,0
19981230,8.1364,8.2305,8.1364,8.1364,663620,0
19981231,8.1364,8.1832,8.1364,8.1832,333297,0
19990104,8.2768,8.6996,8.2768,8.6996,1602131,0
19990105,8.6528,8.7474,8.6528,8.6996,1781997,0
19990106,8.8401,9.4452,8.8401,9.4452,2045298,0
19990107,9.681,9.681,9.2114,9.4452,2581162,0
19990108,9.915,10.614,9.775,10.526,2896932,0
19990111,10.291,10.291,9.821,10.056,2246508,0
19990112,10.102,10.385,10.056,10.15,2970469,0
19990113,9.821,9.821,8.9338,9.1636,2394920,0
19990114,9.0284,9.492,9.0284,9.1216,3462672,0
19990115,8.8401,9.3049,8.7933,9.2572,3527498,0
19990118,9.681,10.66,9.681,10.526,2238327,0
19990119,10.526,10.943,10.291,10.755,3438079,0
19990120,11.036,11.505,11.036,11.27,3232910,0
19990121,12.111,12.252,11.6,11.788,6076014,0
19990122,11.224,11.459,10.99,10.99,2833022,0
19990125,10.755,11.553,10.755,11.413,1806006,0
19990126,11.834,12.392,11.788,11.971,2551610,0
19990127,12.157,12.157,11.834,12.017,2277703,0
19990128,11.834,12.345,11.834,12.297,1975968,0
19990129,12.533,12.815,12.533,12.768,2808237,0
19990201,12.862,12.862,12.533,12.674,2196683,0
19990202,12.44,12.627,12.297,12.345,1138802,0
19990203,12.345,12.485,12.205,12.392,944414,0
19990204,12.627,12.627,12.392,12.392,1038610,0
19990205,12.157,12.205,11.971,12.064,772380,0
19990208,12.017,12.44,11.881,12.297,454781,0
19990209,12.157,12.157,11.834,11.834,455706,0
19990210,11.553,11.74,11.459,11.6,1008831,0
19990211,11.693,11.788,11.647,11.693,741791,0
19990212,12.157,12.157,11.647,11.693,634064,0
19990215,11.6,11.74,11.6,11.647,480022,0
19990216,11.647,12.017,11.647,12.017,1383190,0
19990217,11.788,11.834,11.6,11.647,604573,0
19990218,11.6,11.6,11.413,11.413,493036,0
19990219,11.224,11.224,10.526,10.614,2218217,0
19990222,10.707,10.707,10.291,10.478,1130668,0
19990223,10.755,10.755,10.15,10.15,1245833,0
19990224,10.243,10.243,9.868,10.056,1481350,0
19990225,9.915,10.15,9.587,9.727,1392037,0
19990226,9.727,9.868,9.633,9.775,1715683,0
19990301,10.291,10.291,9.821,9.915,852911,0
19990302,10.15,10.385,10.102,10.338,792679,0
19990303,10.243,10.338,10.15,10.15,334054,0
19990304,10.15,10.15,9.962,10.056,303359,0
19990305,10.291,10.614,10.291,10.567,781514,0
19990308,10.614,10.99,10.614,10.849,918486,0
19990309,11.178,11.505,10.99,11.036,1176642,0
19990310,11.083,11.083,10.849,10.849,385443,0
19990311,10.943,11.036,10.755,10.802,553075,0
19990312,11.083,11.083,10.849,10.943,542168,0
19990315,10.943,11.036,10.526,10.567,723620,0
19990316,10.755,10.755,10.478,10.526,612431,0
19990317,10.526,10.849,10.526,10.755,723161,0
19990318,10.755,10.755,10.567,10.614,390301,0
19990319,11.13,11.13,10.99,11.13,762944,0
19990322,11.13,11.13,10.895,10.99,773200,0
19990323,10.755,10.755,10.291,10.291,488234,0
19990324,9.868,10.102,9.727,10.056,928874,0
19990325,10.056,10.243,9.962,9.962,1132909,0
19990326,10.15,10.15,9.915,9.962,601681,0
19990329,10.056,10.056,9.727,10.008,267737,0
19990330,10.008,10.008,9.821,9.821,897140,0
19990331,9.868,10.243,9.868,10.196,582424,0
19990401,9.962,10.291,9.962,10.196,617488,0
