Date,Open,High,Low,Close,Volume,OpenInt
20101011,5.5334,5.9293,5.3261,5.3261,40952,0
20101012,5.2318,5.2789,5.1376,5.1846,10612,0
20101013,5.2318,5.2318,4.9961,5.1563,6709,0
20101014,5.1376,5.1376,4.9677,5.0432,1500,0
20101015,4.9018,5.1376,4.8548,5.1376,8232,0
20101018,5.3732,5.3732,5.1846,5.1846,3966,0
20101019,5.2789,5.2789,5.1376,5.2789,886,0
20101020,5.2695,5.2695,5.0904,5.2695,1778,0
20101021,5.2695,5.2695,5.0055,5.0055,3753,0
20101022,4.9961,5.1846,4.619,5.1846,11755,0
20101025,4.9961,5.0621,4.9961,5.0621,796,0
20101026,5.1376,5.1376,5.1376,5.1376,2,0
20101027,4.7699,5.0809,4.7699,5.0809,4620,0
20101028,5.1187,5.1187,4.9961,5.0904,318,0
20101029,5.0809,5.1658,5.0809,5.1658,2115,0
20101102,5.1658,5.1752,5.1658,5.1752,1653,0
20101103,5.1658,5.1846,5.1658,5.1846,136,0
20101104,5.1846,5.1846,5.0904,5.0904,733,0
20101105,5.1563,5.1563,5.0904,5.0904,656,0
20101108,5.1563,5.1563,5.0339,5.0904,27,0
20101109,5.0904,5.0904,5.0244,5.0244,632,0
20101110,5.0809,5.0809,5.0809,5.0809,2,0
20101112,5.0339,5.0339,5.0339,5.0339,2,0
20101115,4.8641,5.0339,4.8641,5.0339,213,0
20101116,5.0339,5.0339,4.8641,4.8641,105,0
20101117,5.0339,5.0339,5.0339,5.0339,2,0
20101118,5.0339,5.0809,4.8548,5.0809,1375,0
20101119,5.0809,5.0809,4.9585,4.9585,182,0
20101122,5.0809,5.0809,4.7699,4.9585,522,0
20101123,5.0809,5.0809,4.9585,4.9585,104,0
20101124,5.0809,5.0809,4.9018,4.9018,1643,0
20101125,4.8924,4.8924,4.8924,4.8924,161,0
20101126,4.8924,4.8924,4.6567,4.8075,1221,0
20101129,4.8075,4.8075,4.6662,4.6662,225,0
20101130,4.8075,4.8075,4.619,4.619,1063,0
20101201,4.8075,4.8075,4.619,4.619,2518,0
20101202,4.8075,4.8358,4.7133,4.8358,799,0
20101203,5.0244,5.0809,4.8736,4.8736,2052,0
20101206,5.0904,5.0904,5.0809,5.0809,330,0
20101207,5.0809,5.0809,4.9113,4.9113,266,0
20101208,4.9018,4.9018,4.9018,4.9018,1062,0
20101209,5.0809,5.0809,4.949,4.949,102,0
20101210,4.8075,4.8075,4.8075,4.8075,328,0
20101213,5.0714,5.0714,4.949,4.949,102,0
20101214,5.0714,5.0714,5.0714,5.0714,2,0
20101215,4.9961,4.9961,4.9961,4.9961,130,0
20101216,5.0714,5.0714,5.0714,5.0714,1,0
20101217,5.0714,5.0714,4.9395,4.9585,462,0
20101220,5.0432,5.0432,5.0432,5.0432,3,0
20101221,4.9961,4.9961,4.8075,4.8075,135,0
20101222,4.8075,4.883,4.8075,4.883,1415,0
20101223,4.883,4.883,4.7699,4.7699,389703,0
20101227,4.7794,4.7794,4.7133,4.7133,252,0
20101228,4.883,4.883,4.7133,4.7133,290,0
20101229,5.0432,5.0432,5.0432,5.0432,2,0
20101230,4.9961,4.9961,4.7321,4.9961,16,0
20101231,4.9961,4.9961,4.9961,4.9961,4,0
20110103,4.9961,4.9961,4.8641,4.8641,104,0
20110104,4.8736,4.8736,4.6662,4.6662,233,0
20110105,5.0809,5.0809,4.8075,4.8075,820,0
20110107,4.817,4.817,4.817,4.817,8,0
20110110,4.8264,4.8264,4.8264,4.8264,2,0
20110111,4.8075,4.8075,4.8075,4.8075,3,0
20110112,4.7981,4.7981,4.6284,4.6757,1294,0
20110113,5.0809,5.0809,4.9585,4.9585,659,0
20110114,4.9585,4.9585,4.9585,4.9585,64,0
20110117,4.9585,4.9585,4.9585,4.9585,3,0
20110118,4.7227,4.949,4.7227,4.949,316,0
20110119,4.8264,4.949,4.7416,4.949,102,0
20110120,4.949,4.949,4.9301,4.9301,5,0
20110121,4.9301,4.9301,4.9301,4.9301,3,0
20110124,4.9301,4.9301,4.9301,4.9301,2,0
20110125,4.9301,4.9301,4.9301,4.9301,2,0
20110126,4.9207,4.949,4.9018,4.9018,2237,0
20110127,4.9585,4.9585,4.7321,4.9585,3101,0
20110128,4.9585,4.9585,4.7416,4.7416,319,0
20110131,4.8924,4.8924,4.8924,4.8924,2,0
20110201,4.8924,4.8924,4.8924,4.8924,1,0
20110202,4.9585,4.9585,4.7511,4.7511,427,0
20110203,4.8924,5.1658,4.7133,4.817,9393,0
20110204,4.9867,4.9867,4.7794,4.7794,401,0
20110207,4.8924,4.8924,4.8924,4.8924,1,0
20110208,4.7886,4.8924,4.7511,4.7511,1034,0
20110209,4.7511,4.9395,4.7321,4.8264,5735,0
20110210,4.8924,4.9207,4.7416,4.8358,4180,0
20110211,4.8453,4.8924,4.7038,4.7604,3816,0
20110214,4.8641,4.8924,4.7511,4.7511,5081,0
20110215,4.9018,4.9018,4.8264,4.8264,1089,0
20110216,4.9677,4.9677,4.8075,4.9677,477,0
20110217,4.9018,4.9018,4.9018,4.9018,108,0
20110218,4.9207,4.9207,4.9207,4.9207,77,0
20110221,4.9018,4.9772,4.6662,4.8264,612,0
20110222,4.8453,5.2789,4.685,5.0904,14625,0
20110223,5.0904,5.3732,4.8075,5.2224,10073,0
20110224,5.1563,5.2789,4.9301,5.0904,6651,0
20110225,5.1658,5.1658,4.9207,5.1187,2328,0
20110228,5.1658,5.1752,4.9301,4.9961,1985,0
20110301,4.9207,5.1563,4.9207,4.9961,753,0
20110302,5.1846,5.6559,4.9772,5.5428,16298,0
20110303,5.5428,5.5428,5.5146,5.5334,428,0
20110304,5.7502,5.7502,5.4864,5.4864,3522,0
20110307,5.5428,5.5428,5.4015,5.4015,2872,0
20110308,5.4015,5.6559,5.4015,5.6559,6786,0
20110309,5.8445,6.8343,5.6747,5.8728,23629,0
20110310,5.9387,6.1933,5.8067,5.9387,15317,0
20110311,5.7502,6.1084,5.7502,5.7691,2634,0
20110314,6.0141,6.5892,5.9764,6.3629,17043,0
20110315,6.3629,6.7872,6.3629,6.6457,17136,0
20110316,6.6835,8.0314,6.5231,7.0605,86994,0
20110317,7.2114,7.9655,6.5986,6.6835,136527,0
20110318,6.9474,6.9474,6.278,6.5326,24129,0
20110321,6.5892,6.5892,6.1084,6.3253,6871,0
20110322,6.3064,6.5986,6.1273,6.5326,19284,0
20110323,6.872,6.8813,6.5515,6.5986,27705,0
20110324,6.608,6.6457,6.542,6.6457,7568,0
20110325,6.5986,6.608,6.297,6.4854,8993,0
20110328,6.6646,6.6646,6.1838,6.4101,11096,0
20110329,6.3158,6.3158,6.1273,6.3064,6106,0
20110330,6.2875,6.2875,5.9387,6.2216,7189,0
20110331,6.2216,6.4101,6.0424,6.1178,11482,0
20110401,6.2592,6.2592,6.1178,6.1273,8382,0
20110404,6.1273,6.1273,5.835,5.8915,12176,0
20110405,5.7408,5.8633,5.5711,5.703,28222,0
20110406,5.703,5.8067,5.5618,5.8067,13745,0
20110407,5.8633,5.9387,5.8067,5.8445,4028,0
20110408,5.8445,5.9764,5.8161,5.9387,6461,0
20110411,5.9387,6.0047,5.7124,5.901,8346,0
20110412,5.901,5.901,5.6559,5.7878,5860,0
20110413,5.7878,5.7878,5.5618,5.7219,2154,0
20110414,5.7219,5.7219,5.6088,5.6088,55052,0
20110415,5.6088,5.7502,5.6088,5.703,5968,0
20110418,5.7878,5.7878,5.6277,5.7502,5733,0
20110419,5.7502,5.7502,5.5806,5.703,697,0
20110420,5.703,5.703,5.4015,5.6183,6995,0
20110421,5.6088,5.6088,5.4391,5.5618,4009,0
20110426,5.637,5.7973,5.637,5.7784,8347,0
20110427,5.7784,5.7973,5.6088,5.6183,1491,0
20110428,5.4391,5.6559,5.4391,5.6559,307,0
20110429,5.6559,5.6559,5.5334,5.6559,1878,0
20110502,5.7502,5.7502,5.5523,5.5711,3004,0
20110504,5.4957,5.6747,5.4957,5.6747,1482,0
20110505,5.637,5.637,5.4581,5.5146,643,0
20110506,5.5146,5.6559,5.5146,5.5146,1724,0
20110509,5.5618,5.637,5.4581,5.4581,2403,0
20110510,5.4581,5.4674,5.4015,5.4581,3999,0
20110511,5.5523,5.5995,5.4581,5.5901,5268,0
20110512,5.5618,5.5618,5.2978,5.5146,2857,0
20110513,5.2695,5.5146,5.2695,5.2883,397,0
20110516,5.4486,5.4674,5.2789,5.4297,5229,0
20110517,5.4864,5.4864,5.2789,5.4204,800,0
20110518,5.3167,5.3167,5.0055,5.2224,2761,0
20110519,5.147,5.147,4.7133,4.9961,11828,0
20110520,4.9961,5.1281,4.9961,5.1281,4985,0
20110523,5.2318,5.2318,4.8358,4.9867,1127,0
20110524,4.9961,5.1187,4.8548,5.0714,964,0
20110525,5.1187,5.1187,4.8641,5.0244,693,0
20110526,4.9018,4.949,4.8736,4.949,1348,0
20110527,4.9867,4.9867,4.949,4.949,1216,0
20110530,4.9772,4.9772,4.8548,4.9113,1045,0
20110531,4.9113,4.9867,4.9018,4.9018,562,0
20110601,4.9018,4.9018,4.9018,4.9018,86,0
20110602,4.817,4.817,4.6567,4.7133,5323,0
20110603,4.7604,4.8924,4.7604,4.8924,2060,0
20110606,4.8924,4.8924,4.7133,4.883,691,0
20110607,4.883,4.883,4.883,4.883,16,0
20110608,4.883,4.883,4.7321,4.7416,409,0
20110609,4.7133,4.8736,4.7133,4.7133,2556,0
20110610,4.7227,4.8548,4.7038,4.8453,2277,0
20110613,4.817,4.817,4.6662,4.6662,1629,0
20110614,4.619,4.7038,4.619,4.6284,1837,0
20110615,4.7133,4.7227,4.7133,4.7133,1284,0
20110616,4.7133,4.7133,4.7133,4.7133,212,0
20110617,4.7133,4.7511,4.7133,4.7133,4208,0
20110620,4.7416,4.7416,4.7416,4.7416,221,0
20110621,4.7038,4.7038,4.5719,4.5719,1290,0
20110622,4.6567,4.6567,4.6379,4.6567,838,0
20110624,4.7886,4.7886,4.7886,4.7886,10,0
20110627,4.7699,4.7699,4.5342,4.5436,2070,0
20110628,4.5247,4.5719,4.5247,4.5719,753,0
20110629,4.6757,4.7794,4.6284,4.6284,986,0
20110630,4.6567,5.392,4.3269,5.392,10252,0
20110701,5.3732,5.3732,4.8358,5.2412,3881,0
20110704,5.1752,5.1752,4.9113,5.0621,876,0
20110705,4.9113,4.9113,4.7699,4.8358,1222,0
20110706,4.8358,5.3167,4.8358,4.9018,2858,0
20110707,4.6757,4.7886,4.6757,4.7886,1061,0
20110708,5.015,5.015,4.9207,4.9207,237,0
20110711,5.1376,5.2224,4.9772,4.9961,2642,0
20110712,4.8736,4.9585,4.7416,4.8075,1757,0
20110713,4.8641,4.8641,4.7511,4.7511,116,0
20110714,4.8736,4.8736,4.7604,4.7604,116,0
20110715,4.9585,4.9585,4.9585,4.9585,10,0
20110718,4.949,4.949,4.9395,4.9395,169,0
20110719,4.9395,4.9395,4.9395,4.9395,10,0
20110720,4.9395,4.9395,4.9395,4.9395,10,0
20110721,4.9395,4.9395,4.9395,4.9395,3,0
20110722,4.9395,4.9395,4.9395,4.9395,10,0
20110725,4.9018,4.9018,4.8075,4.8075,108,0
20110726,4.9018,4.9018,4.9018,4.9018,9,0
20110727,4.9018,4.9395,4.7038,4.9395,1822,0
20110728,4.9018,4.9018,4.7133,4.7133,535,0
20110729,4.9018,4.9018,4.7604,4.7604,26,0
20110801,4.8548,4.9585,4.7981,4.8075,4216,0
20110802,4.9585,5.0998,4.9207,5.0998,3233,0
20110803,4.9677,4.9677,4.6567,4.8924,459,0
20110804,4.9018,4.9585,4.5247,4.5247,4837,0
20110805,4.0534,4.1948,3.6764,4.1948,8554,0
20110808,4.4305,4.4305,4.1194,4.1194,6100,0
20110809,3.5727,3.5727,2.7054,3.5537,13247,0
20110810,3.6386,3.6764,3.5821,3.5821,636,0
20110811,3.7518,3.8931,3.0919,3.7046,12202,0
20110812,3.8649,3.8649,3.516,3.7612,5700,0
20110816,3.6764,3.6764,3.5915,3.6669,3565,0
20110817,3.6481,3.6764,3.6481,3.6764,1012,0
20110818,3.7706,3.7706,3.0825,3.5821,4731,0
20110819,3.4407,3.5727,3.2334,3.4407,5378,0
20110822,3.5349,3.5349,3.2805,3.2994,1975,0
20110823,3.3088,3.3088,3.2522,3.2522,1079,0
20110824,3.4972,3.4972,3.1014,3.3182,6129,0
20110825,3.4784,3.4784,3.2051,3.2051,1086,0
20110826,3.3653,3.3653,3.0354,3.2145,1329,0
20110829,3.2522,3.3559,3.2522,3.3371,448,0
20110830,3.3371,3.4878,3.2051,3.403,3797,0
20110831,3.4878,3.4878,3.403,3.403,161,0
20110901,3.4407,3.5349,3.2051,3.5349,5093,0
20110902,3.224,3.6386,3.224,3.6386,1421,0
20110905,3.3371,3.9874,3.2994,3.45,4450,0
20110906,3.4878,3.7423,3.3747,3.3747,854,0
20110907,3.2899,3.4407,3.2899,3.4407,2258,0
20110908,3.5727,3.6198,3.403,3.6103,900,0
20110909,3.6764,3.6764,3.4217,3.4217,721,0
20110912,3.403,3.403,3.3559,3.3559,551,0
20110913,3.0542,3.2994,3.0542,3.2522,300,0
20110914,3.0919,3.2427,3.0919,3.1579,446,0
20110915,3.3935,3.3935,3.0919,3.1579,753,0
20110916,3.2899,3.2899,3.1579,3.2522,831,0
20110919,3.2899,3.2899,2.8375,3.1579,539,0
20110920,3.2899,3.2899,3.1108,3.1108,298,0
