Date,Open,High,Low,Close,Volume,OpenInt
20070912,7.8677,8.583,7.5625,7.5625,497461,0
20070913,7.534,7.8201,7.534,7.8201,73167,0
20070914,7.8201,7.8201,7.5816,7.6007,25675,0
20070917,7.6865,7.7723,7.5244,7.5816,18019,0
20070918,7.4385,7.677,7.3431,7.6294,13058,0
20070919,7.8105,8.0108,7.5911,8.0108,64013,0
20070920,8.0489,8.0489,7.6865,7.9153,67059,0
20070921,7.8201,7.8677,7.7151,7.7151,10740,0
20070924,7.944,7.944,7.7723,7.8201,7754,0
20070925,7.8296,7.8296,7.6294,7.7723,18586,0
20070926,7.7534,7.9153,7.7534,7.9153,75886,0
20070927,7.9153,8.583,7.8677,8.3922,155689,0
20070928,8.297,8.297,7.9632,8.2014,67069,0
20071001,8.2873,8.3732,7.9535,8.1825,28960,0
20071002,8.1825,8.583,8.0871,8.211,37983,0
20071003,8.3445,8.3445,7.7914,8.0489,29010,0
20071004,8.0489,8.0585,7.734,7.9821,22810,0
20071005,7.9632,8.2014,7.9153,8.2014,12568,0
20071008,8.1061,8.2779,8.1061,8.2014,13501,0
20071009,8.2396,8.2396,8.1633,8.2014,7693,0
20071010,8.1156,8.1347,8.0203,8.0775,6182,0
20071011,8.1919,8.2014,8.0871,8.2014,2879,0
20071012,8.2205,8.297,8.1061,8.2873,5133,0
20071015,8.3637,8.3826,8.2586,8.3637,14345,0
20071016,8.2683,8.3637,8.211,8.2873,8192,0
20071017,8.297,8.3732,8.1061,8.3732,8386,0
20071018,8.3732,8.3922,8.2396,8.3637,5517,0
20071019,8.3063,8.4398,8.2014,8.4398,5651,0
20071022,8.421,8.421,8.1252,8.354,11009,0
20071023,8.354,8.3922,8.1061,8.3922,18464,0
20071024,8.354,8.354,8.1539,8.2396,8519,0
20071025,8.2014,8.3922,8.2014,8.3637,8586,0
20071026,8.1156,8.478,8.1156,8.478,25060,0
20071029,8.478,8.6783,8.297,8.6689,21259,0
20071030,8.7547,9.3935,8.7547,9.1075,43594,0
20071031,9.384,9.4406,9.1837,9.2506,14886,0
20071102,9.2409,10.09,8.8785,9.727,26481,0
20071105,10.003,10.013,8.583,8.6879,67025,0
20071106,8.9645,8.9645,8.6879,8.8405,3852,0
20071107,9.0599,9.0599,8.5066,8.6783,13936,0
20071108,8.5639,9.1361,8.1539,8.5639,33978,0
20071109,9.0406,9.0406,8.1728,8.478,19504,0
20071112,8.8596,8.9548,8.2014,8.5544,10154,0
20071113,8.6783,8.6783,8.2205,8.583,277,0
20071114,9.1361,9.1361,8.6783,8.6783,35267,0
20071115,8.85,8.85,8.1061,8.3922,33666,0
20071116,8.2302,8.869,8.2302,8.869,9766,0
20071119,8.9836,8.9836,8.3922,8.3922,11316,0
20071120,8.3922,8.5733,8.2014,8.5733,4062,0
20071121,8.4971,8.4971,8.0108,8.2014,14462,0
20071122,8.3732,8.4877,8.1061,8.4877,7137,0
20071123,8.3922,8.6689,8.3922,8.6689,3072,0
20071126,8.8214,8.9167,8.4877,8.6592,8951,0
20071127,8.8214,8.8214,8.3922,8.583,5109,0
20071128,8.3922,8.6592,8.3922,8.583,1332,0
20071129,8.583,8.6307,8.583,8.583,11246,0
20071130,8.7547,9.2982,8.7547,9.2982,10985,0
20071203,9.2506,9.2506,9.0599,9.2506,1938,0
20071204,9.2409,9.2409,9.2315,9.2315,441,0
20071205,9.3363,9.918,9.2219,9.537,2074,0
20071206,9.508,9.537,9.4316,9.537,13420,0
20071207,9.527,9.537,9.3554,9.537,5907,0
20071210,9.537,9.804,9.2506,9.488,14215,0
20071211,9.479,9.479,9.4691,9.4691,2891,0
20071212,9.2792,9.2792,8.7831,9.0979,15782,0
20071213,9.1361,9.1361,8.583,8.8119,7433,0
20071214,8.583,8.583,8.211,8.4113,22074,0
20071217,8.4113,8.4113,7.6961,8.1728,27439,0
20071218,8.0012,8.0012,7.6294,7.7534,38557,0
20071219,7.7534,7.8201,7.2002,7.8201,72072,0
20071220,7.9535,8.1728,7.8296,8.1728,11087,0
20071221,8.1443,8.3732,7.9153,8.1061,26041,0
20071227,8.1061,8.1061,8.1061,8.1061,1742,0
20071228,7.9917,8.1061,7.9917,8.1061,54805,0
20080102,8.1061,8.3826,8.1061,8.297,3761,0
20080103,8.1252,8.297,7.9153,8.297,9820,0
20080104,8.297,8.297,7.9153,8.0108,4990,0
20080107,8.0108,8.1443,7.4481,8.0012,3993,0
20080108,7.9821,8.1539,7.658,8.1539,8021,0
20080109,7.8296,8.1061,7.8201,8.0871,8962,0
20080110,8.0108,8.0108,7.734,7.9917,6647,0
20080111,7.9632,8.297,7.9632,8.297,5579,0
20080114,8.2873,8.297,7.7247,7.8581,10119,0
20080115,7.6483,7.8391,7.6294,7.8391,4981,0
20080116,7.8201,7.8201,7.1525,7.2956,13981,0
20080117,7.6198,7.6198,7.3145,7.5244,838,0
20080118,7.4862,7.4862,7.1525,7.3431,33793,0
20080121,7.1905,7.4862,7.1525,7.2002,9917,0
20080122,7.3336,7.5625,6.6852,7.4385,24602,0
20080123,7.7817,7.7817,7.3718,7.3909,19378,0
20080124,7.5244,8.583,7.4862,8.583,51352,0
20080125,8.5639,8.583,8.297,8.4877,23390,0
20080128,8.478,8.478,8.1061,8.4398,12124,0
20080129,8.6307,8.6783,8.297,8.583,17931,0
20080130,8.583,8.745,8.583,8.6974,36894,0
20080131,8.6879,9.0599,8.4877,9.0599,49824,0
20080201,9.0501,9.517,8.6879,9.3459,7352,0
20080204,9.1553,9.527,9.1553,9.527,15532,0
20080205,9.527,11.339,9.527,10.013,144058,0
20080206,9.766,10.491,9.537,10.234,25525,0
20080207,10.234,10.243,9.537,10.003,19152,0
20080208,10.185,10.185,9.824,10.157,10323,0
