Date,Open,High,Low,Close,Volume,OpenInt
19971120,12.629,12.629,12.629,12.629,144511,0
19971121,13.124,13.124,13.124,13.124,321926,0
19971124,13.124,13.124,13.124,13.124,111918,0
19971125,12.88,12.88,12.88,12.88,70197,0
19971126,12.713,12.713,12.713,12.713,21205,0
19971127,12.713,12.713,12.713,12.713,12923,0
19971128,12.955,12.955,12.955,12.955,56724,0
19971201,13.208,13.208,13.208,13.208,76217,0
19971202,13.451,13.451,13.451,13.451,79747,0
19971203,13.534,13.534,13.534,13.534,162218,0
19971204,13.778,13.778,13.778,13.778,119138,0
19971205,14.104,14.104,14.104,14.104,244254,0
19971208,14.601,14.601,14.601,14.601,235523,0
19971209,14.433,14.433,14.433,14.433,227414,0
19971210,14.348,14.348,14.348,14.348,75554,0
19971211,14.272,14.272,14.272,14.272,142329,0
19971212,14.104,14.104,14.104,14.104,153010,0
19971215,14.189,14.189,14.189,14.189,47165,0
19971216,14.348,14.348,14.348,14.348,61272,0
19971217,14.433,14.433,14.433,14.433,62503,0
19971218,14.104,14.104,14.104,14.104,50711,0
19971219,14.272,14.272,14.272,14.272,128840,0
19971222,14.104,14.104,14.104,14.104,77933,0
19971223,14.272,14.272,14.272,14.272,49036,0
19971229,14.433,14.433,14.433,14.433,117736,0
19971230,14.433,14.433,14.433,14.433,87905,0
19971231,14.601,14.601,14.601,14.601,102886,0
19980105,14.684,14.684,14.684,14.684,88108,0
19980106,14.76,14.76,14.76,14.76,192163,0
19980107,14.76,14.76,14.76,14.76,88367,0
19980108,15.012,15.012,15.012,15.012,129606,0
19980109,15.087,15.087,15.087,15.087,121520,0
19980112,14.601,14.601,14.601,14.601,54093,0
19980113,14.601,14.601,14.601,14.601,64294,0
19980114,14.76,14.76,14.76,14.76,68277,0
19980115,14.844,14.844,14.844,14.844,26999,0
19980116,14.76,14.76,14.76,14.76,35555,0
19980119,15.012,15.012,15.012,15.012,53688,0
19980120,15.087,15.087,15.087,15.087,88180,0
19980121,15.087,15.087,15.087,15.087,57459,0
19980122,15.012,15.012,15.012,15.012,31270,0
19980123,15.012,15.012,15.012,15.012,13310,0
19980126,15.087,15.087,15.087,15.087,101308,0
19980127,15.087,15.087,15.087,15.087,35593,0
19980128,15.172,15.172,15.172,15.172,86989,0
19980129,15.254,15.254,15.254,15.254,24596,0
19980130,15.582,15.582,15.582,15.582,103389,0
19980202,16.077,16.077,16.077,16.077,119391,0
19980203,16.404,16.404,16.404,16.404,99955,0
19980204,16.404,16.404,16.404,16.404,116171,0
19980205,16.321,16.321,16.321,16.321,35673,0
19980206,16.077,16.077,16.077,16.077,90141,0
19980209,16.891,16.891,16.891,16.891,119111,0
19980210,17.302,17.302,17.302,17.302,88358,0
19980211,16.975,16.975,16.975,16.975,29394,0
19980212,17.143,17.143,17.143,17.143,54174,0
19980213,18.041,18.041,18.041,18.041,157599,0
19980216,18.862,18.862,18.862,18.862,148043,0
19980217,19.685,19.685,19.685,19.685,129561,0
19980218,19.685,19.685,19.685,19.685,119152,0
19980219,19.685,19.685,19.685,19.685,91012,0
19980220,19.19,19.19,19.19,19.19,41396,0
19980223,19.685,19.685,19.685,19.685,75580,0
19980224,20.096,20.096,20.096,20.096,476612,0
