Date,Open,High,Low,Close,Volume,OpenInt
20090209,27.659,27.659,27.659,27.659,62,0
20090210,27.659,27.659,27.659,27.659,28,0
20090211,27.659,27.659,27.659,27.659,22,0
20090212,28.004,28.004,28.004,28.004,5,0
20090213,28.35,28.35,28.35,28.35,5,0
20090216,28.523,28.523,28.523,28.523,5,0
20090217,28.523,28.523,28.523,28.523,5,0
20090218,28.523,28.523,28.523,28.523,5,0
20090219,28.523,28.523,28.523,28.523,5,0
20090220,28.523,28.523,28.264,28.264,4,0
20090223,26.795,28.35,25.929,28.35,24,0
20090224,28.35,28.35,28.35,28.35,2,0
20090225,28.35,28.35,28.35,28.35,2,0
20090226,28.436,28.436,28.436,28.436,1,0
20090227,28.436,28.436,28.436,28.436,1,0
20090305,28.436,28.523,28.436,28.523,3,0
20090306,29.215,29.215,29.215,29.215,1,0
20090310,28.35,29.386,28.35,29.386,14,0
20090311,29.819,29.906,29.819,29.906,10,0
20090312,29.906,29.906,29.906,29.906,1,0
20090313,29.906,29.906,29.906,29.906,1,0
20090316,29.819,29.819,29.819,29.819,1,0
20090318,29.819,29.819,29.819,29.819,1,0
20090319,29.819,29.819,29.819,29.819,1,0
20090320,29.819,29.819,29.819,29.819,1,0
20090323,29.819,29.819,27.659,29.819,14,0
20090324,29.819,29.819,29.819,29.819,1,0
20090325,29.819,29.819,26.795,29.819,14,0
20090326,29.819,29.819,29.819,29.819,1,0
20090327,29.819,29.819,29.819,29.819,1,0
20090331,29.819,29.819,29.819,29.819,1,0
20090401,29.819,29.819,29.819,29.819,1,0
20090406,29.828,29.828,28.091,29.828,581,0
20090407,29.837,29.837,29.837,29.837,1,0
20090408,29.854,29.854,29.854,29.854,1,0
20090409,29.862,29.862,29.862,29.862,1,0
20090414,28.523,28.523,28.523,28.523,1156,0
20090415,29.854,29.854,29.854,29.854,1,0
20090416,29.854,29.854,29.854,29.854,1,0
20090417,29.854,29.854,29.854,29.854,1,0
20090420,29.854,29.862,29.854,29.862,14,0
20090421,26.795,28.523,26.795,28.523,24,0
20090423,28.523,29.897,27.744,29.872,25,0
20090424,29.041,29.215,26.795,29.215,2905,0
20090428,29.215,29.215,29.215,29.215,9,0
20090430,29.897,29.897,29.897,29.897,9,0
20090504,27.831,28.523,27.667,28.523,316,0
20090507,28.523,28.523,28.523,28.523,13,0
20090508,27.659,27.659,26.967,27.659,577,0
20090511,26.795,26.795,26.795,26.795,116,0
20090512,26.795,26.795,26.795,26.795,152,0
20090513,26.795,26.795,26.795,26.795,116,0
20090514,26.795,26.795,26.795,26.795,79,0
20090515,26.795,26.795,26.795,26.795,5,0
20090518,26.795,26.795,26.795,26.795,5,0
20090519,26.795,26.795,26.795,26.795,1,0
20090520,26.795,26.795,26.795,26.795,37,0
20090521,26.795,26.795,26.795,26.795,1,0
20090522,26.795,26.795,26.795,26.795,1,0
20090525,26.795,26.795,26.795,26.795,2,0
20090526,26.795,26.795,26.795,26.795,1,0
20090527,26.795,26.795,26.795,26.795,1,0
20090528,26.795,26.795,26.795,26.795,1,0
20090529,26.795,26.795,26.795,26.795,1,0
20090601,26.795,26.795,26.795,26.795,1,0
20090602,26.795,26.795,26.795,26.795,1,0
20090603,26.795,26.795,26.795,26.795,1,0
20090604,26.795,26.795,26.795,26.795,1,0
20090605,26.795,26.795,26.795,26.795,1,0
20090608,26.795,26.795,25.066,25.066,24,0
20090609,25.066,25.066,21.609,22.905,350,0
20090610,20.744,22.905,20.744,22.905,74,0
20090616,22.472,22.472,22.472,22.472,1,0
20090617,22.472,22.472,22.472,22.472,1,0
20090618,22.472,22.472,22.472,22.472,1,0
20090619,22.472,22.472,17.978,19.88,2608,0
20090622,19.871,19.88,18.151,19.88,181,0
20090623,19.871,19.871,19.871,19.871,1,0
20090624,19.871,19.871,19.871,19.871,1,0
20090625,19.871,19.871,17.287,17.287,261,0
20090626,17.287,17.287,17.287,17.287,1,0
20090629,17.287,17.287,17.287,17.287,1,0
20090630,17.287,17.287,17.287,17.287,1,0
20090703,14.694,14.694,14.694,14.694,173,0
20090724,15.557,16.855,14.866,16.855,173,0
20090727,16.855,16.855,16.855,16.855,5,0
20090810,16.855,18.065,16.855,18.065,58,0
20090811,18.056,18.056,18.056,18.056,1,0
20090812,18.056,18.056,18.056,18.056,1,0
20090813,18.056,18.056,18.056,18.056,1,0
20090814,18.056,18.056,18.056,18.056,1,0
20090817,18.056,18.056,18.056,18.056,1,0
20090818,18.056,18.056,18.056,18.056,1,0
20090819,15.557,18.056,15.557,18.056,128,0
20090820,18.056,18.056,18.056,18.056,1,0
20090821,18.065,18.065,18.056,18.065,18,0
20090827,17.287,17.287,17.287,17.287,5,0
