Date,Open,High,Low,Close,Volume,OpenInt
20130718,170.61,183.72,170.61,183.26,1168,0
20130719,183.17,183.26,183.17,183.26,192,0
20130722,183.26,183.26,178.68,183.26,224,0
20130723,178.68,183.26,178.68,183.26,308,0
20130724,184.18,184.18,183.26,183.72,243,0
20130725,183.26,183.26,183.26,183.26,38,0
20130726,183.26,183.26,183.26,183.26,50,0
20130729,183.26,183.26,183.26,183.26,10,0
20130730,183.26,183.45,183.26,183.36,55,0
20130731,184.09,189.59,184.09,189.59,707,0
20130801,187.75,189.68,187.75,189.68,128,0
20130802,191.06,192.43,190.59,190.59,71,0
20130805,194.26,194.26,194.26,194.26,15,0
20130806,193.34,193.34,190.59,190.59,63,0
20130808,190.59,190.59,189.86,189.86,8,0
20130809,190.59,192.43,190.59,192.43,239,0
20130812,190.59,192.43,190.59,192.43,31,0
20130814,192.43,192.89,192.43,192.43,211,0
20130816,192.43,192.43,192.43,192.43,29,0
20130819,192.43,192.43,190.59,191.01,136,0
20130820,189.86,189.86,185.56,185.56,152,0
20130822,183.63,184.18,178.68,184.18,287,0
20130823,184.18,184.18,183.26,183.26,277,0
20130826,186.94,186.94,183.26,183.26,353,0
20130827,184.18,184.18,183.26,183.26,59,0
20130828,181.48,183.26,181.43,183.26,145,0
20130829,184.18,184.18,184.18,184.18,10,0
20130830,188.8,188.8,188.8,188.8,7,0
20130902,188.75,188.75,188.75,188.75,10,0
20130903,188.75,194.17,185.15,186.52,740,0
20130904,186.97,186.97,186.97,186.97,76,0
20130905,186.97,187.38,186.94,186.94,136,0
20130906,187.38,187.38,187.38,187.38,5,0
20130909,187.85,189.68,187.85,187.85,43,0
20130910,187.85,187.85,187.85,187.85,33,0
20130911,186.97,186.97,186.97,186.97,15,0
20130912,187.85,187.85,186.97,186.97,104,0
20130913,186.94,189.68,186.94,189.68,158,0
20130916,189.68,191.51,189.68,191.51,61,0
20130917,191.51,193.34,191.14,192.43,453,0
20130918,187.85,197.93,187.85,197.01,616,0
