Date,Open,High,Low,Close,Volume,OpenInt
20150708,9.857,9.857,9.857,9.857,549,0
20150709,9.857,9.857,9.809,9.809,13632,0
20150710,10.094,10.153,9.956,9.956,5159,0
20150713,9.956,10.203,9.956,10.203,14425,0
20150714,10.35,10.449,10.203,10.4,11056,0
20150715,10.449,10.449,10.449,10.449,21101,0
20150716,10.518,10.626,10.518,10.626,26653,0
20150717,10.666,10.744,10.646,10.646,7357,0
20150720,10.696,10.844,10.696,10.844,3065,0
20150721,10.844,10.844,10.567,10.735,2372,0
20150722,10.449,10.449,10.449,10.449,2840,0
20150723,10.548,10.558,10.548,10.558,152,0
20150724,10.34,10.34,10.34,10.34,60,0
20150728,10.548,10.548,10.41,10.41,99,0
20150729,10.41,10.646,10.173,10.548,576,0
20150730,10.548,10.548,10.548,10.548,15242,0
20150731,10.626,10.626,10.173,10.173,5098,0
20150803,10.35,10.35,10.35,10.35,21503,0
20150804,10.548,10.548,10.548,10.548,20340,0
20150805,10.301,10.35,10.301,10.35,13835,0
20150806,10.36,10.36,10.36,10.36,10,0
20150807,10.439,10.548,10.439,10.548,2283,0
20150810,10.597,10.597,10.548,10.548,381,0
20150811,10.469,10.469,10.469,10.469,47,0
20150812,10.449,10.449,10.35,10.35,7000,0
20150813,10.469,10.597,10.469,10.597,144,0
20150818,10.538,10.538,10.538,10.538,507,0
20150819,10.448,10.756,10.438,10.438,349,0
20150820,10.438,10.478,10.438,10.468,1885,0
20150824,9.952,10.428,9.922,10.329,22019,0
20150825,10.329,10.329,10.279,10.329,19146,0
20150828,10.329,10.428,10.329,10.428,10513,0
20150831,10.478,10.577,10.428,10.577,7844,0
20150901,10.577,10.577,10.428,10.538,4082,0
20150902,10.567,10.567,10.558,10.558,6490,0
20150903,10.528,10.577,10.528,10.577,18155,0
20150904,10.428,10.428,10.428,10.428,8045,0
20150907,10.13,10.548,10.031,10.488,1641,0
20150908,10.329,10.409,10.081,10.409,71235,0
20150910,10.329,10.329,10.329,10.329,292,0
20150911,10.329,10.538,10.329,10.508,11870,0
20150914,10.508,10.508,10.23,10.428,6557,0
20150915,10.488,10.488,10.428,10.468,1860,0
20150916,10.468,10.468,10.389,10.389,1286,0
20150917,10.418,10.418,10.349,10.349,6156,0
20150918,10.329,10.329,10.329,10.329,698,0
20150921,10.329,10.329,10.279,10.279,563,0
20150922,10.279,10.329,10.279,10.329,3144,0
20150923,10.329,10.329,10.329,10.329,622,0
20150924,10.399,10.528,10.269,10.528,41281,0
20150925,10.279,10.359,10.279,10.359,801,0
20150928,10.428,10.428,10.379,10.379,1634,0
20150929,10.428,10.428,10.428,10.428,10,0
20150930,10.418,10.428,10.418,10.428,20,0
20151001,10.418,10.508,10.339,10.428,29957,0
20151002,10.518,10.518,10.428,10.428,60280,0
20151005,10.428,10.518,10.389,10.428,3146,0
20151006,10.428,10.716,10.299,10.677,39225,0
20151007,10.677,10.677,10.577,10.657,3286,0
20151008,10.657,10.677,10.428,10.627,1218,0
20151009,10.677,10.677,10.538,10.677,2253,0
20151012,10.677,10.875,10.667,10.865,2191,0
20151013,10.826,11.372,10.826,11.372,19126,0
20151015,11.213,11.223,11.024,11.223,725,0
20151016,11.024,11.372,10.726,11.352,7261,0
20151019,11.432,11.869,11.432,11.819,29119,0
20151020,11.819,11.819,11.372,11.372,8462,0
20151021,11.372,11.372,11.084,11.322,7519,0
20151022,11.223,11.422,11.223,11.422,25677,0
20151023,11.422,11.541,11.422,11.541,1953,0
20151026,11.024,11.541,11.024,11.541,86,0
20151027,11.521,11.819,11.322,11.769,3939,0
20151028,11.223,11.72,11.223,11.72,5067,0
20151029,11.7,11.72,11.521,11.7,5864,0
20151030,11.7,11.72,11.461,11.72,1704,0
20151102,11.67,11.779,11.67,11.779,6432,0
20151103,11.72,11.72,11.223,11.72,979,0
20151104,11.7,11.7,11.233,11.7,227,0
20151105,11.67,11.7,11.253,11.7,1033,0
20151106,11.273,11.67,11.263,11.67,1103,0
20151109,11.66,11.66,11.66,11.66,101,0
20151110,11.263,11.66,11.243,11.66,4781,0
20151113,11.422,11.62,11.223,11.62,8066,0
20151116,11.372,11.561,10.25,11.561,7893,0
20151117,11.372,11.62,11.372,11.62,5993,0
20151118,11.521,11.62,11.521,11.62,4038,0
20151119,11.61,11.71,11.6,11.71,68782,0
20151120,11.7,11.7,11.7,11.7,77,0
20151124,11.233,11.571,11.223,11.571,3778,0
20151125,11.62,11.62,11.62,11.62,1,0
20151126,11.422,11.7,11.223,11.62,3046,0
20151127,11.163,11.322,10.329,11.322,2046,0
20151130,11.571,11.571,11.124,11.571,3438,0
20151201,11.67,11.67,11.223,11.571,899,0
20151203,10.975,11.422,10.975,11.422,122,0
20151204,11.173,11.471,11.124,11.471,7285,0
20151207,11.571,11.571,11.034,11.571,1701,0
20151208,11.62,11.62,11.62,11.62,1,0
20151209,11.422,11.62,10.726,11.62,6452,0
20151210,11.67,11.67,11.134,11.422,4378,0
20151211,11.65,11.65,11.034,11.422,2849,0
20151214,11.451,11.451,10.975,11.273,14478,0
20151215,11.432,11.451,10.637,11.372,46595,0
20151216,11.432,11.521,11.432,11.501,3022,0
20151217,11.501,11.511,11.501,11.511,2,0
20151218,11.034,11.223,10.697,11.223,15185,0
20151221,11.422,11.422,10.925,10.925,6184,0
20151222,11.312,11.312,10.796,10.925,4854,0
20151223,11.243,11.243,10.796,11.163,5705,0
20151228,11.163,11.273,10.925,11.273,13392,0
20151229,11.223,11.223,11.213,11.223,12765,0
20151230,11.322,11.322,10.627,11.124,74156,0
20160104,11.521,11.521,10.975,11.213,935,0
20160105,10.726,11.163,10.726,11.124,1911,0
20160111,10.756,10.756,9.733,10.428,12431,0
20160112,10.915,10.915,10.22,10.22,1058,0
20160113,10.637,10.637,9.981,10.23,12163,0
20160114,10.031,10.031,10.031,10.031,1007,0
20160115,10.13,10.577,9.932,10.548,12622,0
20160118,10.488,10.488,10.13,10.418,2391,0
20160119,10.379,10.379,9.932,10.379,447,0
20160120,10.379,10.379,10.379,10.379,208,0
20160121,9.932,10.23,9.932,10.23,909,0
20160122,10.379,10.379,9.882,9.882,2251,0
20160125,10.379,10.379,9.981,10.349,669,0
20160126,10.329,10.329,9.535,10.011,3730,0
20160127,9.535,10.081,9.535,10.031,3820,0
20160128,10.031,10.031,9.4352,9.922,531,0
20160129,9.4352,10.031,9.4352,9.912,116,0
20160201,9.4352,9.823,8.9486,9.1373,1124,0
20160202,9.1373,9.733,9.038,9.723,38884,0
20160203,9.823,9.823,9.038,9.674,81908,0
20160204,8.9486,9.684,8.9486,9.674,249,0
20160205,9.634,9.684,9.2862,9.684,27519,0
20160208,9.684,9.684,9.0876,9.634,24,0
20160209,9.634,9.674,9.4352,9.4849,692,0
20160210,9.4849,9.634,9.4849,9.634,4563,0
20160211,9.535,9.684,9.3359,9.684,3187,0
