Date,Open,High,Low,Close,Volume,OpenInt
20140416,33.344,34.047,33.344,34,245542,0
20140417,34,34.263,34,34.124,15512,0
20140422,34.154,34.154,33.962,34.116,4775,0
20140423,34.116,34.154,34.116,34.116,3518,0
20140424,34.116,34.116,34.085,34.085,22059,0
20140425,34.085,34.085,31.114,33.962,130588,0
20140428,33.923,34.047,33.036,34.047,26409,0
20140429,34.047,34.047,33.962,34.047,6380,0
20140430,33.962,34.348,33.962,34.348,35372,0
20140502,34.301,34.301,34.193,34.193,65,0
20140505,33.962,33.962,32.472,33.197,102,0
20140506,33.197,33.197,31.653,33.182,2320,0
20140507,31.684,33.938,30.202,33.938,26370,0
20140508,31.839,33.846,31.839,33.799,714,0
20140509,32.009,32.009,31.646,31.731,22478,0
20140512,31.723,31.723,30.951,30.951,11599,0
20140513,31.531,31.646,30.951,30.959,35514,0
20140514,30.967,32.65,30.967,32.65,9354,0
20140515,32.65,32.65,32.65,32.65,26,0
20140516,32.796,33.46,31.886,32.866,1240,0
20140519,33.19,33.962,32.811,33.962,2873,0
20140520,33.962,34.263,33.884,34.263,1872,0
20140521,34.039,34.27,33.962,33.962,52673,0
20140522,33.962,34.193,33.884,34.193,4553,0
20140523,34.193,34.193,33.19,34.193,42284,0
20140526,32.804,33.962,32.418,33.962,442,0
20140527,33.19,34.101,33.19,34.101,2709,0
20140528,33.962,33.962,33.884,33.962,630,0
20140529,33.962,33.962,33.962,33.962,648,0
20140530,32.65,33.962,32.65,33.962,874,0
20140602,33.962,33.962,33.962,33.962,333,0
20140609,32.65,33.884,32.418,33.884,1959,0
20140610,33.576,33.576,33.19,33.19,14251,0
20140611,33.174,33.19,32.603,33.143,3542,0
20140612,33.19,33.19,33.19,33.19,3886,0
20140613,33.19,33.19,33.19,33.19,12220,0
20140616,32.804,33.174,32.804,33.174,2073,0
20140617,33.182,33.19,31.106,33.182,4081,0
20140618,33.19,33.576,33.19,33.19,140747,0
20140620,33.221,33.962,33.221,33.962,29685,0
20140623,33.962,33.962,33.19,33.19,47312,0
20140624,32.394,33.954,32.394,33.954,459,0
20140625,33.19,33.19,33.19,33.19,60024,0
20140626,32.526,33.576,32.526,32.804,51470,0
20140630,32.726,33.19,32.726,33.19,1009,0
20140701,32.449,32.449,32.449,32.449,1,0
20140702,32.503,33.337,32.418,33.337,882,0
20140704,33.182,33.337,33.182,33.337,365,0
20140707,30.025,33.576,30.025,33.576,828,0
20140708,33.19,33.19,31.971,31.971,309,0
20140709,32.418,32.418,32.418,32.418,713,0
20140715,32.418,32.418,31.886,32.032,514,0
20140716,32.264,32.264,31.878,32.264,349,0
20140721,31.878,31.878,31.646,31.646,22532,0
20140723,32.688,32.688,32.688,32.688,43,0
20140725,31.646,32.665,30.565,32.665,195,0
20140728,32.65,32.673,32.65,32.673,915,0
20140729,32.418,32.418,32.418,32.418,73,0
20140730,31.661,32.418,31.653,32.418,537,0
20140731,32.418,32.418,32.418,32.418,976,0
20140801,32.418,32.418,32.418,32.418,49,0
20140804,32.418,32.418,32.418,32.418,126,0
20140805,32.418,32.418,32.418,32.418,26,0
20140806,31.653,32.804,30.882,32.804,2600,0
20140807,31.661,31.661,31.646,31.646,65,0
20140811,32.341,32.418,31.646,31.646,751,0
20140812,31.306,32.418,31.306,32.41,686,0
20140813,31.306,32.611,29.639,32.379,5407,0
20140814,32.379,32.418,32.379,32.418,777,0
20140819,31.646,32.256,29.246,32.109,1551,0
20140820,32.418,32.418,32.418,32.418,648,0
20140826,31.808,32.418,31.808,32.418,276,0
20140827,32.58,33.19,31.808,33.19,8956,0
20140902,33.112,33.112,33.112,33.112,492,0
20140903,31.808,33.151,31.808,32.688,590,0
20140904,32.726,33.653,32.726,33.653,1624,0
20140905,33.645,33.645,33.645,33.645,10,0
20140908,33.036,34.348,33.036,34.348,81901,0
20140909,34.232,35.12,34.232,34.757,29206,0
20140910,34.803,35.506,34.803,35.506,7846,0
20140911,35.575,36.664,35.575,36.278,21165,0
20140912,37.049,37.126,36.354,37.049,129642,0
20140915,37.435,37.435,37.034,37.034,658,0
20140916,37.049,37.049,35.506,37.049,6639,0
20140917,37.435,37.435,36.278,37.049,14213,0
20140918,37.049,37.435,36.817,37.435,32177,0
20140919,37.821,38.593,37.821,38.23,63354,0
20140922,38.593,39.365,38.4,38.979,3537,0
20140923,39.349,39.349,38.523,38.593,9754,0
20140924,38.546,38.979,38.245,38.245,18655,0
20140925,38.207,38.979,38.207,38.747,4816,0
20140926,37.435,38.979,37.435,38.979,47475,0
20140929,39.365,40.137,38.608,38.608,21421,0
20140930,38.624,39.442,38.593,39.365,2273,0
20141001,39.365,39.365,39.365,39.365,13,0
20141003,38.747,39.349,35.892,38.207,622,0
20141006,35.12,39.21,35.12,39.21,41,0
20141007,38.593,38.593,38.593,38.593,38,0
20141008,37.435,38.593,37.435,38.593,1347,0
20141009,37.512,38.979,37.512,38.593,75421,0
20141013,37.821,38.979,37.821,38.593,971,0
20141014,38.508,38.508,38.508,38.508,60,0
20141015,37.813,38.515,36.933,38.515,50171,0
20141016,36.972,38.515,36.972,38.515,674,0
20141020,37.281,38.508,37.281,38.508,1693,0
20141021,38.439,38.593,38.439,38.593,42021,0
20141022,38.593,38.593,38.207,38.593,39033,0
20141023,38.585,38.593,38.585,38.593,4579,0
20141024,38.971,39.287,38.971,39.287,7547,0
20141027,38.523,39.287,38.523,39.287,1347,0
20141028,38.284,39.21,38.284,39.21,152,0
20141029,38.979,39.287,38.6,39.287,7787,0
20141030,38.624,39.287,38.593,39.287,907,0
20141031,39.249,39.249,39.249,39.249,65,0
20141103,39.233,39.233,39.233,39.233,26,0
20141104,39.21,39.21,39.21,39.21,699,0
20141105,39.041,39.041,39.041,39.041,78,0
20141106,38.979,39.041,38.979,39.041,2482,0
20141107,39.017,42.452,39.017,42.445,6604,0
20141110,42.375,44.768,41.039,42.452,7481,0
20141112,42.452,43.98,42.452,43.2,2279,0
20141113,42.769,42.769,41.302,42.375,855,0
20141114,41.062,41.681,40.909,40.909,151,0
20141117,39.442,41.681,39.442,41.681,52,0
20141118,41.673,42.367,40.291,42.344,5961,0
20141119,42.336,42.336,41.603,41.603,6704,0
20141120,42.367,42.367,41.603,41.681,2230,0
20141121,41.295,41.935,41.295,41.935,850,0
20141124,41.912,41.935,40.554,41.681,1360,0
20141125,41.681,41.935,40.963,41.889,804,0
20141126,42.135,42.135,41.117,41.834,617,0
20141127,41.834,41.834,41.681,41.681,743,0
20141128,41.603,41.603,41.526,41.603,555,0
20141201,41.603,41.603,41.526,41.526,59,0
20141202,41.681,42.452,41.526,41.526,648,0
20141203,42.375,42.375,42.336,42.336,512,0
20141204,41.989,41.989,41.989,41.989,176,0
20141205,41.912,41.95,41.526,41.95,298,0
20141209,41.95,41.95,41.681,41.681,713,0
20141211,41.665,41.912,41.526,41.526,1387,0
20141212,41.526,41.681,41.526,41.603,233,0
20141215,41.912,41.912,41.912,41.912,1296,0
20141216,41.526,41.912,41.295,41.448,918,0
20141217,41.364,41.912,41.364,41.834,1103,0
20141218,41.873,41.873,41.31,41.603,5180,0
20141219,41.603,41.681,41.295,41.295,1573,0
20141222,41.642,41.642,41.024,41.295,548,0
20141223,41.024,41.024,40.754,40.754,570,0
20141229,41.295,41.295,40.754,40.909,221,0
20141230,41.295,41.295,40.909,40.909,1425,0
20150102,39.658,41.295,39.658,40.291,1313,0
20150105,41.295,41.295,40.291,41.295,88,0
20150107,41.295,41.295,40.6,40.6,136,0
20150108,40.654,41.349,40.6,40.6,159,0
20150109,41.681,41.681,41.603,41.681,292,0
20150113,40.731,40.731,40.731,40.731,1,0
20150114,40.762,40.762,40.762,40.762,128,0
20150115,40.792,40.792,40.291,40.291,293,0
20150116,40.291,40.291,38.6,40.113,259402,0
20150119,38.6,40.137,38.593,39.318,534,0
20150120,39.365,39.828,37.165,37.165,328,0
20150121,37.134,39.326,37.134,39.326,119,0
20150122,37.134,39.365,37.134,39.365,34,0
20150123,40.137,40.137,38.593,40.059,1865,0
20150126,39.365,40.137,37.821,37.821,1092,0
20150127,37.18,39.357,37.18,39.357,95,0
20150128,37.056,39.341,37.049,38.901,250,0
20150129,37.898,39.365,37.898,39.365,201,0
20150130,39.365,39.512,39.365,39.365,2793,0
20150202,39.365,39.365,38.901,39.365,736,0
20150203,39.558,40.6,38.901,38.901,2471,0
20150204,38.979,38.979,38.863,38.979,935,0
20150205,40.561,40.561,38.901,38.979,1808,0
20150206,38.901,38.901,38.863,38.901,998,0
20150209,38.901,38.979,38.593,38.901,749,0
20150210,37.821,37.821,37.049,37.049,119920,0
20150211,37.049,37.281,36.431,37.049,963,0
20150212,37.049,39.365,37.049,39.365,801,0
20150213,37.072,39.365,37.072,38.979,67,0
20150216,38.979,38.979,38.979,38.979,166,0
20150217,38.979,38.979,38.971,38.971,1353,0
20150218,38.979,38.979,38.593,38.593,697,0
20150219,38.515,38.515,37.821,37.821,275,0
20150220,37.898,38.593,37.435,38.593,4351,0
20150223,38.979,38.979,38.786,38.971,2371,0
20150224,38.979,39.751,38.979,39.751,4041,0
20150225,39.635,39.635,38.971,39.635,879,0
20150226,38.979,38.979,38.901,38.979,1729,0
20150227,39.673,40.484,37.628,38.593,2460,0
20150302,39.365,39.365,39.365,39.365,93,0
20150303,39.751,39.751,39.365,39.365,437,0
20150304,39.365,39.365,38.979,38.979,304,0
20150305,38.979,39.365,38.979,38.979,227,0
20150306,39.751,40.137,39.365,39.751,3256,0
20150309,40.137,40.137,38.593,39.357,29448,0
20150310,39.357,40.051,38.979,39.357,15071,0
20150311,39.442,39.735,38.585,39.21,3413,0
20150312,39.673,39.743,39.365,39.365,5235,0
20150313,39.38,39.751,38.901,39.365,6443,0
20150316,39.604,39.751,39.141,39.357,6856,0
20150317,39.365,39.372,38.979,39.365,1843,0
20150318,39.365,39.365,38.94,39.287,1526,0
20150319,39.665,39.665,38.979,39.287,8236,0
20150320,39.365,39.596,38.979,39.596,56675,0
20150323,40.137,40.515,39.905,40.137,6061,0
20150324,40.53,41.295,39.751,40.129,49745,0
20150325,40.523,41.487,39.596,40.121,14078,0
20150326,40.137,40.137,39.99,40.137,21531,0
20150327,40.137,40.523,40.021,40.137,78634,0
20150330,40.137,40.137,39.751,40.137,8705,0
20150331,40.137,40.137,39.982,40.137,4674,0
20150401,40.746,41.271,39.828,40.098,14263,0
20150402,40.137,40.137,39.836,39.859,14958,0
20150407,40.137,40.137,40.067,40.067,80569,0
20150408,40.137,40.137,40.021,40.098,9745,0
20150409,40.137,40.407,38.901,40.059,16621,0
20150410,40.129,40.137,39.365,39.751,183209,0
20150413,40.378,40.378,39.415,39.415,10982,0
20150414,39.544,39.802,38.685,38.685,68250,0
20150415,38.693,39.372,38.281,38.281,15932,0
20150416,38.667,39.028,36.364,37.49,75668,0
20150417,37.954,39.536,37.954,39.536,47496,0
20150420,39.802,40.309,38.771,39.114,58645,0
20150421,39.114,39.544,38.857,39.114,61167,0
20150422,39.536,39.544,38.771,39.415,78082,0
20150423,39.372,39.501,39.2,39.458,113413,0
20150424,39.544,41.006,39.381,40.619,31739,0
20150427,40.662,41.178,40.413,40.834,10180,0
20150428,40.834,41.092,40.189,40.198,29967,0
20150429,40.395,40.49,39.553,39.553,37043,0
20150430,39.63,40.146,38.9,40.06,52785,0
20150504,40.275,40.834,39.888,40.834,50005,0
20150505,40.842,41.676,40.834,41.264,57388,0
20150506,41.436,42.381,41.289,42.123,58371,0
20150507,42.287,42.416,41.375,41.393,79480,0
20150508,41.736,41.934,41.736,41.934,19910,0
20150511,41.934,42.037,41.736,41.951,5203,0
20150512,42.123,42.123,41.805,41.848,21754,0
20150513,41.831,42.209,41.831,42.123,19788,0
20150514,40.404,40.997,39.63,40.765,9611,0
20150515,40.498,40.817,40.49,40.584,7309,0
20150518,40.404,40.404,40.112,40.404,1231,0
20150519,40.619,40.619,39.544,40.404,9567,0
20150520,40.404,40.662,39.888,40.584,4887,0
20150521,40.61,41.393,40.593,41.264,5623,0
20150522,41.35,41.375,40.619,40.619,4650,0
20150525,41.135,41.135,40.189,40.189,2978,0
20150526,40.172,40.318,39.974,40.06,3118,0
20150527,39.888,40.318,39.63,39.974,3757,0
20150528,40.404,40.404,39.974,40.361,37694,0
20150529,40.395,40.395,39.974,39.974,1441,0
20150601,39.639,40.301,39.639,39.931,42935,0
20150602,40.318,40.318,39.544,39.88,4604,0
20150603,39.845,39.974,38.865,39.286,26743,0
20150605,39.286,39.286,38.779,39.269,597,0
20150608,38.865,39.157,38.306,38.771,75117,0
20150609,38.341,38.685,37.318,37.988,2902,0
20150610,37.971,37.971,36.123,36.664,54409,0
20150611,36.965,37.154,36.621,36.793,91424,0
20150612,36.793,37.395,36.664,36.965,62504,0
20150615,36.793,36.974,36.793,36.793,24346,0
20150616,37.154,37.154,36.535,36.535,998,0
20150617,36.535,36.965,34.825,36.097,25937,0
20150618,35.521,36.965,35.521,36.965,18761,0
20150619,36.965,37.258,36.106,36.518,45900,0
20150622,36.957,36.965,36.106,36.106,5463,0
20150623,36.114,37.653,36.106,36.535,23677,0
20150624,36.914,37.378,36.106,37.378,10396,0
20150625,36.664,37.395,36.664,37.387,1341,0
20150626,37.051,37.266,36.733,37.266,61002,0
20150629,35.512,36.707,35.504,36.707,6757,0
20150630,36.621,37.137,36.106,36.192,4784,0
20150701,36.931,36.965,36.321,36.965,8261,0
20150702,36.278,37.481,36.278,37.481,37881,0
20150703,36.982,37.43,36.639,36.957,3679,0
20150706,36.295,37.481,36.295,37.309,2582,0
20150707,37.309,37.395,36.535,36.535,16838,0
20150708,36.364,36.819,35.418,35.659,14239,0
20150709,35.65,36.106,35.246,35.684,17209,0
20150710,36.106,36.518,35.702,36.149,23664,0
20150713,35.676,37.825,35.676,36.931,75527,0
20150714,36.931,37.687,36.553,36.974,37062,0
