Date,Open,High,Low,Close,Volume,OpenInt
20140625,30.95,30.95,28.509,28.509,98312,0
20140626,28.595,30.348,28.595,29.557,16481,0
20140627,29.626,30.09,29.618,29.695,2397,0
20140630,29.712,30.082,29.712,29.918,2094,0
20140701,30.013,30.013,29.652,29.661,382,0
20140702,29.79,29.79,29.11,29.231,38864,0
20140703,29.231,29.231,28.982,29.231,5723,0
20140704,29.231,30.09,29.231,30.09,217,0
20140707,30.082,30.082,29.231,29.231,32884,0
20140708,29.231,29.231,29.222,29.231,1370,0
20140709,29.17,29.17,29.11,29.11,116,0
20140710,29.11,29.11,28.895,28.895,88,0
20140711,28.887,28.887,28.801,28.887,110,0
20140714,29.05,29.059,29.05,29.059,6852,0
20140715,28.895,29.231,28.895,29.231,128,0
20140716,29.231,29.231,28.973,28.973,17,0
20140717,28.904,29.059,28.715,29.059,530,0
20140718,28.637,28.637,28.629,28.629,6190,0
20140721,28.862,28.964,28.672,28.672,4646,0
20140722,28.672,28.964,28.672,28.964,13,0
20140723,28.973,28.973,28.629,28.629,3101,0
20140725,28.878,28.878,28.285,28.371,4767,0
20140728,28.543,28.878,28.543,28.878,587,0
20140729,28.964,28.973,28.844,28.964,1562,0
20140730,28.878,28.887,28.878,28.887,861,0
20140731,28.887,28.887,28.878,28.887,351,0
20140801,28.87,28.87,28.629,28.835,1866,0
20140804,28.887,28.887,28.758,28.862,4374,0
20140805,28.844,28.844,28.672,28.715,4489,0
20140806,28.715,28.715,28.371,28.475,9388,0
20140807,28.363,28.44,28.114,28.371,6902,0
20140808,28.363,28.422,27.941,28.422,3986,0
20140811,28.156,28.629,28.027,28.603,1884,0
20140812,28.621,28.621,28.431,28.621,7606,0
20140813,28.621,28.621,28.44,28.534,9443,0
20140814,28.715,28.715,28.431,28.612,2399,0
20140818,28.715,28.715,28.568,28.629,4679,0
20140819,28.448,28.629,28.448,28.629,6224,0
20140820,28.629,28.629,28.44,28.44,776,0
20140821,28.612,28.612,28.431,28.543,1372,0
20140822,28.543,28.543,28.431,28.431,717,0
20140825,28.578,28.629,28.568,28.629,2815,0
20140826,28.621,28.621,28.465,28.543,1281,0
20140827,28.526,28.543,28.431,28.526,908,0
20140828,28.431,28.431,25.791,27.382,8999,0
20140829,27.366,27.727,26.652,27.727,5879,0
20140901,27.727,27.727,26.823,27.082,3564,0
20140902,27.382,27.382,26.823,27.313,814,0
20140903,27.322,28.25,26.875,28.191,2135,0
20140904,28.191,28.191,28.114,28.114,29,0
20140905,28.087,28.087,28.087,28.087,2,0
20140908,27.512,27.941,27.512,27.941,1445,0
20140909,28.07,28.07,27.537,28.019,458,0
20140910,28.019,28.019,27.692,28.001,215,0
20140911,28.001,28.001,27.512,27.761,2428,0
20140912,27.674,27.674,27.34,27.512,2909,0
20140915,27.674,27.674,27.512,27.512,228,0
20140916,27.674,27.674,27.253,27.589,848,0
20140917,27.512,27.658,27.34,27.658,1645,0
