Date,Open,High,Low,Close,Volume,OpenInt
20120803,1.2678,1.5,1.2678,1.3548,368200,0
20120806,1.3838,1.5097,1.2484,1.4807,246319,0
20120807,1.5,1.7903,1.413,1.7903,101954,0
20120808,1.9356,2.129,1.7419,1.9839,171202,0
20120809,1.9258,2.1097,1.887,2.0419,52671,0
20120810,2.0323,2.0323,1.9839,1.9935,19855,0
20120813,1.9935,2.0323,1.9935,1.9935,15551,0
20120814,1.9935,1.9935,1.9451,1.9451,2430,0
20120816,2.0129,2.0516,1.9839,2.0516,8858,0
20120817,2.0709,2.0807,2.0419,2.0807,5322,0
20120820,2.129,2.1774,2.0226,2.129,1492,0
20120821,2.2258,2.2258,2.129,2.2162,2625,0
20120822,2.2258,2.2258,2.129,2.129,3002,0
20120823,2.1581,2.1581,2.0709,2.0709,16690,0
20120824,2.1097,2.2064,2.1097,2.2064,4688,0
20120827,2.129,2.2064,2.129,2.1967,1400,0
20120828,2.2064,2.2064,2.0903,2.1677,7233,0
20120829,2.1677,2.1872,2.1677,2.1872,61,0
20120830,2.1774,2.1774,2.0807,2.0807,8168,0
20120831,2.0323,2.2451,1.887,2.2258,42568,0
20120903,2.2258,2.2548,2.2258,2.2548,2872,0
20120904,2.2548,2.2548,2.2162,2.2258,191,0
20120905,2.2258,2.2258,2.1774,2.1774,1573,0
20120906,2.2064,2.2258,2.2064,2.2162,413,0
20120907,2.2258,2.2258,2.2162,2.2162,206,0
20120910,2.2258,2.2258,2.2258,2.2258,1259,0
20120911,2.2258,2.2258,2.2162,2.2162,2981,0
20120912,2.1967,2.1967,2.129,2.1967,528,0
20120913,2.1967,2.1967,2.0129,2.0807,10369,0
20120914,2.0807,2.0807,2.0516,2.0516,1157,0
20120917,2.0516,2.0516,1.9742,1.9742,1576,0
20120918,1.9742,2.0516,1.8968,2.0323,22863,0
20120919,2.0033,2.0419,2.0033,2.0419,1291,0
20120920,2.0323,2.0323,2.0226,2.0323,118,0
20120921,2.0323,2.0323,1.9451,2.0323,982,0
20120924,2.0419,2.0516,2.0419,2.0516,475,0
20120925,2.0516,2.0516,2.0323,2.0323,51,0
20120926,2.0129,2.0807,1.9645,2.0807,9196,0
20120927,2.0807,2.0807,2.0516,2.0709,899,0
20120928,2.0709,2.1194,2.0709,2.1194,206,0
20121001,2.1194,2.1194,2.1097,2.1194,336,0
20121002,2.129,2.129,2.0516,2.129,10280,0
20121003,2.129,2.1774,2.0999,2.1581,3250,0
20121004,2.1774,2.1774,2.1677,2.1774,2841,0
20121005,2.1774,2.1872,2.1677,2.1774,2686,0
20121008,2.1774,2.2258,2.129,2.2258,2015,0
20121009,2.2258,2.2258,2.2162,2.2258,413,0
20121010,2.2258,2.2258,2.1774,2.1774,692,0
20121011,2.1967,2.2548,2.1967,2.2451,1332,0
20121012,2.2548,2.6129,2.2355,2.6129,16571,0
20121015,2.6612,2.6612,2.6129,2.6612,2812,0
20121016,2.6612,2.8064,2.6516,2.8064,7920,0
20121017,2.9032,3.1452,2.9032,3.1355,34193,0
20121018,3.1355,3.2904,3.0967,3.2904,17365,0
20121019,3.2904,3.2904,3.1645,3.1645,7854,0
20121022,3.0774,3.4839,3.0774,3.4839,21191,0
20121023,3.4839,3.6,3.1452,3.6,25807,0
20121024,3.5516,3.6775,3.5516,3.658,23125,0
20121025,3.6775,3.7065,3.6678,3.6967,6253,0
20121026,3.7258,3.8419,3.7161,3.8419,25429,0
20121029,3.8419,3.8999,3.8323,3.8999,20432,0
20121030,3.9194,3.9872,3.9194,3.9872,16346,0
20121031,3.9872,4.1323,3.9774,4.1323,23526,0
20121102,4.1323,4.1903,4.1225,4.1903,17091,0
20121105,4.1903,4.3064,4.1903,4.3064,56856,0
20121106,4.3064,4.3452,4.2678,4.3354,13103,0
20121107,4.3354,4.3548,3.9581,3.9677,21405,0
20121108,3.9483,4.3064,3.3388,4.2968,33050,0
20121109,4.2968,4.2968,4.0161,4.0645,3958,0
