Date,Open,High,Low,Close,Volume,OpenInt
20150409,99.62,106.17,98.263,105.53,92760,0
20150410,106.17,109.61,104.65,109.36,10811,0
20150413,109.28,109.28,107.05,107.09,2409,0
20150414,107.45,109.76,107.09,109.76,6787,0
20150415,109.44,109.84,108.25,109.44,745,0
20150416,109.05,109.05,107.09,107.41,496,0
20150417,107.17,107.33,106.25,106.89,1686,0
20150420,106.25,108.4,103.94,108.4,302,0
20150421,105.25,108.65,105.25,106.25,227,0
20150422,105.53,106.25,105.45,106.25,40,0
20150423,106.33,108.65,106.33,106.41,1953,0
20150424,106.65,106.65,104.45,106.25,2422,0
20150427,104.37,107.85,104.37,107.85,262,0
20150428,107.85,109.56,105.77,106.33,1873,0
20150429,106.41,108.65,106.41,108.4,26,0
20150430,108.57,110.09,108.57,110.09,4539,0
20150504,110.24,113.36,110.24,112.6,1981,0
20150505,112.08,115.04,109.44,111,1908,0
20150506,111.04,111.76,109.53,111.76,93,0
20150507,109.44,109.81,108.73,109.44,383,0
20150508,109.44,111.68,109.44,111.68,371,0
20150511,111.08,111.2,111.08,111.2,584,0
20150512,111.76,112.64,111.76,111.92,1406,0
20150513,112.24,113.04,112.04,112.64,737,0
20150514,113.44,113.44,113.12,113.44,219,0
20150515,115.84,119.83,113.44,113.44,1119,0
20150518,111.85,113.44,111.85,113.4,575,0
20150519,113.4,115.64,112.13,114.24,258,0
20150520,112.64,114.24,112.64,113.04,77,0
20150521,113.04,113.04,112.16,112.64,640,0
20150522,112.64,114.2,111.76,114.2,589,0
20150525,113.84,118.08,112.64,118.08,593,0
20150526,119.03,122.23,118.96,122.23,1044,0
20150527,122.23,122.23,121.43,122.11,275,0
20150528,119.83,121.43,119.07,120.63,660,0
20150529,119.51,121.39,119.51,120.63,806,0
20150601,120.63,121.03,120.63,121.03,328,0
20150602,121.11,121.83,120.63,120.63,241,0
20150603,120.71,120.71,120.63,120.63,396,0
20150605,120.55,120.55,114.48,116.64,1614,0
20150608,116.64,118.99,116.64,118.99,72,0
20150609,118.91,118.91,118.91,118.91,1,0
20150610,115.11,118.23,115.11,117.47,116,0
20150611,118.23,118.23,113.92,118.23,225,0
20150615,116.64,119.75,116.64,119.75,258,0
20150616,119.03,119.83,117.43,119.83,244,0
20150617,117.04,119.75,116.8,119.03,41,0
20150618,119.03,119.03,119.03,119.03,1,0
20150619,118.96,118.96,116.72,117.04,306,0
20150622,117.8,117.8,117.8,117.8,150,0
20150623,117.8,117.8,114.56,117.43,85,0
20150624,117.43,117.8,114.4,117.68,420,0
20150625,117.4,117.4,117.4,117.4,32,0
20150626,114.48,116.64,114.48,116.64,115,0
20150629,114.16,116.64,112.64,116.64,404,0
20150630,110.52,116.47,110.52,115.84,248,0
20150701,116.59,116.64,116.59,116.64,603,0
20150702,116.64,116.64,113.44,116.64,1896,0
20150703,116.64,116.64,115.79,115.79,595,0
20150706,115.76,116.59,115.44,115.44,101,0
20150707,116.64,116.64,115.99,116.52,3970,0
20150708,116.56,116.64,115.84,115.84,3299,0
20150709,118.49,118.49,115.18,116.75,678,0
20150710,116.75,116.75,115.58,116.75,1562,0
20150713,114.97,114.97,113.57,114.83,250,0
20150714,113.57,114.14,109,113.7,580,0
20150715,110.83,113.62,109,110.83,358,0
20150716,110.22,113.7,110.22,113.7,839,0
20150717,111.7,115.44,111.65,115.44,568,0
20150720,115.44,116.75,115.44,116.75,1314,0
20150721,115.01,115.88,115.01,115.88,18,0
20150722,115.88,115.88,115.88,115.88,11,0
20150723,115.88,116.49,115.01,116.49,230,0
20150724,116.75,116.75,114.31,116.32,25,0
20150727,113.27,113.27,111,112.4,379,0
20150728,110.74,113.27,110.74,112.4,197,0
20150729,112.4,112.4,111.18,111.18,323,0
20150730,112.74,112.74,111.61,111.61,621,0
20150731,112.18,112.83,110.65,112.4,3219,0
20150803,112.4,112.4,110.65,110.65,17,0
20150804,110.65,112.4,109.87,112.4,83,0
20150805,110.74,112.22,110.74,112.22,583,0
20150806,110.83,112.4,110.83,112.4,157,0
20150810,111.52,114.14,111.52,114.14,380,0
20150811,114.14,114.92,111.52,114.92,266,0
20150812,114.57,115.01,114.57,115.01,2706,0
20150814,114.92,115.01,114.92,115.01,1229,0
20150817,115.01,115.01,115.01,115.01,13,0
20150818,115.88,117.97,115.88,116.45,212,0
20150819,116.45,117.97,116.45,117.97,205,0
20150820,115.01,118.06,115.01,118.06,2379,0
20150821,115.88,118.45,115.88,118.45,157,0
20150824,118.28,118.28,102.81,109.35,527,0
20150825,102.38,109.26,98.455,109.26,274,0
20150826,108.47,109.26,105.43,109.26,117,0
20150827,108.91,108.91,107.95,107.95,406,0
20150828,105.6,110.13,105.6,110.13,103,0
20150831,109.78,109.78,109.78,109.78,1940,0
20150901,108.04,109.74,108.04,109.74,45,0
20150902,109.78,109.78,107.17,108.91,26,0
20150903,109.78,109.78,106.3,106.47,28,0
20150904,106.34,107.17,106.3,107.17,84,0
20150907,106.3,106.3,101.94,105.64,1116,0
20150908,102.11,105.43,101.9,105.43,389,0
20150909,102.03,103.68,102.03,103.68,37,0
20150910,103.68,103.68,103.68,103.68,7,0
20150911,103.68,105.69,101.94,103.51,326,0
20150914,109.61,109.61,109.61,109.61,1,0
20150915,108.91,108.91,106.34,108.91,14,0
20150916,108.91,108.91,106.34,108.91,28,0
20150917,108.91,108.91,108.91,108.91,9,0
20150918,107.17,109.56,105.9,109.56,92,0
20150921,111.09,111.09,108.91,108.91,11,0
20150922,108.91,108.91,108.91,108.91,44,0
20150923,110.65,110.65,110.65,110.65,1,0
20150924,111.09,111.09,111.09,111.09,3,0
20150925,108.74,108.74,108.74,108.74,11,0
20150928,108.91,108.91,108.91,108.91,55,0
20150929,111,111,104.9,107.6,444,0
20150930,107.6,107.6,107.6,107.6,33,0
20151001,107.6,110.65,107.6,110.65,6861,0
20151002,109.78,110.65,109.78,110.65,287,0
20151005,108.91,110.83,108.91,108.91,71,0
20151007,111,111,111,111,1,0
20151008,111,111,111,111,17,0
20151009,111,111,111,111,1,0
20151012,109.08,111.52,109.08,111.52,179,0
20151013,109.35,109.35,109.17,109.17,69,0
20151014,109,111.52,109,111.52,30,0
20151015,109.78,112.83,108.04,112.83,530,0
20151016,112.83,116.49,111.52,116.49,288,0
20151021,111.65,115.88,111.65,115.88,3,0
20151022,115.88,115.88,111.65,111.65,38,0
20151023,113.27,117.54,113.27,117.54,186,0
20151026,117.36,117.45,113.27,117.36,48,0
20151027,116.75,116.75,116.75,116.75,6,0
20151028,116.75,116.75,116.75,116.75,2,0
20151029,113.27,115.01,113.27,115.01,69,0
20151030,110.65,115.01,110.65,115.01,34,0
20151102,116.75,116.75,116.75,116.75,1,0
20151103,116.75,116.75,116.75,116.75,24,0
20151104,116.58,117.45,116.58,117.45,1437,0
20151105,115.01,115.88,115.01,115.88,126,0
20151106,114.14,114.14,111.35,111.35,95,0
20151109,110.65,110.65,110.65,110.65,24,0
20151110,113.27,113.27,113.27,113.27,1,0
20151112,113.27,114.88,113.27,114.88,231,0
20151113,114.88,114.88,112.4,114.14,59795,0
20151116,114.14,117.1,114.14,117.1,44,0
20151117,113.35,116.93,113.35,116.93,18,0
20151118,116.88,116.88,116.88,116.88,9,0
20151119,116.75,116.75,116.75,116.75,34,0
20151123,116.4,116.4,116.4,116.4,1,0
20151124,116.4,116.4,112.4,112.4,117,0
20151125,115.88,115.88,113.27,115.88,60,0
20151126,113.7,115.79,112.44,115.79,87,0
20151127,114.97,114.97,114.97,114.97,56,0
20151130,114.97,114.97,114.14,114.14,31,0
20151201,114.97,114.97,114.88,114.88,40,0
20151202,114.18,114.18,112.4,112.4,362,0
20151203,112.4,112.4,112.4,112.4,1,0
20151204,112.4,112.4,110.65,112.4,64,0
20151207,110.83,110.83,110.83,110.83,17,0
20151208,112.4,112.4,110.65,110.65,325,0
20151209,112.4,112.4,107.17,107.17,334,0
20151210,107.21,107.21,107.21,107.21,137,0
20151214,107.17,107.17,99.326,103.86,154,0
20151215,103.86,103.86,100.2,100.98,417,0
20151216,102.81,102.81,100.11,101.07,132,0
20151217,101.94,101.94,98.455,100.15,755,0
20151218,100.15,100.15,97.976,98.847,9401,0
20151221,102.42,102.42,98.89,99.5,84,0
20151222,99.5,99.5,96.712,98.89,6272,0
20151223,98.89,100.2,98.89,100.2,90,0
20151228,100.2,103.68,100.2,102.81,3959,0
20151229,103.68,103.68,102.81,102.81,76,0
20151230,102.81,104.12,101.07,103.68,6496,0
20160104,104.55,104.55,104.55,104.55,5,0
20160105,101.07,102.72,99.326,102.72,126,0
20160107,101.07,101.07,101.07,101.07,18,0
20160108,102.72,103.6,99.152,102.81,169,0
20160111,102.81,102.81,98.716,100.2,327,0
20160112,98.89,101.07,98.89,100.2,779,0
20160113,101.07,101.07,99.326,101.07,232,0
20160114,101.94,102.81,101.94,102.81,28,0
20160115,102.72,102.72,102.68,102.68,6,0
20160118,100.2,102.59,100.2,102.59,8,0
20160119,100.2,102.59,100.2,102.59,142,0
20160120,101.07,101.46,100.2,101.46,92,0
20160121,101.46,101.46,101.07,101.46,80,0
20160122,101.07,102.55,101.07,102.55,140,0
20160125,102.55,102.72,101.07,101.07,142,0
20160126,100.24,102.77,100.24,102.77,122,0
20160127,99.54,100.81,99.54,100.81,312,0
20160128,102.11,102.11,102.11,102.11,88,0
20160129,99.59,102.72,99.59,102.72,191,0
20160201,102.77,102.77,101.07,101.07,14178,0
20160202,102.77,102.77,102.77,102.77,1,0
20160203,102.77,102.77,102.77,102.77,75,0
20160204,102.77,102.77,102.77,102.77,2,0
20160208,102.77,103.68,102.77,103.68,54,0
20160209,103.68,103.68,103.68,103.68,80,0
20160210,103.68,103.68,103.68,103.68,164,0
20160211,103.68,103.68,103.68,103.68,17,0
20160212,103.68,103.68,103.68,103.68,5,0
20160215,104.12,104.29,104.12,104.29,210,0
20160216,104.29,104.55,104.29,104.55,98,0
20160217,104.55,105.6,104.55,105.6,60,0
20160218,107.04,107.04,107.04,107.04,1,0
20160219,107.04,108.91,107.04,108.91,2,0
20160222,109.74,109.74,108.91,108.91,2,0
20160223,108.91,108.91,108.91,108.91,46,0
20160224,108.87,108.87,106.3,108.04,9,0
20160225,108.04,108.04,105.6,108,180,0
20160226,107.91,107.91,105.43,105.43,48,0
20160229,105.16,105.43,102.81,103.25,164,0
20160302,103.38,105.86,103.25,105.86,103,0
20160303,105.43,107.95,105.43,107.95,32,0
20160304,107.95,107.95,107.86,107.95,244,0
20160307,107.95,108.78,107.17,108.78,161,0
20160308,108.78,109.78,108.78,108.78,570,0
20160309,108.91,108.91,108.91,108.91,177,0
20160310,109.35,112.79,109.35,112.53,948,0
20160311,112.53,115.88,112.35,115.88,4854,0
20160314,117.36,117.36,114.62,115.88,352,0
20160315,116.62,116.62,115.01,116.27,187,0
20160316,116.27,116.62,116.27,116.62,90,0
20160317,116.58,116.58,115.01,115.88,91,0
20160318,116.58,116.58,114.4,114.4,508,0
20160321,115.88,116.58,115.88,115.88,347,0
20160322,115.88,115.88,115.01,115.01,118,0
20160323,114.49,115.01,114.49,115.01,170,0
20160324,113.27,113.27,109.96,109.96,1556,0
20160329,112.4,116.62,107.91,110.65,738,0
20160330,110.91,111.09,108.56,109.69,876,0
20160331,109.78,109.78,108.56,109,140,0
20160401,109.26,109.26,108.91,108.91,714,0
20160404,108.65,113.27,108.04,108.04,327,0
20160405,108.91,108.91,108.74,108.91,122,0
20160406,108.91,108.91,108.04,108.04,140,0
20160407,111.09,111.09,107.17,108.47,1147,0
20160408,109.78,109.78,108.04,108.91,397,0
20160411,109.78,109.78,103.46,104.42,5909,0
20160412,104.55,104.55,102.55,102.94,1054,0
20160413,106.21,106.21,104.03,104.55,7419,0
20160414,104.55,104.64,104.42,104.55,1644,0
20160415,104.55,104.55,103.6,104.51,636,0
20160418,104.55,104.55,104.55,104.55,456,0
20160419,104.55,105.34,104.55,105.25,736,0
20160420,105.25,105.25,105.03,105.03,945,0
20160421,105.03,105.03,104.55,104.55,919,0
20160422,104.55,104.55,104.38,104.38,313,0
20160425,104.47,104.55,104.12,104.16,631,0
20160426,104.03,104.47,104.03,104.47,745,0
20160427,104.47,104.47,104.12,104.47,301,0
20160428,104.47,104.47,104.47,104.47,129,0
20160429,104.07,104.47,103.68,104.47,300,0
20160502,104.47,104.47,104.38,104.47,208,0
20160504,104.47,104.47,103.94,103.94,37,0
20160505,103.9,103.9,103.68,103.68,189,0
20160506,103.68,103.68,103.07,103.07,228,0
20160509,103.16,104.47,103.16,104.47,381,0
20160510,103.07,103.07,97.932,98.89,6925,0
20160511,98.89,98.89,98.193,98.455,1010,0
20160512,99.283,99.283,98.803,98.803,211,0
20160513,98.455,98.847,97.932,98.455,660,0
20160516,97.976,98.847,97.976,98.847,634,0
20160517,99.283,99.326,99.283,99.326,1199,0
20160518,99.326,99.326,98.89,99.326,767,0
20160519,99.326,99.326,98.455,98.455,287,0
20160520,99.326,99.326,98.455,98.455,527,0
20160523,98.542,99.326,98.063,98.063,1731,0
20160524,98.803,101.07,98.455,101.07,1320,0
20160525,100.98,101.07,100.63,101.07,2778,0
20160527,101.07,101.07,100.59,100.59,147,0
20160530,100.2,101.07,100.2,100.2,986,0
20160531,100.2,100.2,98.455,98.455,326,0
20160601,98.455,99.152,98.455,98.455,1232,0
20160602,98.89,99.326,98.281,98.281,508,0
20160603,99.76,99.76,98.324,99.326,494,0
20160606,99.326,99.76,98.455,99.5,717,0
20160607,101.03,101.03,99.065,100.98,494,0
20160608,99.76,101.07,99.76,101.07,1338,0
20160609,100.98,100.98,100.2,100.2,11856,0
20160610,100.98,100.98,100.2,100.2,289,0
20160613,100.59,100.59,99.326,99.326,219,0
20160614,100.2,100.2,98.455,98.629,619,0
20160615,98.586,100.02,98.455,100.02,643,0
20160616,98.542,98.542,91.659,91.659,3732,0
20160617,94.055,95.405,94.011,94.098,427,0
20160620,95.71,97.845,95.71,97.845,125,0
20160621,98.4548,99.3261,98.4548,99.3261,285,0
20160622,99.1519,100.894,99.1519,100.894,496,0
20160623,100.894,101.766,100.241,101.504,609,0
20160624,99.239,99.675,92.0074,99.1954,2168,0
20160627,99.3261,100.067,95.4054,97.54,4439,0
20160628,97.5,102.5,95,95,1706,0
20160629,99.49,99.8,93.89,97.25,1067,0
20160630,94.7,97.3,94.7,96,1308,0
20160701,96,96,95,95.2,70,0
20160704,94.99,94.99,93.8,93.8,1687,0
20160705,93.5,93.99,93,93,59,0
20160706,93,93.99,93,93.95,142,0
20160707,93.95,93.96,93.1,93.8,292,0
20160708,93.8,93.8,93.79,93.79,145,0
20160711,93.78,93.78,93.1,93.75,222,0
20160712,93.75,93.75,92.99,92.99,3833,0
20160713,92.99,92.99,92.98,92.98,549,0
20160714,92.98,92.98,92.01,92.98,227,0
20160715,92.98,93,92.01,93,299,0
20160718,93,93.5,93,93.5,479,0
20160719,93.7,95.3,93.7,95.13,756,0
20160720,95.21,97.15,95.21,97.1,119,0
20160721,97.1,99.95,97.1,98,325,0
20160722,99.45,99.45,97.8,99.39,55,0
20160725,99.35,120.35,97.11,120.35,28850,0
20160726,115.1,119.95,110.15,110.15,1660,0
20160727,110.15,112.5,104.3,112,329,0
20160728,111.9,112.4,108.6,112.4,365,0
20160729,108.5,110,106.9,107,433,0
20160801,109.95,109.95,109.95,109.95,3,0
20160802,109.8,109.8,107,109.75,32,0
20160803,109,109,109,109,17,0
20160804,109,109,107.55,107.6,122,0
20160805,107.6,107.6,105,105,17,0
20160808,107.6,107.6,106.05,107.6,19,0
20160809,108,108,107.6,107.6,46,0
20160810,106.05,107.6,105.1,107.6,25,0
20160811,107.5,107.5,106.05,107.5,142,0
20160812,106.2,107.2,106.2,107.2,17,0
20160816,107.5,107.5,106.05,107.4,31,0
20160817,107,107,106.25,106.3,19,0
20160818,106.3,106.3,97.5,99,1253,0
20160819,98.99,98.99,97.3,97.3,349,0
20160822,98,98.8,96.9,96.9,215,0
20160823,96.5,97.7,96.5,97.7,11,0
20160824,97.7,100,97.7,98.5,768,0
20160825,98,98.5,97.5,98.5,955,0
20160826,96.6,97,96.6,97,235,0
20160829,96.01,97,96,96.01,595,0
20160830,96.9,98,96.9,98,400,0
20160831,98,98,96.02,96.02,45,0
20160901,96.02,96.05,94.6,94.6,95,0
20160902,96.9,96.9,96.8,96.8,12,0
20160905,95.1,96,94,96,290,0
20160906,95.3,95.3,94.25,94.3,314,0
20160907,94.41,94.41,93.35,93.35,880,0
20160908,93.5,93.5,93.35,93.35,605,0
20160909,93.2,93.5,93,93,156,0
20160912,93.01,93.01,89.79,90.3,862,0
20160913,90,92.5,86,90,1139,0
20160914,87.1,87.1,87,87,82,0
20160915,86,86,81.1,81.38,815,0
20160916,82,82,81,81,586,0
20160919,81,81,76.3,76.3,1070,0
20160920,78.88,79.6,76,79.5,855,0
20160921,80,82.95,80,82.95,55,0
20160922,81,81,75.9,75.9,1090,0
20160923,75,76,72.5,76,471,0
20160926,75.05,75.8,69.99,72.6,2728,0
20160927,71,71,69,69,2599,0
20160928,70,70.2,70,70.05,249,0
20160929,70,72.5,70,72,229,0
