Date,Open,High,Low,Close,Volume,OpenInt
19980630,35.407,35.407,35.407,35.407,870381,0
19980701,37.66,37.66,37.66,37.66,1011848,0
19980702,39.274,39.274,39.274,39.274,923468,0
19980703,37.66,37.66,37.66,37.66,1320220,0
19980706,37.66,37.66,37.66,37.66,613067,0
19980707,36.696,37.66,36.696,37.022,447581,0
19980708,36.696,36.696,35.407,35.407,1183108,0
19980709,35.407,35.407,35.407,35.407,408447,0
19980710,35.407,36.377,35.407,36.051,150079,0
19980713,36.696,38.305,36.696,37.985,79593,0
19980714,38.63,39.592,38.63,38.63,251289,0
19980715,39.274,39.592,37.985,39.274,495094,0
19980716,39.274,39.274,38.63,38.948,321988,0
19980717,39.919,40.238,39.592,39.919,360061,0
19980720,39.919,41.846,39.919,41.846,195563,0
19980721,41.846,41.846,40.564,40.882,183463,0
19980722,41.201,41.201,39.919,40.564,232712,0
19980723,40.882,41.846,40.882,41.526,159981,0
19980724,41.201,41.846,41.201,41.526,110924,0
19980727,40.882,40.882,40.238,40.882,83477,0
19980728,40.564,40.564,39.592,39.919,128499,0
19980729,39.919,40.882,39.919,40.882,206219,0
19980730,41.201,41.201,40.882,41.201,93829,0
19980731,40.238,40.564,39.919,40.564,137988,0
19980803,39.274,40.564,39.274,39.919,123468,0
19980804,40.238,40.238,39.919,39.919,149538,0
19980805,38.63,39.274,38.63,38.948,206689,0
19980806,39.274,39.919,38.948,38.948,101202,0
19980807,39.274,39.919,39.274,39.919,71016,0
19980810,39.919,39.919,39.274,39.592,68910,0
19980811,38.948,38.948,37.341,37.341,186923,0
19980812,38.63,39.592,38.305,39.274,208481,0
19980813,37.985,37.985,37.022,37.66,77657,0
19980814,37.985,38.63,37.985,38.63,76464,0
19980817,37.985,38.948,37.985,38.63,105017,0
19980818,38.948,39.919,38.948,39.274,66014,0
19980819,38.948,39.592,38.948,39.592,125529,0
19980820,38.948,38.948,37.985,38.305,249625,0
19980821,38.305,38.63,37.341,38.305,265450,0
19980824,37.985,38.948,37.985,38.948,106842,0
19980825,38.63,38.63,37.985,37.985,50074,0
