Date,Open,High,Low,Close,Volume,OpenInt
20050513,6.5384,6.9059,6.5384,6.7221,49371,0
20050516,6.6254,6.8092,6.6254,6.7221,15642,0
20050517,6.7221,6.8092,6.6738,6.8092,20373,0
20050518,6.9059,6.9059,6.6738,6.7705,15921,0
20050519,6.6738,6.7705,6.6738,6.7705,8618,0
20050520,6.7221,6.7705,6.6738,6.7221,3143,0
20050523,6.7705,6.7705,6.6254,6.6254,17421,0
20050524,6.6254,6.7221,6.6254,6.7221,19393,0
20050525,6.6254,6.6738,6.577,6.6738,12321,0
20050527,6.6738,6.6738,6.6254,6.6738,546,0
20050530,6.577,6.7221,6.577,6.6738,22399,0
20050531,6.7221,6.7221,6.7221,6.7221,5,0
20050601,6.6738,6.6738,6.6254,6.6254,4939,0
20050602,6.7221,6.7221,6.6254,6.6738,7393,0
20050603,6.6738,6.7221,6.6738,6.7221,13689,0
20050606,6.6738,6.7705,6.6254,6.7705,18001,0
20050607,6.7705,6.8092,6.7221,6.8092,25047,0
20050608,6.7705,7.0026,6.7705,7.0026,6048,0
20050609,6.9059,7.0026,6.8092,7.0026,1415,0
20050610,7.0026,7.138,7.0026,7.138,18144,0
20050613,7.1864,7.1864,6.9059,7.138,9229,0
20050614,7.1864,7.1864,7.0897,7.1864,19949,0
20050615,7.0897,7.1864,6.9059,7.1864,6369,0
20050616,7.1864,7.2348,7.1864,7.1864,13423,0
20050617,7.2348,7.3315,7.2348,7.2831,23353,0
20050620,7.2831,7.2831,7.2831,7.2831,11455,0
20050621,7.1864,7.2831,7.1864,7.2831,9107,0
20050622,7.051,7.2348,7.051,7.2348,2685,0
20050623,6.8575,7.1864,6.8575,7.0026,3500,0
20050624,6.9059,7.051,6.9059,7.051,428,0
20050627,7.0897,7.0897,6.9059,7.051,905,0
20050628,7.0026,7.051,7.0026,7.0026,23319,0
20050629,7.0026,7.051,7.0026,7.051,140,0
20050630,6.9543,7.051,6.9543,7.051,965,0
20050701,6.9543,7.051,6.9543,7.051,750,0
20050704,7.0026,7.0026,6.9543,7.0026,1211,0
20050705,7.0026,7.0026,7.0026,7.0026,5391,0
20050707,6.9543,6.9543,6.6254,6.8092,4087,0
20050708,6.8092,6.8092,6.6254,6.7221,1918,0
20050711,6.7221,6.9059,6.6254,6.8092,4425,0
20050712,6.8092,6.8092,6.7221,6.8092,1928,0
20050713,6.8092,6.9059,6.8092,6.9059,552,0
20050714,6.9059,6.9059,6.7221,6.8575,8789,0
20050715,6.6254,6.9543,6.6254,6.9543,1821,0
20050718,6.9059,6.9543,6.6254,6.9543,2244,0
20050719,6.7705,6.9543,6.6254,6.8575,6522,0
20050720,6.7221,6.7221,6.6738,6.6738,1793,0
20050721,6.49,6.6254,6.4416,6.6254,627,0
20050722,6.5384,6.6254,6.3449,6.6254,6205,0
20050725,6.49,6.6738,6.4416,6.4416,1086,0
20050726,6.5384,6.6254,6.5384,6.6254,3072,0
20050727,6.6738,6.7221,6.5384,6.577,3654,0
20050728,6.6254,6.6254,6.6254,6.6254,5,0
20050729,6.6738,6.7221,6.5384,6.7221,14506,0
20050801,6.577,6.6738,6.5384,6.6738,1823,0
20050802,6.7221,6.7221,6.5384,6.6738,2489,0
20050803,6.6738,6.7221,6.5384,6.6738,471,0
