Date,Open,High,Low,Close,Volume,OpenInt
19970506,13.024,13.024,13.024,13.024,477615,0
19970507,12.564,12.564,12.564,12.564,143237,0
19970508,12.106,12.106,12.106,12.106,71905,0
19970509,12.245,12.245,12.245,12.245,200511,0
19970512,12.106,12.106,12.106,12.106,247843,0
19970513,12.015,12.015,12.015,12.015,165437,0
19970514,12.064,12.064,12.064,12.064,103670,0
19970515,12.204,12.204,12.204,12.204,32218,0
19970516,12.204,12.204,12.204,12.204,61559,0
19970519,12.204,12.204,12.204,12.204,64293,0
19970520,12.015,12.015,12.015,12.015,95195,0
19970521,11.926,11.926,11.926,11.926,114512,0
19970522,11.926,11.926,11.926,11.926,176985,0
19970523,11.836,11.836,11.836,11.836,126130,0
19970526,11.467,11.467,11.467,11.467,168447,0
19970527,11.099,11.099,11.099,11.099,67344,0
19970528,11.148,11.148,11.148,11.148,142353,0
19970530,11.287,11.287,11.287,11.287,25745,0
19970602,11.467,11.467,11.467,11.467,138007,0
19970603,11.557,11.557,11.557,11.557,88118,0
19970604,11.557,11.557,11.557,11.557,42954,0
19970605,11.467,11.467,11.467,11.467,96408,0
19970606,11.557,11.557,11.557,11.557,84655,0
19970609,11.696,11.696,11.696,11.696,112435,0
19970610,12.106,12.106,12.106,12.106,122710,0
19970611,12.613,12.613,12.613,12.613,31078,0
19970612,13.351,13.351,13.351,13.351,111962,0
19970613,13.809,13.809,13.809,13.809,271791,0
19970616,13.989,13.989,13.989,13.989,136270,0
19970617,13.809,13.809,13.809,13.809,65741,0
19970618,13.58,13.58,13.58,13.58,75769,0
19970619,13.621,13.621,13.621,13.621,82076,0
19970620,13.989,13.989,13.989,13.989,97075,0
19970623,13.67,13.67,13.67,13.67,96284,0
19970624,13.482,13.482,13.482,13.482,83422,0
19970625,13.621,13.621,13.621,13.621,112424,0
19970626,13.482,13.482,13.482,13.482,113442,0
19970627,13.621,13.621,13.621,13.621,51574,0
19970630,13.482,13.482,13.482,13.482,46991,0
19970701,13.301,13.301,13.301,13.301,61785,0
19970702,13.121,13.121,13.121,13.121,89216,0
19970703,13.121,13.121,13.121,13.121,45183,0
19970704,13.024,13.024,13.024,13.024,36008,0
19970707,13.121,13.121,13.121,13.121,23712,0
19970708,13.212,13.212,13.212,13.212,10448,0
19970709,13.482,13.482,13.482,13.482,25992,0
19970710,13.531,13.531,13.531,13.531,55097,0
19970711,13.531,13.531,13.531,13.531,30493,0
19970714,13.301,13.301,13.301,13.301,70137,0
19970715,12.982,12.982,12.982,12.982,70651,0
19970716,13.072,13.072,13.072,13.072,68279,0
19970717,13.163,13.163,13.163,13.163,76148,0
19970718,13.301,13.301,13.301,13.301,40982,0
19970721,13.212,13.212,13.212,13.212,31725,0
19970722,13.301,13.301,13.301,13.301,101464,0
19970723,13.301,13.301,13.301,13.301,92319,0
19970724,13.121,13.121,13.121,13.121,112980,0
19970725,13.121,13.121,13.121,13.121,12307,0
19970728,13.072,13.072,13.072,13.072,27533,0
19970729,12.982,12.982,12.982,12.982,16221,0
19970730,13.072,13.072,13.072,13.072,45584,0
19970731,13.121,13.121,13.121,13.121,45164,0
19970801,12.933,12.933,12.933,12.933,63399,0
19970804,13.121,13.121,13.121,13.121,57892,0
19970805,13.024,13.024,13.024,13.024,31940,0
19970806,13.212,13.212,13.212,13.212,52611,0
19970807,13.301,13.301,13.301,13.301,105367,0
19970808,14.039,14.039,14.039,14.039,87706,0
19970811,14.497,14.497,14.497,14.497,100354,0
19970812,14.497,14.497,14.497,14.497,126634,0
19970813,14.677,14.677,14.677,14.677,167297,0
19970814,14.677,14.677,14.677,14.677,78665,0
