Date,Open,High,Low,Close,Volume,OpenInt
20091106,18.417,18.984,18.025,18.445,69966907,0
20091109,18.7,18.863,18.522,18.8,9154942,0
20091110,18.8,18.892,18.558,18.722,6452930,0
20091112,18.593,18.629,18.38,18.452,4660349,0
20091113,18.452,18.487,18.318,18.395,2245048,0
20091116,18.593,18.686,18.417,18.43,2907559,0
20091117,18.452,18.466,18.105,18.111,2695232,0
20091118,18.132,18.232,17.672,17.672,4438243,0
20091119,17.538,17.6,17.032,17.06,5685991,0
20091120,17.104,17.543,17.104,17.38,2703171,0
20091123,17.558,17.707,17.409,17.543,1278319,0
20091124,17.515,17.635,17.401,17.423,1010016,0
20091125,17.423,17.515,17.317,17.387,866979,0
20091126,17.507,17.507,17.06,17.104,1019661,0
20091127,16.877,17.238,16.614,17.238,1868078,0
20091130,17.317,17.664,17.28,17.664,795034,0
20091201,17.664,17.735,17.431,17.452,877946,0
20091202,17.472,17.558,17.175,17.245,1385706,0
20091203,17.317,17.373,17.111,17.309,768988,0
20091204,17.28,17.366,17.202,17.324,673611,0
20091207,17.309,17.324,17.139,17.245,504817,0
20091208,17.309,17.501,17.218,17.387,997501,0
20091209,17.253,17.36,16.997,17.018,2335559,0
20091210,17.032,17.032,16.883,16.912,1251785,0
20091211,17.032,17.032,16.962,17.011,1147553,0
20091214,17.082,17.538,17.032,17.458,2855357,0
20091215,17.543,17.792,17.431,17.7,2900223,0
20091216,17.728,18.267,17.728,18.239,7872227,0
20091217,18.239,18.31,17.792,17.955,12311078,0
20091218,17.742,17.955,17.693,17.92,4987099,0
20091221,17.92,17.928,17.728,17.763,1583857,0
20091222,17.792,17.849,17.6,17.707,1472450,0
20091223,17.672,17.707,17.395,17.395,1359395,0
20091228,17.395,17.458,17.147,17.218,1914480,0
20091229,17.245,17.452,17.21,17.38,1075538,0
20091230,17.387,17.387,17.139,17.21,1172424,0
20091231,17.253,17.387,17.182,17.387,642622,0
20100104,17.352,17.529,17.21,17.274,1154131,0
20100105,17.373,17.373,17.167,17.274,3106052,0
20100106,17.303,17.303,17.175,17.224,1975055,0
20100107,17.21,17.21,16.94,16.94,2161679,0
20100108,17.032,17.175,16.927,16.954,1321403,0
20100111,17.202,17.202,16.962,16.962,2765780,0
20100112,17.032,17.04,16.5,16.607,2824597,0
20100113,16.599,16.797,16.43,16.678,2754894,0
20100114,16.7,16.784,16.457,16.5,1241550,0
20100115,16.522,16.593,16.43,16.43,1620451,0
20100118,16.558,16.558,16.359,16.535,1675468,0
20100119,16.55,16.749,16.507,16.749,1399971,0
20100120,16.792,17.104,16.749,17.06,2624967,0
