Date,Open,High,Low,Close,Volume,OpenInt
20050923,2.905,2.9363,2.7636,2.7716,293957714,0
20050926,2.7479,2.8028,2.7087,2.7716,52187586,0
20050927,2.8028,2.905,2.8028,2.8893,52014997,0
20050928,2.9442,3.0227,2.9127,2.9521,68196823,0
20050929,2.905,3.0071,2.8736,2.9677,27590157,0
20050930,2.905,2.905,2.8263,2.905,72277256,0
20051003,2.8971,2.905,2.8579,2.8736,12651826,0
20051004,2.8814,2.8893,2.7872,2.7872,18218753,0
20051005,2.7872,2.8028,2.7164,2.8028,27632108,0
20051006,2.7636,2.7872,2.7321,2.7636,20196382,0
20051007,2.7479,2.7636,2.7321,2.7636,11430201,0
20051010,2.7636,2.8107,2.7558,2.7558,4962785,0
20051011,2.7636,2.7872,2.7402,2.7636,7266902,0
20051012,2.7636,2.7872,2.7009,2.7009,8204799,0
20051013,2.7087,2.7087,2.5359,2.5673,35873534,0
20051014,2.5517,2.6223,2.5282,2.6146,19559604,0
20051017,2.6537,2.6617,2.591,2.591,10379172,0
20051018,2.6146,2.6223,2.5437,2.5673,12727485,0
20051019,2.5359,2.5595,2.5125,2.5595,15180757,0
20051020,2.6146,2.6223,2.5125,2.5282,9019939,0
20051021,2.5125,2.5202,2.4888,2.4967,16599981,0
20051024,2.4654,2.4888,2.4183,2.4811,22354127,0
20051025,2.5046,2.6302,2.4967,2.6302,13046220,0
20051026,2.646,2.7009,2.5752,2.6537,17651363,0
20051027,2.5673,2.6146,2.5517,2.5829,6340802,0
20051028,2.5517,2.6302,2.5359,2.6223,9981470,0
20051031,2.646,2.646,2.6146,2.6223,1845129,0
20051102,2.6223,2.6772,2.6223,2.6772,7374266,0
20051103,2.6851,2.6929,2.5673,2.5752,12472554,0
20051104,2.5988,2.6067,2.5437,2.5517,6697228,0
20051107,2.5517,2.5517,2.4574,2.4731,9542596,0
20051108,2.5046,2.5202,2.4888,2.4888,6901674,0
20051109,2.5046,2.5125,2.4811,2.4888,5576128,0
20051110,2.5046,2.5125,2.4338,2.4731,6733178,0
20051114,2.4967,2.4967,2.4183,2.4338,5854930,0
20051115,2.4417,2.4731,2.4183,2.4654,5022938,0
20051116,2.4495,2.4495,2.3318,2.3554,27123808,0
20051117,2.3475,2.4261,2.2769,2.4183,19838437,0
20051118,2.4495,2.4654,2.4183,2.4495,10631349,0
20051121,2.4654,2.4654,2.4338,2.4495,5117057,0
20051122,2.4574,2.5202,2.4574,2.4731,12482490,0
20051123,2.5125,2.5202,2.4417,2.4731,11996862,0
20051124,2.4574,2.5046,2.4024,2.4261,14652426,0
20051125,2.4104,2.4574,2.3947,2.4024,12775453,0
20051128,2.3318,2.3867,2.3318,2.3632,11698386,0
20051129,2.3475,2.4811,2.3396,2.4731,21575226,0
20051130,2.5046,2.5437,2.4888,2.5282,13008542,0
20051201,2.5437,2.5437,2.5125,2.5282,8704695,0
20051202,2.5125,2.5125,2.4338,2.4417,13931927,0
20051205,2.4417,2.4654,2.4183,2.4417,9901016,0
20051206,2.4417,2.4417,2.4024,2.4024,5428670,0
20051207,2.4183,2.4731,2.4104,2.4338,7773169,0
20051208,2.4338,2.4654,2.4261,2.4417,8800156,0
20051209,2.4574,2.4654,2.4417,2.4417,3353795,0
20051212,2.4574,2.4574,2.4417,2.4495,3301031,0
20051213,2.4495,2.4654,2.4417,2.4654,3911313,0
20051214,2.4654,2.5282,2.4654,2.5282,13472464,0
20051215,2.5359,2.5829,2.5202,2.5595,14977518,0
20051216,2.5829,2.5829,2.4967,2.5752,11946493,0
20051219,2.5752,2.591,2.5517,2.5752,5945391,0
20051220,2.5517,2.6223,2.5517,2.591,16383669,0
20051221,2.6067,2.6146,2.591,2.6067,8435072,0
20051222,2.6067,2.6146,2.5752,2.5829,4160497,0
20051223,2.5752,2.6067,2.5752,2.591,5394404,0
20051227,2.591,2.5988,2.5595,2.5752,4375592,0
20051228,2.5673,2.5752,2.5202,2.5359,4413393,0
20051229,2.5282,2.5437,2.5125,2.5359,3778827,0
20051230,2.5359,2.5437,2.5125,2.5202,3212677,0
20060102,2.4967,2.5359,2.4731,2.5202,10118925,0
20060103,2.5437,2.5829,2.5359,2.5673,12851882,0
20060104,2.591,2.6067,2.5752,2.591,6478280,0
20060105,2.6067,2.6067,2.5752,2.5752,10591409,0
20060106,2.5437,2.5595,2.5282,2.5359,11204852,0
20060109,2.5595,2.5752,2.5282,2.5282,9093440,0
20060110,2.5125,2.5125,2.4888,2.4967,6595893,0
20060111,2.4888,2.5125,2.4888,2.5046,7550769,0
20060112,2.5125,2.5125,2.4967,2.5046,5150472,0
20060113,2.4967,2.5125,2.4967,2.5046,4951366,0
20060116,2.5046,2.5125,2.4888,2.5046,8532192,0
20060117,2.4967,2.5046,2.4888,2.5046,7061881,0
20060118,2.4811,2.4888,2.4811,2.4811,3602823,0
20060119,2.4811,2.5125,2.4731,2.5046,6373273,0
20060120,2.5125,2.5829,2.5046,2.5517,7802832,0
20060123,2.5359,2.5359,2.5125,2.5282,5382620,0
20060124,2.5359,2.5673,2.5125,2.5359,5943566,0
20060125,2.5517,2.6146,2.5437,2.6146,23955683,0
20060126,2.6302,2.6772,2.591,2.6067,10744445,0
20060127,2.6146,2.6146,2.5673,2.591,3639367,0
20060130,2.5673,2.5673,2.5202,2.5437,3377758,0
20060131,2.5282,2.5437,2.4417,2.4731,5609361,0
20060201,2.4654,2.5202,2.4417,2.5202,4411645,0
20060202,2.5202,2.5595,2.5125,2.5437,6925046,0
20060203,2.5437,2.5517,2.4967,2.5202,4044219,0
20060206,2.4888,2.5125,2.4811,2.5046,2938223,0
20060207,2.5125,2.5202,2.4811,2.5202,3647957,0
20060208,2.5202,2.5202,2.4967,2.5125,2132449,0
20060209,2.5125,2.5202,2.4967,2.5125,2196582,0
20060210,2.5046,2.5202,2.5046,2.5125,5296021,0
20060213,2.5125,2.5359,2.5046,2.5125,1567658,0
20060214,2.5125,2.5202,2.4967,2.5046,2984636,0
20060215,2.5046,2.5125,2.4888,2.4967,1904698,0
20060216,2.5046,2.5125,2.3632,2.4261,6458906,0
20060217,2.4495,2.4888,2.4495,2.4888,7342489,0
20060220,2.5046,2.5046,2.4654,2.4811,5961074,0
20060221,2.4888,2.4967,2.4574,2.4654,4379844,0
20060222,2.4731,2.4731,2.4495,2.4731,3389270,0
20060223,2.4574,2.4731,2.4574,2.4654,2776076,0
20060224,2.4654,2.4731,2.4495,2.4654,2101194,0
20060227,2.4731,2.4888,2.4574,2.4731,3439782,0
20060228,2.4654,2.4654,2.371,2.3867,8018813,0
20060301,2.3867,2.4183,2.3396,2.371,7123060,0
20060302,2.379,2.4495,2.379,2.4338,14026365,0
20060303,2.4574,2.4731,2.4338,2.4654,11872337,0
20060306,2.4731,2.5125,2.4654,2.5046,10107990,0
20060307,2.5046,2.5125,2.4417,2.4731,11783859,0
20060308,2.4811,2.4888,2.4261,2.4654,8644713,0
20060309,2.4654,2.4967,2.4654,2.4967,10588579,0
20060310,2.5046,2.5125,2.4338,2.4967,4738050,0
20060313,2.4731,2.4967,2.4574,2.4654,1919538,0
20060314,2.4495,2.5829,2.4417,2.5829,14193488,0
20060315,2.5282,2.5595,2.4967,2.5437,12100418,0
20060316,2.5437,2.5595,2.5202,2.5437,7933124,0
20060317,2.5595,2.5829,2.5282,2.5673,13992544,0
20060320,2.5437,2.6146,2.5437,2.5829,5870409,0
20060321,2.5829,2.6146,2.5595,2.5673,5259951,0
20060322,2.5595,2.5673,2.5359,2.5517,3254147,0
20060323,2.5517,2.5829,2.5517,2.5829,1757367,0
20060324,2.5829,2.5829,2.5595,2.5752,3591078,0
20060327,2.5752,2.591,2.5359,2.5673,3878423,0
20060328,2.5517,2.5595,2.5125,2.5437,4768243,0
20060329,2.5202,2.5282,2.4731,2.4967,4774730,0
20060330,2.5125,2.5437,2.5046,2.5202,1372435,0
20060331,2.5282,2.5282,2.5125,2.5282,2125028,0
20060403,2.5282,2.5437,2.4888,2.5437,2973721,0
20060404,2.5125,2.5437,2.5046,2.5437,2045483,0
20060405,2.5359,2.5517,2.5125,2.5359,3234748,0
20060406,2.5359,2.5595,2.5125,2.5125,5194151,0
20060407,2.5282,2.6223,2.5282,2.6146,15191939,0
20060410,2.6146,2.6223,2.5829,2.6223,6056281,0
20060411,2.6146,2.6302,2.591,2.6067,2780619,0
20060412,2.6067,2.7244,2.5988,2.7244,16437803,0
20060413,2.7636,2.8186,2.7636,2.8186,19588000,0
20060418,2.8344,2.8893,2.8186,2.8814,10144091,0
20060419,2.8971,2.905,2.8028,2.8263,7486657,0
20060420,2.8107,2.8736,2.7716,2.8736,5832953,0
20060421,2.7952,2.8263,2.7479,2.7716,13982116,0
20060424,2.7636,2.8107,2.7636,2.7716,3778292,0
20060425,2.7716,2.7872,2.7321,2.7636,2930023,0
20060426,2.7872,2.8344,2.7794,2.8107,4590428,0
20060427,2.8028,2.8107,2.7479,2.7636,8288729,0
20060428,2.7558,2.8736,2.7402,2.8736,7818829,0
20060502,2.8422,2.8579,2.8186,2.8344,2114515,0
20060504,2.8344,2.8736,2.8107,2.8579,2603633,0
20060505,2.8422,2.8579,2.8107,2.8344,3758747,0
20060508,2.8344,2.8499,2.7952,2.8499,2458359,0
20060509,2.8263,2.8499,2.8028,2.8344,3237737,0
20060510,2.8344,2.8422,2.8107,2.8107,3675481,0
20060511,2.8344,2.9914,2.8344,2.9677,24060990,0
20060512,2.9286,2.9677,2.8893,2.9442,7721048,0
20060515,2.905,2.9286,2.8814,2.8814,5345950,0
20060516,2.8499,2.9521,2.8499,2.9442,9347888,0
20060517,2.9521,3.0071,2.8971,2.8971,19876085,0
20060518,2.8736,2.9286,2.8344,2.8736,9444751,0
20060519,2.8971,2.905,2.8107,2.8186,5165336,0
20060522,2.8344,2.8344,2.646,2.6695,5296065,0
20060523,2.6695,2.7321,2.5673,2.7321,15216850,0
20060524,2.7164,2.7244,2.638,2.646,7293590,0
20060525,2.638,2.6929,2.5829,2.646,11312631,0
20060526,2.6851,2.7009,2.5988,2.6146,10805800,0
20060529,2.6223,2.6537,2.5988,2.6067,3107885,0
20060530,2.6067,2.638,2.5752,2.6146,5329739,0
20060531,2.5752,2.7479,2.5752,2.7479,27677577,0
20060601,2.7321,2.7636,2.6695,2.7402,3510934,0
20060602,2.7636,2.8186,2.7479,2.7872,4659765,0
20060605,2.7558,2.8107,2.7164,2.7402,2600025,0
20060606,2.7164,2.7402,2.6617,2.6695,4403156,0
20060607,2.6772,2.7558,2.6223,2.7009,9483355,0
20060608,2.6537,2.6929,2.6223,2.6929,16042869,0
20060609,2.6929,2.7087,2.638,2.6695,2966868,0
20060612,2.638,2.6617,2.5437,2.5752,6278888,0
20060613,2.5046,2.5202,2.4183,2.4888,12104376,0
20060614,2.4731,2.5829,2.4731,2.5202,9163082,0
20060616,2.6067,2.6146,2.5437,2.5752,3811692,0
20060619,2.5829,2.5829,2.5125,2.5437,2197691,0
20060620,2.5437,2.5595,2.4417,2.4495,9805236,0
20060621,2.4731,2.4811,2.3867,2.4183,11494443,0
20060622,2.4495,2.4495,2.3867,2.3867,3116470,0
20060623,2.4024,2.4183,2.3867,2.4104,2688179,0
20060626,2.4104,2.4417,2.4104,2.4183,3586965,0
20060627,2.4417,2.4811,2.4183,2.4811,11100067,0
20060628,2.4495,2.5046,2.4417,2.4888,4719609,0
20060629,2.5046,2.5125,2.4183,2.4495,4187079,0
20060630,2.4967,2.5046,2.4495,2.4495,4107515,0
20060703,2.4574,2.4888,2.4417,2.4731,3314014,0
20060704,2.4731,2.5046,2.4731,2.4967,2277116,0
20060705,2.5046,2.5125,2.4574,2.4888,2620434,0
20060706,2.4888,2.5437,2.4731,2.5359,3487974,0
20060707,2.5202,2.5829,2.5125,2.5829,4978325,0
20060710,2.5282,2.6537,2.4967,2.6146,7840026,0
20060711,2.6146,2.6302,2.5595,2.5752,2405952,0
20060712,2.5829,2.6146,2.5359,2.591,4997712,0
20060713,2.5829,2.5988,2.4967,2.5046,3049743,0
20060714,2.4967,2.5359,2.4811,2.5202,2996180,0
20060717,2.5202,2.5202,2.4967,2.4967,3150317,0
20060718,2.5125,2.5437,2.4967,2.5125,1951242,0
20060719,2.5437,2.5437,2.5046,2.5202,1790914,0
20060720,2.5595,2.5988,2.5517,2.5988,4261165,0
20060721,2.591,2.6146,2.5673,2.5752,2630438,0
20060724,2.5752,2.6067,2.5673,2.5829,3465444,0
20060725,2.6302,2.6537,2.5673,2.5829,5561841,0
20060726,2.5829,2.6302,2.5829,2.6146,2702649,0
20060727,2.6302,2.6537,2.6146,2.646,6850201,0
20060728,2.646,2.6772,2.6223,2.6537,7069701,0
20060731,2.6537,2.6537,2.591,2.591,4085819,0
20060801,2.6067,2.6302,2.5595,2.5595,3808766,0
20060802,2.5595,2.5829,2.5125,2.5437,3616036,0
20060803,2.5595,2.5595,2.4654,2.4731,4128833,0
20060804,2.5046,2.5202,2.4495,2.4811,8963426,0
20060807,2.4888,2.4967,2.4495,2.4888,5706273,0
20060808,2.4888,2.5046,2.4417,2.4495,10946647,0
20060809,2.4495,2.4574,2.4183,2.4338,10515064,0
20060810,2.4338,2.4417,2.4024,2.4183,3185623,0
20060811,2.4183,2.4417,2.3867,2.3867,7240289,0
20060814,2.4183,2.4417,2.4024,2.4261,4671226,0
20060816,2.4338,2.4495,2.4024,2.4104,7740778,0
20060817,2.4104,2.4183,2.3867,2.4183,3327412,0
20060818,2.4024,2.4417,2.3867,2.4417,2498620,0
20060821,2.4495,2.5125,2.4183,2.4654,4811148,0
20060822,2.4654,2.4967,2.4183,2.4811,4896582,0
20060823,2.4811,2.4888,2.4495,2.4731,3974345,0
20060824,2.4574,2.4654,2.4104,2.4183,2811787,0
20060825,2.4183,2.4417,2.379,2.3947,4353593,0
20060828,2.3947,2.4104,2.3632,2.4104,1731870,0
20060829,2.4183,2.4417,2.3947,2.4417,2609805,0
20060830,2.4574,2.4654,2.4261,2.4574,5564609,0
20060831,2.4731,2.4967,2.4183,2.4183,5714068,0
20060901,2.4417,2.4811,2.4338,2.4811,2761149,0
20060904,2.4888,2.5829,2.4811,2.5517,7761655,0
20060905,2.5517,2.5752,2.5202,2.5359,4452204,0
20060906,2.5517,2.5673,2.4731,2.5125,3979011,0
20060907,2.5125,2.5125,2.4495,2.4654,2618776,0
20060908,2.4731,2.4967,2.4417,2.4654,1619752,0
20060911,2.4574,2.4654,2.4261,2.4495,2399347,0
20060912,2.4261,2.4731,2.4183,2.4731,2857802,0
20060913,2.4811,2.4888,2.4338,2.4417,3294737,0
20060914,2.4731,2.4731,2.4417,2.4417,2513113,0
20060915,2.4417,2.4888,2.4417,2.4731,5609958,0
20060918,2.4888,2.4967,2.4574,2.4967,4563509,0
20060919,2.4967,2.5202,2.4654,2.4731,1689693,0
20060920,2.4811,2.4811,2.4183,2.4261,4785620,0
20060921,2.4261,2.4261,2.4024,2.4104,2838375,0
20060922,2.4024,2.4183,2.371,2.3947,4635827,0
20060925,2.4183,2.4183,2.4024,2.4183,995740,0
20060926,2.4261,2.4495,2.4024,2.4261,1859467,0
20060927,2.4104,2.4261,2.371,2.3947,1570554,0
