Date,Open,High,Low,Close,Volume,OpenInt
20061221,64.147,65.999,62.917,63.532,59617,0
20061222,63.469,63.469,62.303,63.285,808,0
20061227,63.412,64.091,61.377,63.843,5986,0
20061228,64.147,64.147,62.917,63.843,648,0
20061229,61.927,61.927,61.927,61.927,17,0
20070102,63.532,65.32,63.532,65.32,12094,0
20070103,65.32,66.308,64.458,64.768,1927,0
20070104,64.21,65.752,64.147,64.147,3308,0
20070105,65.383,65.694,65.383,65.694,2913,0
20070108,65.263,65.694,65.073,65.694,1921,0
20070110,65.63,65.63,64.825,64.825,1388,0
20070115,63.843,65.694,63.843,65.136,2371,0
20070116,65.383,66.62,65.383,66.62,4073,0
20070117,66.493,66.62,65.567,65.999,486,0
20070118,65.999,65.999,65.383,65.999,1475,0
20070123,65.383,65.383,65.383,65.383,48,0
20070124,65.2,65.2,65.2,65.2,4,0
20070129,63.963,64.147,63.412,64.147,446,0
20070130,63.532,63.532,63.532,63.532,6,0
20070131,63.532,64.768,63.469,64.768,3206,0
20070201,63.843,63.843,63.843,63.843,29,0
20070202,62.981,62.981,62.917,62.917,108,0
20070205,62.917,62.917,61.067,61.68,85973,0
20070206,60.078,61.68,60.078,61.68,64930,0
20070207,61.993,62.917,61.68,61.68,16278,0
20070208,61.68,61.68,61.186,61.186,16905,0
20070209,61.529,61.529,61.529,61.529,48634,0
20070212,62.791,62.791,62.791,62.791,17,0
20070213,62.303,62.303,62.303,62.303,48,0
20070219,56.134,61.68,56.134,60.451,16406,0
20070220,59.83,59.83,59.83,59.83,29,0
20070221,59.215,59.215,59.215,59.215,121,0
20070223,59.279,59.279,59.279,59.279,29,0
20070226,59.215,59.215,59.215,59.215,73,0
20070227,59.215,59.215,59.215,59.215,289,0
20070228,56.134,58.6,56.134,58.6,16540,0
20070302,58.6,64.394,58.6,60.451,619,0
20070305,64.394,64.394,59.279,60.451,377,0
20070306,61.067,61.067,61.067,61.067,160,0
20070307,62.917,62.917,61.68,61.68,200,0
20070308,64.521,64.521,62.056,64.026,128,0
20070309,63.532,63.532,63.532,63.532,24,0
