Date,Open,High,Low,Close,Volume,OpenInt
20130213,19.375,20.183,19.375,20.099,711960,0
20130214,20.099,20.431,19.988,20.397,308749,0
20130215,20.397,20.44,20.176,20.252,45464,0
20130218,20.183,20.183,18.311,19.928,66777,0
20130219,19.681,20.013,19.681,19.972,68930,0
20130220,19.928,20.056,19.886,20.022,69765,0
20130221,19.843,20.056,19.631,20.005,67859,0
20130222,19.979,20.134,19.979,20.099,17113,0
20130225,20.099,20.227,20.082,20.108,43768,0
20130226,20.074,20.269,20.056,20.183,26580,0
20130227,20.269,20.508,20.183,20.44,70997,0
20130228,20.44,20.686,20.44,20.609,24067,0
20130301,20.609,20.678,20.269,20.609,20870,0
20130304,20.609,20.609,20.278,20.286,6696,0
20130305,20.329,20.465,20.329,20.44,16170,0
20130306,20.44,20.568,20.397,20.448,15686,0
20130307,20.44,20.55,20.363,20.55,15758,0
20130308,20.44,20.576,20.397,20.559,15763,0
20130311,20.559,21.206,20.406,20.857,56204,0
20130312,20.865,21.121,20.865,21.121,14142,0
20130313,21.139,21.164,20.875,21.13,9450,0
20130314,21.139,21.785,21.139,21.632,56668,0
20130315,21.632,22.313,21.632,22.143,51348,0
20130318,21.742,22.032,20.465,21.965,24051,0
20130319,21.803,22.049,21.657,21.794,6818,0
20130320,21.717,22.561,21.428,22.313,56417,0
20130321,22.355,22.355,20.976,21.462,33875,0
20130322,21.308,21.632,20.993,21.376,64772,0
20130325,21.291,22.04,21.036,21.862,8835,0
20130326,21.717,21.972,21.632,21.896,69304,0
20130327,21.905,21.972,21.896,21.905,23252,0
20130328,21.717,22.143,21.512,21.905,146926,0
20130402,21.905,21.972,21.76,21.972,109844,0
20130403,21.931,22.135,21.931,22.058,89531,0
20130404,21.887,21.972,21.76,21.879,34138,0
20130405,21.887,21.972,21.769,21.81,29613,0
20130408,21.803,22.228,21.803,22.049,19224,0
20130409,22.049,22.049,21.828,21.887,13312,0
20130410,22.058,22.143,21.965,22.135,29060,0
20130411,22.135,22.135,21.887,21.887,5110,0
20130412,21.803,21.972,21.76,21.905,9013,0
20130415,21.803,21.803,20.448,21.76,8270,0
20130417,21.009,21.59,21.009,21.3,16267,0
20130418,21.291,21.546,20.976,21.512,115545,0
20130419,21.3,21.717,21.291,21.419,56266,0
20130422,21.308,21.462,21.308,21.41,2514,0
20130423,20.968,21.419,20.968,21.078,25685,0
20130424,21.044,21.249,21.044,21.198,4440,0
20130425,20.993,21.291,20.993,21.291,20014,0
20130426,21.249,21.291,21.061,21.061,1866,0
20130429,21.061,21.061,20.976,21.036,2213,0
20130430,20.976,20.976,20.704,20.78,6092,0
20130502,20.524,20.524,20.431,20.44,22922,0
20130506,20.44,20.857,20.44,20.857,2836,0
20130507,20.857,20.908,20.857,20.908,198,0
20130508,20.942,21.223,20.908,21.223,14775,0
20130509,20.993,21.291,20.95,21.291,8167,0
20130510,20.465,21.283,20.465,21.283,3,0
20130513,20.627,20.865,20.627,20.789,12103,0
20130514,20.448,21.546,20.448,21.546,9446,0
20130515,21.546,21.546,21.155,21.462,1141,0
20130516,21.505,21.913,21.376,21.546,16935,0
20130517,21.546,21.546,21.376,21.376,5518,0
20130520,21.291,21.376,21.291,21.376,2284,0
20130521,21.249,21.632,20.865,21.624,6353,0
20130522,21.291,21.3,21.13,21.291,38670,0
20130523,21.266,21.41,21.266,21.41,14304,0
20130524,21.334,21.674,21.334,21.674,3133,0
20130527,21.291,21.632,21.291,21.539,672,0
20130528,21.291,21.615,21.291,21.546,17823,0
20130529,21.291,21.539,21.291,21.376,17781,0
20130531,21.376,22.739,21.376,22.739,49137,0
20130603,22.228,22.569,22.143,22.399,3581,0
20130604,22.399,22.739,22.151,22.739,8199,0
20130605,22.739,22.739,22.347,22.347,13370,0
20130606,22.372,22.739,22.338,22.338,20359,0
20130607,22.347,22.569,22.338,22.569,2987,0
20130610,22.569,22.969,22.569,22.892,20651,0
20130611,22.884,22.977,22.757,22.824,19118,0
20130612,22.781,22.781,22.739,22.739,514,0
20130613,22.484,22.484,22.237,22.279,2564,0
20130614,22.288,22.313,22.194,22.279,1775,0
20130617,22.279,22.355,22.245,22.355,1252,0
20130618,22.467,22.679,22.151,22.151,29509,0
20130619,22.143,22.16,21.981,21.99,5216,0
20130620,21.931,22.117,21.3,21.36,10266,0
