Date,Open,High,Low,Close,Volume,OpenInt
20080929,5.7252,15.267,5.7252,13.053,35386,0
20080930,12.214,13.931,10.229,10.229,23423,0
20081001,10.019,10.878,9.542,9.542,7126,0
20081002,9.542,9.542,8.4924,8.4924,12932,0
20081003,8.6832,9.1603,8.3015,8.3969,5334,0
20081006,8.3015,8.3015,7.1183,7.5382,6697,0
20081007,7.0611,7.3664,6.6985,7.3092,2007,0
20081008,6.9656,8.0344,6.6603,7.2328,4134,0
20081009,7.5763,7.5763,7.2137,7.2137,3956,0
20081010,6.813,6.813,6.374,6.6603,409,0
20081013,6.9847,7.1947,6.7366,6.7366,1326,0
20081014,7.6145,7.6145,7.0611,7.0611,1750,0
20081015,7.3664,7.3664,6.8702,6.8702,2835,0
20081016,6.4504,6.4695,5.5344,5.7824,2940,0
20081017,6.6603,6.6603,5.9924,5.9924,2657,0
20081020,5.9924,6.2977,5.8015,6.2977,2573,0
20081021,6.4122,6.4122,5.7824,5.8015,2699,0
20081022,5.8206,6.1069,5.8206,6.1069,3453,0
20081023,6.6794,6.6794,6.0115,6.3168,7829,0
20081024,6.2977,6.3931,5.9351,6.1069,6466,0
20081027,6.2786,6.2786,5.7252,6.2786,3086,0
20081028,6.3931,6.3931,5.916,5.916,461,0
20081029,6.2023,6.2977,5.916,6.126,6760,0
20081030,6.1832,6.4122,6.0115,6.0115,4831,0
20081031,6.1641,6.1641,6.1641,6.1641,5,0
20081103,6.2214,6.2214,6.2214,6.2214,10,0
20081104,6.2023,6.2023,5.6489,5.9351,2662,0
20081105,6.1641,6.1641,5.8588,5.8588,540,0
20081106,6.1069,6.145,5.8397,5.8397,1656,0
20081107,5.6107,5.8206,5.6107,5.8206,267,0
20081110,5.5725,5.5725,5.5725,5.5725,262,0
20081112,5.5344,5.5344,5.1908,5.1908,1362,0
20081113,4.8855,5.5725,4.8664,5.5725,3631,0
20081114,5.4389,5.6107,5.4389,5.6107,1913,0
20081117,5.5725,5.5725,5.3053,5.5725,487,0
20081118,5.2481,5.458,5.2481,5.458,1693,0
20081119,5.1336,5.1336,4.3511,4.3511,2625,0
20081120,4.1031,4.3893,4.1031,4.3893,3684,0
20081121,4.1794,4.7519,4.1031,4.1031,11020,0
20081124,4.1985,4.1985,4.1985,4.1985,0,0
20081125,4.1985,5.1336,4.1985,5.0954,6215,0
20081126,4.5611,5.0954,4.3893,5.0954,5408,0
20081127,4.8092,4.8092,4.3321,4.5038,6288,0
20081128,4.2176,4.2366,4.0458,4.2176,3699,0
20081201,4.1603,4.2939,4.1031,4.2939,2583,0
20081202,4.1031,4.2176,4.1031,4.1031,2169,0
20081205,4.1031,4.1031,3.9122,4.084,534,0
20081208,4.084,4.1603,4.084,4.1603,105,0
20081209,4.1412,4.1412,4.1412,4.1412,5,0
20081210,4.0458,4.0458,4.0458,4.0458,770,0
20081211,4.0267,4.0267,3.9313,3.9313,1520,0
20081212,3.9122,3.9122,3.7214,3.7214,16,0
20081215,3.9695,3.9695,3.9695,3.9695,16,0
20081216,3.8168,3.8168,3.7405,3.7405,524,0
20081218,3.7405,3.7405,3.7405,3.7405,0,0
20081230,3.416,3.416,3.416,3.416,52,0
