Date,Open,High,Low,Close,Volume,OpenInt
19991126,18.026,18.186,17.375,17.94,13430007,0
19991129,17.856,17.94,17.535,17.62,4657517,0
19991130,17.781,18.101,17.781,17.94,2783981,0
19991201,18.101,18.507,17.94,18.507,2606682,0
19991202,18.676,19.241,18.591,18.836,2798318,0
19991203,18.836,19.156,18.676,19.08,1997023,0
19991206,19.241,19.892,19.241,19.808,2545111,0
19991207,19.732,19.808,19.486,19.486,2054896,0
19991208,19.486,19.968,19.486,19.646,3224605,0
19991209,19.646,19.646,19.156,19.486,2128715,0
19991210,19.646,19.646,19.317,19.401,1586395,0
19991213,19.317,19.486,19.156,19.241,1335937,0
19991214,19.486,19.808,19.486,19.808,2677196,0
19991215,19.732,19.732,19.486,19.563,1110170,0
19991216,19.486,19.486,19.241,19.317,1241153,0
19991217,19.317,19.486,19.241,19.241,1142376,0
19991220,19.486,19.732,19.401,19.732,2063591,0
19991221,19.563,20.137,19.563,19.808,1347847,0
19991222,20.298,20.948,20.298,20.779,2425512,0
19991223,20.863,21.108,20.703,20.779,1106840,0
19991227,20.863,21.353,20.863,20.948,1304372,0
19991228,20.863,20.863,20.374,20.458,949408,0
19991229,20.458,21.193,20.458,21.193,1704120,0
20000103,21.598,21.918,21.269,21.674,1360886,0
20000104,21.108,21.108,20.618,20.779,1670394,0
20000105,20.053,20.703,20.053,20.542,2302777,0
20000106,20.618,21.024,20.374,20.948,1391897,0
20000107,21.269,22.164,21.269,21.918,3546588,0
20000110,22.004,23.058,22.004,22.164,3737894,0
20000111,21.834,22.004,21.353,21.758,1427083,0
20000112,21.269,21.674,21.269,21.674,1157392,0
20000113,21.758,22.484,21.758,22.325,1813710,0
20000114,22.325,22.654,21.918,22.164,3408214,0
20000117,21.918,22.164,21.918,22.004,1498378,0
20000118,22.079,22.164,21.353,21.514,1055579,0
20000119,21.193,21.674,21.193,21.598,1311426,0
20000120,21.674,22.004,21.429,21.918,1833025,0
20000121,21.758,22.164,21.758,22.079,1332554,0
20000124,21.758,21.758,21.108,21.429,1003299,0
20000125,20.863,20.863,19.892,20.618,1637107,0
20000126,20.618,20.779,20.374,20.618,1178497,0
20000127,20.458,20.948,20.458,20.948,844252,0
20000128,21.024,21.429,20.458,20.703,884990,0
20000131,20.542,20.542,20.298,20.374,763099,0
20000201,20.779,21.193,20.053,20.137,1215630,0
20000202,20.213,20.374,19.968,20.298,1378866,0
20000203,20.458,21.193,20.458,21.024,1585044,0
20000204,21.269,21.514,20.618,20.779,1220055,0
20000207,20.703,20.863,20.374,20.542,1054081,0
20000208,20.542,20.542,20.137,20.298,1517826,0
20000209,20.458,20.542,19.808,19.892,2631428,0
20000210,19.808,19.892,19.486,19.732,1208012,0
20000211,19.486,19.486,18.752,18.912,2917370,0
20000214,18.507,19.646,18.507,19.486,2187949,0
20000215,20.298,20.298,19.563,19.646,2199188,0
20000216,19.892,19.892,18.912,19.156,1522169,0
20000217,19.156,19.892,18.912,19.892,1418638,0
20000218,19.732,20.374,19.732,20.053,2581819,0
20000221,19.08,19.732,19.08,19.646,931218,0
20000222,19.646,20.137,19.241,19.241,985230,0
20000223,19.317,19.563,18.752,19.08,1493301,0
20000224,18.912,19.241,18.507,18.676,1714630,0
20000225,18.676,18.676,18.186,18.431,1038837,0
20000228,17.781,18.431,17.62,18.101,1659944,0
20000229,18.431,18.431,18.026,18.186,735723,0
20000301,18.261,18.431,18.026,18.261,1107242,0
20000302,18.261,18.996,18.261,18.836,1200699,0
20000303,18.912,19.241,18.836,19.241,877270,0
20000306,19.486,19.646,18.996,19.08,815777,0
20000307,19.08,19.08,18.676,18.912,688012,0
20000308,18.261,18.752,18.261,18.591,802840,0
20000309,18.836,18.836,18.261,18.261,700288,0
20000310,18.996,18.996,18.431,18.507,704740,0
20000313,18.431,18.591,17.781,18.026,1352529,0
20000314,18.261,18.836,18.026,18.836,2894971,0
20000315,18.507,18.591,18.186,18.261,983162,0
20000316,18.912,18.912,18.431,18.676,1306313,0
20000317,19.08,19.08,18.836,18.912,1751765,0
20000320,18.912,18.912,18.676,18.752,696626,0
20000321,18.676,18.836,18.431,18.591,545642,0
20000322,19.08,19.732,19.08,19.486,1959344,0
20000323,19.486,19.808,19.486,19.646,1630394,0
20000324,19.808,19.892,19.563,19.732,1508071,0
20000327,19.732,19.732,19.317,19.317,640832,0
20000328,19.486,19.486,19.241,19.486,1022458,0
20000329,19.486,19.486,19.156,19.317,869983,0
20000330,19.401,19.401,18.752,18.912,467893,0
20000331,18.676,18.912,18.676,18.912,504165,0
20000403,18.996,18.996,18.346,18.346,513520,0
20000404,18.346,18.431,18.101,18.261,862236,0
20000405,18.346,18.346,17.781,18.026,1041486,0
20000406,18.101,18.346,18.026,18.261,563386,0
20000407,18.431,18.431,17.94,18.261,701545,0
20000410,18.507,18.752,18.507,18.752,645231,0
20000411,18.676,18.676,18.431,18.591,459194,0
20000412,18.752,19.08,18.591,18.996,654005,0
20000413,18.836,19.08,18.836,18.996,492718,0
20000414,19.08,19.156,18.836,18.912,668722,0
20000417,17.781,18.101,17.535,17.94,1271498,0
20000418,18.431,18.431,17.856,18.026,706795,0
20000419,18.346,18.346,17.856,17.856,911379,0
20000420,17.856,18.186,17.856,18.101,546026,0
20000425,18.186,18.261,17.856,18.261,455423,0
20000426,18.261,18.346,18.026,18.026,380790,0
20000427,17.856,18.186,17.856,18.026,591333,0
20000428,18.101,18.261,17.856,18.186,262078,0
20000504,17.94,18.186,17.856,17.856,238521,0
20000505,17.781,17.94,17.781,17.856,186419,0
20000508,17.856,17.856,17.62,17.781,170003,0
20000509,17.781,18.026,17.695,17.856,401038,0
20000510,17.856,18.101,17.856,18.101,315931,0
20000511,17.856,18.431,17.856,18.346,553928,0
20000512,18.186,18.186,17.94,18.026,337870,0
20000515,17.856,17.856,17.695,17.856,261396,0
20000516,18.026,18.431,17.856,18.261,488880,0
