Date,Open,High,Low,Close,Volume,OpenInt
19980522,11.767,11.767,11.767,11.767,44146,0
19980525,12.949,12.949,12.949,12.949,19774,0
19980526,14.123,14.123,14.123,14.123,0,0
19980527,15.433,15.433,15.433,15.433,27437,0
19980528,13.994,13.994,13.994,13.994,21484,0
19980529,12.949,12.949,12.949,12.949,5795,0
19980601,12.949,12.949,12.949,12.949,10025,0
19980602,11.767,11.767,11.767,11.767,4676,0
19980603,12.554,12.554,12.554,12.554,6197,0
19980604,12.813,12.813,12.813,12.813,3471,0
19980605,12.554,12.554,12.554,12.554,2426,0
19980608,12.813,12.813,12.813,12.813,4752,0
19980609,11.53,11.53,11.53,11.53,1036,0
19980610,10.986,10.986,10.986,10.986,832,0
19980615,10.463,10.463,10.463,10.463,5543,0
19980616,10.198,10.198,10.198,10.198,8209,0
19980617,10.986,10.986,10.986,10.986,1862,0
19980618,12.082,12.082,12.082,12.082,2787,0
19980619,12.161,12.161,12.161,12.161,7640,0
19980622,12.161,12.161,12.161,12.161,1919,0
19980623,12.554,12.554,12.554,12.554,4993,0
19980624,13.078,13.078,13.078,13.078,3230,0
19980625,13.078,13.078,13.078,13.078,2236,0
19980626,13.078,13.078,13.078,13.078,2171,0
19980629,13.078,13.078,13.078,13.078,1872,0
19980630,13.858,13.858,13.858,13.858,3823,0
19980701,13.6,13.6,13.6,13.6,16877,0
19980702,13.858,13.858,13.858,13.858,3173,0
19980703,13.994,13.994,13.994,13.994,4052,0
19980706,14.123,14.123,14.123,14.123,1329,0
19980707,14.123,14.123,14.123,14.123,4588,0
19980708,13.729,13.729,13.729,13.729,1536,0
19980709,13.336,13.336,13.336,13.336,1227,0
19980710,13.206,13.206,13.206,13.206,2328,0
19980713,13.078,13.078,13.078,13.078,1182,0
19980714,13.078,13.078,13.078,13.078,2653,0
19980715,13.078,13.078,13.078,13.078,8943,0
19980716,13.078,13.078,13.078,13.078,3900,0
19980717,13.206,13.206,13.206,13.206,4641,0
19980720,12.426,12.426,12.426,12.426,16089,0
19980721,12.289,12.289,12.289,12.289,5353,0
19980722,12.268,12.268,12.268,12.268,420,0
19980723,13.078,13.078,13.078,13.078,1239,0
19980724,11.767,11.767,11.767,11.767,1112,0
19980727,12.289,12.289,12.289,12.289,511,0
19980728,11.244,11.244,11.244,11.244,803,0
19980729,11.244,11.244,11.244,11.244,2415,0
19980730,11.767,11.767,11.767,11.767,382,0
19980731,11.767,11.767,11.767,11.767,526,0
19980803,11.767,11.767,11.767,11.767,57,0
19980804,11.222,11.222,11.222,11.222,30,0
19980805,10.986,10.986,10.986,10.986,30,0
19980806,11.272,11.272,11.272,11.272,115,0
19980807,11.53,11.53,11.53,11.53,511,0
19980810,10.986,10.986,10.986,10.986,262,0
19980811,10.514,10.514,10.514,10.514,190,0
19980812,9.4684,9.4684,9.4684,9.4684,1112,0
19980813,9.783,9.783,9.783,9.783,803,0
19980814,9.754,9.754,9.754,9.754,266,0
19980817,9.754,9.754,9.754,9.754,717,0
19980818,9.805,9.805,9.805,9.805,65,0
19980819,10.099,10.099,10.099,10.099,190,0
19980820,10.176,10.176,10.176,10.176,744,0
19980821,9.654,9.654,9.654,9.654,764,0
19980824,9.805,9.805,9.805,9.805,649,0
19980825,8.8381,8.8381,8.8381,8.8381,379,0
19980826,9.4182,9.4182,9.4182,9.4182,1479,0
19980827,9.547,9.547,9.547,9.547,1912,0
19980828,9.4967,9.4967,9.4967,9.4967,2057,0
19980831,9.4182,9.4182,9.4182,9.4182,1912,0
19980901,9.1528,9.1528,9.1528,9.1528,1127,0
19980902,9.4684,9.4684,9.4684,9.4684,115,0
19980903,9.4182,9.4182,9.4182,9.4182,629,0
19980904,9.3608,9.3608,9.3608,9.3608,1514,0
19980907,9.1528,9.1528,9.1528,9.1528,508,0
19980908,9.1528,9.1528,9.1528,9.1528,4767,0
19980909,9.1528,9.1528,9.1528,9.1528,1036,0
19980910,9.1528,9.1528,9.1528,9.1528,764,0
19980911,8.8947,8.8947,8.8947,8.8947,764,0
19980914,9.1528,9.1528,9.1528,9.1528,190,0
19980915,9.1528,9.1528,9.1528,9.1528,658,0
19980916,9.1528,9.1528,9.1528,9.1528,420,0
19980917,8.8381,8.8381,8.8381,8.8381,764,0
19980918,7.9784,7.9784,7.9784,7.9784,715,0
19980921,7.9784,7.9784,7.9784,7.9784,1264,0
19980922,7.9784,7.9784,7.9784,7.9784,360,0
19980923,7.9784,7.9784,7.9784,7.9784,795,0
19980924,8.4223,8.4223,8.4223,8.4223,157,0
