Date,Open,High,Low,Close,Volume,OpenInt
20040227,1.7739,1.8049,1.6961,1.722,3347313,0
20040301,1.7691,1.7789,1.727,1.7479,1490965,0
20040302,1.763,1.8299,1.738,1.7989,915816,0
20040303,1.7989,1.8149,1.7739,1.7889,332729,0
20040304,1.7989,1.7989,1.758,1.763,231871,0
20040305,1.758,1.7739,1.738,1.758,633581,0
20040308,1.7889,1.7889,1.717,1.717,215707,0
20040309,1.743,1.743,1.6711,1.6961,106921,0
20040310,1.6961,1.6961,1.6711,1.6961,90773,0
20040311,1.6761,1.6761,1.6042,1.6453,45837,0
20040312,1.6453,1.6453,1.5883,1.6402,104485,0
20040315,1.6093,1.6352,1.6093,1.6302,105867,0
20040316,1.5992,1.6093,1.5883,1.5933,60932,0
20040317,1.6302,1.6453,1.5992,1.6042,63037,0
20040318,1.6093,1.6402,1.6093,1.6142,73173,0
20040319,1.6142,1.6142,1.5734,1.5992,90547,0
20040322,1.6093,1.6093,1.5423,1.5632,197846,0
20040323,1.5473,1.5684,1.5324,1.5473,38444,0
20040324,1.5214,1.5684,1.5064,1.5324,161284,0
20040325,1.5324,1.5684,1.5324,1.5684,374078,0
20040326,1.5632,1.6761,1.5423,1.6192,285170,0
20040329,1.5992,1.6302,1.5933,1.6192,26156,0
20040330,1.6042,1.6352,1.5933,1.5933,22209,0
20040331,1.6042,1.6142,1.5933,1.6042,39827,0
20040401,1.6142,1.6142,1.5933,1.5992,27557,0
20040402,1.6302,1.6352,1.6042,1.6242,28237,0
20040405,1.6093,1.6242,1.6042,1.6042,14567,0
20040406,1.6093,1.6192,1.6042,1.6142,23820,0
20040407,1.6302,1.6352,1.6042,1.6042,13862,0
20040408,1.6242,1.6352,1.6042,1.6352,61322,0
20040413,1.6402,1.6661,1.6402,1.6453,34893,0
20040414,1.6661,1.6761,1.6552,1.6552,28779,0
20040415,1.6761,1.7989,1.6761,1.7989,508055,0
20040416,1.7939,1.7939,1.7479,1.7691,238282,0
20040419,1.727,1.7739,1.727,1.727,170742,0
20040420,1.738,1.738,1.6661,1.6911,95441,0
20040421,1.6552,1.6862,1.6453,1.6862,60119,0
20040422,1.6661,1.6661,1.6502,1.6661,12311,0
20040423,1.6661,1.6961,1.6602,1.6961,77893,0
20040426,1.7121,1.722,1.6711,1.6961,32782,0
20040427,1.6761,1.7989,1.6761,1.7989,141290,0
20040428,1.8969,1.8969,1.738,1.738,329380,0
20040429,1.722,1.738,1.7121,1.738,16740,0
20040430,1.6961,1.7479,1.6961,1.7479,9404,0
20040504,1.7479,1.763,1.722,1.763,10457,0
20040505,1.763,1.7889,1.7479,1.7479,135285,0
20040506,1.7479,1.753,1.7479,1.7479,129251,0
20040507,1.7479,1.7479,1.7479,1.7479,63797,0
20040510,1.722,1.722,1.6502,1.6711,94621,0
20040511,1.6552,1.6711,1.6453,1.6453,101724,0
20040512,1.6242,1.6453,1.6242,1.6453,58503,0
20040514,1.6242,1.6502,1.6242,1.6453,33981,0
20040517,1.6453,1.6502,1.6453,1.6453,12950,0
20040518,1.6453,1.717,1.6453,1.717,23592,0
20040519,1.6961,1.727,1.6961,1.7021,95894,0
20040520,1.6961,1.7071,1.6961,1.7071,13822,0
20040521,1.7331,1.7331,1.7021,1.7021,2034,0
20040524,1.7331,1.7331,1.6961,1.722,9666,0
20040525,1.6961,1.7479,1.6711,1.6961,65117,0
20040526,1.6711,1.722,1.6711,1.722,15287,0
20040527,1.6761,1.7071,1.6761,1.7071,4940,0
20040528,1.6961,1.717,1.6812,1.717,3889,0
20040531,1.6961,1.7021,1.6961,1.6961,22442,0
20040601,1.6961,1.6961,1.6961,1.6961,6551,0
20040602,1.722,1.727,1.722,1.722,13066,0
20040603,1.6961,1.717,1.6961,1.717,1819,0
20040604,1.7331,1.7331,1.6961,1.7331,6300,0
20040607,1.7021,1.7021,1.6961,1.7021,32655,0
20040608,1.727,1.7479,1.722,1.7479,194700,0
20040609,1.738,1.738,1.722,1.7331,11078,0
20040611,1.7331,1.7331,1.7331,1.7331,3209,0
20040614,1.7331,1.7331,1.6761,1.6761,57148,0
20040615,1.6761,1.7071,1.6761,1.6812,4040,0
20040616,1.722,1.722,1.722,1.722,193,0
20040617,1.6812,1.6812,1.6761,1.6761,7772,0
20040618,1.6711,1.6761,1.6711,1.6711,37927,0
20040621,1.7121,1.7121,1.7121,1.7121,193,0
20040622,1.7121,1.7121,1.6911,1.6911,1947,0
20040623,1.6911,1.7121,1.6911,1.7121,3987,0
20040624,1.6761,1.6961,1.6761,1.6961,20518,0
20040625,1.7121,1.7121,1.6961,1.6961,1662,0
20040628,1.6961,1.6961,1.6961,1.6961,1947,0
20040629,1.7121,1.7121,1.6961,1.6961,123776,0
20040630,1.6761,1.6961,1.6761,1.6961,55417,0
20040701,1.7021,1.7021,1.6961,1.7021,18281,0
20040702,1.6961,1.6961,1.6812,1.6911,26156,0
20040705,1.6812,1.6812,1.6602,1.6602,11590,0
20040707,1.6552,1.6552,1.6552,1.6552,4679,0
20040708,1.6661,1.6661,1.6661,1.6661,46,0
20040709,1.6711,1.6961,1.6711,1.6761,31836,0
20040712,1.6552,1.6711,1.6502,1.6502,3581,0
20040713,1.6961,1.6961,1.6862,1.6911,328433,0
20040714,1.6911,1.6961,1.6911,1.6961,5458,0
20040715,1.6911,1.6911,1.6761,1.6761,2498,0
20040716,1.6961,1.7071,1.6911,1.6961,20390,0
20040719,1.7021,1.7021,1.7021,1.7021,2918,0
20040720,1.7071,1.7071,1.7071,1.7071,9916,0
20040721,1.7071,1.727,1.7021,1.7071,21629,0
20040722,1.6961,1.7071,1.6961,1.7021,49034,0
20040723,1.6961,1.7121,1.6961,1.7071,34368,0
20040726,1.6961,1.7121,1.6961,1.7021,11195,0
20040727,1.7121,1.717,1.7071,1.7071,11119,0
20040728,1.7121,1.722,1.7071,1.7121,26446,0
20040729,1.7071,1.727,1.7071,1.727,6021,0
20040730,1.727,1.727,1.7121,1.727,18430,0
20040802,1.7479,1.7479,1.7121,1.7479,29772,0
20040803,1.7479,1.7739,1.7479,1.7691,53951,0
20040804,1.7889,1.7889,1.758,1.758,34253,0
20040805,1.7739,1.7739,1.7331,1.7739,1843,0
20040806,1.763,1.763,1.722,1.743,28824,0
20040809,1.7121,1.7121,1.6552,1.6961,22209,0
20040810,1.6961,1.6961,1.6961,1.6961,4853,0
20040811,1.6761,1.6761,1.5933,1.6242,38426,0
20040812,1.6302,1.6302,1.6242,1.6302,30712,0
20040813,1.6192,1.6192,1.6192,1.6192,4853,0
20040816,1.6242,1.6242,1.6192,1.6192,15147,0
20040817,1.6192,1.6192,1.6192,1.6192,19442,0
20040819,1.6142,1.6142,1.5632,1.5632,24307,0
20040820,1.5523,1.6142,1.5523,1.6142,8551,0
20040823,1.5933,1.5933,1.5783,1.5783,3685,0
