Date,Open,High,Low,Close,Volume,OpenInt
20061027,1008,1008,954.7,964.8,372873,0
20061030,981.4,981.4,965.8,965.8,32306,0
20061031,977.7,977.7,966.7,977.7,21435,0
20061101,988.7,994.2,977.7,977.7,23008,0
20061102,974.9,974.9,963.9,972.2,12074,0
20061103,975.9,986.9,974,974,2195,0
20061106,970.3,978.6,970.3,973.1,29053,0
20061107,975.9,975.9,965.8,965.8,645,0
20061108,962.1,963.9,962.1,962.1,7086,0
20061109,982.3,987.8,962.1,972.2,2465,0
20061110,960.2,964.8,960.2,964.8,3964,0
20061113,965.8,968.5,965.8,968.5,5504,0
20061114,961.2,961.2,950.1,955.7,8201,0
20061115,949.22,949.22,949.22,949.22,6817,0
20061116,946.47,952,936.37,936.37,14962,0
20061117,947.39,947.39,937.29,937.29,5616,0
20061120,955.7,955.7,951.1,951.1,7729,0
20061121,949.22,954.7,949.22,954.7,15701,0
20061122,958.4,958.4,952,954.7,446,0
20061124,959.3,959.3,959.3,959.3,13243,0
20061127,948.31,952,948.31,952,9390,0
20061128,952.9,952.9,952.9,952.9,11440,0
20061129,955.7,961.2,955.7,961.2,9846,0
20061130,961.2,961.2,955.7,958.4,874,0
20061201,957.5,973.1,957.5,973.1,7333,0
20061204,983.2,1030,983.2,1017.2,18032,0
20061205,1014.4,1014.4,1007.1,1014.4,5747,0
20061206,1010.7,1010.7,1003.4,1003.4,2259,0
20061207,1005.2,1020.8,1005.2,1020.8,1584,0
20061208,1033.7,1118.1,1033.7,1064.9,2188,0
20061211,1067.7,1088.8,1067.7,1069.5,2509,0
20061212,1077.8,1088.8,1075.9,1075.9,19823,0
20061213,1088.8,1088.8,1067.7,1070.4,2967,0
20061214,1064,1073.2,1064,1066.7,4937,0
20061215,1064.9,1070.4,1061.2,1067.7,8916,0
20061218,1064.9,1064.9,1064.9,1064.9,377,0
20061219,1071.3,1071.3,1053,1055.7,241,0
20061220,1069.5,1069.5,1043.8,1064,3823,0
20061221,1066.7,1066.7,1061.2,1061.2,6375,0
20061222,1043.8,1048.4,1025.4,1025.4,329,0
20061227,1030.9,1030.9,1030.9,1030.9,484,0
20061229,1047.5,1053,1024.5,1024.5,391,0
20070102,1032.8,1038.3,1012.6,1017.2,331,0
20070103,1039.2,1039.2,1027.3,1027.3,5172,0
20070104,1041.9,1087.8,1041.9,1072.2,1093,0
20070105,1097,1101.6,1070.4,1086,596,0
20070108,1083.3,1088.8,1075,1075,224,0
20070109,1073.2,1073.2,1064.9,1064.9,99,0
20070110,1093.4,1093.4,1078.7,1078.7,393,0
20070111,1097,1097,1064.9,1067.7,2249,0
20070112,1075,1075,1075,1075,7218,0
20070115,1079.6,1090.6,1079.6,1090.6,1009,0
20070116,1084.2,1084.2,1084.2,1084.2,816,0
20070117,1108,1108,1108,1108,10,0
20070118,1084.2,1106.2,1084.2,1092.4,16896,0
20070119,1096.1,1096.1,1079.6,1079.6,313,0
20070122,1094.3,1094.3,1084.2,1084.2,4148,0
20070123,1104.4,1109.9,1104.4,1109.9,265,0
20070124,1104.4,1104.4,1104.4,1104.4,680,0
20070125,1088.8,1088.8,1088.8,1088.8,2828,0
20070126,1115.4,1131.9,1101.6,1101.6,4980,0
20070129,1119.1,1119.1,1110.8,1110.8,223,0
20070130,1123.7,1123.7,1115.4,1115.4,20,0
20070131,1101.6,1101.6,1090.6,1090.6,2066,0
20070201,1081.4,1081.4,1081.4,1081.4,1355,0
20070202,1084.2,1110.8,1084.2,1110.8,36516,0
20070206,1079.6,1089.7,1079.6,1089.7,8417,0
20070207,1075,1080.5,1075,1075,11582,0
20070208,1077.8,1077.8,1073.2,1073.2,4380,0
20070212,1069.5,1069.5,1069.5,1069.5,1198,0
20070213,1075,1075,1069.5,1069.5,2573,0
20070214,1069.5,1069.5,1064,1064,2491,0
20070215,1066.7,1066.7,1064,1064,14346,0
20070216,1065.8,1078.7,1063.1,1078.7,18897,0
20070220,1064,1064,1055.7,1055.7,2725,0
20070221,1055.7,1055.7,1051.1,1051.1,5832,0
20070222,1045.6,1045.6,1037.4,1040.1,1318,0
20070223,1036.4,1047.5,1036.4,1047.5,432,0
20070226,1044.7,1064,1044.7,1044.7,5782,0
20070227,1036.4,1039.2,1036.4,1039.2,4078,0
20070228,1029.1,1029.1,1018.1,1020.8,7942,0
20070301,1010.7,1037.4,1010.7,1031.9,2719,0
20070302,1025.4,1025.4,1002.5,1002.5,343,0
20070305,1000.6,1000.6,942.8,948.31,5057,0
20070306,948.31,948.31,930.86,930.86,2764,0
20070307,937.29,937.29,926.27,926.27,780,0
20070308,947.39,947.39,902.41,923.52,30146,0
20070309,935.45,983.2,922.6,977.7,11000,0
20070312,979.5,995.1,974,981.4,5600,0
20070313,975.9,994.2,975.9,987.8,2554,0
20070314,982.3,989.6,982.3,987.8,2562,0
20070315,988.7,991.5,979.5,988.7,5386,0
20070316,991.5,996,981.4,987.8,39290,0
20070319,973.1,978.6,952,972.2,18848,0
20070320,975.9,978.6,927.19,952,1096,0
20070321,943.72,953.8,917.09,925.36,9217,0
20070322,932.7,952,927.19,948.31,28695,0
20070323,948.31,981.4,948.31,977.7,1453,0
20070326,975.9,986.9,934.54,950.1,4432,0
20070327,952.9,952.9,937.29,946.47,25654,0
20070328,955.7,960.2,948.31,948.31,1003,0
20070329,981.4,1012.6,981.4,994.2,2762,0
20070330,989.6,989.6,985,985,986,0
20070402,985,985,974.9,985,3190,0
20070403,981.4,1000.6,981.4,984.1,1773,0
20070404,989.6,994.2,988.7,988.7,1366,0
20070405,963,984.1,963,976.8,580,0
20070410,985,985,982.3,985,5061,0
20070411,983.2,983.2,976.8,980.4,1702,0
20070412,974,974,932.7,932.7,1916,0
20070413,941.88,941.88,931.78,934.54,11708,0
20070416,934.54,937.29,930.86,930.86,4771,0
20070417,933.62,933.62,880.37,901.49,7513,0
20070418,891.39,935.45,891.39,925.36,13160,0
20070419,918.93,921.68,905.16,906.08,6004,0
20070420,904.24,911.59,896.9,901.49,39026,0
20070423,920.77,930.86,910.67,930.86,22457,0
20070424,931.78,935.45,927.19,934.54,6408,0
20070426,956.6,966.7,926.27,927.19,10511,0
20070427,938.21,938.21,929.95,938.21,5084,0
20070430,936.37,966.7,926.27,959.3,11832,0
20070501,972.2,974.9,966.7,974.9,4367,0
20070502,991.5,1005.2,991.5,997,6928,0
20070503,1006.1,1016.2,1006.1,1008,1571,0
20070504,1007.1,1032.8,1007.1,1032.8,4050,0
20070508,1045.6,1048.4,1020.8,1025.4,1027,0
20070509,1030.9,1035.5,1012.6,1025.4,19258,0
20070510,1041,1041,1030.9,1039.2,1010,0
20070511,1035.5,1035.5,1025.4,1032.8,10926,0
20070514,1038.3,1038.3,1019.9,1022.7,5636,0
20070515,1028.2,1028.2,1022.7,1022.7,2101,0
20070516,1026.3,1029.1,1013.5,1019,13328,0
20070517,1016.2,1018.1,1016.2,1016.2,8628,0
20070518,1030,1030,1017.2,1017.2,2664,0
20070521,1028.2,1028.2,1008,1012.6,4700,0
20070522,1015.3,1016.2,996,1007.1,1650,0
20070523,1005.2,1010.7,995.1,998.8,443,0
20070524,999.7,1006.1,974,974,3440,0
20070525,976.8,976.8,955.7,972.2,4162,0
20070529,983.2,998.8,973.1,998.8,28511,0
20070530,982.3,997,982.3,990.5,678,0
20070531,998.8,1004.3,991.5,991.5,2121,0
20070604,997,997,965.8,981.4,1764,0
20070605,989.6,989.6,981.4,989.6,4530,0
20070606,986.9,989.6,915.26,919.85,11774,0
20070607,944.63,945.55,873.95,875.78,3894,0
20070608,900.57,966.7,900.57,961.2,24121,0
20070611,976.8,1033.7,976.8,986.9,6968,0
20070612,994.2,1022.7,986.9,1015.3,7293,0
20070613,1013.5,1041.9,1010.7,1020.8,16309,0
20070614,1011.7,1018.1,1008,1018.1,12128,0
20070615,1019.9,1044.7,1014.4,1044.7,4441,0
20070618,1032.8,1042.9,991.5,1017.2,5529,0
20070619,1008.9,1040.1,1008.9,1031.9,4698,0
20070620,1027.3,1030,1014.4,1025.4,9031,0
20070621,1020.8,1026.3,1000.6,1020.8,13439,0
20070622,1023.6,1033.7,1013.5,1018.1,26695,0
20070625,1013.5,1038.3,1003.4,1029.1,7965,0
20070626,1019.9,1037.4,1019.9,1035.5,12900,0
20070627,1021.8,1042.9,1021.8,1037.4,7327,0
20070628,1036.4,1046.5,1027.3,1046.5,10628,0
20070629,1038.3,1043.8,1020.8,1028.2,4705,0
20070702,1022.7,1032.8,1003.4,1017.2,20178,0
20070703,1018.1,1048.4,1018.1,1043.8,18361,0
20070704,1048.4,1058.5,1032.8,1043.8,13701,0
20070705,1041.9,1047.5,1041.9,1042.9,17194,0
20070706,1050.2,1060.3,1050.2,1052,17722,0
20070709,1056.6,1064,1046.5,1046.5,3910,0
20070710,1049.3,1049.3,1039.2,1044.7,8540,0
20070711,1046.5,1048.4,1045.6,1045.6,4197,0
20070712,1041,1042.9,1030.9,1042.9,8414,0
20070713,1048.4,1048.4,997.9,1013.5,3634,0
20070716,1002.5,1016.2,989.6,997,3825,0
20070717,990.5,1011.7,975.9,975.9,2786,0
20070718,991.5,1002.5,938.21,938.21,1468,0
20070719,960.2,996,955.7,996,11155,0
20070720,990.5,1016.2,990.5,1009.8,1617,0
20070723,1024.5,1030,1011.7,1017.2,3900,0
20070724,1017.2,1017.2,998.8,1001.6,3309,0
20070725,1017.2,1017.2,994.2,996,5161,0
20070726,990.5,1000.6,943.72,953.8,4316,0
20070727,963,966.7,938.21,958.4,1671,0
20070730,946.47,949.22,930.86,943.72,868,0
20070731,930.86,987.8,930.86,978.6,3753,0
20070801,959.3,969.4,952,958.4,24537,0
20070802,952.9,958.4,948.31,957.5,887,0
20070803,944.63,961.2,939.13,961.2,2910,0
20070806,935.45,953.8,934.54,945.55,1382,0
20070807,939.13,1020.8,939.13,1000.6,10401,0
20070808,993.3,1007.1,975.9,1007.1,7224,0
20070809,1010.7,1013.5,972.2,997.9,7642,0
20070810,962.1,1009.8,906.08,973.1,7766,0
20070813,967.6,967.6,946.47,948.31,2943,0
20070815,931.78,931.78,906.08,906.08,999,0
20070816,897.82,897.82,856.51,871.19,2072,0
20070817,854.67,870.28,828.97,846.41,11211,0
20070820,838.15,886.8,838.15,886.8,3544,0
20070821,882.21,906.08,856.51,882.21,954,0
20070822,881.29,959.3,878.54,954.7,917,0
20070823,949.22,964.8,855.59,901.49,3827,0
20070824,882.21,908.83,879.46,898.73,4932,0
20070828,880.37,915.26,880.37,910.67,1239,0
20070829,922.6,990.5,922.6,982.3,1143,0
20070830,962.1,966.7,953.8,959.3,3241,0
20070831,952.9,972.2,952.9,968.5,12096,0
20070903,954.7,976.8,954.7,976.8,22666,0
20070904,966.7,992.4,957.5,982.3,3236,0
20070905,958.4,979.5,953.8,979.5,1779,0
20070906,966.7,986.9,962.1,981.4,1744,0
20070907,966.7,971.3,929.95,938.21,7315,0
20070910,926.27,942.8,905.16,905.16,12339,0
20070911,901.49,922.6,896.9,905.16,2858,0
20070912,899.65,899.65,895.98,896.9,4947,0
20070913,907,907,877.62,885.88,2734,0
20070914,878.54,893.23,807.85,836.31,2381,0
20070917,823.46,834.47,801.42,809.69,1759,0
