Date,Open,High,Low,Close,Volume,OpenInt
20101021,3.3907,3.5052,3.1442,3.2763,424261,0
20101022,3.2763,3.3289,3.2586,3.3027,49900,0
20101025,3.3114,3.3114,3.2586,3.3114,10983,0
20101026,3.3114,3.3114,3.1704,3.2322,22679,0
20101027,3.1793,3.1793,2.9239,3.0208,72708,0
20101028,3.0383,3.056,3.0296,3.0473,12130,0
20101029,3.0465,3.0465,2.9926,3.0465,3772,0
20101102,3.1265,3.1442,3.0825,3.1353,19576,0
20101103,3.2057,3.2145,3.1265,3.1881,5428,0
20101104,3.1704,3.2057,3.1265,3.1704,8252,0
20101105,3.1265,3.1265,2.9679,3.0031,26204,0
20101108,3.0031,3.056,2.9943,3.0296,7731,0
20101109,3.056,3.056,2.9943,3.0473,2848,0
20101110,3.0473,3.0473,2.9943,3.0383,2655,0
20101112,3.0648,3.0648,2.9856,3.0208,7920,0
20101115,2.9504,3.0031,2.9504,2.9943,1843,0
20101116,2.9768,2.9768,2.9063,2.9063,10392,0
20101117,2.8183,2.9415,2.8183,2.9063,3870,0
20101118,2.9239,2.9327,2.8623,2.9239,6144,0
20101119,2.9679,2.9679,2.9592,2.9592,2044,0
20101122,2.9943,2.9943,2.9943,2.9943,2272,0
20101123,2.9152,2.9152,2.8271,2.8446,4476,0
20101124,2.8446,2.8798,2.8183,2.8798,6615,0
20101125,2.8887,2.8887,2.8887,2.8887,1426,0
20101126,2.8183,2.8183,2.7477,2.7654,2981,0
20101129,2.7302,2.7302,2.6685,2.6685,20024,0
20101130,2.6772,2.7302,2.6685,2.7302,2499,0
20101201,2.7302,2.7302,2.6862,2.6862,4721,0
20101203,2.6509,2.7214,2.6509,2.7214,722,0
20101206,2.6509,2.6509,2.6509,2.6509,228,0
20101207,2.6598,2.7742,2.6421,2.7302,8613,0
20101208,2.8446,2.9063,2.6862,2.8623,21236,0
20101209,2.8094,2.8358,2.8094,2.8358,6528,0
20101210,2.8623,2.8798,2.8183,2.8798,8411,0
20101213,2.9415,2.9415,2.8623,2.9063,9423,0
20101214,2.8183,2.9063,2.8183,2.9063,2532,0
20101215,2.7919,2.7919,2.7919,2.7919,19500,0
20101216,2.7919,2.8534,2.7742,2.8534,2418,0
20101217,2.8183,2.8183,2.8183,2.8183,2924,0
20101220,2.8887,2.8887,2.7919,2.7919,3072,0
20101221,2.8007,2.8271,2.7919,2.7919,9247,0
20101222,2.7567,2.8534,2.7389,2.7389,10454,0
20101223,2.7477,2.7654,2.7477,2.7654,5528,0
20101227,2.7389,2.7477,2.7125,2.7125,5059,0
20101228,2.6949,2.7214,2.6685,2.6685,8800,0
20101230,2.6862,2.7302,2.6862,2.7302,1305,0
20101231,2.7769,2.7769,2.7769,2.7769,285,0
20110103,2.7742,2.7742,2.7742,2.7742,1134,0
20110104,2.6862,2.7302,2.5628,2.7125,9462,0
20110105,2.6509,2.6598,2.6421,2.6509,10409,0
20110107,2.7654,2.7654,2.6862,2.6862,2906,0
20110110,2.6598,2.6598,2.6421,2.6421,29866,0
20110112,2.6862,2.6862,2.6421,2.6421,898,0
20110113,2.6862,2.6862,2.6421,2.6421,2336,0
20110114,2.5804,2.6509,2.5804,2.6509,914,0
20110117,2.6685,2.6685,2.5893,2.6421,3381,0
20110118,2.6421,2.6421,2.6421,2.6421,3372,0
20110119,2.6333,2.6333,2.554,2.554,25984,0
20110120,2.554,2.554,2.466,2.466,2147,0
20110121,2.4396,2.466,2.4308,2.4308,7573,0
20110124,2.466,2.466,2.3778,2.3778,4812,0
20110125,2.3866,2.3866,2.3866,2.3866,3407,0
20110126,2.4483,2.466,2.4218,2.4396,4542,0
20110127,2.4396,2.4571,2.4396,2.4571,2182,0
20110128,2.4483,2.4483,2.3778,2.3778,1775,0
20110131,2.5342,2.5342,2.5342,2.5342,8,0
20110201,2.4308,2.466,2.4308,2.466,1647,0
20110202,2.554,2.5981,2.4396,2.4396,2057,0
20110203,2.4924,2.5099,2.4924,2.4924,1532,0
20110204,2.5804,2.5804,2.5804,2.5804,10,0
20110207,2.6157,2.6245,2.5804,2.6245,795,0
20110208,2.5981,2.5981,2.5981,2.5981,273,0
20110209,2.554,2.554,2.466,2.466,2647,0
20110210,2.466,2.466,2.466,2.466,228,0
20110214,2.4483,2.4483,2.4483,2.4483,285,0
20110215,2.466,2.5099,2.4396,2.4396,2915,0
20110216,2.5276,2.5276,2.466,2.5187,593,0
20110218,2.4924,2.5012,2.4924,2.5012,602,0
20110221,2.466,2.466,2.466,2.466,1134,0
20110222,2.466,2.466,2.4483,2.4483,709,0
20110223,2.3955,2.3955,2.3778,2.3778,568,0
20110224,2.4483,2.4483,2.4483,2.4483,1,0
20110225,2.466,2.466,2.466,2.466,795,0
20110228,2.466,2.466,2.466,2.466,1817,0
20110301,2.4924,2.4924,2.4924,2.4924,454,0
20110303,2.4571,2.4571,2.4571,2.4571,568,0
20110304,2.4483,2.466,2.4218,2.466,1699,0
20110307,2.3778,2.4924,2.3778,2.4924,1136,0
20110309,2.4043,2.4308,2.3778,2.4308,11502,0
20110310,2.4571,2.4571,2.4571,2.4571,340,0
20110315,2.3778,2.3778,2.3514,2.3514,3577,0
20110316,2.2898,2.3603,2.2898,2.2898,6757,0
20110317,2.3514,2.3514,2.3514,2.3514,1134,0
20110318,2.3691,2.3778,2.3691,2.3778,3220,0
20110323,2.3778,2.4218,2.3778,2.4218,10221,0
20110324,2.4396,2.4396,2.3778,2.4396,1137,0
20110325,2.4218,2.4218,2.4218,2.4218,228,0
20110328,2.4218,2.4218,2.3778,2.3778,2272,0
20110329,2.4131,2.4131,2.2193,2.2193,23659,0
20110330,2.2811,2.3339,2.2811,2.2898,6048,0
20110331,2.3725,2.3725,2.2915,2.2915,610,0
20110401,2.3339,2.3866,2.3074,2.3163,15328,0
20110404,2.3163,2.3778,2.3163,2.3778,631,0
20110405,2.3339,2.3603,2.2546,2.3603,1488,0
20110406,2.3778,2.3778,2.3778,2.3778,5448,0
20110407,2.3778,2.3955,2.3778,2.3955,570,0
20110408,2.3955,2.4924,2.3955,2.4924,24827,0
20110411,2.5187,2.5364,2.466,2.466,8964,0
20110412,2.3778,2.5099,2.3778,2.5099,1726,0
20110413,2.554,2.554,2.554,2.554,4443,0
20110414,2.5893,2.5981,2.554,2.554,7550,0
20110415,2.6421,2.6862,2.6333,2.6421,18461,0
20110418,2.6421,2.6421,2.6245,2.6421,4276,0
20110419,2.5981,2.6421,2.5981,2.6421,4609,0
20110420,2.6421,2.6949,2.6421,2.6862,5234,0
20110421,2.6862,2.6862,2.6685,2.6862,1031,0
20110426,2.6862,2.6949,2.6862,2.6862,397,0
20110427,2.6862,2.6949,2.6685,2.6949,249,0
20110428,2.6949,2.7567,2.6949,2.6949,13196,0
20110429,2.7499,2.7588,2.7499,2.7588,119,0
20110502,2.7567,2.7567,2.7567,2.7567,573,0
20110504,2.7654,2.7654,2.7477,2.7654,1305,0
20110505,2.7567,2.7567,2.7567,2.7567,125,0
20110506,2.7654,2.783,2.7477,2.783,4755,0
20110509,2.8007,2.8007,2.8007,2.8007,135,0
20110511,2.7125,2.7125,2.6598,2.6598,5848,0
20110512,2.6421,2.6598,2.6421,2.6421,1488,0
20110513,2.7477,2.7477,2.7389,2.7389,125,0
20110516,2.7477,2.7477,2.6598,2.7389,394,0
20110517,2.7477,2.7477,2.7477,2.7477,115,0
20110518,2.6421,2.7125,2.6245,2.7125,4554,0
20110519,2.7125,2.7125,2.7125,2.7125,113,0
20110520,2.6949,2.6949,2.6862,2.6862,1056,0
20110523,2.6862,2.6862,2.554,2.6685,1077,0
20110524,2.6685,2.6685,2.6685,2.6685,85,0
20110525,2.5364,2.6421,2.5364,2.6421,1362,0
20110526,2.6421,2.6421,2.5099,2.6245,3324,0
20110527,2.466,2.5628,2.466,2.554,1786,0
20110530,2.6069,2.6069,2.6069,2.6069,602,0
20110531,2.6151,2.6151,2.6151,2.6151,858,0
20110601,2.4748,2.5893,2.4748,2.5628,9601,0
20110602,2.5893,2.5893,2.5717,2.5717,125,0
20110603,2.5804,2.5804,2.5804,2.5804,91,0
20110606,2.5804,2.5893,2.5804,2.5893,118,0
20110607,2.5893,2.5893,2.4836,2.5804,142,0
20110608,2.5893,2.5893,2.5893,2.5893,5,0
20110609,2.5893,2.5893,2.5893,2.5893,115,0
20110610,2.5893,2.5893,2.4748,2.4748,46,0
20110613,2.5893,2.5893,2.5893,2.5893,16,0
20110614,2.5893,2.5893,2.5893,2.5893,113,0
20110615,2.5893,2.5893,2.3778,2.5012,5559,0
20110616,2.5099,2.5099,2.4571,2.4571,54,0
20110617,2.3866,2.3955,2.3866,2.3955,1604,0
20110620,2.4131,2.4131,2.3074,2.3074,10031,0
20110621,2.4131,2.4131,2.3251,2.4131,1213,0
20110622,2.4131,2.4131,2.4131,2.4131,249,0
20110624,2.3778,2.3778,2.2898,2.2898,488,0
20110627,2.4131,2.4131,2.2898,2.2898,1918,0
20110628,2.3691,2.3691,2.3339,2.3339,118,0
20110629,2.4131,2.4131,2.2546,2.3778,4045,0
20110630,2.3815,2.3815,2.3815,2.3815,2,0
20110701,2.3691,2.3691,2.3691,2.3691,5,0
20110704,2.3691,2.3691,2.3691,2.3691,148,0
20110705,2.3691,2.3691,2.3691,2.3691,171,0
20110706,2.3691,2.3691,2.2546,2.2898,202,0
