Date,Open,High,Low,Close,Volume,OpenInt
19940630,8.0641,8.0641,8.0641,8.0641,105272,0
19940704,7.5772,7.5772,7.5772,7.5772,112918,0
19940705,8.0641,8.0641,8.0641,8.0641,142012,0
19940706,8.8672,8.8672,8.8672,8.8672,118104,0
19940707,9.755,9.755,9.755,9.755,0,0
19940711,10.73,10.73,10.73,10.73,89723,0
19940712,11.772,11.772,11.772,11.772,0,0
19940713,12.908,12.908,12.908,12.908,155800,0
19940714,12.097,12.097,12.097,12.097,115316,0
19940718,13.309,13.309,13.309,13.309,159551,0
19940719,12.908,12.908,12.908,12.908,56077,0
19940720,12.181,12.181,12.181,12.181,78713,0
19940721,12.908,12.908,12.908,12.908,132837,0
19940725,11.61,11.61,11.61,11.61,76679,0
19940726,11.371,11.371,11.371,11.371,36559,0
19940727,11.934,11.934,11.934,11.934,34974,0
19940728,11.61,11.61,11.61,11.61,35221,0
19940801,11.695,11.695,11.695,11.695,31521,0
19940802,12.097,12.097,12.097,12.097,79897,0
19940803,12.583,12.583,12.583,12.583,69599,0
19940804,12.908,12.908,12.908,12.908,135576,0
19940808,12.908,12.908,12.908,12.908,45382,0
19940809,12.583,12.583,12.583,12.583,50406,0
19940810,12.259,12.259,12.259,12.259,34260,0
19940811,12.097,12.097,12.097,12.097,40702,0
19940816,12.583,12.583,12.583,12.583,29189,0
19940817,12.498,12.498,12.498,12.498,51241,0
19940818,12.335,12.335,12.335,12.335,19039,0
19940822,12.335,12.335,12.335,12.335,20081,0
19940823,11.772,11.772,11.772,11.772,29313,0
19940824,11.455,11.455,11.455,11.455,36529,0
19940825,11.293,11.293,11.293,11.293,22413,0
19940829,11.046,11.046,11.046,11.046,27774,0
19940830,11.293,11.293,11.293,11.293,46777,0
19940831,10.568,10.568,10.568,10.568,23138,0
19940901,10.32,10.32,10.32,10.32,12908,0
19940905,10.32,10.32,10.32,10.32,15208,0
19940906,9.3544,9.3544,9.3544,9.3544,32220,0
19940907,8.5511,8.5511,8.5511,8.5511,52139,0
19940908,9.3544,9.3544,9.3544,9.3544,67093,0
19940912,10.003,10.003,10.003,10.003,54163,0
19940913,9.0299,9.0299,9.0299,9.0299,149520,0
19940914,8.8672,8.8672,8.8672,8.8672,47125,0
19940915,8.0641,8.0641,8.0641,8.0641,31179,0
19940919,8.628,8.628,8.628,8.628,71357,0
19940920,8.8672,8.8672,8.8672,8.8672,52636,0
19940921,8.1495,8.1495,8.1495,8.1495,58321,0
19940922,8.8672,8.8672,8.8672,8.8672,63077,0
19940926,8.7135,8.7135,8.7135,8.7135,22852,0
19940927,8.628,8.628,8.628,8.628,27130,0
19940928,8.7135,8.7135,8.7135,8.7135,38272,0
19940929,9.1917,9.1917,9.1917,9.1917,48977,0
19941003,9.679,9.679,9.679,9.679,60347,0
19941004,10.166,10.166,10.166,10.166,63454,0
19941005,10.482,10.482,10.482,10.482,40205,0
19941006,10.08,10.08,10.08,10.08,43279,0
19941007,9.679,9.679,9.679,9.679,28829,0
19941010,9.3544,9.3544,9.3544,9.3544,48593,0
19941011,9.0299,9.0299,9.0299,9.0299,43931,0
19941012,9.0299,9.0299,9.0299,9.0299,40017,0
19941013,8.8672,8.8672,8.8672,8.8672,45667,0
19941014,9.0299,9.0299,9.0299,9.0299,11403,0
19941017,8.8672,8.8672,8.8672,8.8672,10658,0
19941018,9.0299,9.0299,9.0299,9.0299,15251,0
19941019,9.4398,9.4398,9.4398,9.4398,45524,0
19941020,9.3544,9.3544,9.3544,9.3544,33559,0
19941021,8.4656,8.4656,8.4656,8.4656,54044,0
19941024,8.3887,8.3887,8.3887,8.3887,32338,0
19941025,8.0641,8.0641,8.0641,8.0641,42548,0
19941026,7.7395,7.7395,7.7395,7.7395,30844,0
19941027,7.5772,7.5772,7.5772,7.5772,19492,0
19941028,7.261,7.261,7.261,7.261,18866,0
19941102,7.5772,7.5772,7.5772,7.5772,28203,0
19941103,7.7395,7.7395,7.7395,7.7395,31207,0
19941104,7.261,7.261,7.261,7.261,24285,0
19941107,7.3379,7.3379,7.3379,7.3379,11414,0
19941108,7.4575,7.4575,7.4575,7.4575,18749,0
19941109,7.4234,7.4234,7.4234,7.4234,26887,0
19941110,7.261,7.261,7.261,7.261,16068,0
19941114,7.1756,7.1756,7.1756,7.1756,21904,0
19941115,6.4494,6.4494,6.4494,6.4494,23082,0
19941116,6.2104,6.2104,6.2104,6.2104,31567,0
19941117,6.3726,6.3726,6.3726,6.3726,22828,0
19941118,6.6119,6.6119,6.6119,6.6119,62295,0
19941121,6.3726,6.3726,6.3726,6.3726,19745,0
19941122,6.2104,6.2104,6.2104,6.2104,25413,0
19941123,6.2104,6.2104,6.2104,6.2104,6820,0
19941124,6.1335,6.1335,6.1335,6.1335,15434,0
19941125,6.5351,6.5351,6.5351,6.5351,21201,0
19941128,6.8511,6.8511,6.8511,6.8511,39523,0
19941129,7.261,7.261,7.261,7.261,47255,0
19941130,7.9872,7.9872,7.9872,7.9872,107790,0
19941201,7.9872,7.9872,7.9872,7.9872,43157,0
