Date,Open,High,Low,Close,Volume,OpenInt
19980714,0.7455,0.7455,0.7455,0.7455,62864,0
19980715,0.7455,0.7455,0.7455,0.7455,8360,0
19980716,0.6687,0.6687,0.6687,0.6687,5030,0
19980717,0.6148,0.6148,0.6148,0.6148,98621,0
19980720,0.5534,0.5534,0.5534,0.5534,20267,0
19980721,0.49952,0.49952,0.49952,0.49952,0,0
19980722,0.4534,0.4534,0.4534,0.4534,17338,0
19980723,0.40732,0.40732,0.40732,0.40732,0,0
19980724,0.3689,0.3689,0.3689,0.3689,71138,0
19980727,0.38427,0.38427,0.38427,0.38427,20178,0
19980728,0.38427,0.38427,0.38427,0.38427,27634,0
19980729,0.38427,0.38427,0.38427,0.38427,7618,0
19980730,0.34584,0.34584,0.34584,0.34584,10134,0
19980731,0.34584,0.34584,0.34584,0.34584,19361,0
19980803,0.33047,0.33047,0.33047,0.33047,19488,0
19980804,0.32279,0.32279,0.32279,0.32279,21122,0
19980805,0.31511,0.31511,0.31511,0.31511,28540,0
19980806,0.31511,0.31511,0.31511,0.31511,12572,0
19980807,0.30742,0.30742,0.30742,0.30742,375,0
19980810,0.30742,0.30742,0.30742,0.30742,40836,0
19980811,0.31511,0.31511,0.31511,0.31511,50291,0
19980812,0.28436,0.28436,0.28436,0.28436,14445,0
19980813,0.27668,0.27668,0.27668,0.27668,224529,0
19980814,0.28436,0.28436,0.28436,0.28436,186255,0
19980817,0.28436,0.28436,0.28436,0.28436,18860,0
19980818,0.29974,0.29974,0.29974,0.29974,18280,0
19980819,0.30742,0.30742,0.30742,0.30742,13968,0
19980820,0.28436,0.28436,0.28436,0.28436,9906,0
19980821,0.26131,0.26131,0.26131,0.26131,33946,0
19980824,0.28436,0.28436,0.28436,0.28436,26402,0
19980825,0.27668,0.27668,0.27668,0.27668,12546,0
19980826,0.25362,0.25362,0.25362,0.25362,69151,0
19980827,0.23056,0.23056,0.23056,0.23056,38058,0
19980828,0.20751,0.20751,0.20751,0.20751,39579,0
19980831,0.23056,0.23056,0.23056,0.23056,11565,0
19980901,0.21519,0.21519,0.21519,0.21519,1258,0
19980902,0.23825,0.23825,0.23825,0.23825,36273,0
19980903,0.23056,0.23056,0.23056,0.23056,10686,0
19980904,0.23825,0.23825,0.23825,0.23825,1258,0
19980907,0.24594,0.24594,0.24594,0.24594,1508,0
19980908,0.24594,0.24594,0.24594,0.24594,4399,0
19980909,0.23825,0.23825,0.23825,0.23825,5030,0
19980910,0.22288,0.22288,0.22288,0.22288,21876,0
19980911,0.19982,0.19982,0.19982,0.19982,54717,0
19980914,0.20751,0.20751,0.20751,0.20751,33431,0
19980915,0.19982,0.19982,0.19982,0.19982,56690,0
19980916,0.20751,0.20751,0.20751,0.20751,16860,0
19980917,0.19214,0.19214,0.19214,0.19214,27812,0
19980918,0.19214,0.19214,0.19214,0.19214,32802,0
19980921,0.16908,0.16908,0.16908,0.16908,89418,0
19980922,0.16908,0.16908,0.16908,0.16908,61493,0
19980923,0.17676,0.17676,0.17676,0.17676,38774,0
19980924,0.17676,0.17676,0.17676,0.17676,817,0
19980925,0.17676,0.17676,0.17676,0.17676,10058,0
19980928,0.17676,0.17676,0.17676,0.17676,27019,0
19980929,0.17676,0.17676,0.17676,0.17676,17714,0
19980930,0.17676,0.17676,0.17676,0.17676,5657,0
19981001,0.16139,0.16139,0.16139,0.16139,50291,0
19981002,0.1537,0.1537,0.1537,0.1537,15087,0
19981005,0.1537,0.1537,0.1537,0.1537,1760,0
19981006,0.1537,0.1537,0.1537,0.1537,6285,0
19981007,0.1537,0.1537,0.1537,0.1537,5406,0
19981008,0.1537,0.1537,0.1537,0.1537,14458,0
19981009,0.1537,0.1537,0.1537,0.1537,6285,0
19981012,0.1537,0.1537,0.1537,0.1537,17601,0
19981013,0.16139,0.16139,0.16139,0.16139,12949,0
19981014,0.1537,0.1537,0.1537,0.1537,1258,0
19981015,0.1537,0.1537,0.1537,0.1537,1508,0
19981016,0.16139,0.16139,0.16139,0.16139,3268,0
19981019,0.16139,0.16139,0.16139,0.16139,125,0
19981020,0.16139,0.16139,0.16139,0.16139,125,0
19981021,0.1537,0.1537,0.1537,0.1537,27672,0
19981022,0.1537,0.1537,0.1537,0.1537,12434,0
19981023,0.1537,0.1537,0.1537,0.1537,3771,0
19981026,0.16139,0.16139,0.16139,0.16139,19864,0
19981027,0.16139,0.16139,0.16139,0.16139,125,0
19981028,0.14602,0.14602,0.14602,0.14602,41891,0
19981029,0.13065,0.13065,0.13065,0.13065,77449,0
19981030,0.13065,0.13065,0.13065,0.13065,38233,0
19981102,0.13833,0.13833,0.13833,0.13833,10748,0
19981103,0.14602,0.14602,0.14602,0.14602,39276,0
19981104,0.14602,0.14602,0.14602,0.14602,17111,0
19981105,0.14602,0.14602,0.14602,0.14602,7531,0
19981106,0.14602,0.14602,0.14602,0.14602,5607,0
19981109,0.13833,0.13833,0.13833,0.13833,11315,0
