Date,Open,High,Low,Close,Volume,OpenInt
19990803,24.415,24.415,24.415,24.415,119,0
19990804,24.415,24.415,24.415,24.415,72,0
19990805,26.099,26.099,26.099,26.099,24,0
19990806,25.257,25.257,25.257,25.257,119,0
19990809,24.415,24.415,24.415,24.415,10,0
19990909,20.206,20.206,20.206,20.206,1781,0
19990913,21.89,21.89,21.89,21.89,356,0
19990920,20.627,20.627,20.627,20.627,356,0
19990922,19.617,19.617,19.617,19.617,119,0
19990924,19.364,19.364,19.364,19.364,119,0
19990928,19.364,19.785,19.364,19.785,712,0
19990929,19.364,19.364,19.364,19.364,119,0
19991004,19.364,19.533,19.364,19.533,475,0
19991007,18.437,18.522,18.437,18.522,237,0
19991015,19.364,19.364,19.364,19.364,832,0
19991021,18.522,18.522,18.522,18.522,594,0
19991105,16.586,16.922,16.586,16.922,237,0
19991122,16.922,16.922,16.922,16.922,119,0
19991126,20.206,20.206,20.206,20.206,119,0
19991129,22.311,22.732,22.311,22.732,39756,0
19991203,16.922,17.68,16.839,16.839,475,0
19991206,16.922,16.922,16.922,16.922,119,0
19991208,15.995,15.995,15.829,15.829,237,0
19991210,15.995,15.995,15.995,15.995,119,0
19991216,15.155,15.238,15.155,15.238,24326,0
19991223,15.913,15.913,15.913,15.913,1307,0
20000110,16.754,16.839,16.754,16.839,1307,0
20000118,15.995,15.995,15.995,15.995,191,0
20000120,15.575,15.575,15.575,15.575,179,0
20000121,15.155,15.575,15.155,15.575,380,0
20000124,15.155,15.155,15.155,15.155,237,0
20000127,15.155,15.155,15.155,15.155,796,0
20000128,15.155,15.155,15.155,15.155,380,0
20000201,15.155,15.155,15.155,15.155,594,0
20000203,15.49,16.417,15.49,16.417,2138,0
20000204,15.744,15.744,15.155,15.66,1758,0
20000207,15.155,15.155,15.155,15.155,594,0
20000208,15.155,15.155,15.155,15.155,1187,0
20000209,15.238,15.238,15.155,15.238,927,0
20000210,15.66,15.66,15.66,15.66,59,0
20000217,15.238,15.238,15.238,15.238,119,0
20000221,15.155,15.155,15.155,15.155,10,0
20000223,15.407,15.995,14.733,14.733,688,0
20000229,15.913,17.344,15.575,17.344,1318,0
20000301,14.313,15.995,14.313,15.995,604,0
20000302,15.995,15.995,15.744,15.913,1841,0
20000303,16.839,16.839,16.501,16.839,1140,0
20000306,16.839,17.68,16.839,17.68,771,0
20000307,18.102,18.522,18.102,18.522,688,0
20000308,17.765,17.765,16.839,17.511,1615,0
20000309,17.68,17.68,16.839,16.839,1426,0
20000310,17.26,17.26,17.26,17.26,1010,0
20000313,17.68,18.522,16.839,16.839,1485,0
20000314,18.102,18.102,17.68,17.68,594,0
20000316,18.102,18.102,18.102,18.102,237,0
20000317,18.102,18.102,18.102,18.102,237,0
20000320,18.102,18.102,18.102,18.102,1187,0
20000321,17.765,17.765,17.765,17.765,119,0
20000322,18.522,22.732,18.269,22.732,1413,0
20000323,18.943,21.469,18.943,20.29,356,0
20000324,19.448,19.448,19.448,19.448,35,0
20000327,20.206,20.206,20.206,20.206,156,0
20000328,20.206,20.206,19.364,19.364,594,0
20000329,19.869,19.869,19.364,19.364,250,0
20000330,18.691,19.448,18.691,19.448,237,0
20000331,18.943,18.943,17.68,17.68,1900,0
20000403,19.448,19.448,17.765,17.765,499,0
20000404,18.943,19.785,17.848,18.017,582,0
20000405,16.839,18.102,16.839,18.102,356,0
20000406,17.26,17.26,17.26,17.26,119,0
20000407,17.68,18.017,17.68,17.765,2149,0
20000410,17.68,18.102,17.68,17.765,5107,0
20000411,18.353,18.353,18.353,18.353,59,0
20000412,18.943,18.943,18.522,18.522,1187,0
20000413,18.607,18.691,18.607,18.691,224,0
20000417,18.522,18.522,17.68,17.68,499,0
20000418,16.922,17.68,16.922,17.68,237,0
20000419,18.775,19.027,17.68,17.68,1402,0
20000420,17.68,18.437,17.68,18.102,368,0
20000425,18.102,18.775,17.932,18.775,297,0
20000426,19.027,20.122,18.859,20.122,1532,0
20000427,20.88,22.479,19.785,20.206,5060,0
20000428,21.048,21.048,20.627,20.627,15632,0
20000505,20.627,21.048,20.627,21.048,297,0
20000508,20.964,20.964,20.88,20.88,451,0
20000509,20.711,20.711,20.627,20.711,119,0
20000510,20.711,20.711,19.533,19.533,594,0
20000515,19.448,19.448,19.448,19.448,119,0
20000516,19.785,19.785,19.785,19.785,119,0
20000519,19.617,19.869,19.617,19.869,131,0
20000524,17.68,17.68,17.68,17.68,475,0
20000525,16.839,19.28,16.839,19.28,487,0
20000529,19.112,19.112,18.522,18.522,166,0
20000602,18.522,18.859,18.522,18.859,119,0
20000606,16.671,16.671,16.671,16.671,1187,0
20000608,16.334,16.334,15.995,15.995,1544,0
20000613,16.839,16.839,16.839,16.839,179,0
20000620,17.26,17.26,17.26,17.26,630,0
20000621,17.26,17.68,15.995,15.995,1187,0
20000623,16.417,16.417,16.417,16.417,1187,0
20000626,14.986,14.986,14.733,14.733,630,0
20000627,15.995,16.165,15.995,16.165,297,0
20000628,16.754,16.754,16.754,16.754,119,0
20000629,16.754,16.754,16.754,16.754,475,0
20000630,16.501,17.26,16.501,17.26,179,0
20000705,18.522,18.522,18.102,18.102,630,0
20000706,16.839,18.269,16.839,18.269,487,0
20000707,16.839,18.102,16.839,18.102,487,0
20000711,16.501,18.102,15.995,18.102,1675,0
20000712,17.932,17.932,17.932,17.932,427,0
20000713,17.68,18.017,17.344,18.017,891,0
20000717,18.102,19.364,18.102,19.364,653,0
20000718,19.953,20.038,19.953,20.038,141,0
20000719,19.953,20.206,19.953,20.122,771,0
20000720,20.206,20.206,17.26,19.364,1947,0
20000721,17.26,18.775,17.26,18.775,796,0
20000724,17.344,17.932,17.344,17.932,587,0
20000726,17.596,18.437,17.596,18.437,891,0
20000727,18.437,18.437,18.437,18.437,260,0
20000728,17.765,17.765,17.765,17.765,119,0
20000731,18.943,18.943,18.943,18.943,35,0
20000801,18.943,18.943,18.943,18.943,119,0
20000802,16.839,16.839,16.839,16.839,712,0
20000803,18.017,18.102,16.839,16.839,536,0
20000804,17.26,17.68,16.839,17.596,617,0
20000808,16.839,16.839,16.839,16.839,309,0
20000809,17.596,17.596,17.26,17.26,421,0
20000810,16.839,17.68,16.839,16.922,5761,0
20000811,17.091,17.511,17.091,17.511,499,0
20000814,17.511,17.511,17.511,17.511,94,0
20000816,16.586,18.859,16.586,18.859,522,0
20000817,16.839,17.848,16.839,16.839,8005,0
20000818,16.839,17.511,16.839,17.511,842,0
20000821,17.26,17.26,17.26,17.26,59,0
20000822,17.427,17.596,17.26,17.596,1152,0
20000823,20.206,20.206,20.206,20.206,14746,0
20000824,20.038,20.038,20.038,20.038,12031,0
20000825,18.522,18.522,18.522,18.522,5641,0
20000828,20.375,20.375,20.375,20.375,22619,0
20000829,22.395,22.395,22.395,22.395,21809,0
20000830,20.206,20.206,20.206,20.206,21107,0
20000831,22.227,22.227,22.227,22.227,13538,0
20000901,23.995,23.995,23.995,23.995,10779,0
20000904,23.574,23.574,23.574,23.574,10177,0
20000905,23.574,23.574,23.574,23.574,8731,0
20000906,22.732,22.732,22.732,22.732,42687,0
20000907,20.964,20.964,20.964,20.964,43592,0
20000908,21.722,21.722,21.722,21.722,14491,0
20000911,21.469,21.469,21.469,21.469,3777,0
20000912,21.89,21.89,21.89,21.89,3719,0
20000913,21.806,21.806,21.806,21.806,1187,0
20000914,21.553,21.553,21.553,21.553,1781,0
20000915,21.385,21.385,21.385,21.385,3308,0
20000918,21.048,21.048,21.048,21.048,1556,0
20000919,20.29,20.29,20.29,20.29,819,0
20000920,20.711,20.711,20.711,20.711,771,0
20000921,20.627,20.627,20.627,20.627,416,0
20000922,19.785,19.785,19.785,19.785,653,0
20000925,19.785,19.785,19.785,19.785,594,0
20000926,17.848,17.848,17.848,17.848,1960,0
20000927,17.848,17.848,17.848,17.848,419,0
20000928,19.617,19.617,19.617,19.617,1426,0
20000929,19.617,19.617,19.617,19.617,832,0
20001002,18.017,18.017,18.017,18.017,832,0
20001003,18.353,18.353,18.353,18.353,594,0
20001004,18.269,18.269,18.269,18.269,630,0
20001005,16.671,16.671,16.671,16.671,2531,0
20001006,18.017,18.017,18.017,18.017,958,0
20001009,17.932,17.932,17.932,17.932,119,0
20001010,17.68,17.68,17.68,17.68,308,0
20001011,17.68,17.68,17.68,17.68,1187,0
20001012,17.596,17.596,17.596,17.596,504,0
20001013,17.344,17.344,17.344,17.344,9858,0
20001016,17.68,17.68,17.68,17.68,13067,0
20001017,17.68,17.68,17.68,17.68,536,0
20001018,16.922,16.922,16.922,16.922,237,0
20001019,18.437,18.437,18.437,18.437,260,0
20001020,18.269,18.269,18.269,18.269,8967,0
20001023,17.68,17.68,17.68,17.68,2613,0
20001024,18.102,18.102,18.102,18.102,1187,0
20001025,18.859,18.859,18.859,18.859,119,0
20001026,18.522,18.522,18.522,18.522,119,0
20001027,18.353,18.353,18.353,18.353,119,0
20001030,17.68,17.68,17.68,17.68,59,0
20001031,17.68,17.68,17.68,17.68,356,0
20001102,18.859,18.859,18.859,18.859,94,0
20001103,17.68,17.68,17.68,17.68,2246,0
20001106,17.932,17.932,17.932,17.932,215,0
20001107,17.68,17.68,17.68,17.68,1083,0
20001108,18.437,18.437,18.437,18.437,237,0
20001109,17.68,17.68,17.68,17.68,65,0
20001110,17.68,17.68,17.68,17.68,594,0
20001113,17.68,17.68,17.68,17.68,119,0
20001114,18.102,18.102,18.102,18.102,237,0
20001115,17.006,17.006,17.006,17.006,712,0
20001116,17.427,17.427,17.427,17.427,237,0
20001117,18.353,18.353,16.334,16.334,2640,0
20001120,15.87,15.995,15.829,15.829,1544,0
20001121,15.744,15.744,15.744,15.744,2660,0
20001122,16.334,16.334,15.575,15.575,571,0
20001123,16.165,16.165,16.165,16.165,119,0
20001124,16.586,16.586,16.08,16.08,536,0
20001127,16.417,16.417,15.829,15.829,832,0
