Date,Open,High,Low,Close,Volume,OpenInt
20080320,3.7349,3.9051,3.6458,3.6458,169224,0
20080325,3.4919,3.6864,3.2164,3.2408,38752,0
20080326,3.2245,3.3217,2.9977,3.0464,84650,0
20080327,3.2164,3.2164,3.0544,3.1191,9427,0
20080328,3.1517,3.1517,2.9977,3.111,9646,0
20080331,2.9977,3.1436,2.8762,3.1354,20462,0
20080401,3.1436,3.1922,2.9977,3.0625,5730,0
20080402,3.0787,3.0868,2.9329,3.0139,8550,0
20080403,2.9653,2.9653,2.7547,2.7628,20778,0
20080404,2.779,2.779,2.5521,2.6655,34619,0
20080407,2.633,2.6493,2.5521,2.633,18163,0
20080408,2.544,3.0706,2.5116,3.0706,73358,0
20080409,3.0625,3.3866,2.9897,3.3866,80209,0
20080410,3.4028,3.4433,3.2894,3.3379,9594,0
20080411,3.4028,3.8808,3.4028,3.8322,100528,0
20080414,3.4838,3.7025,3.4838,3.6378,4826,0
20080415,3.6458,3.662,3.411,3.419,954,0
20080416,3.6378,3.7674,3.419,3.6864,52702,0
20080417,3.6458,3.6458,3.419,3.4272,4050,0
20080418,3.4028,3.4272,3.2084,3.4272,12616,0
20080421,3.4677,3.5485,3.4677,3.5485,3013,0
20080422,3.4677,3.6053,3.4677,3.6053,1556,0
20080423,3.6297,3.6297,3.6297,3.6297,18,0
20080424,3.4028,3.6053,3.4028,3.6053,622,0
20080425,3.411,3.5,3.411,3.5,596,0
20080428,3.5244,3.5244,3.2651,3.4514,2517,0
20080429,3.4514,3.4514,3.2408,3.2408,17018,0
20080430,3.3947,3.5567,3.3947,3.5567,21561,0
20080505,3.5567,3.6053,3.4028,3.5567,14309,0
20080506,3.9537,3.9537,3.5244,3.7269,1416,0
20080507,3.7918,3.7918,3.7918,3.7918,1,0
20080508,3.4433,3.4758,3.3217,3.3379,8673,0
20080509,3.3379,3.4514,3.3217,3.4514,2148,0
20080512,3.4514,3.5973,3.4514,3.5973,86,0
20080513,3.2408,3.5,3.2327,3.5,1573,0
20080515,3.1599,3.4028,3.1599,3.4028,10131,0
20080516,3.0868,3.2003,2.9977,2.9977,15851,0
20080519,3.0787,3.1599,2.9977,3.1599,24800,0
20080520,3.1517,3.1517,3.1517,3.1517,16,0
20080521,2.8599,3.1436,2.8599,3.1436,1190,0
20080523,3.1517,3.2408,3.1517,3.2084,1531,0
20080526,3.2164,3.2164,3.1354,3.1354,94,0
20080527,2.9977,3.2003,2.9977,3.2003,363,0
20080529,2.9572,3.2003,2.8842,2.9167,3364,0
20080530,2.9977,2.9977,2.7141,2.9897,7137,0
20080602,2.8276,2.8276,2.8276,2.8276,1233,0
20080603,2.7952,2.7952,2.6817,2.7871,2462,0
20080604,2.633,2.779,2.633,2.633,1803,0
20080605,2.7141,2.8924,2.7141,2.8924,1763,0
20080606,2.8357,3.0706,2.8357,3.0706,265,0
20080609,3.1354,3.1354,3.1354,3.1354,1,0
20080610,2.5116,2.5116,2.5116,2.5116,74,0
20080611,2.9977,2.9977,2.9977,2.9977,74,0
20080612,2.9897,3.0787,2.5277,2.9167,1137,0
20080613,2.9086,2.9086,2.9086,2.9086,1705,0
20080616,2.9167,2.9167,2.9167,2.9167,2,0
20080617,2.9897,2.9897,2.9897,2.9897,5,0
20080618,3.0787,3.0787,3.0787,3.0787,1,0
20080619,3.1191,3.2003,3.1191,3.2003,2,0
20080620,3.184,3.184,3.184,3.184,184,0
20080624,3.0383,3.0383,2.9897,2.9897,162,0
20080626,3.0383,3.0383,3.0383,3.0383,14,0
20080627,2.6412,2.8924,2.5116,2.8357,21281,0
20080630,2.8357,2.8357,2.8357,2.8357,456,0
20080701,2.5116,2.633,2.4712,2.5927,4189,0
20080702,2.4305,2.5927,2.3739,2.5845,927,0
20080703,2.4305,2.5521,2.3982,2.5359,14264,0
20080707,2.544,2.544,2.3901,2.5116,1604,0
20080708,2.4305,2.4305,2.4305,2.4305,184,0
20080711,2.4305,2.5359,2.3901,2.5116,2557,0
20080714,2.5521,2.5521,2.5521,2.5521,61,0
20080715,2.317,2.4144,2.1956,2.4144,2866,0
20080716,2.1956,2.3495,2.1956,2.3495,1393,0
20080717,2.3577,2.5277,2.3577,2.5277,160,0
20080718,2.5277,2.5277,2.5277,2.5277,184,0
20080723,2.4305,2.4305,2.4305,2.4305,976,0
20080729,2.3252,2.3252,2.317,2.317,350,0
20080730,2.309,2.4712,2.309,2.4712,285,0
20080805,2.4225,2.4225,2.2686,2.2686,1952,0
20080806,2.3901,2.3901,2.309,2.309,981,0
20080807,2.4549,2.4549,2.4549,2.4549,249,0
20080808,2.3495,2.3495,2.1876,2.3495,875,0
20080811,2.4225,2.4225,2.4225,2.4225,480,0
20080813,2.3901,2.5035,2.3901,2.5035,3699,0
20080814,2.633,2.633,2.1552,2.4305,1385,0
20080818,2.4792,2.4792,2.4792,2.4792,1,0
20080819,2.1876,2.4305,2.1876,2.4305,578,0
20080821,2.2118,2.3333,2.2118,2.3333,1705,0
20080822,2.3252,2.3252,2.1876,2.228,3011,0
20080825,2.4225,2.4225,2.4225,2.4225,1,0
20080826,2.4305,2.4549,2.4305,2.4549,226,0
20080828,2.3495,2.4387,2.1307,2.4387,1544,0
20080901,2.3901,2.3901,2.1714,2.1876,6227,0
20080902,2.1876,2.228,2.1471,2.228,2235,0
20080904,2.2199,2.2199,2.2199,2.2199,440,0
20080908,2.2118,2.2118,2.2118,2.2118,449,0
20080909,2.2118,2.2199,2.2118,2.2199,300,0
20080910,2.2118,2.2199,2.2118,2.2199,176,0
20080916,2.1876,2.1876,1.6609,2.0984,4456,0
20080917,2.0254,2.0254,2.0254,2.0254,913,0
20080918,1.8634,1.9607,1.8634,1.9607,769,0
20080919,1.9445,1.9445,1.9445,1.9445,246,0
20080922,1.9445,1.9445,1.9445,1.9445,124,0
20080924,1.9202,1.9202,1.9039,1.9039,1236,0
20080925,1.9119,2.0903,1.9119,2.0903,139,0
20080926,2.0984,2.228,2.0254,2.1714,6481,0
20080929,2.0741,2.1714,2.0741,2.1064,8069,0
20080930,2.0336,2.0336,2.0012,2.0254,6545,0
20081001,2.0984,2.139,2.0984,2.139,557,0
20081002,2.0659,2.0659,2.0659,2.0659,135,0
20081003,2.139,2.139,2.0012,2.0984,2225,0
20081006,1.9769,1.9851,1.823,1.8634,5762,0
20081007,1.8716,1.8716,1.6123,1.7824,28592,0
20081008,1.6851,1.7824,1.6205,1.6205,22584,0
20081009,1.6446,1.6446,1.6446,1.6446,370,0
20081010,1.6205,1.6205,1.4583,1.4583,15463,0
20081013,1.6205,1.7419,1.6205,1.6609,5210,0
20081014,1.588,1.7014,1.5394,1.6851,17541,0
20081015,1.6446,1.7824,1.6446,1.7824,11286,0
20081016,1.6446,1.6528,1.5798,1.6528,6104,0
20081017,1.5961,1.5961,1.5717,1.5717,9763,0
20081020,1.5394,1.5394,1.5394,1.5394,1233,0
20081021,1.4989,1.5313,1.4989,1.5313,3572,0
20081022,1.4583,1.4583,1.3774,1.3774,1729,0
20081023,1.3043,1.3774,1.2963,1.3693,19829,0
20081024,1.2801,1.2801,1.2639,1.2639,5038,0
20081027,1.2071,1.5231,1.2071,1.5231,13429,0
20081028,1.5717,1.6043,1.4989,1.5556,5932,0
20081029,1.5798,1.6528,1.5717,1.5717,1789,0
20081030,1.5798,1.5961,1.5798,1.5798,5371,0
20081031,1.4989,1.5637,1.4989,1.5637,3193,0
20081103,1.5556,1.5556,1.5394,1.5394,5813,0
20081104,1.6205,1.669,1.6205,1.669,522,0
20081105,1.6932,1.8311,1.5394,1.823,30760,0
20081106,1.7905,1.9688,1.7905,1.9688,31275,0
20081107,1.8553,1.9039,1.8553,1.9039,1779,0
20081110,1.8553,1.8553,1.7257,1.7905,8727,0
20081112,1.6851,1.6851,1.6851,1.6851,430,0
20081113,1.6446,1.6446,1.6043,1.6043,2,0
20081114,1.7501,1.7501,1.677,1.7501,3974,0
20081117,1.6205,1.6205,1.6205,1.6205,61,0
20081118,1.5394,1.588,1.5313,1.588,7986,0
20081119,1.507,1.507,1.507,1.507,308,0
20081120,1.4259,1.4827,1.4259,1.4827,9060,0
20081121,1.5556,1.5556,1.5556,1.5556,124,0
20081124,1.5556,1.5717,1.5556,1.5717,1643,0
20081125,1.5717,1.9769,1.5717,1.9769,52703,0
20081126,1.8877,2.0012,1.7824,2.0012,9366,0
20081127,2.0174,2.2038,2.0174,2.0821,11474,0
20081128,2.1064,2.1064,1.9769,1.9769,5252,0
20081201,1.7986,1.8634,1.7986,1.8634,4454,0
20081202,1.823,1.9119,1.7419,1.9119,5931,0
20081203,1.9039,1.9119,1.9039,1.9119,26043,0
20081204,1.9526,1.9526,1.9526,1.9526,19,0
20081205,1.9365,1.9365,1.8391,1.8391,222,0
20081208,1.9202,1.9202,1.9202,1.9202,463,0
20081210,1.9365,1.9365,1.8634,1.8634,4666,0
20081212,1.7824,1.7824,1.7339,1.7339,2453,0
20081215,1.7905,1.7905,1.7824,1.7824,5227,0
20081216,1.823,1.8634,1.7824,1.8634,623,0
20081217,1.8716,1.8716,1.7905,1.8716,8112,0
20081218,1.7905,1.8472,1.7824,1.8472,1681,0
20081223,1.7419,1.7419,1.7419,1.7419,886,0
20081229,1.7419,1.7419,1.7419,1.7419,777,0
20081230,1.7744,1.823,1.7744,1.823,2494,0
20081231,1.8311,1.8311,1.8311,1.8311,4097,0
20090105,1.8796,1.9445,1.8553,1.8553,663,0
20090106,1.9365,2.0659,1.9365,1.9365,13429,0
20090107,2.0418,2.4225,2.0418,2.1471,19456,0
20090108,2.1471,2.1471,2.1471,2.1471,25,0
20090109,2.0659,2.0659,1.9688,2.0174,5473,0
20090113,1.823,1.9202,1.823,1.9202,3649,0
20090114,1.9769,1.9769,1.8716,1.9365,1137,0
20090115,1.9526,1.9851,1.9526,1.9851,782,0
20090116,1.8877,1.8877,1.8877,1.8877,2468,0
20090119,1.9365,1.9365,1.9365,1.9365,2373,0
20090120,1.9445,1.9445,1.8472,1.8553,4698,0
20090121,1.7419,1.8553,1.7419,1.8553,8641,0
20090122,1.7419,1.7419,1.7419,1.7419,4307,0
20090123,1.6446,1.8553,1.6366,1.7986,4677,0
20090126,1.8067,1.8067,1.7339,1.7339,5135,0
20090128,1.7419,1.7986,1.7339,1.7339,8073,0
20090129,1.7257,1.7257,1.7257,1.7257,371,0
20090130,1.7257,1.7339,1.7014,1.7339,1189,0
20090202,1.6205,1.6205,1.6043,1.6123,3070,0
20090203,1.6043,1.7014,1.6043,1.6043,6172,0
20090204,1.5717,1.5717,1.5717,1.5717,1852,0
20090205,1.5394,1.5717,1.5394,1.5717,619,0
20090206,1.5394,1.5798,1.5394,1.5556,1852,0
20090209,1.5637,1.5637,1.5637,1.5637,393,0
20090210,1.5798,1.6609,1.5798,1.6609,5094,0
20090211,1.6932,1.6932,1.6123,1.6123,8355,0
20090212,1.5151,1.6205,1.5151,1.6123,12478,0
20090216,1.5231,1.5313,1.5151,1.5231,6006,0
20090217,1.3774,1.4503,1.3774,1.4017,2110,0
20090218,1.3531,1.4827,1.3531,1.4827,5418,0
20090219,1.4503,1.4827,1.3774,1.4827,7158,0
20090220,1.3531,1.3531,1.3531,1.3531,2468,0
20090223,1.4017,1.4017,1.4017,1.4017,222,0
20090224,1.3531,1.3936,1.3124,1.3936,1739,0
20090225,1.4259,1.4259,1.4259,1.4259,124,0
20090227,1.4259,1.4259,1.4259,1.4259,34,0
20090302,1.3369,1.3449,1.3369,1.3449,4040,0
20090304,1.3774,1.3774,1.3774,1.3774,1,0
20090306,1.272,1.2963,1.2234,1.2801,10344,0
20090309,1.2801,1.2801,1.2801,1.2801,173,0
20090310,1.2963,1.4259,1.2801,1.4259,12297,0
20090311,1.4908,1.4908,1.2801,1.2801,20475,0
20090312,1.3531,1.3531,1.3531,1.3531,1,0
20090313,1.361,1.361,1.361,1.361,5769,0
20090316,1.4178,1.4178,1.4178,1.4178,124,0
20090318,1.4341,1.4827,1.4341,1.4827,2,0
20090320,1.3531,1.4827,1.3531,1.4827,1056,0
20090324,1.4503,1.4827,1.3693,1.4259,13163,0
20090325,1.4421,1.4583,1.4421,1.4583,12015,0
20090326,1.3936,1.4583,1.3936,1.4583,61,0
20090327,1.3774,1.3774,1.3124,1.3774,6555,0
20090330,1.3043,1.3774,1.3043,1.3774,165,0
20090402,1.4744,1.4744,1.4744,1.4744,1,0
20090403,1.4017,1.7744,1.4017,1.4989,29832,0
20090406,1.4989,1.6366,1.4989,1.4989,5730,0
20090407,1.5637,1.5637,1.5637,1.5637,12,0
20090408,1.5961,1.5961,1.5798,1.588,1567,0
20090409,1.6284,1.7014,1.6284,1.7014,2606,0
20090414,1.6609,1.7339,1.6528,1.6528,17228,0
20090416,1.5798,1.6205,1.5231,1.6205,3975,0
20090417,1.5717,1.6043,1.5151,1.6043,12357,0
20090422,1.5961,1.6528,1.5394,1.588,14982,0
20090423,1.4989,1.5475,1.4827,1.5475,7544,0
20090424,1.4989,1.4989,1.4989,1.4989,3702,0
20090427,1.4421,1.4421,1.3449,1.4421,11987,0
20090428,1.4259,1.4259,1.4259,1.4259,1,0
20090429,1.4421,1.4908,1.4421,1.4908,2494,0
20090430,1.4178,1.4827,1.3774,1.4097,18954,0
20090504,1.4827,1.4827,1.3936,1.4341,3192,0
20090505,1.4178,1.4341,1.4178,1.4341,7705,0
20090506,1.4827,1.4827,1.4827,1.4827,1,0
20090507,1.4908,1.507,1.4744,1.4744,19385,0
20090508,1.4744,1.6205,1.4744,1.5798,22580,0
20090511,1.6205,1.6205,1.5556,1.5556,31056,0
20090512,1.6366,1.677,1.5961,1.5961,10866,0
20090513,1.5798,1.5798,1.5798,1.5798,5862,0
20090514,1.507,1.5394,1.4827,1.5394,818,0
20090515,1.5717,1.7419,1.4744,1.5394,34028,0
20090518,1.4827,1.5394,1.4583,1.4827,14211,0
20090519,1.4827,1.5151,1.4664,1.4827,19986,0
20090520,1.4908,1.4989,1.4908,1.4989,2468,0
20090521,1.4908,1.507,1.4908,1.507,7731,0
20090522,1.507,1.8716,1.507,1.8716,66244,0
20090525,2.1471,2.3577,2.1471,2.3577,174671,0
20090526,2.4467,2.6655,1.9851,2.1552,234819,0
20090527,2.1552,2.3495,1.9688,2.1876,135799,0
20090528,2.1876,2.3495,2.0336,2.2524,42172,0
20090529,2.3495,2.4225,2.2118,2.4144,32378,0
20090601,2.4225,2.4873,2.1876,2.228,42320,0
20090602,2.1956,2.1956,2.0659,2.0903,26937,0
20090603,2.0254,2.0659,1.8957,2.0174,27525,0
20090604,1.9688,2.0741,1.9119,2.0254,22414,0
20090605,2.0092,2.0092,1.9039,2.0012,35722,0
20090608,1.9119,1.9769,1.9119,1.9688,827,0
20090609,1.9688,2.0741,1.9119,2.0741,4509,0
20090610,2.0579,3.4838,2.0497,3.411,1174320,0
20090612,3.6215,3.6215,3.0787,3.1273,624225,0
20090615,3.0787,3.0787,2.7141,2.7547,214024,0
