Date,Open,High,Low,Close,Volume,OpenInt
20141006,13.384,13.991,13.295,13.384,196979,0
20141007,13.525,13.551,13.384,13.471,24690,0
20141008,13.463,13.463,13.295,13.375,15721,0
20141009,13.313,13.445,13.313,13.418,6957,0
20141010,13.401,13.401,13.111,13.208,10310,0
20141013,13.198,13.304,13.198,13.208,17832,0
20141014,13.234,13.287,12.856,13.181,48873,0
20141015,12.996,13.075,12.943,13.075,28617,0
20141016,13.075,13.119,12.987,13.119,45064,0
20141017,13.208,13.208,13.119,13.119,640,0
20141020,13.119,13.129,13.119,13.119,1108,0
20141021,13.102,13.163,13.032,13.119,5603,0
20141022,13.119,13.252,13.04,13.163,6932,0
20141023,13.208,13.208,13.208,13.208,68144,0
20141024,13.225,13.287,13.208,13.252,4308,0
20141027,13.269,13.269,13.234,13.234,1317,0
20141028,13.242,13.287,13.208,13.287,16625,0
20141029,13.269,13.287,13.269,13.269,5676,0
20141030,13.269,13.269,13.208,13.208,601,0
20141031,13.216,13.216,13.208,13.208,7907,0
20141103,13.208,13.26,13.208,13.208,5070,0
20141104,13.208,13.252,13.208,13.208,1742,0
20141105,13.163,13.252,13.163,13.252,2604,0
20141106,13.339,14.008,13.339,13.991,40567,0
20141107,14.087,14.087,13.736,14,11950,0
20141110,14.22,14.528,14.132,14.352,38683,0
20141112,14.308,14.924,14.308,14.51,21267,0
20141113,14.457,14.792,14.457,14.651,13157,0
20141114,14.792,14.889,14.704,14.889,35552,0
20141117,14.924,15.382,14.924,15.206,22751,0
20141118,15.32,15.391,15.065,15.162,17991,0
20141119,15.268,15.268,14.651,14.986,17203,0
20141120,14.88,14.906,14.748,14.906,5390,0
20141121,14.766,15.144,14.748,15.057,11978,0
20141124,15.057,15.057,14.757,14.837,4871,0
20141125,14.792,14.837,14.308,14.678,12704,0
20141126,14.528,14.968,14.308,14.968,15148,0
20141127,14.977,15.057,14.59,14.889,22936,0
20141128,14.88,14.968,14.792,14.968,1626,0
20141201,14.792,14.792,14.44,14.651,6492,0
20141202,14.837,14.837,14.36,14.792,5104,0
20141203,14.607,14.695,14.493,14.695,3279,0
20141204,14.695,14.748,14.528,14.748,3460,0
20141205,14.748,14.968,14.528,14.96,5722,0
20141208,14.837,14.968,14.554,14.863,9459,0
20141209,14.616,14.934,14.484,14.898,14462,0
20141210,14.827,14.871,14.616,14.871,2095,0
20141211,14.616,14.924,14.581,14.924,3716,0
20141212,14.792,14.792,14.616,14.704,2774,0
20141215,14.616,14.775,14.616,14.775,2141,0
20141216,14.528,14.528,13.216,14.352,21777,0
20141217,14.087,14.087,13.418,14.087,9391,0
20141218,14.087,14.22,13.921,14.22,2955,0
20141219,14.087,14.132,13.912,14.035,3847,0
20141222,14.071,14.22,13.912,14.22,7422,0
20141223,14.176,14.202,14.176,14.202,2540,0
20141229,14.22,14.22,13.622,14.079,3820,0
20141230,14.079,14.783,13.736,14.783,12208,0
20150102,14.783,14.783,14.457,14.748,1848,0
20150105,14.775,14.775,14.695,14.748,4530,0
20150107,14.74,14.775,14.661,14.775,3906,0
20150108,14.792,14.88,14.643,14.88,2751,0
20150109,14.792,14.792,14.792,14.792,80,0
20150112,14.669,14.704,14.528,14.59,1650,0
20150113,14.457,14.51,14.263,14.51,3887,0
20150114,14.484,14.484,14.308,14.44,919,0
20150115,14.263,14.44,14.263,14.44,2023,0
20150116,14.308,14.308,14.018,14.087,5923,0
20150119,14.132,14.158,13.867,14.158,4019,0
20150120,14.184,14.184,13.982,14.087,3261,0
20150121,14.184,14.184,14,14.158,548,0
20150122,14.087,14.396,14.087,14.396,3767,0
20150123,14.396,14.661,14.396,14.661,8161,0
20150126,14.44,14.661,14.44,14.616,1603,0
20150127,14.449,14.449,14.44,14.44,2674,0
20150128,14.572,14.995,14.572,14.968,20438,0
20150129,14.995,15.233,14.889,15.18,20866,0
20150130,15.223,15.233,15.057,15.057,17734,0
20150202,15.047,15.144,15.047,15.065,5628,0
20150203,15.074,15.276,14.986,15.206,29721,0
20150204,15.1,15.206,15.065,15.206,7721,0
20150205,15.206,15.25,15.144,15.25,10092,0
20150206,15.25,15.849,15.233,15.629,28521,0
20150209,15.849,15.849,15.585,15.629,5351,0
20150210,15.717,15.717,15.541,15.62,5115,0
20150211,15.611,15.611,15.426,15.611,3498,0
20150212,15.672,15.672,15.672,15.672,227,0
20150213,15.453,15.761,15.435,15.655,836,0
20150216,15.672,15.805,15.585,15.805,1411,0
20150217,15.593,15.708,15.514,15.708,5292,0
20150218,15.752,15.752,15.585,15.717,702,0
20150219,15.743,15.743,15.585,15.734,1981,0
20150220,15.726,15.726,15.585,15.585,567,0
20150223,15.638,15.708,15.435,15.708,6744,0
20150224,15.506,15.805,15.506,15.805,2824,0
20150225,15.761,16.369,15.761,16.289,160282,0
20150226,16.421,16.421,16.262,16.262,18009,0
20150227,16.377,16.818,16.289,16.721,18497,0
20150302,16.685,16.685,16.43,16.668,9107,0
20150303,16.685,16.923,16.685,16.773,20600,0
20150304,16.492,17.081,16.474,17.081,31354,0
20150305,17.081,17.346,17.081,17.249,20166,0
20150306,17.301,17.301,16.729,16.984,22381,0
20150309,16.782,16.861,16.553,16.729,6181,0
20150310,16.8,16.8,16.553,16.685,4308,0
20150311,16.527,16.773,16.527,16.773,2238,0
20150312,16.773,16.773,16.571,16.773,2538,0
20150313,16.905,16.905,16.588,16.844,4563,0
20150316,16.844,16.861,16.738,16.861,11041,0
20150317,16.861,17.073,16.861,17.073,18401,0
20150318,17.081,17.39,17.081,17.214,12741,0
20150319,17.319,17.319,16.967,17.204,9354,0
20150320,17.188,17.204,17.081,17.17,4581,0
20150323,17.17,17.17,17.064,17.161,21580,0
20150324,17.257,17.257,17.038,17.161,7298,0
20150325,17.081,17.117,16.958,16.958,12200,0
20150326,16.958,16.958,16.597,16.729,6974,0
20150327,16.782,16.852,16.782,16.791,6765,0
20150330,16.818,17.073,16.818,16.861,4572,0
20150331,16.861,16.976,16.826,16.958,2373,0
20150401,16.958,17.073,16.958,17.073,8018,0
20150402,17.081,17.081,16.905,16.905,4689,0
