Date,Open,High,Low,Close,Volume,OpenInt
19971015,50.82,50.82,50.82,50.82,41552,0
19971017,48.99,48.99,48.99,48.99,28611,0
19971020,47.16,47.16,47.16,47.16,6322,0
19971021,47.16,47.16,47.16,47.16,4288,0
19971022,46.695,46.695,46.695,46.695,3628,0
19971023,46.245,46.245,46.245,46.245,9242,0
19971024,45.325,45.325,45.325,45.325,8057,0
19971027,40.75,40.75,40.75,40.75,2538,0
19971028,37.085,37.085,37.085,37.085,8149,0
19971029,40.75,40.75,40.75,40.75,10998,0
19971030,40.75,40.75,40.75,40.75,7729,0
19971031,40.75,40.75,40.75,40.75,1872,0
19971103,44.865,44.865,44.865,44.865,1192,0
19971104,45.325,45.325,45.325,45.325,4511,0
19971105,46.245,46.245,46.245,46.245,4183,0
19971106,45.325,45.325,45.325,45.325,5156,0
19971107,44.415,44.415,44.415,44.415,6445,0
19971112,43.035,43.035,43.035,43.035,6644,0
19971113,41.665,41.665,41.665,41.665,14380,0
19971114,42.125,42.125,42.125,42.125,580,0
19971117,44.415,44.415,44.415,44.415,4046,0
19971118,44.415,44.415,44.415,44.415,3315,0
19971119,43.495,43.495,43.495,43.495,2505,0
19971120,43.495,43.495,43.495,43.495,5292,0
19971121,44.415,44.415,44.415,44.415,7857,0
19971124,42.58,42.58,42.58,42.58,1789,0
19971125,41.665,41.665,41.665,41.665,3399,0
19971126,42.58,42.58,42.58,42.58,2688,0
19971127,41.205,41.205,41.205,41.205,5324,0
19971128,40.75,40.75,40.75,40.75,8478,0
19971201,43.035,43.035,43.035,43.035,1385,0
19971202,43.035,43.035,43.035,43.035,3854,0
19971203,43.035,43.035,43.035,43.035,3664,0
19971204,42.58,42.58,42.58,42.58,1253,0
19971205,42.58,42.58,42.58,42.58,3781,0
19971208,42.58,42.58,42.58,42.58,4226,0
19971209,42.58,42.58,42.58,42.58,7192,0
19971210,42.58,42.58,42.58,42.58,1267,0
19971211,41.665,41.665,41.665,41.665,4774,0
19971212,41.665,41.665,41.665,41.665,3895,0
19971215,41.665,41.665,41.665,41.665,1426,0
19971216,41.665,41.665,41.665,41.665,3459,0
19971217,41.665,41.665,41.665,41.665,658,0
19971218,41.665,41.665,41.665,41.665,1099,0
19971219,41.205,41.205,41.205,41.205,6164,0
19971222,40.75,40.75,40.75,40.75,3178,0
19971223,39.835,39.835,39.835,39.835,3123,0
19971229,39.375,39.375,39.375,39.375,2178,0
19971230,39.835,39.835,39.835,39.835,1626,0
19971231,36.165,36.165,36.165,36.165,1998,0
19980105,38.46,38.46,38.46,38.46,5780,0
19980106,38,38,38,38,4382,0
19980107,38,38,38,38,4566,0
19980108,38.46,38.46,38.46,38.46,5977,0
19980109,38.46,38.46,38.46,38.46,7056,0
19980112,37.085,37.085,37.085,37.085,5508,0
19980113,37.085,37.085,37.085,37.085,4508,0
19980114,36.635,36.635,36.635,36.635,5745,0
19980115,35.71,35.71,35.71,35.71,4240,0
19980116,35.71,35.71,35.71,35.71,5222,0
19980119,38,38,38,38,1830,0
19980120,36.635,36.635,36.635,36.635,1426,0
19980121,37.085,37.085,37.085,37.085,6351,0
19980122,35.71,35.71,35.71,35.71,5690,0
19980123,35.71,35.71,35.71,35.71,2939,0
19980126,35.71,35.71,35.71,35.71,1987,0
19980127,35.71,35.71,35.71,35.71,4478,0
19980128,35.71,35.71,35.71,35.71,7797,0
19980129,36.635,36.635,36.635,36.635,5929,0
19980130,37.085,37.085,37.085,37.085,6012,0
19980202,38,38,38,38,8214,0
19980203,39.835,39.835,39.835,39.835,14954,0
19980204,38.915,38.915,38.915,38.915,13950,0
19980205,39.835,39.835,39.835,39.835,10597,0
19980206,40.29,40.29,40.29,40.29,11498,0
19980209,41.665,41.665,41.665,41.665,7561,0
19980210,41.665,41.665,41.665,41.665,4439,0
19980211,41.665,41.665,41.665,41.665,881,0
19980212,40.75,40.75,40.75,40.75,8694,0
19980213,41.665,41.665,41.665,41.665,2747,0
19980216,41.665,41.665,41.665,41.665,3889,0
19980217,40.75,40.75,40.75,40.75,14925,0
19980218,38,38,38,38,10358,0
19980219,37.545,37.545,37.545,37.545,4194,0
19980220,37.085,37.085,37.085,37.085,5627,0
19980223,34.795,34.795,34.795,34.795,7476,0
19980224,35.71,35.71,35.71,35.71,8682,0
19980225,35.71,35.71,35.71,35.71,4766,0
19980226,36.635,36.635,36.635,36.635,8929,0
19980227,36.165,36.165,36.165,36.165,9854,0
19980302,37.085,37.085,37.085,37.085,3196,0
19980303,37.545,37.545,37.545,37.545,3750,0
19980304,36.635,36.635,36.635,36.635,1961,0
19980305,36.635,36.635,36.635,36.635,4384,0
19980306,36.635,36.635,36.635,36.635,1076,0
19980309,37.085,37.085,37.085,37.085,4081,0
19980310,37.545,37.545,37.545,37.545,4411,0
19980311,38.46,38.46,38.46,38.46,10119,0
19980312,38.46,38.46,38.46,38.46,3833,0
19980313,39.375,39.375,39.375,39.375,5538,0
19980316,39.835,39.835,39.835,39.835,12684,0
19980317,40.75,40.75,40.75,40.75,31729,0
19980318,40.75,40.75,40.75,40.75,5311,0
19980319,40.29,40.29,40.29,40.29,5795,0
19980320,38.915,38.915,38.915,38.915,6976,0
19980323,38.46,38.46,38.46,38.46,5244,0
19980324,38,38,38,38,2076,0
19980325,37.545,37.545,37.545,37.545,5123,0
19980326,37.085,37.085,37.085,37.085,6250,0
19980327,37.085,37.085,37.085,37.085,3097,0
19980330,37.085,37.085,37.085,37.085,1099,0
19980331,36.635,36.635,36.635,36.635,2875,0
19980401,36.635,36.635,36.635,36.635,5710,0
19980402,37.085,37.085,37.085,37.085,1793,0
19980406,37.085,37.085,37.085,37.085,4247,0
19980407,39.835,39.835,39.835,39.835,5494,0
19980408,38,38,38,38,6782,0
19980409,37.545,37.545,37.545,37.545,6184,0
19980414,37.085,37.085,37.085,37.085,5407,0
19980415,37.545,37.545,37.545,37.545,8103,0
19980416,38,38,38,38,2098,0
19980417,37.545,37.545,37.545,37.545,3305,0
19980420,37.545,37.545,37.545,37.545,4917,0
19980421,38,38,38,38,5433,0
19980422,37.545,37.545,37.545,37.545,3846,0
19980423,38,38,38,38,2901,0
19980424,38,38,38,38,3573,0
19980427,38,38,38,38,2345,0
19980428,37.085,37.085,37.085,37.085,2747,0
19980429,37.085,37.085,37.085,37.085,5494,0
19980430,36.165,36.165,36.165,36.165,7676,0
19980504,36.165,36.165,36.165,36.165,2011,0
19980505,32.51,32.51,32.51,32.51,10207,0
19980506,32.51,32.51,32.51,32.51,3984,0
19980507,31.135,31.135,31.135,31.135,9293,0
19980508,30.225,30.225,30.225,30.225,1589,0
19980511,30.225,30.225,30.225,30.225,6935,0
19980512,30.225,30.225,30.225,30.225,13650,0
19980513,30.675,30.675,30.675,30.675,8809,0
19980514,29.3,29.3,29.3,29.3,1652,0
19980515,28.385,28.385,28.385,28.385,6015,0
19980518,27.015,27.015,27.015,27.015,11178,0
19980519,24.73,24.73,24.73,24.73,3051,0
19980520,25.18,25.18,25.18,25.18,3140,0
19980521,25.18,25.18,25.18,25.18,5984,0
19980522,25.18,25.18,25.18,25.18,4986,0
19980525,25.635,25.635,25.635,25.635,5799,0
19980526,25.635,25.635,25.635,25.635,12724,0
19980527,24.73,24.73,24.73,24.73,8646,0
19980528,23.35,23.35,23.35,23.35,3627,0
19980529,22.895,22.895,22.895,22.895,3770,0
19980601,21.975,21.975,21.975,21.975,3241,0
19980602,20.15,20.15,20.15,20.15,3306,0
19980603,18.77,18.77,18.77,18.77,10948,0
19980604,19.23,19.23,19.23,19.23,7187,0
19980605,20.15,20.15,20.15,20.15,8743,0
19980608,20.605,20.605,20.605,20.605,1436,0
19980609,20.605,20.605,20.605,20.605,7217,0
19980610,19.69,19.69,19.69,19.69,9020,0
19980615,19.69,19.69,19.69,19.69,10583,0
19980616,19.69,19.69,19.69,19.69,9208,0
19980617,19.69,19.69,19.69,19.69,7688,0
19980618,20.15,20.15,20.15,20.15,5286,0
19980619,21.975,21.975,21.975,21.975,11432,0
19980622,21.975,21.975,21.975,21.975,15719,0
19980623,22.895,22.895,22.895,22.895,9702,0
19980624,23.35,23.35,23.35,23.35,23977,0
19980625,23.35,23.35,23.35,23.35,15168,0
19980626,23.35,23.35,23.35,23.35,12021,0
19980629,25.635,25.635,25.635,25.635,824,0
19980630,24.73,24.73,24.73,24.73,2844,0
19980701,24.73,24.73,24.73,24.73,4974,0
19980702,24.73,24.73,24.73,24.73,5239,0
19980703,24.73,24.73,24.73,24.73,1014,0
19980706,24.73,24.73,24.73,24.73,1566,0
19980707,24.73,24.73,24.73,24.73,473,0
19980708,23.81,23.81,23.81,23.81,1080,0
19980709,24.265,24.265,24.265,24.265,3642,0
19980710,24.265,24.265,24.265,24.265,398,0
19980713,23.81,23.81,23.81,23.81,353,0
19980714,25.18,25.18,25.18,25.18,3569,0
19980715,24.73,24.73,24.73,24.73,5593,0
19980716,24.73,24.73,24.73,24.73,6049,0
19980717,24.73,24.73,24.73,24.73,2279,0
19980720,25.18,25.18,25.18,25.18,5549,0
19980721,25.18,25.18,25.18,25.18,11589,0
19980722,25.18,25.18,25.18,25.18,8526,0
19980723,25.18,25.18,25.18,25.18,7492,0
19980724,25.635,25.635,25.635,25.635,1808,0
19980727,25.18,25.18,25.18,25.18,5715,0
19980728,24.73,24.73,24.73,24.73,5494,0
19980729,24.73,24.73,24.73,24.73,7775,0
19980730,24.73,24.73,24.73,24.73,7033,0
19980731,24.73,24.73,24.73,24.73,6644,0
19980803,24.73,24.73,24.73,24.73,5924,0
19980804,24.73,24.73,24.73,24.73,13535,0
19980805,23.81,23.81,23.81,23.81,21797,0
19980806,23.81,23.81,23.81,23.81,2906,0
19980807,24.265,24.265,24.265,24.265,14340,0
19980810,24.265,24.265,24.265,24.265,7707,0
19980811,24.265,24.265,24.265,24.265,9393,0
19980812,24.265,24.265,24.265,24.265,1333,0
19980813,24.265,24.265,24.265,24.265,2165,0
19980814,23.81,23.81,23.81,23.81,1447,0
19980817,23.81,23.81,23.81,23.81,55,0
19980818,23.35,23.35,23.35,23.35,385,0
19980819,23.35,23.35,23.35,23.35,2791,0
19980820,23.35,23.35,23.35,23.35,4574,0
19980821,23.35,23.35,23.35,23.35,3351,0
19980824,22.895,22.895,22.895,22.895,2747,0
19980825,21.975,21.975,21.975,21.975,4066,0
19980826,21.975,21.975,21.975,21.975,3846,0
19980827,21.055,21.055,21.055,21.055,3066,0
19980828,18.77,18.77,18.77,18.77,5483,0
19980831,16.94,16.94,16.94,16.94,4258,0
19980901,17.4,17.4,17.4,17.4,8064,0
19980902,17.4,17.4,17.4,17.4,3327,0
19980903,17.855,17.855,17.855,17.855,7643,0
19980904,18.77,18.77,18.77,18.77,1031,0
19980907,18.77,18.77,18.77,18.77,1943,0
19980908,19.23,19.23,19.23,19.23,824,0
19980909,19.69,19.69,19.69,19.69,379,0
19980910,21.52,21.52,21.52,21.52,535,0
19980911,19.69,19.69,19.69,19.69,729,0
19980914,20.15,20.15,20.15,20.15,275,0
19980915,20.605,20.605,20.605,20.605,1758,0
19980916,20.605,20.605,20.605,20.605,2064,0
19980917,20.15,20.15,20.15,20.15,2227,0
19980918,19.69,19.69,19.69,19.69,3956,0
19980921,19.23,19.23,19.23,19.23,707,0
19980922,18.77,18.77,18.77,18.77,1985,0
19980923,20.605,20.605,20.605,20.605,4723,0
19980924,22.435,22.435,22.435,22.435,7386,0
19980925,22.895,22.895,22.895,22.895,3349,0
19980928,20.605,20.605,20.605,20.605,1346,0
19980929,21.52,21.52,21.52,21.52,1519,0
19980930,20.605,20.605,20.605,20.605,673,0
19981001,20.15,20.15,20.15,20.15,1409,0
19981002,19.23,19.23,19.23,19.23,1817,0
19981005,18.77,18.77,18.77,18.77,64,0
19981006,19.23,19.23,19.23,19.23,732,0
19981007,18.77,18.77,18.77,18.77,1984,0
19981008,17.855,17.855,17.855,17.855,1850,0
19981009,17.855,17.855,17.855,17.855,922,0
19981012,17.855,17.855,17.855,17.855,1786,0
19981013,18.31,18.31,18.31,18.31,500,0
19981014,17.855,17.855,17.855,17.855,2395,0
19981015,17.855,17.855,17.855,17.855,1648,0
19981016,17.855,17.855,17.855,17.855,1758,0
19981019,18.31,18.31,18.31,18.31,1187,0
19981020,17.855,17.855,17.855,17.855,2027,0
19981021,16.025,16.025,16.025,16.025,1672,0
19981022,16.485,16.485,16.485,16.485,1565,0
