Date,Open,High,Low,Close,Volume,OpenInt
20100512,21.036,21.699,20.982,21.699,119874020,0
20100513,21.578,21.812,21.338,21.518,30003014,0
20100514,21.415,21.699,21.295,21.398,17537427,0
20100517,20.855,21.277,20.807,21.157,15451979,0
20100518,21.126,21.386,21.114,21.277,9530270,0
20100519,21.109,21.204,20.849,20.849,15343773,0
20100520,20.735,20.795,19.921,19.951,17211172,0
20100521,19.951,20.282,19.65,20.282,8844575,0
20100524,20.289,20.764,20.282,20.643,7786893,0
20100525,20.198,20.488,19.77,19.891,8427408,0
20100526,20.15,21.338,20.15,21.338,42199977,0
20100527,20.975,21.241,20.915,21.109,3961465,0
20100528,21.121,21.181,20.855,21.096,2748705,0
20100531,20.855,21.096,20.675,21.096,1239541,0
20100601,20.819,21.084,20.524,21.012,4174261,0
20100602,20.909,21.157,20.861,21.066,3774994,0
20100604,21.012,21.157,20.614,20.614,3691311,0
20100607,20.253,20.643,20.253,20.493,3002674,0
20100608,20.505,20.735,20.433,20.433,20207203,0
20100609,20.475,20.97,20.373,20.915,3669937,0
20100610,20.752,21.174,20.752,21.096,5401709,0
20100611,21.06,21.126,20.939,21.036,6575912,0
20100614,21.036,21.307,20.915,21.198,2741290,0
20100615,21.096,21.27,20.994,21.246,4438022,0
20100616,21.258,21.307,20.867,21.241,5480898,0
20100617,21.066,21.337,21.036,21.313,4953061,0
20100618,21.253,21.626,21.253,21.548,18472868,0
20100621,21.518,21.988,21.518,21.988,5728496,0
20100622,21.729,21.897,21.608,21.699,2942721,0
20100623,21.638,21.82,21.59,21.638,3430795,0
20100624,21.638,21.759,21.398,21.398,2783344,0
20100625,21.458,21.662,21.403,21.403,3587979,0
20100628,21.434,21.499,21.126,21.216,1156064,0
20100629,21.216,21.265,21.036,21.096,3849157,0
20100630,21.096,21.337,21.066,21.096,1706089,0
20100701,21.096,21.56,20.987,21.458,3789464,0
20100702,21.265,21.699,21.265,21.338,2848844,0
20100705,21.35,21.41,21.216,21.222,399821,0
20100706,21.265,21.614,21.253,21.614,777877,0
20100707,21.343,21.638,21.307,21.578,3440532,0
20100708,21.699,21.988,21.458,21.633,7007365,0
20100709,21.645,21.783,21.482,21.759,704138,0
20100712,21.699,22.422,21.602,22.422,4220581,0
20100713,22.319,22.783,22.319,22.783,4355425,0
20100714,22.783,22.892,22.302,22.302,1921197,0
20100715,22.302,22.543,22.241,22.302,659512,0
20100716,22.181,22.633,22.181,22.181,980958,0
20100719,22.157,22.609,22.12,22.525,4363599,0
20100720,22.483,22.525,22.241,22.307,1775389,0
20100721,22.362,22.712,22.362,22.573,3120563,0
20100722,22.543,23.025,22.489,23.025,4122330,0
20100723,22.904,23.055,22.699,22.724,2313267,0
20100726,23.086,23.483,22.856,23.399,3207502,0
20100727,23.447,23.591,22.73,23.152,5887743,0
20100728,23.326,23.326,22.844,22.851,1568434,0
20100729,22.904,23.507,22.904,23.507,4557333,0
20100730,23.507,23.784,23.356,23.748,6732239,0
20100802,23.76,24.122,23.706,23.928,3528612,0
20100803,23.928,24.182,23.899,24.049,2512820,0
20100804,24.032,24.032,23.808,23.869,1017713,0
20100805,23.808,24.044,23.688,23.96,4054788,0
20100806,23.984,23.989,23.748,23.808,1010462,0
20100809,23.718,23.808,22.923,23.025,2314907,0
20100810,23.145,23.145,22.875,22.995,2909189,0
20100811,22.995,23.055,22.663,22.724,1829937,0
20100812,22.712,23.265,22.712,23.086,2175286,0
20100813,23.459,23.688,23.225,23.381,1467523,0
20100816,23.447,23.688,23.278,23.513,978222,0
20100817,23.507,23.507,23.031,23.205,1029253,0
20100818,23.369,23.369,23.007,23.29,1454193,0
20100819,23.278,23.507,23.145,23.201,1917409,0
20100820,23.217,23.549,23.145,23.495,2127653,0
20100823,23.749,24.345,23.7,24.214,1996988,0
20100824,24.14,24.159,23.501,23.917,1533697,0
20100825,23.787,24.029,23.427,23.532,1131911,0
20100826,23.24,23.724,22.856,23.005,2370442,0
20100827,22.881,23.167,22.881,23.167,1801822,0
20100830,23.315,23.532,23.265,23.265,1818365,0
20100831,23.067,23.414,22.944,23.414,2968079,0
20100901,23.551,23.563,23.252,23.252,1921197,0
20100902,23.433,23.526,23.228,23.228,1387151,0
20100903,23.29,23.675,23.252,23.675,1084137,0
20100906,23.712,23.966,23.712,23.966,1560314,0
20100907,23.749,23.861,23.57,23.749,867346,0
20100908,23.774,24.53,23.749,24.492,4332759,0
20100909,24.245,24.791,24.19,24.76,3464674,0
20100910,24.5,24.797,24.456,24.555,2609377,0
20100913,24.791,24.804,24.53,24.624,3150946,0
20100914,24.618,24.866,24.438,24.841,3274262,0
20100915,24.81,24.927,24.605,24.927,1993309,0
20100916,24.716,24.915,24.68,24.68,1310849,0
20100917,24.76,24.958,24.431,24.958,4299943,0
20100920,24.68,25.231,24.68,25.168,1561768,0
20100921,25.168,25.889,25.059,25.485,4051521,0
20100922,25.361,25.635,25.306,25.485,1786071,0
20100923,25.436,25.493,24.822,24.866,3269844,0
20100924,24.866,24.915,24.456,24.492,5828929,0
20100927,24.741,24.853,24.649,24.68,1125745,0
20100928,24.68,24.797,24.45,24.747,1357744,0
20100929,24.68,24.866,24.492,24.68,2052437,0
20100930,24.649,25.424,24.568,25.424,4229981,0
20101001,25.059,25.411,24.804,24.804,1731892,0
20101004,24.866,25.144,24.754,25.144,1546050,0
20101005,25.051,25.108,24.747,24.977,2693397,0
20101006,25.046,25.176,24.817,24.971,1461531,0
20101007,24.859,25.108,24.492,24.492,1455647,0
20101008,24.568,24.791,24.19,24.338,2016202,0
20101011,24.463,24.593,24.307,24.48,1568651,0
20101012,24.375,24.48,24.251,24.307,1949399,0
20101013,24.4,24.642,24.326,24.555,5971448,0
20101014,24.618,24.68,23.899,23.904,7116776,0
20101015,23.928,24.059,23.694,23.811,2568344,0
20101018,23.842,23.936,23.749,23.936,1764816,0
20101019,23.936,24.338,23.904,24.127,3156819,0
20101020,23.961,24.245,23.811,23.904,4823504,0
20101021,24.121,24.121,23.44,23.749,2620417,0
20101022,23.737,23.737,23.297,23.625,2182136,0
20101025,23.749,23.749,23.198,23.252,1591989,0
20101026,23.252,23.346,22.887,22.944,2801114,0
20101027,23.067,23.557,23.067,23.378,3859730,0
20101028,23.619,23.966,23.44,23.687,2291785,0
20101029,23.718,23.767,23.192,23.446,2469551,0
20101102,23.563,23.662,23.501,23.595,1836559,0
20101103,23.595,23.625,23.252,23.252,1961959,0
20101104,23.44,23.595,23.252,23.315,3374890,0
20101105,23.427,23.737,23.315,23.657,2456883,0
20101108,23.687,23.973,23.452,23.743,2970532,0
20101109,23.582,24.059,23.465,23.879,4014189,0
20101110,23.861,23.867,23.532,23.539,2963096,0
20101112,23.129,23.315,22.899,22.944,7944338,0
20101115,23.252,23.273,22.298,22.466,12448924,0
20101116,22.509,22.509,22.057,22.205,7342413,0
20101117,22.26,23.223,22.125,22.881,8462372,0
20101118,22.764,23.154,22.664,22.826,23274010,0
20101119,22.986,22.986,22.652,22.652,13198687,0
20101122,22.936,22.993,22.695,22.708,6394694,0
20101123,22.708,22.726,22.155,22.163,10307583,0
20101124,22.317,22.478,22.143,22.255,11267177,0
20101125,22.323,22.422,22.168,22.248,3427560,0
20101126,22.23,22.248,21.734,21.889,7336986,0
20101129,22.13,22.18,21.709,21.765,5242180,0
20101130,21.945,22.075,21.729,22.007,11984037,0
20101201,22.069,22.603,21.964,22.478,5431170,0
20101202,22.572,22.806,22.49,22.565,5388748,0
20101203,22.633,22.677,22.218,22.502,1463279,0
20101206,22.547,22.757,22.323,22.757,3767981,0
20101207,22.608,22.819,22.577,22.819,3651884,0
20101208,22.527,22.814,22.28,22.441,3494298,0
20101209,22.447,22.534,22.273,22.323,3599149,0
20101210,22.385,22.726,22.355,22.355,6518998,0
20101213,22.522,22.615,22.441,22.54,1011439,0
20101214,22.621,22.739,22.416,22.739,3103270,0
20101215,22.603,22.726,22.485,22.695,1465178,0
20101216,22.658,22.751,22.355,22.391,2415296,0
20101217,22.441,22.447,22.198,22.26,8298404,0
20101220,22.198,22.355,22.081,22.138,2837761,0
20101221,22.198,22.198,22.019,22.138,3320810,0
20101222,22.205,22.205,22.093,22.118,1972325,0
20101223,22.118,22.143,22.088,22.125,1642792,0
20101227,22.113,22.138,22.007,22.106,869572,0
20101228,22.075,22.106,22.012,22.044,1810625,0
20101229,22.075,22.23,22.05,22.138,1773945,0
20101230,22.138,22.205,22.05,22.063,988437,0
