Date,Open,High,Low,Close,Volume,OpenInt
19961206,12.711,15.11,12.711,15.023,450,0
19961209,17.778,18.667,17.778,18.667,225,0
19961210,18.667,18.667,18.667,18.667,113,0
19961212,19.112,19.112,18.667,18.667,236,0
19961213,17.778,17.778,17.778,17.778,10,0
19961216,19.112,19.556,19.112,19.556,134,0
19961217,20.001,20.889,20.001,20.889,731,0
19961219,19.556,19.556,19.112,19.112,338,0
19970103,19.112,19.112,19.112,19.112,113,0
19970109,18.667,18.667,18.667,18.667,55,0
19970115,18.756,18.756,18.756,18.756,55,0
19970116,18.756,18.756,18.756,18.756,10,0
19970120,18.223,18.223,18.223,18.223,169,0
19970124,18.578,18.578,18.578,18.578,563,0
19970127,18.134,18.134,18.134,18.134,225,0
19970128,18.134,18.134,18.045,18.045,450,0
19970131,17.956,17.956,17.956,17.956,271,0
19970207,17.6,17.6,17.6,17.6,10,0
19970217,16.889,16.889,16.889,16.889,113,0
19970226,16.889,16.889,16.889,16.889,20,0
19970307,16.445,16.445,16.445,16.445,10,0
19970326,14.046,14.134,14.046,14.134,1238,0
19970327,14.134,14.134,14.134,14.134,225,0
19970404,13.868,13.868,13.868,13.868,55,0
19970407,13.868,13.868,13.868,13.868,55,0
19970409,13.511,13.511,13.511,13.511,45,0
19970414,13.423,13.423,13.423,13.423,55,0
19970416,13.423,13.423,13.423,13.423,225,0
19970417,13.245,13.245,13.156,13.245,563,0
19970418,12.979,12.979,12.979,12.979,281,0
19970421,12.623,12.623,12.623,12.623,113,0
19970425,12.444,12.444,12.444,12.444,113,0
19970428,12.356,12.356,12.356,12.356,169,0
19970430,12.178,12.178,12.178,12.178,225,0
19970512,12.267,12.267,12.267,12.267,338,0
19970513,12.267,12.267,12.267,12.267,113,0
19970515,12.178,12.178,12.178,12.178,113,0
19970522,12.267,12.267,12.267,12.267,113,0
19970530,12.267,12.267,12.267,12.267,113,0
19970605,12.178,12.178,12.178,12.178,113,0
19970609,12.178,12.178,12.178,12.178,169,0
19970612,12.178,12.178,12.178,12.178,232,0
19970613,11.822,11.822,11.822,11.822,113,0
19970616,11.646,11.646,11.646,11.646,225,0
19970625,11.022,11.022,11.022,11.022,180,0
19970707,10.933,10.933,10.933,10.933,382,0
19970710,11.022,11.022,11.022,11.022,113,0
19970714,10.845,10.845,10.845,10.845,225,0
19970721,10.845,10.845,10.845,10.845,10,0
19970722,10.311,10.311,10.311,10.311,10,0
19970820,10.4,10.4,10.4,10.4,225,0
19970826,10.488,10.488,10.4,10.4,20,0
19970827,10.311,10.311,10.135,10.135,225,0
19970829,10.311,10.311,10.311,10.311,10,0
19970905,10.488,10.488,10.488,10.488,10,0
19970908,10.488,10.488,10.488,10.488,271,0
19970909,10.579,10.579,10.579,10.579,10,0
19970910,10.488,10.667,10.488,10.667,338,0
19970911,10.667,10.667,10.579,10.667,1136,0
19970915,10.667,10.667,10.667,10.667,10,0
19970917,10.756,10.756,10.756,10.756,10,0
19970923,10.579,10.579,10.488,10.488,553,0
19971001,10.579,10.579,10.579,10.579,553,0
19971002,10.579,10.579,10.579,10.579,338,0
19971022,10.667,10.667,10.667,10.667,113,0
19971023,10.667,10.667,10.579,10.579,317,0
19971028,10.579,10.579,10.488,10.488,348,0
19971120,10.667,10.845,10.667,10.845,157,0
19971211,10.579,10.579,10.579,10.579,102,0
19971215,10.579,10.579,10.579,10.579,55,0
19980112,10.4,10.4,10.4,10.4,246,0
19980218,10.488,10.488,10.488,10.488,113,0
19980224,10.222,10.222,10.222,10.222,153,0
19980226,10.135,10.135,10.135,10.135,113,0
19980227,10.222,10.222,10.044,10.044,147,0
19980302,10.135,10.222,10.044,10.044,338,0
19980303,10.579,10.579,10.579,10.579,66,0
19980304,9.956,9.956,9.956,9.956,153,0
19980305,10.044,10.044,10.044,10.044,225,0
19980309,9.867,9.867,9.867,9.867,153,0
19980312,8.0891,8.889,8.0891,8.889,303,0
19980313,8.2668,8.2668,8.2668,8.2668,35,0
19980316,8.0002,8.3557,8.0002,8.0002,570,0
19980317,8.0002,8.0002,7.5557,7.6446,490,0
19980318,7.5557,7.6446,7.2889,7.6446,526,0
19980319,7.378,7.378,7.2002,7.2889,1364,0
19980320,7.0223,7.2002,7.0223,7.0223,984,0
19980323,8.8,9.3332,7.0668,7.0668,2244,0
19980324,7.1112,7.3335,7.0223,7.2889,1830,0
19980325,7.3335,7.5557,7.2889,7.5557,1054,0
19980326,8.178,8.178,7.378,7.378,1061,0
19980327,7.378,7.378,7.0223,7.1557,2307,0
19980330,7.0668,7.1557,7.0223,7.0223,1704,0
19980331,7.0223,7.2889,7.0223,7.2889,1130,0
19980401,7.0223,7.2889,6.9781,7.0223,1718,0
19980402,6.9336,7.0223,6.8447,6.8892,1126,0
19980406,6.8892,7.0668,6.8892,6.9336,2894,0
19980407,6.9336,7.0668,6.9336,7.0668,2652,0
19980408,6.9781,7.0223,6.9336,6.9336,1977,0
19980409,6.9781,6.9781,6.8892,6.9336,1139,0
19980414,6.9336,6.9336,6.8447,6.8892,1270,0
19980415,7.1112,7.1112,6.9781,6.9781,1213,0
19980416,6.8892,7.1557,6.8447,6.8892,1958,0
19980417,6.8892,6.8892,6.8447,6.8447,1603,0
19980420,6.8447,6.8447,6.8447,6.8447,1548,0
19980421,6.8447,6.8892,6.8003,6.8003,2689,0
19980422,6.8003,6.8447,6.7557,6.8003,2031,0
19980423,6.7112,6.8003,6.7112,6.7112,1099,0
19980424,6.6668,6.6668,6.6224,6.6224,1866,0
19980427,6.6224,6.6224,6.4889,6.4889,2153,0
19980428,6.4889,6.4889,6.0891,6.0891,2107,0
19980429,5.9556,5.9556,5.3335,5.4222,2722,0
19980430,5.2446,5.2446,4.4445,4.5778,2362,0
19980504,4.4445,4.6222,4.4002,4.5333,1136,0
19980505,4.5333,4.5333,4.3556,4.3556,2851,0
19980506,4.3112,4.3112,4.0001,4.0889,1928,0
19980507,4.0001,4.4002,4.0001,4.4002,1394,0
19980508,4.1779,5.2002,4.1779,5.2002,983,0
19980511,5.3335,5.3335,4.7556,5.0223,276,0
19980512,4.7556,5.0667,4.1779,4.7111,3243,0
19980513,4.8001,4.8889,4.8001,4.8889,376,0
19980514,4.6222,4.8889,4.5333,4.8889,830,0
19980515,4.4445,4.6222,4.4445,4.6222,718,0
19980518,4.8889,4.8889,4.6222,4.6222,271,0
19980519,4.8445,4.8445,4.5333,4.6222,404,0
19980520,4.5333,4.7111,4.5333,4.5333,1406,0
19980521,4.7111,4.7111,4.4002,4.4002,507,0
19980522,4.4002,4.4002,4.4002,4.4002,278,0
19980525,4.3556,4.3556,4.1335,4.3556,680,0
19980526,4.2667,4.2667,4.2223,4.2223,416,0
19980527,4.0889,4.0889,4.0001,4.0001,952,0
19980528,4.2223,4.2223,4.0889,4.0889,1257,0
19980529,4.0889,4.2667,4.0889,4.1779,317,0
19980601,4.2667,4.2667,3.9111,4.0889,388,0
19980602,3.9557,3.9557,3.9111,3.9111,525,0
19980603,3.9111,4.3556,3.9111,4.3556,1443,0
19980604,4.2667,4.5333,4.2667,4.489,1771,0
19980605,4.489,4.489,4.489,4.489,113,0
19980608,4.1779,4.1779,3.9111,3.9111,514,0
19980609,4.0001,4.0001,4.0001,4.0001,147,0
19980610,4.0001,4.0001,4.0001,4.0001,147,0
19980615,3.9111,3.9111,3.8223,3.8667,609,0
19980616,3.7779,3.9557,3.7779,3.9557,259,0
19980617,3.8223,3.8223,3.8223,3.8223,113,0
19980618,3.8223,3.8667,3.7779,3.8223,383,0
19980619,4.0445,4.0445,4.0445,4.0445,236,0
19980622,3.8223,3.8223,3.8223,3.8223,124,0
19980623,3.7334,3.7779,3.7334,3.7779,153,0
19980625,3.9557,4.6222,3.9557,4.6222,317,0
19980626,3.7334,4.0001,3.7334,4.0001,265,0
19980629,4.0001,4.2667,3.8223,4.2667,1383,0
19980630,3.7779,4.3556,3.7779,4.0001,790,0
19980701,3.7779,4.0889,3.7779,4.0889,231,0
19980702,4.0445,4.0889,3.9111,3.9111,1608,0
19980703,4.0001,4.0445,4.0001,4.0445,153,0
19980706,4.2223,4.2667,4.2223,4.2667,158,0
19980707,3.8223,3.8223,3.8223,3.8223,153,0
19980708,4.0001,4.0001,3.8223,3.8223,743,0
19980709,3.8667,4.0001,3.8667,4.0001,225,0
19980710,3.8667,3.9557,3.8667,3.9111,286,0
19980713,4.0001,4.0001,3.8223,3.8223,338,0
19980715,3.8223,3.8223,3.8223,3.8223,553,0
19980716,3.8223,3.8223,3.7779,3.7779,546,0
19980717,4.0001,4.0889,3.8667,3.8667,597,0
19980720,3.8223,4.0445,3.8223,4.0001,489,0
19980721,3.8667,3.8667,3.8223,3.8223,226,0
19980722,3.8223,3.8223,3.7779,3.7779,339,0
19980723,3.7779,3.7779,3.7779,3.7779,45,0
19980724,3.7334,3.7334,3.5557,3.5557,411,0
19980727,3.7334,3.7334,3.5111,3.7334,376,0
19980728,3.4668,3.4668,3.0222,3.0222,810,0
19980729,2.8889,2.8889,2.8889,2.8889,73,0
19980730,4.0889,4.0889,4.0889,4.0889,10,0
19980731,4.0001,4.0001,4.0001,4.0001,35,0
19980805,2.7112,2.7112,2.6668,2.6668,303,0
19980806,2.7112,2.7112,2.7112,2.7112,196,0
19980810,2.9335,2.9335,2.9335,2.9335,153,0
19980812,2.9335,2.9335,2.9335,2.9335,853,0
19980814,2.9335,2.9335,2.7557,2.7557,582,0
19980817,2.7112,2.7112,2.7112,2.7112,44,0
19980821,2.9335,2.9335,2.9335,2.9335,113,0
19980824,2.7112,2.7112,2.6668,2.6668,225,0
19980825,2.6668,2.6668,2.6668,2.6668,113,0
19980826,2.6224,2.6224,2.4888,2.5334,1688,0
19980827,2.4888,2.6668,2.4888,2.6668,1238,0
19980831,3.0667,3.0667,3.0667,3.0667,10,0
19980901,2.2222,2.2222,2.1334,2.1334,477,0
19980902,3.0222,3.0222,2.1334,2.1334,84,0
19980903,2.1334,2.1334,2.1334,2.1334,113,0
19980907,2.1334,2.6668,2.1334,2.6668,1631,0
19980908,2.6668,2.6668,2.6668,2.6668,711,0
19980909,2.6668,2.6668,2.6668,2.6668,338,0
19980910,2.6668,2.6668,2.6668,2.6668,236,0
19980911,2.7112,2.7112,2.5779,2.5779,2254,0
19980914,2.3556,2.3556,2.3556,2.3556,66,0
19980916,2.4001,2.4001,2.3112,2.3112,73,0
19980924,2.4001,2.4001,2.4001,2.4001,153,0
19980925,2.4001,2.4001,2.4001,2.4001,20,0
19980929,3.4223,3.4223,3.4223,3.4223,10,0
19980930,2.4001,2.4001,2.4001,2.4001,108,0
19981005,2.4001,2.4001,2.3112,2.4001,338,0
19981013,2.089,2.089,2.089,2.089,66,0
19981014,2.7557,2.7557,2.7557,2.7557,15,0
19981015,2.2668,2.2668,2.2668,2.2668,29,0
19981020,2.089,2.1334,2.0445,2.0445,338,0
19981023,2.0001,2.0001,2.0001,2.0001,113,0
19981026,1.9556,1.9556,1.9556,1.9556,84,0
19981028,2.0001,2.0001,2.0001,2.0001,113,0
19981029,2.0445,2.0445,2.0445,2.0445,113,0
19981102,2.0445,2.0445,2.0445,2.0445,303,0
19981104,2.0445,2.0445,1.9556,1.9556,281,0
19981105,1.9556,1.9556,1.9556,1.9556,40,0
19981112,2.2222,2.2222,2.2222,2.2222,359,0
19981120,1.7779,1.8666,1.7779,1.8666,153,0
19981123,1.7779,1.7779,1.7779,1.7779,225,0
19981124,1.9556,1.9556,1.9556,1.9556,236,0
19981126,2.3112,2.3112,2.3112,2.3112,165,0
19981201,1.7779,1.7779,1.7779,1.7779,271,0
19981202,1.7779,1.7779,1.7779,1.7779,169,0
19981204,1.7779,1.7779,1.7779,1.7779,158,0
19981208,1.8223,1.8223,1.7779,1.7779,265,0
19981209,1.7779,1.7779,1.7779,1.7779,259,0
19981210,1.7779,1.7779,1.7779,1.7779,5,0
19981221,1.7779,1.7779,1.6888,1.6888,153,0
19981228,1.6888,1.7779,1.3332,1.3423,748,0
19981229,1.7779,1.7779,1.3332,1.3332,482,0
19981230,1.5111,1.5111,1.5111,1.5111,169,0
19990107,2.4888,2.4888,2.4888,2.4888,20,0
19990112,1.3423,1.9556,1.3423,1.9556,225,0
19990114,1.9556,1.9556,1.7423,1.7423,225,0
19990118,1.8666,2.1334,1.8666,2.1334,331,0
19990128,1.6089,1.6089,1.6089,1.6089,303,0
19990129,1.6089,1.7335,1.6089,1.7335,512,0
19990201,1.6444,1.6444,1.6444,1.6444,153,0
19990203,1.6444,1.6444,1.4221,1.6444,303,0
19990204,1.4221,1.5111,1.4221,1.4311,439,0
19990208,1.44,1.44,1.44,1.44,303,0
19990209,1.5556,1.5556,1.5556,1.5556,113,0
19990211,1.6,1.6,1.6,1.6,169,0
19990212,1.4311,1.5111,1.4311,1.5111,184,0
19990215,1.4311,1.4311,1.4311,1.4311,5,0
19990216,1.4666,1.4666,1.4666,1.4666,147,0
19990217,1.4666,1.4666,1.4666,1.4666,158,0
19990218,1.4666,1.4666,1.449,1.449,153,0
19990219,1.449,1.68,1.449,1.68,655,0
19990222,1.68,1.68,1.6444,1.6444,618,0
19990223,1.6888,1.6888,1.6888,1.6888,203,0
19990224,1.4221,1.4221,1.4221,1.4221,225,0
19990302,1.3423,1.3423,1.3423,1.3423,186,0
19990305,1.7335,1.7335,1.7335,1.7335,113,0
19990308,1.7335,1.8578,1.7335,1.7956,450,0
19990309,1.6,1.6089,1.6,1.6089,412,0
19990310,1.8223,1.8578,1.8223,1.8578,359,0
19990311,1.8578,1.8578,1.8578,1.8578,113,0
19990312,1.8578,1.9112,1.8578,1.9112,674,0
19990315,1.9112,1.9556,1.9112,1.9556,241,0
19990316,1.9556,1.9556,1.9556,1.9556,66,0
19990319,2.0001,2.0001,2.0001,2.0001,158,0
19990322,1.8666,1.8666,1.8223,1.8223,394,0
19990323,1.7779,1.7779,1.7779,1.7779,113,0
19990324,1.7335,1.7779,1.7335,1.7779,338,0
19990325,1.7066,1.7066,1.7066,1.7066,225,0
19990330,1.7779,1.7779,1.7779,1.7779,2065,0
19990419,1.6444,1.6444,1.6,1.6,153,0
19990421,1.8666,1.8666,1.8666,1.8666,113,0
19990422,1.9022,1.9112,1.6888,1.7779,827,0
19990423,1.9112,1.9112,1.9112,1.9112,225,0
19990426,2.0001,2.0001,1.7779,1.9912,941,0
19990427,2.0445,2.1334,2.0445,2.089,1147,0
19990428,2.089,2.4001,2.089,2.089,1192,0
19990429,1.7779,2.2222,1.7779,2.2222,434,0
19990430,2.1334,2.4001,2.1334,2.4001,584,0
19990504,2.2222,2.4001,2.2222,2.4001,1463,0
19990505,2.6668,3.1557,2.6668,3.1557,1126,0
19990506,3.0667,3.0667,2.9335,2.9335,394,0
19990510,3.3779,3.3779,3.3779,3.3779,225,0
19990511,2.4444,3.0667,2.4444,2.5779,1136,0
19990513,2.4888,2.9335,2.4888,2.9335,716,0
19990514,2.6668,3.0222,2.6668,3.0222,412,0
19990517,3.2445,3.3334,3.2445,3.3334,2362,0
19990518,3.4223,4.0001,3.4223,4.0001,1177,0
19990519,4.4445,4.5333,3.7334,4.3556,3980,0
19990520,4.4445,5.5556,4.4445,4.5333,2371,0
19990521,4.8889,5.778,4.8889,4.978,1992,0
19990524,6.0446,6.0446,4.8001,4.8001,1814,0
19990525,4.8001,5.1557,4.8001,4.8001,1520,0
19990526,4.7111,4.7111,4.4445,4.7111,1063,0
19990527,4.8001,5.0667,4.8001,4.8001,1017,0
19990528,4.8445,4.8445,4.6222,4.6222,877,0
19990531,4.6222,4.6222,4.4445,4.4445,597,0
19990601,4.0001,4.0001,4.0001,4.0001,113,0
19990602,4.0001,4.2667,3.9111,4.2667,499,0
19990607,3.9111,4.1779,3.1112,3.1112,2318,0
19990608,2.7112,3.4223,2.6668,2.9779,1615,0
19990609,3.2889,3.2889,3.2889,3.2889,225,0
19990610,2.6668,2.6668,2.6668,2.6668,153,0
19990611,3.2001,4.4445,3.2001,3.5557,1495,0
