Date,Open,High,Low,Close,Volume,OpenInt
20071009,8.1918,8.2099,7.3286,7.7603,55723,0
20071010,8.0481,8.102,7.6613,7.8953,27368,0
20071011,7.8953,8.129,7.8772,8.093,13878,0
20071012,8.0841,8.0841,7.7332,7.8683,8508,0
20071015,7.6254,7.9491,7.6254,7.8502,9466,0
20071016,7.8233,7.8502,7.6704,7.8502,12270,0
20071017,7.8683,8.147,7.8592,8.093,33380,0
20071018,8.111,8.129,7.9581,7.9581,2810,0
20071019,7.8323,8.039,7.8052,7.9311,4556,0
20071022,7.6524,7.8592,7.4636,7.8592,18441,0
20071023,7.7332,7.8233,7.7332,7.7423,4854,0
20071024,7.6074,7.6434,7.6074,7.6344,2772,0
20071025,7.5625,7.6884,7.5625,7.6254,9191,0
20071026,7.6165,7.7153,7.4636,7.5535,2225,0
20071029,7.4367,7.5984,7.4367,7.4816,5333,0
20071030,7.5264,7.5535,7.4456,7.5535,4169,0
20071031,7.5535,7.6434,7.5535,7.6434,6022,0
20071102,7.6254,7.985,7.6254,7.8233,6071,0
20071105,7.9941,7.9941,7.6434,7.7782,5184,0
20071106,7.7782,7.9491,7.6974,7.6974,2758,0
20071107,7.5535,7.7872,7.2477,7.5445,7750,0
20071108,6.5643,7.2746,6.5643,7.023,5355,0
20071109,6.978,7.1938,6.7441,6.7801,6301,0
20071112,6.7801,7.1038,6.7441,6.7622,3488,0
20071113,6.5643,7.014,6.5643,6.7352,3665,0
20071114,7.1308,7.1308,6.7532,6.7622,2219,0
20071115,6.7622,6.7622,5.89,5.89,5493,0
20071116,6.6093,6.6093,5.9349,6.3395,8587,0
20071119,6.6902,6.6902,6.0517,6.4474,1320,0
20071120,6.2946,6.4294,6.2046,6.2766,11236,0
20071121,6.0248,6.1956,5.845,5.845,7812,0
20071122,5.89,6.2855,5.4853,6.2855,13254,0
20071123,6.2946,6.3215,6.2046,6.2946,16849,0
20071126,6.2855,6.3126,6.1597,6.2946,7108,0
20071127,6.2495,6.2946,6.1237,6.2946,4507,0
20071128,6.2946,6.5643,6.1507,6.5643,20229,0
20071129,6.7441,6.7441,6.3036,6.7171,7697,0
20071130,6.6722,6.6722,6.4205,6.6542,1575,0
20071203,6.7441,6.7441,6.5194,6.7352,2133,0
20071204,6.7441,6.7441,6.6542,6.6542,1318,0
20071205,6.5823,6.7262,6.5643,6.7171,3901,0
20071206,6.7262,6.8341,6.5643,6.7441,2644,0
20071207,6.5643,6.7441,6.5643,6.7441,3563,0
20071210,6.7352,6.7441,6.6993,6.7441,3130,0
20071211,6.7441,6.915,6.6993,6.87,11045,0
20071212,6.87,6.987,6.4834,6.987,4443,0
20071213,6.987,7.014,6.7441,7.005,7880,0
20071214,7.014,7.032,6.8072,7.014,7394,0
20071217,7.014,7.014,6.7622,6.9239,2989,0
20071218,6.978,7.1038,6.7441,6.9239,51849,0
20071219,6.942,6.9959,6.7171,6.7441,11445,0
20071220,6.7532,6.87,6.4114,6.5643,14710,0
20071221,6.7262,6.7262,6.3215,6.4564,6505,0
20071227,6.5464,6.5643,6.5194,6.5643,5228,0
20071228,6.4744,6.987,6.4653,6.987,7620,0
20080102,6.96,6.96,6.7441,6.9061,2420,0
20080103,6.7082,6.8252,6.5823,6.7352,16657,0
20080104,6.7262,6.987,6.7262,6.978,21173,0
20080107,6.969,6.978,6.7441,6.978,5581,0
20080108,6.8791,6.969,6.8791,6.888,32347,0
20080109,6.888,6.888,6.5643,6.7891,6176,0
20080110,6.5913,6.8252,6.5913,6.6183,5800,0
20080111,6.5823,6.87,6.5823,6.87,2774,0
20080114,6.6993,6.8252,6.5643,6.7441,14400,0
20080115,6.5734,6.8252,6.5734,6.7441,560,0
20080116,5.845,6.3756,5.845,6.1148,7279,0
20080117,6.0248,6.6362,5.8719,6.6362,25536,0
20080118,6.5643,6.6273,6.3126,6.6273,15554,0
20080121,6.6273,6.6273,6.1597,6.2946,460,0
20080122,5.8629,6.2855,5.8629,6.2046,3113,0
20080123,6.2946,6.7441,6.2946,6.3575,5864,0
20080124,6.87,6.87,6.2226,6.3126,4775,0
20080125,6.3845,6.4744,6.2676,6.2676,4412,0
20080128,6.8791,6.8791,6.5643,6.5734,10824,0
20080129,6.7352,6.7891,6.5734,6.6183,12223,0
20080130,6.8161,6.8161,6.7441,6.7891,5331,0
20080131,6.7891,6.969,6.7891,6.96,20050,0
20080201,6.9239,7.1938,6.7441,7.1757,13085,0
20080204,7.1848,7.5354,7.1848,7.2118,4527,0
20080205,7.5264,7.5264,7.014,7.0499,4456,0
20080206,6.5913,7.1848,6.5913,7.1757,7061,0
20080207,7.1757,7.5084,6.7622,7.3196,11665,0
20080208,7.3286,7.3647,7.2837,7.3466,8370,0
20080211,7.3466,7.7243,7.3466,7.7243,9109,0
20080212,7.6434,7.6434,7.4006,7.6344,7413,0
20080213,7.7243,7.9131,7.4186,7.9131,6837,0
20080214,7.8142,7.9131,7.5084,7.5625,9340,0
20080215,7.5714,7.5714,7.1938,7.3736,7560,0
20080218,7.7153,7.7153,7.4186,7.4816,1185,0
20080219,7.3286,7.3286,7.1938,7.3196,4802,0
20080220,7.5535,7.5535,7.1938,7.2388,3046,0
20080221,7.2837,7.5535,7.1128,7.4636,2492,0
20080222,7.2837,7.5445,7.2837,7.5445,257,0
20080225,7.3647,7.5535,7.014,7.5535,17432,0
20080226,7.3017,7.5714,7.3017,7.4995,6799,0
20080227,7.3736,7.5535,7.3647,7.5535,8857,0
20080228,7.3017,7.5535,6.96,7.5535,13749,0
20080229,7.3736,7.4905,7.1938,7.4636,4113,0
20080303,7.1938,7.4636,7.1938,7.4636,13714,0
20080304,7.4636,7.5354,7.3556,7.5354,7120,0
20080305,7.5445,7.5445,7.2927,7.2927,1935,0
20080306,7.3736,7.3736,7.1938,7.1938,3935,0
20080307,7.1938,7.3736,7.1938,7.3647,2376,0
20080310,7.3286,7.3286,7.3286,7.3286,222,0
20080311,7.3286,7.3736,7.2118,7.2118,2008,0
20080312,7.2837,7.4636,7.2837,7.4545,3521,0
20080313,7.4905,7.5084,7.1488,7.4905,11463,0
20080314,7.4905,7.6254,7.2837,7.5535,19062,0
20080317,7.2837,7.5535,7.2837,7.5535,3704,0
20080318,7.2837,7.5535,7.2837,7.5535,4826,0
20080319,7.5354,7.6434,7.5354,7.6434,11886,0
20080320,7.6434,7.6434,7.4276,7.6344,3280,0
20080325,7.2837,7.8683,7.2837,7.8683,6720,0
20080326,7.6344,8.093,7.6344,7.8323,21805,0
20080327,7.4186,7.9042,7.3825,7.6434,8197,0
20080328,7.9131,8.0031,7.6524,7.8323,6850,0
20080401,7.7332,7.985,7.5625,7.9491,8326,0
20080402,8.0211,8.5427,7.9581,8.2009,28304,0
20080403,8.3628,8.4077,8.2279,8.2279,4587,0
20080404,8.2728,8.3178,8.1829,8.1829,2031,0
20080407,8.1829,8.3088,8.111,8.3088,2001,0
20080408,8.3088,8.3088,8.12,8.129,1839,0
20080409,8.129,8.2279,7.8323,8.2189,3121,0
20080410,7.9671,8.2279,7.9671,8.2189,507,0
20080411,8.1829,8.2549,8.093,8.093,1660,0
20080414,8.0031,8.0031,7.9131,7.9131,2601,0
20080415,7.8323,7.9221,7.8323,7.8683,3352,0
20080416,7.9042,7.9042,7.7243,7.7243,1032,0
20080417,7.8142,7.8142,7.5625,7.5625,1962,0
20080418,7.5625,7.7332,7.4726,7.7332,4262,0
20080421,7.7243,7.7332,7.3736,7.7332,3555,0
20080422,7.2298,7.4636,7.014,7.4636,3931,0
20080423,7.5535,7.6884,6.969,7.2118,3860,0
20080424,7.2208,7.4995,6.8341,7.2837,32909,0
20080425,7.2746,7.2837,7.2657,7.2657,1974,0
20080428,7.1938,7.4995,7.1938,7.4995,13927,0
20080429,7.4636,7.4636,7.3736,7.4545,2545,0
20080430,7.5625,8.1379,7.5625,8.093,23926,0
20080505,8.093,8.2368,8.0121,8.1829,21515,0
20080506,8.1379,8.2279,8.1379,8.2279,2377,0
20080507,8.1829,8.2099,8.1379,8.2099,6087,0
20080508,8.102,8.2009,8.102,8.2009,2524,0
20080509,8.102,8.1829,8.102,8.1829,136,0
20080512,8.0121,8.0481,7.8412,7.8412,4091,0
20080513,8.1829,8.1829,7.7513,8.057,3365,0
20080514,7.9131,8.1829,7.9131,8.1829,1102,0
20080515,8.1649,8.1649,8.1379,8.147,634,0
20080516,7.8502,8.093,7.8502,8.093,958,0
20080519,7.8233,8.0031,7.8233,8.0031,568,0
20080520,7.9131,7.9131,7.8683,7.9131,766,0
20080521,7.8412,7.8412,7.2027,7.2657,6318,0
20080523,7.3286,7.5445,7.2837,7.5445,3066,0
20080526,7.9042,8.0481,7.5535,8.039,10316,0
20080527,8.093,8.093,7.9131,8.0031,1354,0
20080528,8.0031,8.0031,7.6344,7.9131,4326,0
20080529,7.9131,7.9131,7.9131,7.9131,248,0
20080530,7.8233,7.8683,7.2837,7.8683,4807,0
20080602,7.8052,7.8052,7.6434,7.6434,876,0
20080603,7.6344,7.6434,7.1938,7.4636,6023,0
20080604,7.5445,7.5445,7.5445,7.5445,101,0
20080605,7.5984,7.6434,7.2837,7.6434,1196,0
20080606,7.5984,7.5984,7.3196,7.3196,637,0
20080609,7.6613,7.6613,7.3466,7.5984,59,0
20080610,7.1938,7.5984,7.1938,7.5445,3303,0
20080611,7.1938,7.3736,6.852,7.2746,2363,0
20080612,7.5354,7.5354,7.1038,7.2837,707,0
20080613,7.041,7.1938,6.897,7.1488,1740,0
20080616,7.1938,7.2837,7.0588,7.0588,4178,0
20080617,7.2746,7.2746,6.7712,7.1938,5939,0
20080618,6.987,7.1488,6.7891,7.1038,4449,0
20080619,7.1308,7.2837,7.1128,7.1848,6848,0
20080620,6.9239,7.1938,6.8161,7.1848,953,0
20080623,6.7622,7.1848,6.7622,7.1398,459,0
20080624,6.8341,7.0948,6.7532,6.915,1285,0
20080625,7.005,7.005,6.7441,6.8791,1496,0
20080626,6.6273,6.915,6.6093,6.7441,1456,0
20080627,6.4744,6.7891,6.2946,6.7891,4191,0
20080630,6.9061,6.9061,6.8341,6.8341,535,0
20080701,6.8341,6.8341,6.4834,6.7891,179,0
20080702,6.8252,6.8252,6.8252,6.8252,1,0
20080703,6.7441,6.7441,6.3845,6.3845,781,0
20080704,6.3845,6.7801,6.3845,6.6542,676,0
20080707,6.8341,6.8341,6.8341,6.8341,1,0
20080708,6.2946,6.8252,6.2046,6.7441,894,0
20080709,6.8252,6.8252,6.7981,6.7981,293,0
20080710,7.005,7.005,6.6093,6.7262,361,0
20080711,7.014,7.014,6.5283,6.5283,650,0
20080714,6.2135,6.6452,6.2135,6.4744,443,0
20080715,6.6362,6.6362,6.6362,6.6362,1,0
20080716,6.8252,6.8252,6.1688,6.5554,1862,0
20080717,6.2946,6.8072,6.2495,6.5643,402,0
20080718,6.4744,6.4744,6.4653,6.4744,565,0
20080721,6.4744,6.5464,6.1956,6.2046,1578,0
20080722,6.4744,6.5194,6.4564,6.5194,1789,0
20080723,6.5194,6.7441,6.2676,6.6542,1700,0
20080724,6.6542,6.6542,6.1148,6.1148,13010,0
20080725,6.2495,6.2855,6.2495,6.2495,497,0
20080728,6.0158,6.2766,6.0158,6.2495,1592,0
20080729,6.1597,6.2855,6.1597,6.2766,1150,0
20080730,6.2855,6.4205,6.2855,6.3935,950,0
20080731,6.4474,6.4474,6.2316,6.2316,1340,0
20080801,6.2946,6.2946,5.89,6.1237,2194,0
20080804,6.5194,6.5194,6.5104,6.5104,113,0
20080805,6.4294,6.4294,6.2855,6.2855,2480,0
20080806,6.2946,6.2946,6.1597,6.1597,2612,0
20080807,5.9798,6.3845,5.9798,6.3845,70,0
20080808,6.2946,6.2946,6.2946,6.2946,222,0
20080811,6.3395,6.3486,6.1866,6.1866,1917,0
20080812,6.2046,6.2046,6.0248,6.0248,1344,0
20080814,6.0697,6.3395,6.0697,6.1148,1041,0
20080820,6.1327,6.1327,6.1327,6.1327,520,0
20080821,6.1597,6.1597,6.0337,6.1148,389,0
20080822,6.1866,6.1866,5.917,6.1507,1437,0
20080825,5.9439,5.9439,5.9439,5.9439,556,0
20080826,5.845,5.845,5.836,5.845,954,0
20080827,5.9439,6.0158,5.845,6.0158,761,0
20080828,6.0517,6.1148,6.0517,6.1148,3654,0
20080829,6.0968,6.0968,6.0968,6.0968,55,0
20080901,6.0968,6.1148,5.6921,6.1148,3821,0
20080902,5.836,6.1148,5.764,6.1148,6133,0
20080903,5.8719,6.2046,5.8719,6.2046,700,0
20080904,6.2495,6.2495,6.2495,6.2495,222,0
20080905,6.0248,6.2946,6.0248,6.0697,1236,0
20080908,6.2855,6.2855,6.2495,6.2495,272,0
20080909,6.2046,6.3756,6.2046,6.3756,416,0
20080910,6.2855,6.3845,6.0248,6.2046,4370,0
20080911,6.2946,6.2946,6.0337,6.0697,978,0
20080912,6.1597,6.1597,6.0337,6.1057,910,0
20080915,6.0337,6.0697,5.5931,5.6021,3005,0
20080916,5.5751,5.5751,5.4853,5.5751,8111,0
20080917,5.755,5.755,5.5751,5.5751,4749,0
20080918,5.2245,5.4583,5.2155,5.4583,891,0
