Date,Open,High,Low,Close,Volume,OpenInt
19980108,0.9903,0.9903,0.8709,0.9207,29200,0
19980109,0.8958,0.8958,0.8958,0.8958,4016,0
19980113,0.8211,0.8211,0.8211,0.8211,2016,0
19980119,0.846,0.846,0.6968,0.6968,4416,0
19980120,0.5723,0.6968,0.5723,0.6968,8240,0
19980123,0.5972,0.5972,0.5972,0.5972,1952,0
19980127,0.5972,0.5972,0.5972,0.5972,1936,0
19980130,0.5723,0.5723,0.5723,0.5723,528,0
19980203,0.6718,0.6718,0.6022,0.6022,8032,0
19980204,0.6022,0.6022,0.6022,0.6022,1232,0
19980205,0.647,0.647,0.647,0.647,20096,0
19980206,0.5972,0.6669,0.5972,0.6669,1888,0
19980209,0.6022,0.622,0.6022,0.622,6112,0
19980211,0.647,0.6818,0.647,0.6818,2032,0
19980212,0.647,0.6519,0.637,0.637,6096,0
19980213,0.647,0.647,0.622,0.622,2352,0
19980216,0.627,0.627,0.627,0.627,816,0
19980217,0.647,0.647,0.647,0.647,640,0
19980220,0.6718,0.6718,0.6718,0.6718,3520,0
19980223,0.6918,0.7216,0.6918,0.7216,2208,0
19980224,0.7465,0.8709,0.7465,0.846,9056,0
19980225,0.846,0.846,0.7962,0.846,4064,0
19980226,0.7962,0.8012,0.7962,0.8012,2208,0
19980227,0.8062,0.861,0.8062,0.861,2672,0
19980302,0.8908,0.8958,0.846,0.846,8816,0
19980303,0.9207,0.9207,0.8958,0.8958,17440,0
19980304,0.8709,0.9008,0.8709,0.9008,2416,0
19980305,0.8958,0.8958,0.8958,0.8958,4016,0
19980306,0.8958,0.8958,0.8958,0.8958,1328,0
19980309,0.8809,0.8958,0.8709,0.8709,11888,0
19980310,0.8958,0.8958,0.8858,0.8858,2256,0
19980311,0.8958,0.8958,0.861,0.861,7120,0
19980316,0.846,0.846,0.846,0.846,2016,0
19980318,0.846,0.846,0.8012,0.846,3904,0
19980319,0.846,0.846,0.846,0.846,800,0
19980320,0.8062,0.8062,0.8012,0.8012,1952,0
19980323,0.8062,0.8161,0.8062,0.8161,3424,0
19980324,0.8211,0.851,0.8161,0.851,8544,0
19980325,0.8211,0.846,0.8211,0.846,1520,0
19980326,0.8062,0.846,0.7962,0.846,3328,0
19980327,0.7962,0.8062,0.7962,0.8062,1664,0
19980330,0.8012,0.8112,0.7714,0.8062,9280,0
19980331,0.846,0.9456,0.8161,0.8958,7040,0
19980401,0.9456,0.9456,0.9207,0.9207,14384,0
19980402,0.8958,0.9306,0.7614,0.9058,35760,0
19980406,0.7912,0.7962,0.7912,0.7962,2656,0
19980407,0.8062,0.8062,0.7962,0.7962,1792,0
19980408,0.7962,0.7962,0.7912,0.7912,4240,0
19980409,0.8062,0.8062,0.8062,0.8062,1392,0
19980414,0.7962,0.7962,0.7962,0.7962,1680,0
19980415,0.8211,0.8211,0.8012,0.8012,3200,0
19980417,0.8012,0.8012,0.8012,0.8012,3008,0
19980420,0.7962,0.7962,0.7962,0.7962,6448,0
19980421,0.7714,0.7714,0.7714,0.7714,2064,0
19980422,0.7863,0.7863,0.7465,0.7465,3456,0
19980423,0.7564,0.7564,0.7564,0.7564,1440,0
19980427,0.7714,0.7763,0.7564,0.7763,4400,0
19980428,0.7614,0.7664,0.7514,0.7514,10448,0
19980429,0.7465,0.7763,0.7465,0.7564,7776,0
19980430,0.7514,0.7514,0.7465,0.7465,2496,0
19980504,0.7465,0.7465,0.7415,0.7415,4944,0
19980505,0.7415,0.9306,0.7415,0.8709,16800,0
19980506,0.7465,0.8012,0.7366,0.8012,5088,0
19980507,0.7714,0.7714,0.7714,0.7714,1808,0
19980508,0.8709,0.8958,0.846,0.846,19024,0
19980511,0.846,0.851,0.8211,0.846,11152,0
19980512,0.8211,0.8211,0.8112,0.8211,4640,0
19980513,0.8112,0.8112,0.8062,0.8062,20096,0
19980514,0.8161,0.8161,0.8062,0.8062,6624,0
19980515,0.8112,0.8112,0.8112,0.8112,1408,0
19980518,0.8161,0.8161,0.8161,0.8161,1008,0
19980519,0.8261,0.8261,0.8261,0.8261,2016,0
19980521,0.8062,0.856,0.8062,0.856,23024,0
19980522,0.861,0.8908,0.8211,0.8211,87424,0
19980526,0.851,0.851,0.851,0.851,34096,0
19980527,0.851,0.851,0.836,0.846,46384,0
19980528,0.851,0.851,0.851,0.851,800,0
19980601,0.841,0.841,0.841,0.841,2224,0
19980602,0.841,0.841,0.7962,0.7962,5984,0
19980603,0.8211,0.8211,0.8161,0.8161,6432,0
19980604,0.7962,0.7962,0.7962,0.7962,1904,0
19980605,0.8012,0.8211,0.8012,0.8211,2960,0
19980608,0.7714,0.7962,0.7714,0.7962,3616,0
19980610,0.7962,0.7962,0.7962,0.7962,12352,0
19980615,0.7813,0.7863,0.7813,0.7863,2144,0
19980616,0.7465,0.7813,0.7465,0.7564,5760,0
19980617,0.7564,0.7564,0.7564,0.7564,800,0
19980619,0.7564,0.7614,0.7465,0.7465,4288,0
19980622,0.7465,0.7465,0.7366,0.7366,4800,0
19980623,0.7465,0.7465,0.7266,0.7465,5712,0
19980624,0.7266,0.7266,0.7216,0.7216,1408,0
19980625,0.7166,0.7166,0.7166,0.7166,1344,0
19980630,0.7714,0.7714,0.7714,0.7714,2016,0
19980701,0.7714,0.7863,0.7714,0.7863,5264,0
19980702,0.7863,0.7863,0.7863,0.7863,1632,0
19980703,0.7863,0.7863,0.7763,0.7763,3360,0
19980706,0.7763,0.7763,0.7763,0.7763,1600,0
19980708,0.7714,0.7714,0.7714,0.7714,2016,0
19980709,0.6968,0.6968,0.6968,0.6968,1392,0
19980710,0.7017,0.7017,0.7017,0.7017,1824,0
19980715,0.7116,0.7116,0.7116,0.7116,1184,0
19980716,0.6918,0.6968,0.647,0.647,4608,0
19980720,0.6968,0.6968,0.6968,0.6968,2016,0
19980721,0.6968,0.6968,0.6968,0.6968,528,0
19980722,0.7216,0.7366,0.7216,0.7366,3712,0
19980723,0.7067,0.7067,0.6968,0.6968,2272,0
19980727,0.7017,0.7017,0.6968,0.6968,4880,0
19980728,0.6968,0.6968,0.6968,0.6968,1008,0
19980730,0.6968,0.6968,0.6968,0.6968,4304,0
19980803,0.6968,0.6968,0.6968,0.6968,1776,0
19980804,0.7017,0.7017,0.7017,0.7017,1936,0
19980805,0.7067,0.7067,0.6968,0.6968,13216,0
19980806,0.6968,0.7266,0.6968,0.7266,16320,0
19980811,0.7216,0.7216,0.6968,0.6968,4000,0
19980812,0.6968,0.6968,0.6968,0.6968,5824,0
19980817,0.6968,0.7216,0.6968,0.7216,2432,0
19980820,0.6968,0.6968,0.6968,0.6968,1504,0
19980824,0.6968,0.6968,0.6968,0.6968,11408,0
19980825,0.6968,0.6968,0.6968,0.6968,7824,0
19980826,0.6968,0.6968,0.6968,0.6968,912,0
19980827,0.647,0.647,0.647,0.647,1488,0
19980828,0.647,0.647,0.642,0.642,4192,0
19980831,0.647,0.647,0.647,0.647,4016,0
19980901,0.647,0.647,0.5474,0.5474,1680,0
19980902,0.647,0.647,0.647,0.647,8704,0
19980904,0.647,0.647,0.647,0.647,768,0
19980907,0.647,0.647,0.647,0.647,3040,0
19980908,0.647,0.647,0.647,0.647,4368,0
19980909,0.647,0.647,0.647,0.647,1008,0
19980910,0.49765,0.49765,0.49765,0.49765,2208,0
19980930,0.49765,0.49765,0.49765,0.49765,3456,0
19981001,0.49765,0.49765,0.49765,0.49765,448,0
19981002,0.49765,0.49765,0.49765,0.49765,1088,0
19981006,0.49765,0.49765,0.4479,0.4479,9744,0
19981007,0.49765,0.49765,0.49765,0.49765,2016,0
19981008,0.4479,0.4479,0.4479,0.4479,4016,0
19981014,0.49765,0.49765,0.49765,0.49765,1008,0
19981016,0.5226,0.5226,0.5226,0.5226,1824,0
19981027,0.4479,0.4479,0.4479,0.4479,1792,0
19981104,0.49765,0.49765,0.49765,0.49765,2416,0
19981106,0.4678,0.4678,0.4678,0.4678,1008,0
19981110,0.47278,0.47278,0.47278,0.47278,1200,0
19981112,0.49765,0.49765,0.49765,0.49765,1936,0
19981116,0.45285,0.45285,0.45285,0.45285,1072,0
19981117,0.45785,0.45785,0.45785,0.45785,2032,0
19981118,0.4678,0.4678,0.4678,0.4678,1408,0
19981123,0.47278,0.5524,0.47278,0.5524,3216,0
19981124,0.49765,0.5026,0.49765,0.5026,2208,0
19981125,0.5325,0.5474,0.5325,0.5474,10448,0
19981126,0.5574,0.5574,0.5574,0.5574,240,0
19981130,0.5723,0.5723,0.5723,0.5723,608,0
19981204,0.5574,0.5574,0.5574,0.5574,1008,0
19981208,0.5474,0.5574,0.5474,0.5574,2208,0
19981209,0.5723,0.5723,0.5723,0.5723,3008,0
19981211,0.5474,0.5474,0.5474,0.5474,5024,0
19981215,0.5126,0.5126,0.49765,0.49765,784,0
19981218,0.5226,0.5226,0.5226,0.5226,1232,0
19981221,0.49765,0.5176,0.49765,0.5076,2352,0
19981223,0.5325,0.5325,0.5325,0.5325,2016,0
19981228,0.4877,0.4877,0.4877,0.4877,1408,0
19981230,0.49765,0.49765,0.49268,0.49268,3472,0
19990105,0.5325,0.5325,0.49765,0.49765,2192,0
19990106,0.49268,0.49268,0.47278,0.47278,3040,0
19990108,0.48272,0.48272,0.48272,0.48272,1472,0
19990112,0.5026,0.5076,0.5026,0.5076,4016,0
19990118,0.49765,0.49765,0.49765,0.49765,736,0
19990119,0.5226,0.5226,0.5026,0.5026,4016,0
19990121,0.5026,0.5026,0.5026,0.5026,800,0
19990122,0.5026,0.5026,0.49765,0.49765,3328,0
19990125,0.49765,0.49765,0.49765,0.49765,3440,0
19990126,0.49765,0.49765,0.49765,0.49765,1632,0
19990128,0.5026,0.5026,0.5026,0.5026,1472,0
19990201,0.49765,0.49765,0.49765,0.49765,1152,0
19990203,0.49765,0.49765,0.49765,0.49765,1488,0
19990204,0.5026,0.5474,0.5026,0.5474,5872,0
19990205,0.5574,0.5574,0.5524,0.5524,4016,0
19990209,0.5076,0.5076,0.47278,0.47278,880,0
19990210,0.5226,0.5226,0.5226,0.5226,2016,0
19990211,0.5574,0.5574,0.5524,0.5574,3088,0
19990212,0.5922,0.5922,0.5474,0.5474,2416,0
19990215,0.5723,0.5723,0.5723,0.5723,736,0
19990216,0.5723,0.5872,0.5723,0.5872,4800,0
19990217,0.5972,0.5972,0.5773,0.5773,5920,0
19990218,0.5773,0.5773,0.5773,0.5773,2016,0
19990219,0.5972,0.5972,0.5524,0.5574,14512,0
19990222,0.5474,0.5474,0.5474,0.5474,1552,0
19990302,0.5424,0.5424,0.5424,0.5424,800,0
19990305,0.5375,0.5474,0.5226,0.5424,6848,0
19990309,0.49765,0.49765,0.49765,0.49765,912,0
19990310,0.49765,0.49765,0.49765,0.49765,1328,0
19990312,0.5076,0.5076,0.49765,0.49765,2768,0
19990315,0.5076,0.5076,0.5026,0.5026,1600,0
19990317,0.5026,0.5026,0.5026,0.5026,1008,0
19990318,0.5076,0.5076,0.5076,0.5076,1808,0
19990319,0.5076,0.5076,0.5076,0.5076,1008,0
19990325,0.5176,0.5176,0.5126,0.5126,2208,0
19990326,0.5126,0.5126,0.47278,0.47278,2256,0
19990329,0.47775,0.47775,0.47278,0.47775,2384,0
19990331,0.5226,0.5226,0.5076,0.5076,6224,0
19990406,0.5126,0.5126,0.5126,0.5126,4016,0
19990407,0.5126,0.5126,0.5126,0.5126,2208,0
19990408,0.5076,0.5226,0.5076,0.5226,1808,0
19990409,0.5126,0.5126,0.5126,0.5126,2208,0
19990412,0.5076,0.5076,0.5076,0.5076,2208,0
19990413,0.5226,0.5275,0.5076,0.5076,4816,0
19990414,0.49765,0.5524,0.49765,0.5076,8352,0
19990415,0.5076,0.5424,0.5076,0.5424,8064,0
19990419,0.5126,0.5574,0.5126,0.5275,5632,0
19990422,0.5375,0.622,0.5375,0.622,16880,0
19990423,0.6718,0.6718,0.6718,0.6718,6624,0
19990426,0.647,0.7216,0.5723,0.7216,14656,0
19990427,0.7415,0.7465,0.6818,0.6818,33152,0
19990428,0.7316,0.7465,0.6818,0.6818,23792,0
19990429,0.632,0.6868,0.622,0.622,2992,0
19990430,0.622,0.622,0.5972,0.5972,1984,0
19990504,0.6022,0.6121,0.6022,0.6121,4320,0
19990505,0.6022,0.6071,0.6022,0.6071,10032,0
19990507,0.6022,0.6519,0.6022,0.642,22512,0
19990511,0.642,0.647,0.642,0.647,4320,0
19990512,0.647,0.647,0.647,0.647,1248,0
19990513,0.6768,0.6768,0.6669,0.6669,10448,0
19990517,0.627,0.627,0.627,0.627,608,0
19990518,0.6121,0.6569,0.6121,0.627,3536,0
19990520,0.5723,0.5723,0.5723,0.5723,608,0
19990524,0.622,0.622,0.622,0.622,1440,0
19990526,0.6718,0.6968,0.6669,0.6968,37360,0
19990527,0.5822,0.5972,0.5822,0.5972,3440,0
19990601,0.5723,0.5723,0.5723,0.5723,2144,0
19990602,0.5624,0.647,0.5624,0.642,13488,0
19990608,0.5773,0.5773,0.5773,0.5773,1008,0
19990610,0.5872,0.5872,0.5524,0.5524,145280,0
19990611,0.5524,0.5524,0.5524,0.5524,180240,0
19990616,0.5226,0.5226,0.5226,0.5226,3280,0
19990621,0.5325,0.5325,0.5325,0.5325,608,0
19990622,0.5325,0.5673,0.5325,0.5673,2016,0
19990624,0.5275,0.5275,0.5275,0.5275,1008,0
19990625,0.5275,0.5275,0.5226,0.5226,1568,0
19990628,0.49765,0.49765,0.49765,0.49765,608,0
19990630,0.5226,0.5226,0.5226,0.5226,1648,0
19990701,0.5822,0.5822,0.5822,0.5822,400,0
19990707,0.5126,0.5126,0.5126,0.5126,400,0
19990713,0.49765,0.49765,0.49765,0.49765,2016,0
19990716,0.5026,0.5474,0.5026,0.5474,8224,0
19990719,0.5822,0.5822,0.5822,0.5822,608,0
19990720,0.5275,0.5474,0.5275,0.5474,2272,0
19990721,0.5574,0.5922,0.5574,0.5922,16704,0
19990722,0.5972,0.5972,0.5972,0.5972,2016,0
19990723,0.5972,0.6022,0.5972,0.6022,8848,0
19990726,0.5872,0.5872,0.5773,0.5773,5056,0
19990727,0.5872,0.5872,0.5872,0.5872,2016,0
19990729,0.5872,0.5872,0.5872,0.5872,1440,0
19990802,0.6171,0.6171,0.6171,0.6171,9504,0
19990803,0.6171,0.6171,0.6022,0.6022,9840,0
19990806,0.5723,0.5723,0.5723,0.5723,1904,0
19990809,0.5673,0.5673,0.5673,0.5673,1856,0
19990810,0.5673,0.5673,0.5673,0.5673,3600,0
19990811,0.5673,0.5673,0.5673,0.5673,1824,0
19990813,0.5424,0.5673,0.5424,0.5673,1984,0
19990816,0.5922,0.5922,0.5922,0.5922,768,0
19990817,0.5524,0.5972,0.5524,0.5972,1504,0
19990818,0.5673,0.5673,0.5624,0.5624,4016,0
19990819,0.5524,0.5524,0.5524,0.5524,2352,0
19990823,0.5624,0.5624,0.5624,0.5624,2016,0
19990824,0.5474,0.5574,0.49765,0.5474,5040,0
19990826,0.5574,0.5574,0.5574,0.5574,2016,0
19990831,0.5226,0.5574,0.5226,0.5574,3088,0
19990901,0.5474,0.5574,0.5474,0.5574,4528,0
19990902,0.5474,0.5474,0.5325,0.5325,11248,0
19990903,0.5474,0.5474,0.5474,0.5474,4928,0
19990907,0.5474,0.5474,0.5474,0.5474,1808,0
19990913,0.5673,0.5673,0.5673,0.5673,6032,0
19990914,0.5474,0.5474,0.5474,0.5474,1824,0
19990915,0.5026,0.5026,0.5026,0.5026,1008,0
19990916,0.5226,0.5375,0.5226,0.5375,2976,0
19990917,0.5474,0.5474,0.5474,0.5474,2144,0
19990920,0.5474,0.5474,0.5474,0.5474,1104,0
19990924,0.5275,0.5275,0.5275,0.5275,1904,0
19990927,0.5026,0.5026,0.5026,0.5026,1344,0
19990929,0.5026,0.5026,0.5026,0.5026,1584,0
19990930,0.5226,0.5226,0.5226,0.5226,3152,0
19991001,0.5176,0.5176,0.5176,0.5176,2912,0
19991004,0.5226,0.5226,0.5226,0.5226,3312,0
19991005,0.5226,0.5226,0.5226,0.5226,3008,0
19991006,0.5176,0.5176,0.5026,0.5026,4096,0
19991007,0.5026,0.5026,0.5026,0.5026,1520,0
19991008,0.5076,0.5076,0.5026,0.5026,2064,0
19991011,0.5026,0.5226,0.5026,0.5226,6096,0
19991012,0.5026,0.5026,0.5026,0.5026,2368,0
19991018,0.49765,0.49765,0.49765,0.49765,3760,0
19991019,0.5026,0.5126,0.5026,0.5126,5152,0
19991020,0.5026,0.5026,0.5026,0.5026,1152,0
19991021,0.5026,0.5076,0.5026,0.5076,7952,0
19991022,0.5026,0.5026,0.5026,0.5026,2256,0
19991025,0.5026,0.5026,0.5026,0.5026,1008,0
19991029,0.5026,0.5226,0.5026,0.5226,1856,0
19991102,0.5026,0.5026,0.5026,0.5026,4624,0
19991103,0.49765,0.49765,0.49765,0.49765,1712,0
19991105,0.5026,0.5026,0.49765,0.49765,7088,0
19991108,0.49765,0.49765,0.49765,0.49765,10048,0
19991110,0.49765,0.5076,0.49765,0.5076,1328,0
19991115,0.49765,0.49765,0.49765,0.49765,6064,0
19991116,0.49765,0.49765,0.49765,0.49765,11488,0
19991118,0.5176,0.5176,0.5176,0.5176,16080,0
19991119,0.5424,0.5624,0.5424,0.5474,11488,0
19991122,0.5226,0.5275,0.5226,0.5275,24912,0
19991123,0.5474,0.5474,0.5275,0.5275,40224,0
19991124,0.5275,0.5275,0.5275,0.5275,6032,0
19991125,0.5226,0.5275,0.5226,0.5275,18080,0
19991126,0.5176,0.5176,0.5176,0.5176,704,0
19991129,0.5126,0.5126,0.5126,0.5126,14064,0
19991130,0.5126,0.5126,0.5126,0.5126,4160,0
19991201,0.5226,0.5226,0.5126,0.5126,4000,0
19991202,0.5126,0.5474,0.5126,0.5126,30016,0
19991203,0.5126,0.5424,0.5076,0.5076,56256,0
19991206,0.5076,0.5076,0.5026,0.5026,16480,0
19991207,0.5076,0.5076,0.5026,0.5026,8640,0
19991208,0.5076,0.5076,0.49765,0.49765,36624,0
19991209,0.5026,0.5226,0.49765,0.5026,16480,0
19991210,0.5226,0.5226,0.5226,0.5226,3008,0
19991213,0.47775,0.49765,0.47775,0.49765,1200,0
19991214,0.5226,0.5226,0.5226,0.5226,3616,0
19991215,0.5325,0.5922,0.5226,0.5226,23888,0
19991216,0.5226,0.5325,0.5226,0.5325,11056,0
19991220,0.5126,0.5126,0.5126,0.5126,1664,0
19991221,0.5126,0.5424,0.5126,0.5424,11056,0
19991222,0.5375,0.5424,0.5375,0.5424,8032,0
19991223,0.5574,0.6071,0.5574,0.5773,26720,0
19991227,0.5226,0.6071,0.5226,0.5574,5632,0
19991228,0.5673,0.5673,0.5673,0.5673,2608,0
19991229,0.5275,0.5822,0.5275,0.5474,7328,0
20000103,0.642,0.642,0.47775,0.6171,10064,0
20000104,0.5474,0.6022,0.5474,0.5972,23104,0
20000105,0.5972,0.5972,0.5972,0.5972,400,0
20000106,0.5773,0.6022,0.5773,0.6022,9648,0
20000107,0.5972,0.627,0.5972,0.627,48224,0
20000110,0.642,0.6918,0.642,0.642,15472,0
20000111,0.642,0.6569,0.632,0.6569,7632,0
20000112,0.642,0.6569,0.622,0.622,15472,0
20000113,0.642,0.647,0.632,0.632,22096,0
20000114,0.632,0.632,0.632,0.632,10048,0
20000118,0.622,0.622,0.622,0.622,2752,0
20000120,0.647,0.647,0.647,0.647,4016,0
20000124,0.5474,0.5773,0.47775,0.5773,2736,0
20000126,0.5524,0.5524,0.5524,0.5524,8032,0
20000127,0.5524,0.5723,0.5524,0.5723,6032,0
20000128,0.6121,0.6121,0.6121,0.6121,4016,0
20000131,0.5723,0.5723,0.5474,0.5524,3664,0
20000202,0.5972,0.5972,0.5673,0.5673,4288,0
20000203,0.5673,0.5673,0.5673,0.5673,2016,0
20000207,0.5972,0.622,0.5922,0.5972,26096,0
20000208,0.6171,0.6171,0.6171,0.6171,4016,0
20000209,0.627,0.627,0.627,0.627,5424,0
20000211,0.6022,0.6171,0.6022,0.6171,10224,0
20000214,0.627,0.627,0.627,0.627,6032,0
20000215,0.637,0.637,0.637,0.637,864,0
20000216,0.6022,0.622,0.5972,0.622,5744,0
20000217,0.6071,0.6071,0.6071,0.6071,2208,0
20000221,0.622,0.622,0.6121,0.6121,2720,0
20000224,0.6121,0.6121,0.47775,0.6121,8112,0
20000228,0.5922,0.5972,0.5922,0.5972,6288,0
20000229,0.5872,0.5872,0.5872,0.5872,320,0
20000302,0.5872,0.5972,0.5773,0.5972,10848,0
20000303,0.5773,0.6071,0.5773,0.6071,11680,0
20000306,0.5872,0.6121,0.5872,0.6121,5664,0
20000310,0.5822,0.5822,0.5822,0.5822,3696,0
20000313,0.5773,0.5773,0.5524,0.5574,6112,0
20000317,0.5524,0.5624,0.5524,0.5624,2992,0
20000324,0.47775,0.5424,0.47775,0.5424,304,0
20000330,0.5524,0.5624,0.5524,0.5624,7040,0
20000331,0.5574,0.5574,0.5574,0.5574,2016,0
20000403,0.5624,0.5624,0.5624,0.5624,2016,0
20000404,0.5574,0.5574,0.5574,0.5574,6032,0
20000405,0.5424,0.5424,0.5424,0.5424,2176,0
20000407,0.5474,0.5474,0.5474,0.5474,1552,0
20000411,0.5424,0.5424,0.5424,0.5424,1968,0
20000412,0.5375,0.5922,0.5226,0.5474,7360,0
20000413,0.47775,0.5822,0.47775,0.5822,4848,0
20000414,0.5474,0.5474,0.5424,0.5424,2816,0
20000417,0.5424,0.5424,0.5424,0.5424,2016,0
20000418,0.47775,0.5474,0.47775,0.5474,2656,0
20000419,0.5076,0.5275,0.5076,0.5275,5984,0
20000420,0.47775,0.5176,0.47775,0.5176,2880,0
20000426,0.5424,0.5424,0.5424,0.5424,4016,0
20000427,0.5176,0.5375,0.5176,0.5375,2816,0
20000428,0.5424,0.5424,0.5424,0.5424,2016,0
20000504,0.5176,0.5176,0.5176,0.5176,1632,0
20000505,0.5176,0.5176,0.5176,0.5176,2816,0
20000508,0.5126,0.5126,0.5126,0.5126,3216,0
20000509,0.5275,0.5275,0.5275,0.5275,800,0
20000510,0.5275,0.5275,0.47775,0.49268,6176,0
20000515,0.47775,0.5176,0.47775,0.5176,240,0
20000516,0.5176,0.5176,0.5176,0.5176,1808,0
20000517,0.49765,0.5126,0.49765,0.49765,2272,0
20000518,0.5076,0.5076,0.5076,0.5076,1600,0
20000519,0.5076,0.5076,0.5026,0.5076,3216,0
20000522,0.5226,0.5375,0.5226,0.5375,7920,0
20000523,0.5275,0.5275,0.5275,0.5275,1408,0
20000524,0.5325,0.5325,0.5275,0.5275,7632,0
20000525,0.5275,0.5275,0.47775,0.47775,2128,0
20000526,0.5275,0.5275,0.47775,0.5275,13504,0
20000529,0.5226,0.5226,0.47775,0.47775,1344,0
20000530,0.5076,0.5076,0.48272,0.48272,4304,0
20000531,0.49765,0.49765,0.49765,0.49765,2016,0
20000601,0.49765,0.49765,0.48272,0.49765,4560,0
20000605,0.5126,0.5126,0.5026,0.5026,2416,0
