Date,Open,High,Low,Close,Volume,OpenInt
20160923,0.3,0.33,0.3,0.33,300,0
20160926,0.36,0.39,0.36,0.39,87000,0
20160927,0.42,0.46,0.42,0.46,74500,0
20160928,0.5,0.55,0.5,0.55,25099,0
20160929,0.6,0.66,0.6,0.66,18950,0
20160930,0.72,0.79,0.72,0.79,113409,0
20161004,0.35,0.44,0.35,0.44,314648,0
20161005,0.48,0.52,0.48,0.52,17200,0
20161006,0.57,0.62,0.57,0.62,20000,0
20161010,0.37,0.39,0.34,0.36,448723,0
20161011,0.38,0.38,0.32,0.34,270081,0
20161012,0.35,0.37,0.29,0.3,475103,0
20161013,0.31,0.37,0.29,0.37,392352,0
20161014,0.4,0.44,0.4,0.44,256679,0
20161017,0.44,0.48,0.33,0.35,974034,0
20161018,0.35,0.36,0.27,0.34,948086,0
20161019,0.35,0.35,0.27,0.3,1575206,0
20161020,0.3,0.33,0.23,0.23,4064231,0
20161021,0.22,0.24,0.21,0.24,466818,0
20161024,0.24,0.24,0.23,0.23,116466,0
20161025,0.23,0.24,0.22,0.23,114593,0
20161026,0.23,0.24,0.22,0.24,70389,0
20161027,0.24,0.24,0.22,0.23,37355,0
20161028,0.23,0.24,0.22,0.23,62754,0
20161031,0.23,0.23,0.23,0.23,5123,0
20161102,0.23,0.23,0.22,0.23,51030,0
20161103,0.23,0.23,0.22,0.22,102777,0
20161104,0.22,0.22,0.2,0.22,54489,0
20161107,0.22,0.22,0.21,0.21,7313,0
