Date,Open,High,Low,Close,Volume,OpenInt
19960201,3.7699,3.7699,3.7699,3.7699,514391,0
19960202,3.9213,3.9213,3.9213,3.9213,603776,0
19960205,3.9373,3.9373,3.9373,3.9373,397305,0
19960206,3.9452,3.9452,3.9452,3.9452,285831,0
19960207,3.9452,3.9452,3.9452,3.9452,219005,0
19960208,4.1206,4.1206,4.1206,4.1206,215386,0
19960209,4.4234,4.4234,4.4234,4.4234,157301,0
19960212,4.8619,4.8619,4.8619,4.8619,324703,0
19960213,4.5112,4.5112,4.5112,4.5112,165550,0
19960214,4.6466,4.6466,4.6466,4.6466,389240,0
19960215,4.6865,4.6865,4.6865,4.6865,264741,0
19960216,4.7742,4.7742,4.7742,4.7742,201566,0
19960219,4.7742,4.7742,4.7742,4.7742,74760,0
19960220,4.5988,4.5988,4.5988,4.5988,75653,0
19960221,4.4713,4.4713,4.4713,4.4713,63666,0
19960222,4.6466,4.6466,4.6466,4.6466,65900,0
19960223,4.6466,4.6466,4.6466,4.6466,85603,0
19960226,4.7343,4.7343,4.7343,4.7343,129565,0
19960227,4.7742,4.7742,4.7742,4.7742,88796,0
19960228,4.6466,4.6466,4.6466,4.6466,43068,0
19960229,4.8219,4.8219,4.8219,4.8219,297371,0
19960301,4.8619,4.8619,4.8619,4.8619,105187,0
19960304,5.0371,5.0371,5.0371,5.0371,118700,0
19960305,5.348,5.348,5.348,5.348,224334,0
19960306,5.2124,5.2124,5.2124,5.2124,94290,0
19960307,5.2604,5.2604,5.2604,5.2604,161583,0
19960308,5.085,5.085,5.085,5.085,74378,0
19960311,4.9096,4.9096,4.9096,4.9096,115660,0
19960312,4.8219,4.8219,4.8219,4.8219,40465,0
19960313,4.8219,4.8219,4.8219,4.8219,124508,0
19960314,4.7742,4.7742,4.7742,4.7742,34035,0
19960315,4.8219,4.8219,4.8219,4.8219,30613,0
19960318,4.9973,4.9973,4.9973,4.9973,92109,0
19960319,5.085,5.085,5.085,5.085,251773,0
19960320,4.9096,4.9096,4.9096,4.9096,497392,0
19960321,4.9973,4.9973,4.9973,4.9973,160690,0
19960322,4.9973,4.9973,4.9973,4.9973,103116,0
19960325,5.0371,5.0371,5.0371,5.0371,122863,0
19960326,4.9973,4.9973,4.9973,4.9973,110930,0
