Date,Open,High,Low,Close,Volume,OpenInt
20101103,1.5015,1.5015,1.4162,1.4303,668497,0
20101104,1.4375,1.4375,1.4162,1.4232,128907,0
20101105,1.4303,1.4303,1.4162,1.4162,47781,0
20101108,1.4162,1.4232,1.409,1.4162,43177,0
20101109,1.4232,1.4232,1.4019,1.4232,67670,0
20101110,1.4232,1.4232,1.4162,1.4232,60110,0
20101112,1.4162,1.4162,1.4019,1.4162,16729,0
20101115,1.4162,1.4303,1.409,1.4162,121088,0
20101116,1.4162,1.4162,1.3947,1.409,11247,0
20101117,1.4019,1.4019,1.3877,1.3877,14194,0
20101118,1.409,1.409,1.3306,1.4019,115841,0
20101119,1.3877,1.3877,1.3663,1.3733,3307,0
20101122,1.3733,1.3733,1.3164,1.3449,36534,0
20101123,1.3521,1.3521,1.3378,1.3449,4224,0
20101124,1.3521,1.3733,1.3449,1.3521,160136,0
20101125,1.3521,1.3521,1.2596,1.2809,102012,0
20101126,1.2454,1.2809,1.2454,1.2738,6155,0
20101129,1.2524,1.2809,1.2524,1.2596,12662,0
20101130,1.2454,1.2596,1.2026,1.2454,157264,0
20101201,1.224,1.3235,1.2026,1.3235,271267,0
20101202,1.3378,1.3378,1.3235,1.3235,3655,0
20101203,1.3164,1.3235,1.3164,1.3235,3246,0
20101206,1.2311,1.3306,1.2311,1.3235,3983,0
20101207,1.3306,1.3449,1.2382,1.3449,51276,0
20101208,1.3093,1.3378,1.2738,1.3378,25285,0
20101209,1.3164,1.3164,1.2809,1.3093,13571,0
20101210,1.3164,1.3164,1.2809,1.2809,4361,0
20101213,1.3235,1.3235,1.2667,1.3093,26342,0
20101214,1.2667,1.3235,1.2667,1.3164,31027,0
20101215,1.3093,1.3235,1.2738,1.3164,23943,0
20101216,1.3093,1.3164,1.2809,1.3164,621139,0
20101217,1.2809,1.288,1.2738,1.288,3878,0
20101220,1.2738,1.2809,1.2667,1.2667,6490,0
20101221,1.2596,1.2596,1.2454,1.2454,10195,0
20101222,1.2454,1.2454,1.2168,1.2454,19468,0
20101223,1.2382,1.2454,1.2311,1.2454,3523,0
20101227,1.2382,1.2382,1.2168,1.2168,11841,0
20101228,1.2098,1.2098,1.1813,1.2098,113586,0
20101229,1.1883,1.2768,1.1883,1.2768,54382,0
20101230,1.2695,1.2768,1.2401,1.2622,69416,0
20101231,1.2401,1.2843,1.2401,1.2843,88487,0
20110103,1.3235,1.3235,1.288,1.3235,52924,0
20110104,1.3235,1.3235,1.3164,1.3235,5882,0
20110105,1.3164,1.3235,1.3093,1.3235,58971,0
20110107,1.2738,1.3164,1.2738,1.3022,11871,0
20110110,1.3164,1.3164,1.2667,1.3022,12705,0
20110111,1.2809,1.3235,1.2809,1.3164,1423937,0
20110112,1.3235,1.3449,1.2809,1.2951,928363,0
20110113,1.3235,1.3449,1.288,1.3378,979679,0
20110114,1.3449,1.3521,1.3235,1.3449,89838,0
20110117,1.3521,1.3521,1.3306,1.3449,79378,0
20110118,1.3449,1.4019,1.3235,1.3806,218365,0
20110119,1.3806,1.3947,1.3449,1.3449,67905,0
20110120,1.3521,1.3663,1.3449,1.3449,46310,0
20110121,1.3449,1.3521,1.3306,1.3306,59449,0
20110124,1.3378,1.3378,1.3022,1.3235,54692,0
20110125,1.3022,1.3093,1.288,1.3093,10819,0
20110126,1.2951,1.3521,1.2951,1.3521,78156,0
20110127,1.3663,1.3663,1.3093,1.3164,14311,0
20110128,1.3449,1.3449,1.3164,1.3164,1420,0
20110131,1.2917,1.2917,1.2105,1.2843,51879,0
20110201,1.2667,1.2951,1.2454,1.2951,32240,0
20110202,1.2809,1.2809,1.2454,1.2809,30410,0
20110203,1.2667,1.3022,1.2667,1.3022,64382,0
20110204,1.3164,1.3733,1.3093,1.3235,119762,0
20110207,1.3235,1.3521,1.3235,1.3449,6783,0
20110208,1.3164,1.3449,1.3164,1.3449,4780,0
20110209,1.3093,1.3235,1.2951,1.3164,17793,0
20110210,1.3093,1.3235,1.3022,1.3164,2100,0
20110211,1.3164,1.3306,1.3164,1.3306,3602,0
20110214,1.3449,1.3449,1.3022,1.3022,7773,0
20110215,1.3235,1.3521,1.3164,1.3521,466278,0
20110216,1.3521,1.3521,1.3164,1.3449,15940,0
20110217,1.3449,1.3449,1.3093,1.3093,69605,0
20110218,1.3022,1.3306,1.3022,1.3235,79031,0
20110221,1.3093,1.3235,1.3093,1.3093,5338,0
20110222,1.3093,1.3235,1.3093,1.3235,34996,0
20110223,1.3235,1.3235,1.3235,1.3235,1146,0
20110224,1.3164,1.3164,1.3022,1.3022,1336,0
20110225,1.2951,1.3306,1.2951,1.3093,3260,0
20110228,1.2991,1.3138,1.2917,1.2917,8063,0
20110301,1.288,1.2951,1.288,1.2951,2013,0
20110302,1.288,1.3022,1.2738,1.3022,9236,0
20110303,1.2809,1.2951,1.2809,1.2951,7055,0
20110304,1.2809,1.3164,1.2738,1.3164,45397,0
20110307,1.2951,1.2951,1.288,1.2951,5555,0
20110308,1.288,1.2951,1.2809,1.288,3635,0
20110309,1.3022,1.3022,1.2809,1.288,3487,0
20110310,1.3093,1.3093,1.2809,1.2809,7047,0
20110311,1.2951,1.2951,1.2809,1.2809,4045,0
20110314,1.2809,1.288,1.2809,1.288,17937,0
20110315,1.2809,1.2809,1.224,1.2809,29943,0
20110316,1.2809,1.2951,1.2809,1.2809,10495,0
20110317,1.3378,1.3378,1.3022,1.3164,35652,0
20110318,1.3164,1.3378,1.3164,1.3306,73590,0
20110321,1.3306,1.3521,1.3306,1.3521,162615,0
20110322,1.3521,1.3663,1.3378,1.3663,114736,0
