Date,Open,High,Low,Close,Volume,OpenInt
20071105,5.1582,5.1761,4.6738,5.1134,1046600,0
20071106,5.1044,5.1582,5.0237,5.1582,1484307,0
20071107,5.1582,5.1582,5.0237,5.0237,584693,0
20071108,5.0237,5.0237,4.9339,4.9788,47416,0
20071109,4.9788,5.1134,4.9788,4.9788,13550,0
20071112,4.9788,5.1044,4.9788,4.9788,340989,0
20071113,5.0237,5.0685,4.9339,5.0685,566145,0
20071114,5.0685,5.0685,5.0237,5.0237,6413,0
20071115,5.0237,5.0237,4.9339,4.9339,343347,0
20071116,4.9339,4.9339,4.7545,4.7545,4627,0
20071119,4.7097,4.7097,4.4854,4.6648,332800,0
20071120,4.5751,4.5751,4.4854,4.5303,349349,0
20071121,4.5303,4.5303,4.4405,4.4854,1342302,0
20071122,4.4854,4.6199,4.3957,4.6199,887628,0
20071123,4.6648,4.6648,4.4854,4.4854,843383,0
20071126,4.4854,4.4854,4.3508,4.3508,22549,0
20071127,4.4405,4.4405,4.3508,4.3508,313537,0
20071128,4.3508,4.3957,4.3059,4.3508,289161,0
20071129,4.3957,4.4405,4.3957,4.4405,172031,0
20071130,4.3957,4.4495,4.3508,4.4405,251594,0
20071203,4.3957,4.3957,4.3957,4.3957,1226,0
20071204,4.3957,4.4315,4.3957,4.4315,452917,0
20071205,4.4405,4.7097,4.4405,4.7097,1377361,0
20071206,4.7097,4.7097,4.7097,4.7097,1423,0
20071207,4.7455,4.7455,4.6648,4.6648,449875,0
20071210,4.5751,4.6199,4.3598,4.3598,51509,0
20071211,4.3957,4.4405,4.3867,4.4405,154390,0
20071212,4.5751,4.5751,4.5662,4.5751,162036,0
20071213,4.6648,4.7097,4.5751,4.5751,14336,0
20071214,4.6648,4.6648,4.4944,4.4944,997,0
20071217,4.4405,4.4944,4.3957,4.4315,285626,0
20071218,4.4854,4.4854,4.3957,4.3957,20400,0
20071219,4.3598,4.3598,4.3149,4.3149,8771,0
20071220,4.3957,4.3957,4.3149,4.3149,129651,0
20071221,4.3867,4.3867,4.1265,4.1265,122660,0
20071227,4.2611,4.2611,3.9471,4.0368,5988,0
20071228,4.0368,4.4315,3.9471,4.3508,31020,0
20080102,4.3957,4.3957,4.2343,4.2343,557,0
20080103,4.3957,4.3957,4.3778,4.3957,1177,0
20080104,4.3957,4.3957,4.3239,4.3239,1665,0
20080107,4.3598,4.4405,4.1714,4.1714,2870,0
20080108,4.1445,4.2163,4.1445,4.2163,199,0
20080109,4.1445,4.2521,4.1265,4.1265,3090,0
20080110,4.2163,4.2163,3.8575,4.0368,3908,0
20080111,4.0368,4.0368,3.8575,3.8575,3275,0
20080114,3.5883,3.5883,3.3641,3.5883,66326,0
20080115,3.4538,3.4538,3.3192,3.4538,7050,0
20080116,3.4538,3.4538,3.1398,3.3192,4524,0
20080117,3.1398,3.3192,3.1398,3.3192,20169,0
20080118,3.1398,3.3192,3.1398,3.2743,1421366,0
20080122,3.2563,3.3192,3.1398,3.1398,9000,0
20080123,3.0052,3.1398,3.0052,3.1398,52,0
20080124,3.1398,3.2743,3.1308,3.2743,18775,0
20080125,3.2743,3.2743,3.2295,3.2295,635,0
20080128,3.2743,3.2743,3.1398,3.1398,2160,0
20080129,3.1847,3.2295,3.1847,3.2295,1672,0
20080130,3.2743,3.2743,3.2743,3.2743,1170,0
20080201,3.1398,3.4268,3.1129,3.4268,10244,0
20080204,3.4806,3.8215,3.4089,3.5525,294675,0
20080205,3.5883,3.8126,3.5793,3.687,17364,0
20080206,3.5525,3.5883,3.4538,3.5076,15327,0
20080207,3.5255,3.5883,3.4716,3.5883,4736,0
20080208,3.4986,3.5435,3.4986,3.5435,4515,0
20080211,3.4358,3.4358,3.4358,3.4358,1051,0
20080212,3.4806,3.4806,3.4358,3.4358,892,0
20080213,3.4986,3.4986,3.4538,3.4538,335582,0
20080214,3.4089,3.4896,3.3551,3.4089,3635,0
20080215,3.2743,3.4089,3.2743,3.4089,110,0
20080218,3.4,3.4,3.4,3.4,287,0
20080219,3.3641,3.4089,3.3192,3.4089,4160,0
20080220,3.3461,3.3461,3.3461,3.3461,156,0
20080221,3.3461,3.3461,3.3461,3.3461,4459,0
20080227,3.4089,3.4089,3.4089,3.4089,100,0
20080228,3.3282,3.3282,3.1488,3.1488,13655,0
20080229,3.1847,3.1847,3.1757,3.1757,4882,0
20080303,3.2026,3.2295,3.1398,3.1757,52490,0
20080304,3.2295,3.2295,3.2295,3.2295,446,0
20080305,3.2295,3.2295,3.1398,3.2295,3132,0
20080306,3.2115,3.2115,3.2115,3.2115,111,0
20080307,3.2115,3.2115,3.1578,3.1578,4617,0
20080310,3.1488,3.1488,3.0949,3.0949,5350,0
20080311,3.0681,3.0681,3.0591,3.0591,6801,0
20080312,3.0591,3.1398,3.0591,3.1398,7368,0
20080313,3.1757,3.2295,3.0681,3.1757,14514,0
20080314,3.1757,3.1757,3.1757,3.1757,781,0
20080317,3.1218,3.1578,3.0949,3.1578,2738,0
20080318,3.1398,3.2115,3.0142,3.0142,13175,0
20080319,3.0321,3.0501,3.0232,3.0501,62675,0
20080320,3.0591,3.0591,3.0591,3.0591,42,0
20080325,3.0501,3.1129,3.0052,3.1129,3501,0
20080326,3.1578,3.1578,3.0052,3.0052,6119,0
20080327,2.9603,2.9603,2.9154,2.9154,118273,0
20080328,2.9154,2.9154,2.8797,2.8797,4682,0
20080331,2.8887,2.8887,2.7719,2.7719,5600,0
20080401,2.8258,2.8258,2.8258,2.8258,2800,0
20080402,2.8258,2.9872,2.8258,2.9154,67075,0
20080403,2.9244,2.9783,2.9244,2.9783,12262,0
20080404,2.9783,2.9783,2.9783,2.9783,111,0
20080407,2.9872,2.9872,2.9603,2.9603,7827,0
20080408,2.8707,2.8707,2.8707,2.8707,5580,0
20080409,2.8617,2.8617,2.7809,2.8528,2029,0
20080410,2.8528,2.8528,2.8528,2.8528,11,0
20080411,2.7719,2.7899,2.7361,2.7899,4988,0
20080414,2.745,2.745,2.5118,2.5118,7309,0
20080415,2.4669,2.5567,2.3055,2.4669,34091,0
20080416,2.5029,2.5029,2.3414,2.3414,3357,0
20080417,2.3414,2.4669,2.2876,2.4669,309654,0
20080418,2.6015,2.6015,2.458,2.5567,127049,0
20080421,2.5657,2.5657,2.5567,2.5567,1969,0
20080422,2.4669,2.5567,2.44,2.4669,133383,0
20080423,2.4759,2.4759,2.4669,2.4759,11258,0
20080424,2.4669,2.4669,2.3862,2.3952,9035,0
20080425,2.4669,2.4669,2.431,2.449,234986,0
20080428,2.5478,2.5478,2.4759,2.4759,12401,0
20080429,2.5118,2.5118,2.44,2.44,6256,0
20080430,2.44,2.44,2.44,2.44,11,0
20080505,2.458,2.4939,2.458,2.4939,3768,0
20080506,2.5118,2.5118,2.422,2.431,3524,0
20080507,2.4849,2.4849,2.422,2.4759,1015,0
20080508,2.4669,2.4669,2.4669,2.4669,3259,0
20080509,2.422,2.422,2.422,2.422,6242,0
20080512,2.422,2.422,2.3772,2.3772,3172,0
20080513,2.3772,2.3772,2.3772,2.3772,138,0
20080514,2.422,2.422,2.3235,2.3235,14244,0
20080515,2.3235,2.3235,2.1889,2.2158,30707,0
20080516,2.2427,2.2427,2.126,2.1889,7609,0
20080519,2.2248,2.2248,2.153,2.153,13563,0
20080520,2.153,2.153,2.153,2.153,111,0
20080521,2.144,2.144,2.0901,2.0901,6387,0
20080523,2.0901,2.0901,1.9197,1.9287,27533,0
20080526,1.9377,1.9377,1.9287,1.9287,35674,0
20080527,1.8839,1.8839,1.7493,1.7942,509132,0
20080528,1.848,1.9646,1.839,1.9646,38485,0
20080529,1.9826,2.3145,1.9466,2.3145,33801,0
20080530,2.2338,2.3055,2.117,2.2696,20254,0
20080602,2.3325,2.3683,2.3325,2.3325,52939,0
20080603,2.3504,2.3504,2.2158,2.3325,550679,0
20080604,2.3325,2.4042,2.3325,2.3325,21012,0
20080605,2.3683,2.3683,2.3683,2.3683,224,0
20080606,2.3414,2.3414,2.3325,2.3325,4932,0
20080609,2.2965,2.2965,2.2427,2.2427,11256,0
20080610,2.2158,2.3325,2.1081,2.117,38067,0
