Date,Open,High,Low,Close,Volume,OpenInt
19971216,17.347,17.347,17.347,17.347,31849,0
19971217,18.128,18.128,18.128,18.128,28954,0
19971218,17.347,17.347,17.347,17.347,21449,0
19971219,16.656,16.656,16.656,16.656,7674,0
19971222,15.006,15.006,15.006,15.006,0,0
19971223,14.83,14.83,14.83,14.83,18137,0
19971229,14.918,14.918,14.918,14.918,6596,0
19971230,15.182,15.182,15.182,15.182,9693,0
19971231,14.743,14.743,14.743,14.743,13909,0
19980105,15.093,15.093,15.093,15.093,6690,0
19980106,15.093,15.093,15.093,15.093,5611,0
19980107,14.743,14.743,14.743,14.743,5136,0
19980108,14.567,14.567,14.567,14.567,5640,0
19980109,14.567,14.567,14.567,14.567,3449,0
19980112,13.181,13.181,13.181,13.181,1154,0
19980113,13.444,13.444,13.444,13.444,6603,0
19980114,13.444,13.444,13.444,13.444,5695,0
19980115,13.532,13.532,13.532,13.532,7266,0
19980116,13.006,13.006,13.006,13.006,3888,0
19980119,13.181,13.181,13.181,13.181,2690,0
19980120,13.006,13.006,13.006,13.006,10037,0
19980121,12.752,12.752,12.752,12.752,1855,0
19980122,12.576,12.576,12.576,12.576,8085,0
19980123,12.138,12.138,12.138,12.138,3241,0
19980126,12.84,12.84,12.84,12.84,7783,0
19980127,12.576,12.576,12.576,12.576,3187,0
19980128,12.576,12.576,12.576,12.576,931,0
19980129,13.786,13.786,13.786,13.786,5456,0
19980130,13.699,13.699,13.699,13.699,5102,0
19980202,14.313,14.313,14.313,14.313,2743,0
19980203,14.918,14.918,14.918,14.918,5973,0
19980204,15.182,15.182,15.182,15.182,9866,0
19980205,14.48,14.48,14.48,14.48,3225,0
19980206,14.743,14.743,14.743,14.743,4688,0
19980209,15.006,15.006,15.006,15.006,5120,0
19980210,16.479,16.479,16.479,16.479,20235,0
19980211,16.041,16.041,16.041,16.041,5105,0
19980212,16.041,16.041,16.041,16.041,4612,0
19980213,15.259,15.259,15.259,15.259,2547,0
19980216,15.093,15.093,15.093,15.093,3281,0
19980217,15.006,15.006,15.006,15.006,1233,0
19980218,16.041,16.041,16.041,16.041,7806,0
19980219,17.084,17.084,17.084,17.084,17128,0
19980220,16.041,16.041,16.041,16.041,13773,0
19980223,16.304,16.304,16.304,16.304,16156,0
19980224,16.479,16.479,16.479,16.479,7898,0
19980225,15.961,15.961,15.961,15.961,11783,0
19980226,16.041,16.041,16.041,16.041,7847,0
19980227,16.041,16.041,16.041,16.041,6201,0
19980302,15.787,15.787,15.787,15.787,4979,0
19980303,16.041,16.041,16.041,16.041,5782,0
19980304,15.61,15.61,15.61,15.61,5846,0
19980305,15.523,15.523,15.523,15.523,2377,0
19980306,15.259,15.259,15.259,15.259,4419,0
19980309,15.523,15.523,15.523,15.523,8218,0
19980310,15.61,15.61,15.61,15.61,5061,0
19980311,16.128,16.128,16.128,16.128,10819,0
19980312,15.435,15.435,15.435,15.435,3966,0
19980313,16.215,16.215,16.215,16.215,3748,0
19980316,16.215,16.215,16.215,16.215,5378,0
19980317,16.479,16.479,16.479,16.479,3356,0
19980318,17.084,17.084,17.084,17.084,13535,0
19980319,17.347,17.347,17.347,17.347,25354,0
19980320,17.26,17.26,17.26,17.26,10016,0
19980323,17.347,17.347,17.347,17.347,15083,0
19980324,17.347,17.347,17.347,17.347,24072,0
19980325,16.997,16.997,16.997,16.997,17421,0
19980326,15.349,15.349,15.349,15.349,9254,0
19980327,15.873,15.873,15.873,15.873,8880,0
19980330,15.873,15.873,15.873,15.873,8474,0
19980331,15.787,15.787,15.787,15.787,6947,0
19980401,15.698,15.698,15.698,15.698,3824,0
19980402,15.61,15.61,15.61,15.61,8204,0
19980406,15.787,15.787,15.787,15.787,8549,0
19980407,16.215,16.215,16.215,16.215,2158,0
19980408,16.128,16.128,16.128,16.128,2375,0
19980409,15.61,15.61,15.61,15.61,17109,0
19980414,15.61,15.61,15.61,15.61,4834,0
19980415,15.787,15.787,15.787,15.787,5155,0
19980416,16.041,16.041,16.041,16.041,5137,0
19980417,16.041,16.041,16.041,16.041,2408,0
19980420,15.61,15.61,15.61,15.61,5168,0
19980421,14.313,14.313,14.313,14.313,1748,0
19980422,14.743,14.743,14.743,14.743,7054,0
19980423,14.83,14.83,14.83,14.83,2575,0
19980424,15.182,15.182,15.182,15.182,6968,0
19980427,15.523,15.523,15.523,15.523,8935,0
19980428,14.743,14.743,14.743,14.743,4454,0
19980429,13.962,13.962,13.962,13.962,3368,0
19980430,14.313,14.313,14.313,14.313,6354,0
19980504,14.654,14.654,14.654,14.654,3175,0
19980505,14.743,14.743,14.743,14.743,3284,0
19980506,14.567,14.567,14.567,14.567,921,0
19980507,14.225,14.225,14.225,14.225,6080,0
19980508,14.05,14.05,14.05,14.05,1789,0
19980511,14.138,14.138,14.138,14.138,4906,0
19980512,13.875,13.875,13.875,13.875,4367,0
19980513,13.357,13.357,13.357,13.357,2548,0
19980514,13.357,13.357,13.357,13.357,3086,0
19980515,13.094,13.094,13.094,13.094,1856,0
19980518,13.181,13.181,13.181,13.181,2167,0
19980519,13.269,13.269,13.269,13.269,7363,0
19980520,13.875,13.875,13.875,13.875,2840,0
19980521,14.4,14.4,14.4,14.4,2806,0
19980522,14.567,14.567,14.567,14.567,6143,0
19980525,13.875,13.875,13.875,13.875,3117,0
19980526,13.875,13.875,13.875,13.875,3456,0
19980527,13.094,13.094,13.094,13.094,5606,0
19980528,13.006,13.006,13.006,13.006,12101,0
19980529,13.006,13.006,13.006,13.006,2085,0
19980601,11.796,11.796,11.796,11.796,5545,0
19980602,11.357,11.357,11.357,11.357,11175,0
19980603,11.357,11.357,11.357,11.357,16657,0
19980604,11.621,11.621,11.621,11.621,14651,0
19980605,11.533,11.533,11.533,11.533,11338,0
19980608,11.533,11.533,11.533,11.533,8179,0
19980609,11.103,11.103,11.103,11.103,3007,0
19980610,10.059,10.059,10.059,10.059,1615,0
19980615,9.1917,9.1917,9.1917,9.1917,13715,0
