Date,Open,High,Low,Close,Volume,OpenInt
20041130,10.43,10.43,9.604,9.864,141026,0
20041201,9.951,10.821,9.951,10.647,27755,0
20041202,10.908,10.908,10.343,10.43,24538,0
20041203,10.343,10.603,10.256,10.343,16522,0
20041206,10.69,10.69,10.256,10.386,1427,0
20041207,10.256,10.43,10.256,10.256,4829,0
20041208,10.256,10.43,10.256,10.43,1804,0
20041209,10.516,10.516,10.038,10.169,4000,0
20041210,10.169,10.169,10.169,10.169,2508,0
20041213,9.908,9.908,9.908,9.908,69,0
20041214,9.908,9.908,9.908,9.908,265,0
20041215,9.864,9.864,9.864,9.864,547,0
20041216,9.864,9.995,9.691,9.995,1006,0
20041217,10.169,10.169,10.081,10.169,1690,0
20041220,10.169,10.212,10.169,10.212,832,0
20041221,10.169,10.516,10.169,10.516,12639,0
20041222,10.473,10.473,10.256,10.256,593,0
20041223,10.43,10.43,10.43,10.43,1775,0
20041227,10.43,10.516,10.343,10.343,18020,0
20041228,10.43,10.473,10.386,10.473,11848,0
20041229,10.43,10.516,10.43,10.43,15195,0
20041230,10.473,10.516,10.343,10.386,15811,0
20041231,10.386,10.473,10.386,10.473,6156,0
20050103,10.43,10.473,10.43,10.43,6176,0
20050104,10.43,10.473,10.43,10.473,9185,0
20050105,10.473,11.211,10.43,10.95,81088,0
20050106,10.995,11.037,10.647,10.995,14200,0
20050107,10.95,11.037,10.864,10.995,8080,0
20050110,10.95,10.95,10.864,10.95,10717,0
20050111,10.864,10.995,10.864,10.995,5917,0
20050112,10.95,10.995,10.908,10.995,4072,0
20050113,10.95,10.995,10.908,10.95,12972,0
20050114,10.777,10.995,10.733,10.995,2891,0
20050117,10.95,11.037,10.95,10.995,3169,0
20050118,10.95,10.995,10.908,10.995,5478,0
20050119,10.908,10.95,10.908,10.95,8505,0
20050120,10.95,10.95,10.864,10.864,9720,0
20050121,10.95,11.037,10.777,10.95,16057,0
20050124,10.95,10.95,10.908,10.95,30237,0
20050125,10.95,10.995,10.908,10.95,62694,0
20050126,11.037,11.037,10.95,11.037,19289,0
20050127,11.037,11.037,10.995,11.037,7073,0
20050128,10.95,10.95,10.95,10.95,2124,0
20050131,11.037,11.56,11.037,11.298,6546,0
20050201,11.473,11.56,11.298,11.298,9395,0
20050202,11.384,11.429,11.384,11.429,2964,0
20050203,11.602,11.602,11.473,11.473,840,0
20050204,11.647,11.647,11.473,11.473,32341,0
20050207,11.473,11.516,11.384,11.384,21130,0
20050208,11.56,11.602,11.342,11.473,8340,0
20050209,11.298,11.473,11.298,11.473,64699,0
20050210,11.342,11.384,11.298,11.298,3191,0
20050211,11.342,11.429,11.298,11.384,4986,0
20050214,11.473,11.56,11.473,11.56,3072,0
20050215,11.602,11.647,11.473,11.516,3337,0
20050216,11.56,11.734,11.56,11.647,616,0
20050217,11.69,12.081,11.69,12.036,20703,0
20050218,12.081,12.515,12.081,12.168,7442,0
20050221,12.515,12.515,12.168,12.428,153402,0
20050222,12.602,13.211,12.428,12.559,11322,0
20050223,12.602,13.731,12.602,13.428,25510,0
20050224,13.471,13.471,12.863,13.385,5097,0
20050225,13.341,13.471,13.123,13.211,6351,0
20050228,13.037,13.037,12.428,12.515,3130,0
20050301,12.733,12.733,12.645,12.733,2452,0
20050302,12.994,12.994,12.168,12.689,11751,0
20050303,12.602,12.733,12.602,12.733,4826,0
20050304,12.689,12.689,12.385,12.689,25624,0
20050307,12.776,12.776,12.385,12.385,53,0
20050308,12.254,12.602,12.254,12.602,19220,0
20050309,12.298,12.602,12.298,12.602,12295,0
20050310,12.906,12.906,12.342,12.471,12189,0
20050311,12.602,12.602,12.168,12.428,118968,0
20050315,12.254,12.254,11.734,12.124,36613,0
20050316,11.82,11.994,11.82,11.863,26214,0
20050317,11.863,12.124,11.863,12.124,3279,0
20050321,11.82,11.82,11.82,11.82,1151,0
20050322,11.82,12.036,11.734,12.036,34518,0
20050323,12.124,12.124,12.081,12.081,3825,0
20050324,11.734,12.036,11.734,12.036,578,0
20050329,11.734,11.994,11.734,11.994,1725,0
20050330,11.994,11.994,11.994,11.994,11505,0
20050331,11.994,12.342,11.994,12.342,29829,0
20050401,12.342,12.342,12.124,12.124,2566,0
20050404,11.734,12.081,11.734,12.081,7019,0
20050405,12.124,12.211,11.994,12.124,1218,0
20050406,12.124,12.168,11.994,12.124,89998,0
20050407,12.081,12.168,12.081,12.168,116557,0
20050411,12.168,12.342,12.168,12.211,4540,0
20050412,12.211,12.211,11.994,11.994,6831,0
20050413,12.081,12.515,12.081,12.342,69961,0
20050414,12.559,12.559,12.254,12.298,16060,0
