Date,Open,High,Low,Close,Volume,OpenInt
20110325,5.43,5.43,4.17,4.59,45247,0
20110328,4.59,4.59,3.9,4.1,17594,0
20110329,4.1,4.1,3.5,3.9,9512,0
20110330,3.9,4.35,3.9,4.35,4235,0
20110331,4.35,4.41,4,4.27,5041,0
20110401,4.21,4.3,4.21,4.3,1727,0
20110404,4.22,4.39,4.22,4.35,687,0
20110405,4.45,4.5,4.22,4.35,871,0
20110406,4.44,4.44,4.26,4.4,2119,0
20110407,4.4,4.4,4.3,4.3,1963,0
20110408,4.39,4.65,4.39,4.65,4153,0
20110411,4.64,4.78,4.45,4.73,5174,0
20110412,4.76,4.76,4.72,4.72,275,0
20110413,4.7,4.75,4.6,4.75,5562,0
20110414,4.75,4.75,4.6,4.74,1772,0
20110415,4.75,4.75,4.75,4.75,30,0
20110418,4.75,4.75,4.75,4.75,60,0
20110419,4.73,4.73,4.73,4.73,50,0
20110420,4.73,4.73,4.73,4.73,25,0
20110421,4.72,4.72,4.7,4.72,180,0
20110426,4.72,4.72,4.45,4.6,1207,0
20110428,4.72,4.72,4.72,4.72,30,0
20110429,4.72,4.72,4.65,4.72,1030,0
20110502,4.72,4.72,4.72,4.72,20,0
20110504,4.72,4.72,4.72,4.72,25,0
20110505,4.72,4.72,4.72,4.72,25,0
20110506,4.72,4.72,4.72,4.72,30,0
20110509,4.72,4.72,4.36,4.36,855,0
20110510,4.65,4.75,4.45,4.73,2687,0
20110511,4.74,4.74,4.6,4.68,2537,0
20110512,4.68,4.74,4.68,4.72,610,0
20110513,4.73,4.78,4.72,4.78,3049,0
20110516,4.78,4.9,4.78,4.9,201,0
20110517,4.93,5.1,4.9,4.92,3841,0
20110518,4.92,5.1,4.82,5.09,2428,0
20110519,5.24,5.24,4.8,4.8,1550,0
20110520,4.91,5.15,4.7,5.15,2313,0
20110523,5.07,5.17,5.07,5.17,551,0
20110524,5.17,5.17,5.17,5.17,749,0
20110525,5.17,5.17,5.04,5.04,928,0
20110526,5.04,5.09,5.04,5.09,43,0
20110527,5.17,5.17,5.17,5.17,20,0
20110530,5.17,5.17,4.95,5.15,161,0
20110531,5.17,5.17,4.95,5.17,491,0
20110601,5.17,5.17,5.05,5.17,270,0
20110602,5.11,5.11,4.9,4.9,5071,0
20110603,5,5,4.85,4.85,320,0
20110606,4.95,4.95,4.8,4.8,4821,0
20110607,4.8,4.8,4.8,4.8,1310,0
20110608,4.82,4.84,4.8,4.8,3896,0
20110609,4.8,4.81,4.8,4.8,4893,0
20110610,4.8,4.8,4.8,4.8,25,0
20110614,4.71,4.84,4.7,4.7,475,0
20110615,4.7,4.84,4.7,4.84,527,0
20110616,4.9,4.9,4.9,4.9,200,0
20110617,4.9,4.9,4.9,4.9,25,0
20110620,4.9,4.9,4.9,4.9,25,0
20110622,4.9,4.9,4.9,4.9,25,0
20110624,4.9,4.9,4.9,4.9,50,0
20110627,4.75,4.85,4.7,4.85,683,0
20110629,4.75,4.75,4.75,4.75,25,0
20110630,4.6,4.7,4.53,4.7,804,0
20110701,4.53,4.7,4,4.7,4892,0
20110704,4.7,4.7,4.7,4.7,30,0
20110706,4.45,4.45,4.45,4.45,50,0
20110707,4.35,4.55,4.35,4.55,1002,0
20110711,4.55,4.7,4.55,4.7,11500,0
20110712,4.7,4.7,4.7,4.7,25,0
20110713,4.7,4.7,4.7,4.7,25,0
20110714,4.7,4.7,4.35,4.35,227,0
20110720,4.45,4.45,4.45,4.45,1,0
20110722,4.3,4.45,4.3,4.45,801,0
20110727,4.55,4.55,4.55,4.55,150,0
20110728,4.55,4.55,4.55,4.55,25,0
20110729,4.55,4.55,4.2,4.37,346,0
20110803,4.3,4.3,4.01,4.01,800,0
20110804,4.01,4.01,4,4,300,0
20110805,4,4,4,4,20,0
20110808,4,4,4,4,20,0
20110809,4,4,3.99,3.99,30,0
20110810,4,4,3.9,3.9,60,0
20110811,3.99,3.99,3.99,3.99,2,0
20110812,4,4,4,4,20,0
20110816,3.9,3.9,3.9,3.9,610,0
20110817,3.99,4.2,3.99,4.2,300,0
20110818,4.18,4.18,4.18,4.18,100,0
20110822,4.18,4.2,4.18,4.2,150,0
20110823,4.15,4.2,4.15,4.2,110,0
20110825,4.05,4.2,3.9,4.2,420,0
20110826,4,4,4,4,25,0
20110829,3.99,4,3.99,4,220,0
20110830,4,4,3.98,4,140,0
20110831,4,4,4,4,25,0
20110901,4,4,4,4,25,0
20110905,4,4,4,4,25,0
20110908,3.9,3.9,3.9,3.9,30,0
20110912,3.8,3.8,3.53,3.53,215,0
20110913,3.55,4,3.55,4,606,0
20110914,3.95,4,3.95,4,811,0
20110915,3.98,3.98,3.98,3.98,30,0
20110916,3.98,3.98,3.9,3.9,170,0
20110919,3.98,3.98,3.98,3.98,41,0
20110920,3.98,3.98,3.98,3.98,80,0
20110921,3.9,3.9,3.9,3.9,30,0
20110922,3.9,3.9,3.9,3.9,30,0
20110926,3.9,3.9,3.9,3.9,30,0
20110927,3.9,3.9,3.85,3.85,380,0
20110928,3.9,3.9,3.9,3.9,30,0
20110930,3.9,3.9,3.85,3.9,230,0
20111003,3.9,3.9,3.6,3.6,871,0
20111004,3.6,3.88,3.6,3.88,553,0
20111005,3.9,3.9,3.7,3.7,115,0
20111006,3.69,3.69,3.69,3.69,66,0
20111007,3.69,3.9,3.69,3.9,230,0
20111010,3.9,3.9,3.77,3.77,70,0
20111011,3.8,3.9,3.8,3.9,110,0
20111012,3.9,3.98,3.88,3.98,2410,0
20111018,3.95,4,3.9,4,1290,0
20111019,4,4,3.85,3.85,240,0
20111020,3.8,3.8,3.8,3.8,50,0
20111024,3.85,3.85,3.85,3.85,10,0
20111025,3.8,3.8,3.53,3.53,637,0
20111028,3.55,3.6,3.55,3.6,250,0
20111103,3.65,3.65,3.65,3.65,395,0
20111104,3.68,3.95,3.68,3.95,2110,0
20111107,3.9,3.9,3.77,3.77,3240,0
20111108,3.67,3.67,3.46,3.5,1484,0
20111109,3.5,3.55,3.5,3.55,150,0
20111110,3.5,3.5,3.48,3.48,200,0
20111115,3.5,3.59,3.5,3.59,200,0
