Date,Open,High,Low,Close,Volume,OpenInt
20110328,26.4,31.2,24,25.6,2337,0
20110329,27.28,28.32,24.4,24.8,1067,0
20110330,23.76,25.52,22.24,25.52,607,0
20110331,22,24,22,23.92,394,0
20110401,24,24,24,24,6,0
20110404,22.88,22.96,21.12,22.16,429,0
20110405,21.6,24,21.6,24,1058,0
20110406,24.08,24.08,24.08,24.08,105,0
20110407,23.28,24,23.28,23.36,967,0
20110408,24.4,24.4,24.4,24.4,3,0
20110412,24.72,28,24.72,28,332,0
20110413,30.4,36.48,30.4,32,241,0
20110414,32,32,28.96,28.96,276,0
20110415,27.68,27.68,27.68,27.68,91,0
20110418,28,32,27.12,28,646,0
20110419,27.12,32.72,27.12,32.72,538,0
20110420,32.24,32.24,28.8,32.24,662,0
20110421,32.24,32.24,32.24,32.24,3,0
20110426,32.24,32.24,30.8,31.84,9271,0
20110427,31.36,32.88,31.36,32.88,4150,0
20110428,32.64,32.64,32.64,32.64,82,0
20110429,32.64,32.64,31.36,32.56,30,0
20110502,32.64,33.6,32.64,33.6,294,0
20110504,32.8,32.8,32.8,32.8,79,0
20110506,31.52,31.52,31.52,31.52,31,0
20110509,30.56,30.56,30.56,30.56,26,0
20110510,32.32,33.44,32.32,33.44,155,0
20110511,34.64,34.64,34.64,34.64,37,0
20110512,32.8,34,31.44,34,1544,0
20110517,32.4,33.2,32.4,33.2,138,0
20110519,32.8,33.2,32.8,33.2,151,0
20110523,34.88,35.2,34.88,35.2,209,0
20110524,44.8,44.8,44.8,44.8,13,0
20110525,48,52,45.6,45.6,282,0
20110526,44.4,44.4,44.4,44.4,57,0
20110527,42.4,47.28,40.48,47.28,300,0
20110530,44.8,44.8,42.88,42.88,92,0
20110531,43.2,44.48,43.2,44.48,114,0
20110603,43.6,43.6,43.6,43.6,1,0
20110606,43.2,43.2,43.2,43.2,58,0
20110608,40,40,40,40,63,0
20110609,38.4,46.4,38.4,46.4,579,0
20110610,44,44,44,44,13,0
20110613,42.4,47.2,38.88,46.4,913,0
20110614,45.36,45.36,43.2,43.2,181,0
20110615,44.64,50.4,44.64,44.8,109,0
20110620,44.8,44.8,44.8,44.8,1,0
20110621,44.8,44.8,44.8,44.8,1,0
20110622,44.8,44.8,44.8,44.8,1,0
20110627,44.8,44.8,44.8,44.8,1,0
20110628,44.8,44.8,44.8,44.8,1,0
20110629,44.8,44.8,44.8,44.8,0,0
20110630,44.8,44.8,44.8,44.8,13,0
20110701,44,46.48,42.32,42.32,90,0
20110704,42.32,42.32,42.32,42.32,39,0
20110706,40.8,40.8,40.8,40.8,61,0
20110712,40.4,40.4,40.4,40.4,39,0
20110718,38.4,38.4,38.4,38.4,64,0
20110801,35.12,38.4,35.12,38.4,143,0
20110804,36,36,36,36,70,0
20110808,36,36.08,36,36.08,23,0
20110829,36,36,34.64,34.64,57,0
20110927,28.96,29.04,28.96,29.04,21,0
20110928,30.32,34.8,30.32,34.8,172,0
20110929,33.6,34.8,33.6,34.8,112,0
20110930,36.08,40.4,36.08,40.4,113,0
20111004,38.4,38.4,36.8,36.8,131,0
20111005,35.2,35.2,35.2,35.2,72,0
20111025,33.68,33.68,33.68,33.68,76,0
20111026,32.4,32.4,32.4,32.4,25,0
20111028,33.12,38.4,33.12,38.4,144,0
