Date,Open,High,Low,Close,Volume,OpenInt
20070315,13.01,13.069,12.266,12.587,286868,0
20070316,12.892,13.17,12.773,12.892,108332,0
20070319,13.154,13.187,12.943,13.027,16469,0
20070320,13.027,13.027,12.604,12.857,19030,0
20070321,13.027,13.027,12.815,12.857,11018,0
20070322,12.731,12.934,12.731,12.857,15771,0
20070323,12.857,12.876,12.689,12.824,20095,0
20070326,12.824,12.824,12.68,12.748,35509,0
20070327,12.689,12.689,12.545,12.604,24805,0
20070328,12.562,12.689,12.367,12.647,9939,0
20070329,12.689,12.689,12.35,12.629,8297,0
20070330,12.689,12.731,12.52,12.689,9793,0
20070402,12.68,12.68,12.435,12.562,9644,0
20070403,12.528,12.528,12.35,12.435,18948,0
20070404,12.435,12.435,12.181,12.435,31280,0
20070405,12.444,12.52,12.266,12.486,21750,0
20070410,12.68,12.857,12.562,12.689,29424,0
20070411,12.849,12.943,12.731,12.934,31853,0
20070412,12.934,13.163,12.876,13.103,49023,0
20070413,13.112,13.45,13.103,13.45,38261,0
20070416,13.45,13.991,13.408,13.957,118927,0
20070417,14.101,14.126,13.788,14.016,28804,0
20070418,14.042,14.042,13.366,13.535,36453,0
20070419,13.069,13.535,12.857,13.197,18069,0
20070420,13.535,13.535,13.112,13.197,5529,0
20070423,13.112,13.197,12.689,12.689,16953,0
20070424,12.689,12.857,12.689,12.857,6973,0
20070425,13.069,13.112,12.731,13.069,9032,0
20070426,13.069,13.069,12.985,12.985,3813,0
20070427,13.069,13.069,12.917,12.943,3159,0
20070430,12.857,12.876,12.68,12.841,3205,0
20070502,12.857,12.857,12.697,12.723,6493,0
20070504,12.773,12.773,12.621,12.689,10365,0
20070507,13.255,13.323,13.019,13.137,24930,0
20070508,13.18,13.45,13.035,13.035,21178,0
20070509,13.027,13.027,12.689,12.857,6469,0
20070510,12.857,12.9,12.536,12.9,4343,0
20070511,12.528,12.765,12.528,12.613,5128,0
20070514,12.765,12.773,12.697,12.748,5143,0
20070515,12.773,12.808,12.697,12.697,4000,0
20070516,12.697,12.697,12.528,12.528,7446,0
20070517,12.689,12.689,12.266,12.503,4102,0
20070518,12.503,12.503,12.325,12.35,4185,0
20070521,12.587,12.587,12.35,12.57,5361,0
20070522,12.604,12.604,12.52,12.579,2861,0
20070523,12.671,12.671,12.435,12.435,6105,0
20070524,12.647,12.647,12.486,12.638,5566,0
20070525,12.503,12.647,12.393,12.647,8539,0
20070528,12.638,13.01,12.444,12.815,30342,0
20070529,13.001,13.281,12.857,13.238,37290,0
20070530,13.112,13.298,12.909,13.197,24929,0
20070531,12.993,13.323,12.993,13.23,18960,0
20070601,13.112,13.197,13.019,13.197,21766,0
20070604,13.187,13.197,13.035,13.197,18612,0
20070605,13.035,13.222,12.773,13.197,13984,0
20070606,12.781,12.781,12.773,12.773,4206,0
20070608,12.985,13.112,12.689,12.773,8226,0
20070611,13.112,13.187,12.781,13.187,11407,0
20070612,13.112,13.112,12.857,13.027,9686,0
20070613,12.857,13.112,12.815,13.112,5773,0
20070614,12.689,13.095,12.689,13.095,1532,0
20070615,13.069,13.281,13.061,13.238,25899,0
20070618,13.271,13.957,13.197,13.644,72024,0
20070619,13.704,13.957,13.535,13.62,69082,0
20070620,13.62,13.62,13.45,13.45,17057,0
20070621,13.45,13.957,13.45,13.873,110171,0
20070622,13.957,14.042,13.637,13.696,54643,0
20070625,13.62,13.696,13.238,13.45,32901,0
20070626,13.197,13.374,12.882,13.374,77965,0
20070627,13.374,13.374,12.9,13.323,77609,0
20070628,13.408,13.408,12.9,13.112,42244,0
20070629,12.876,13.086,12.857,13.027,10941,0
20070702,13.086,13.086,12.689,13.019,20218,0
20070703,12.562,13.019,12.562,12.977,19849,0
20070704,12.689,12.909,12.621,12.909,8428,0
20070705,12.647,12.9,12.647,12.9,1345,0
20070706,12.857,13.535,12.857,13.112,40591,0
20070709,13.323,13.408,13.112,13.408,8098,0
20070710,13.442,13.873,13.442,13.797,50668,0
20070711,13.788,13.788,13.526,13.535,16123,0
20070712,13.509,13.704,13.027,13.366,12397,0
20070713,13.391,13.526,13.12,13.492,1746,0
20070716,13.526,13.737,13.154,13.154,28395,0
20070717,13.128,13.526,13.027,13.526,6487,0
20070718,13.238,13.526,13.238,13.526,714,0
20070719,13.265,13.704,13.255,13.627,26181,0
20070720,13.746,14.634,13.746,14.634,199866,0
20070723,14.98,15.902,14.98,15.556,169904,0
20070724,15.556,16.708,14.778,15.902,136256,0
20070725,15.651,16.064,15.252,15.895,61032,0
20070726,16.072,16.496,15.396,15.396,34879,0
20070727,14.795,15.336,14.592,14.973,30471,0
20070730,15.21,15.21,14.465,14.964,26127,0
20070731,15.226,15.651,15.218,15.59,25194,0
20070801,14.804,16.064,14.804,15.902,20628,0
20070802,15.987,15.987,15.651,15.895,19413,0
20070803,15.651,15.886,15.396,15.836,4509,0
20070806,14.811,15.226,14.678,14.964,15807,0
20070807,15.176,15.176,14.085,14.085,25375,0
20070808,13.957,14.465,13.957,14.465,8831,0
20070809,14.465,14.465,13.975,14.372,3547,0
20070810,13.543,14.244,13.535,14.244,4955,0
20070813,14.372,14.423,14.372,14.423,721,0
20070814,13.797,14.423,13.704,14.364,6182,0
20070816,13.543,13.949,13.323,13.949,17574,0
20070817,13.45,13.949,13.197,13.704,10177,0
20070820,13.704,13.873,13.492,13.831,9218,0
20070821,13.933,13.933,13.34,13.838,9538,0
20070822,13.957,14.338,13.314,14.338,6502,0
20070823,14.338,14.584,14.33,14.584,4174,0
20070824,13.957,14.804,13.957,14.804,46307,0
20070827,14.549,14.786,14.042,14.38,3121,0
20070828,14.364,14.364,13.991,14.33,3220,0
20070829,14.338,14.38,13.915,14.38,17309,0
20070830,14.38,14.38,14.016,14.38,2931,0
20070831,14.38,14.72,13.543,14.634,12700,0
20070904,14.296,14.626,14.042,14.626,4213,0
20070905,14.38,14.457,13.966,14.38,1853,0
20070906,13.873,14.287,13.78,14.287,1610,0
20070907,14.254,15.031,13.957,14.6,6610,0
20070910,13.586,14.592,13.586,14.457,1071,0
20070911,13.957,14.465,13.957,14.465,1950,0
20070912,14.542,14.542,14.051,14.533,8999,0
20070914,14.617,14.617,13.957,14.457,883,0
20070917,14.533,14.592,14.423,14.533,1431,0
20070918,14.092,14.592,14.092,14.542,1025,0
20070919,14.542,15.54,14.533,15.311,45511,0
20070920,15.464,15.522,15.142,15.522,6845,0
20070921,15.556,16.072,15.522,15.819,13730,0
20070924,15.802,15.861,15.802,15.861,11822,0
20070925,15.396,15.674,15.396,15.674,3676,0
20070926,15.226,15.548,15.218,15.548,3023,0
20070927,15.624,15.827,15.615,15.777,12732,0
20071001,14.322,15.599,14.322,15.48,6059,0
20071002,14.888,15.912,14.888,15.396,5827,0
20071003,14.804,15.582,14.804,15.472,313,0
20071004,15.455,15.608,15.057,15.057,8971,0
20071005,14.634,15.566,14.38,15.522,3394,0
20071008,15.514,15.608,14.939,15.21,17624,0
20071009,15.472,15.472,15.472,15.472,1,0
20071010,15.455,15.735,15.014,15.651,11164,0
20071011,15.226,15.793,15.226,15.651,4183,0
20071012,15.057,15.641,15.057,15.599,378,0
20071015,15.556,16.072,15.556,15.608,12843,0
20071016,16.064,16.75,15.632,16.309,22608,0
20071017,16.275,17.002,16.081,16.487,19178,0
20071018,16.487,16.918,16.487,16.665,9948,0
20071019,16.741,16.918,16.708,16.918,10108,0
20071022,16.792,17.342,16.156,17.332,10735,0
20071023,17.332,18.441,17.256,17.84,14878,0
20071024,18.101,18.272,17.002,18.179,8033,0
20071025,18.179,18.441,17.765,18.356,5182,0
20071026,18.432,18.432,17.857,18.315,326,0
20071029,18.356,18.441,18.186,18.365,997,0
20071030,18.06,18.06,18.06,18.06,56,0
20071031,18.06,18.186,17.891,18.186,201,0
20071102,17.857,18.186,17.857,18.186,4012,0
20071105,18.186,18.272,17.951,18.23,1483,0
20071106,18.23,18.23,17.773,18.186,1625,0
20071107,17.933,17.933,16.241,16.241,9438,0
20071108,14.973,16.241,14.973,16.241,4715,0
20071109,16.428,16.428,16.072,16.233,3043,0
20071113,16.072,17.739,16.072,17.739,562,0
20071114,17.747,17.747,16.63,16.918,4476,0
20071115,16.75,16.75,16.75,16.75,354,0
20071116,15.235,16.496,15.235,16.454,974,0
20071119,16.825,16.825,15.912,16.817,343,0
20071120,15.902,16.8,15.902,16.8,199,0
20071121,15.48,17.146,15.48,16.918,1052,0
20071122,15.573,16.876,15.573,16.775,2840,0
20071123,16.741,16.741,16.072,16.241,1442,0
20071126,15.735,16.487,15.735,16.487,757,0
20071127,15.657,16.208,15.608,16.208,393,0
20071128,16.258,16.258,16.258,16.258,117,0
20071129,16.325,16.613,16.199,16.613,273,0
20071130,16.623,17.342,16.623,17.342,12248,0
20071203,17.384,17.384,17.384,17.384,59,0
20071204,16.496,17.062,16.496,17.062,177,0
20071205,17.122,17.332,16.267,17.248,2165,0
20071206,17.248,17.248,16.496,17.155,736,0
20071207,16.503,16.918,16.233,16.402,5675,0
20071210,16.496,16.496,15.651,15.912,7129,0
20071211,16.454,16.496,15.954,16.496,1077,0
20071212,16.487,16.487,16.156,16.156,444,0
20071214,16.233,16.233,16.233,16.233,117,0
20071217,14.634,16.325,14.634,16.064,431,0
20071218,15.099,15.987,15.057,15.651,1507,0
20071219,15.651,15.651,15.651,15.651,237,0
20071220,15.235,16.325,15.235,16.325,3885,0
20071221,16.325,16.325,16.072,16.325,1493,0
20071228,16.149,16.149,15.987,15.987,101,0
20080102,15.987,15.987,15.987,15.987,1,0
20080103,15.735,15.735,15.226,15.226,830,0
20080104,15.226,15.226,15.226,15.226,195,0
20080107,14.634,15.109,14.465,15.091,2283,0
