Date,Open,High,Low,Close,Volume,OpenInt
20080418,29.014,29.564,27.963,29.517,291883,0
20080421,29.427,29.427,28.83,29.289,73473,0
20080422,29.261,29.472,28.741,29.014,130080,0
20080423,29.014,29.363,29.014,29.024,114211,0
20080424,28.84,29.243,28.84,29.151,50761,0
20080425,28.83,29.234,28.83,29.161,2920,0
20080428,29.198,29.289,28.886,29.106,12082,0
20080429,28.923,29.453,28.905,29.408,69343,0
20080430,29.289,29.289,28.83,28.84,929,0
20080505,28.859,29.087,28.83,29.06,215,0
20080506,28.83,28.905,28.373,28.83,49125,0
20080507,28.905,28.95,27.55,28.823,863,0
20080508,28.813,28.823,27.687,28.795,384,0
20080509,28.813,28.923,28.556,28.83,4773,0
20080512,26.543,28.913,26.543,28.913,1328,0
20080513,28.905,28.905,28.373,28.373,450,0
20080514,27.458,28.83,27.458,28.83,4713,0
20080515,28.83,29.462,28.83,29.398,24913,0
20080516,27.476,27.476,23.889,24.851,13749,0
20080519,22.974,23.339,21.967,22.599,8742,0
20080520,23.156,25.353,23.139,24.712,1481,0
20080521,24.712,27.184,23.797,26.443,1540,0
20080523,26.268,26.268,23.98,26.268,184,0
20080526,23.889,26.259,23.852,23.916,347,0
20080527,26.186,26.186,23.98,25.93,202,0
20080528,24.081,25.61,24.081,24.254,229,0
20080529,25.857,25.902,23.898,24.676,1075,0
20080530,24.41,24.41,23.66,24.384,191,0
20080602,24.21,24.21,22.424,24.127,282,0
20080603,24.301,24.301,24.301,24.301,1,0
20080604,24.347,24.347,23.066,23.797,1342,0
20080605,24.347,24.347,21.912,23.788,847,0
20080606,23.605,23.706,22.195,23.688,211,0
20080609,22.781,22.781,21.509,22.698,179,0
20080610,24.53,24.53,22.424,23.203,1308,0
20080611,23.322,23.322,21.518,21.518,218,0
20080612,21.967,23.98,21.546,21.555,817,0
20080613,23.688,23.688,21.509,22.745,166,0
20080616,23.66,23.66,23.66,23.66,1,0
20080617,23.596,23.596,21.6,23.422,3265,0
20080618,23.679,23.679,21.738,23.605,23,0
20080619,23.651,23.651,21.6,22.69,185,0
20080620,23.614,23.614,21.6,23.111,447,0
20080623,23.524,23.524,20.502,21.234,1055,0
20080624,22.835,22.835,18.855,18.855,365,0
20080625,22.745,22.791,19.276,20.822,556,0
20080626,21.05,21.05,18.361,19.221,7219,0
20080627,20.584,20.584,18.305,18.443,12144,0
20080630,20.502,20.502,17.756,19.404,730,0
20080701,19.221,19.221,18.059,18.122,819,0
20080702,17.666,18.397,17.298,17.298,3998,0
20080703,17.345,19.028,15.925,16.833,585,0
20080704,16.932,16.932,15.925,16.201,642,0
20080707,16.474,16.474,14.837,14.837,1250,0
20080708,14.965,14.965,13.473,13.729,2688,0
20080709,14.004,14.69,13.729,14.69,5361,0
20080710,14.049,14.599,13.271,14.552,2857,0
20080711,14.737,14.737,14.095,14.187,1273,0
20080714,14.737,15.102,14.095,14.737,2285,0
20080715,13.729,13.729,13.674,13.729,109813,0
20080716,13.82,13.82,13.271,13.271,494,0
20080717,13.353,14.187,13.271,14.187,1075,0
20080718,14.369,14.369,13.729,14.177,549,0
20080721,13.757,14.187,13.546,14.187,554,0
20080722,14.369,14.369,13.729,14.187,714,0
20080723,13.729,14.177,13.729,13.729,697,0
20080724,13.72,13.958,13.318,13.729,1025,0
20080725,13.089,13.729,13.089,13.097,151,0
20080728,13.455,13.455,12.997,12.997,895,0
20080729,12.814,12.997,12.814,12.997,298,0
20080730,13.271,14.095,13.271,13.455,4929,0
20080731,13.729,14.004,13.408,14.004,843,0
20080801,14.278,14.278,13.729,13.729,548,0
20080804,16.932,16.932,13.446,13.446,10168,0
20080805,13.465,13.729,12.814,12.814,45436,0
20080806,12.731,13.408,12.584,12.632,3365,0
20080807,13.089,13.089,12.311,12.311,1725,0
20080808,12.128,13.007,12.128,13.007,2021,0
20080811,13.271,13.271,13.007,13.007,1294,0
20080812,13.007,13.007,12.814,12.814,912,0
20080813,12.814,12.877,12.721,12.877,38516,0
20080814,12.696,13.061,12.686,12.686,903,0
20080818,12.677,12.997,11.936,12.447,29050,0
20080819,12.264,12.264,12,12,773,0
20080820,12,12.393,11.825,12.393,888,0
20080821,12.493,12.493,11.991,12.493,160,0
20080822,12.584,12.584,11.898,12.064,1592,0
20080825,11.944,11.944,11.313,11.716,29566,0
20080826,11.697,11.697,11.341,11.341,823,0
20080827,11.533,11.533,11.12,11.129,437,0
20080828,11.002,11.533,11.002,11.523,84607,0
20080829,11.533,11.533,10.983,10.992,12454,0
20080901,11.533,11.533,10.992,11.533,1377,0
20080902,10.992,11.533,10.992,11.533,100,0
20080903,11.523,12.356,11.523,11.533,7985,0
20080904,11.844,12.311,11.533,11.533,2606,0
20080905,11.844,11.844,11.167,11.844,100,0
20080908,11.807,12.165,11.78,12.165,5767,0
20080909,11.908,12.447,11.898,12.356,2682,0
20080910,11.734,12.082,11.734,12.082,101,0
20080911,12.264,12.264,11.624,11.624,1557,0
20080912,11.431,11.624,11.431,11.624,455,0
20080915,11.12,11.12,10.983,10.983,13100,0
20080916,10.526,10.873,10.434,10.873,1587,0
20080917,10.526,10.526,10.087,10.526,6474,0
20080918,10.572,10.572,10.526,10.572,438,0
20080919,10.755,10.755,10.735,10.735,723,0
20080922,10.983,10.983,10.434,10.983,415,0
20080923,10.434,10.434,10.261,10.434,875,0
20080924,10.261,10.617,10.261,10.572,6663,0
20080925,10.251,10.617,10.251,10.617,426,0
20080926,10.351,10.709,10.351,10.617,2420,0
20080929,10.343,10.343,9.546,9.556,94070,0
20080930,9.1806,9.518,9.1527,9.3629,2169,0
20081001,9.793,9.793,9.1527,9.793,7892,0
20081002,10.023,10.023,9.61,9.61,790,0
20081003,9.976,9.976,9.3362,9.93,54,0
20081006,9.4279,10.013,9.4279,9.93,10967,0
20081007,9.61,10.013,9.1623,9.3362,1038,0
20081008,9.518,9.518,8.567,8.9697,1419,0
20081009,9.793,9.793,8.6951,8.8874,503,0
20081010,8.9697,8.9697,7.3222,7.3222,22785,0
20081013,7.6883,8.0453,7.4138,7.4229,1471,0
20081014,7.7341,8.5029,7.7341,8.0453,5161,0
20081015,7.9629,8.2284,7.7341,8.1826,827,0
20081016,8.2009,8.2009,7.7799,8.1917,645,0
20081017,8.1826,8.1826,7.5053,8.027,2105,0
20081020,8.2284,8.7867,8.2284,8.4115,14738,0
20081021,8.5945,8.5945,7.8714,8.5762,1581,0
20081022,7.8623,8.21,7.7799,8.0635,1128,0
20081023,8.5945,8.5945,7.3314,7.6883,2207,0
20081024,7.3314,7.7799,7.2856,7.7799,1031,0
20081027,7.2399,7.6701,6.4069,6.4069,2351,0
20081028,6.9561,7.2307,6.2605,7.2216,25089,0
20081029,7.8714,7.8714,6.5535,7.2673,2589,0
20081030,7.9629,7.9629,6.8737,7.4138,2705,0
20081031,7.5876,7.5876,6.6816,7.0477,2666,0
20081103,7.6792,7.6792,6.9012,7.0477,495,0
20081104,6.6816,7.2216,6.6816,6.9561,3815,0
20081105,7.0294,7.0477,6.6907,6.7273,2766,0
20081106,7.0934,7.0934,6.6816,6.947,24604,0
20081107,6.9561,6.9561,6.4344,6.9378,1179,0
20081110,7.3222,7.3222,6.773,7.2307,453,0
20081112,6.8646,7.2307,6.8646,7.1759,922,0
20081113,7.5053,7.5053,7.0934,7.1118,638,0
20081114,7.1392,7.1392,6.6816,7.1392,242,0
20081117,6.8646,6.8646,6.8646,6.8646,2185,0
20081118,7.0477,7.0477,6.8646,6.8646,1227,0
20081119,7.1118,7.1118,6.773,7.1118,166,0
20081120,6.8646,7.1118,6.8646,7.1118,148,0
20081121,6.6816,6.9927,6.4069,6.9927,1275,0
20081124,6.9927,6.9927,6.8646,6.947,17911,0
20081125,6.773,6.9561,6.4344,6.9378,5369,0
20081126,6.9561,6.9836,6.773,6.9836,1417,0
20081127,6.4344,6.9927,6.4344,6.8646,2729,0
20081128,6.9927,6.9927,6.9927,6.9927,91,0
20081201,7.7799,7.7799,6.4527,7.2125,1094,0
20081202,6.5076,7.313,6.5076,6.8371,5546,0
20081203,7.313,7.313,6.5442,7.2033,27370,0
20081204,7.1299,7.1299,6.6816,7.0569,650,0
20081205,6.773,6.9561,6.5992,6.5992,928,0
20081208,6.8737,6.883,6.5992,6.6176,1474,0
20081209,6.8646,6.8646,6.5901,6.6176,799,0
20081210,7.1299,7.1299,6.5076,6.6176,5844,0
20081211,6.416,6.6176,6.4069,6.6176,3076,0
20081212,6.416,6.6084,6.2697,6.5167,1193,0
20081215,6.3978,6.4985,5.9678,6.4985,7653,0
20081216,6.773,6.773,6.5901,6.7273,5519,0
20081217,6.7273,6.7273,6.7181,6.7181,320,0
20081218,6.4985,6.4985,6.0866,6.4894,4156,0
20081219,6.4069,6.4069,5.986,6.4069,1407,0
20081222,6.1782,6.1782,5.9768,6.0866,11109,0
20081223,6.0866,6.0866,5.9493,6.0866,1812,0
20081229,6.7549,6.7549,5.9493,5.9493,939,0
20081230,6.5442,6.5442,5.812,6.1049,10911,0
20081231,5.9493,6.8464,5.9493,6.8464,8359,0
20090105,6.8464,6.8464,6.416,6.7273,561,0
20090106,6.7181,6.7181,6.4069,6.4069,2934,0
20090107,6.2239,6.2697,5.9493,5.9493,3911,0
20090108,5.812,6.3519,5.812,5.8852,601271,0
20090109,6.3887,6.3887,5.8852,6.2697,4214,0
20090112,6.1325,6.2972,5.6473,6.2789,666,0
20090113,5.6931,5.995,5.6564,5.812,2721,0
20090114,6.2055,6.2055,5.6015,5.8486,3078,0
20090115,5.986,5.986,5.7662,5.9493,3150,0
20090116,6.2239,6.3154,5.9493,6.3154,2920,0
20090119,6.2239,6.2239,5.9584,6.2055,617,0
20090120,6.3154,6.3154,6.2239,6.2239,242,0
20090121,5.9493,6.2972,5.9493,6.1325,982,0
20090122,6.3154,6.3154,5.995,6.2972,972,0
20090123,6.8464,6.8464,5.9768,6.6358,6307,0
20090126,6.7456,6.7456,6.7456,6.7456,3,0
20090128,6.709,6.709,6.709,6.709,148,0
20090129,6.709,7.3222,6.709,6.828,3026,0
20090130,6.8646,7.304,6.4069,6.4069,8239,0
20090202,6.4069,6.4069,6.3978,6.3978,130,0
20090203,5.9678,6.3978,5.9678,6.3247,306,0
20090204,7.304,7.304,5.867,5.867,3331,0
20090205,6.4069,6.4069,5.6931,6.2147,85302,0
20090206,5.7296,6.6084,5.6749,5.7662,23153,0
20090209,6.0866,6.3154,5.9678,5.9678,5463,0
20090210,6.4985,6.4985,5.995,6.0408,737,0
20090211,6.0043,6.4985,5.995,6.4985,650,0
20090212,6.0318,6.4619,5.9493,5.9493,7385,0
20090213,6.4985,6.4985,5.9493,6.3519,1516,0
20090216,6.2239,6.2697,5.9493,6.0408,3215,0
20090217,5.995,6.4985,5.9493,6.1325,24468,0
20090218,6.4985,6.4985,6.0408,6.3154,12230,0
20090219,6.0408,6.4985,6.0408,6.4985,798,0
20090220,6.1325,6.4527,6.1325,6.4527,123,0
20090223,6.4436,6.4436,6.2239,6.2239,3862,0
20090224,6.1325,6.4527,6.1325,6.4527,5511,0
20090225,6.4436,6.4436,6.1325,6.4436,4237,0
20090227,6.3612,6.3612,5.9493,6.2239,723,0
20090302,5.9493,6.3612,5.8578,6.2239,1603,0
20090303,6.1325,6.3519,6.1325,6.3519,2368,0
20090304,6.3519,6.4527,6.3154,6.4527,3748,0
20090305,6.4985,6.5901,6.1325,6.1782,83348,0
20090306,6.5718,6.5718,6.5718,6.5718,1,0
20090310,6.3154,6.5351,6.3154,6.5351,2929,0
20090311,6.526,6.8554,6.526,6.8554,5712,0
20090312,7.2216,7.2216,6.9104,6.9104,2,0
20090313,6.8646,7.2125,6.8646,6.8646,109289,0
20090316,6.8554,7.0477,6.8554,7.0477,72313,0
20090317,6.5442,7.1392,6.5442,7.1392,7030,0
20090318,7.1392,7.304,6.6999,7.2765,2482,0
20090319,7.8714,7.8714,7.1575,7.5876,1749,0
20090320,7.5053,7.8714,7.5053,7.5968,2889,0
20090323,8.027,9.857,7.7799,8.384,6644,0
20090324,8.7409,8.7867,8.1917,8.1917,31974,0
20090325,8.329,8.4206,8.2375,8.4206,18878,0
20090326,8.2467,8.4206,8.2467,8.4206,431,0
20090327,8.5121,8.5121,8.329,8.5121,2399,0
20090330,8.6951,8.6951,8.2375,8.2375,7235,0
20090331,8.329,8.6585,8.329,8.4206,1566,0
20090401,8.4206,8.4206,8.4115,8.4206,135,0
20090402,8.9697,8.9697,8.9697,8.9697,1093,0
20090403,8.9697,8.9697,8.146,8.8691,29162,0
20090406,9.61,9.61,8.5213,8.622,903,0
20090407,8.9697,8.9697,8.5121,8.9606,278,0
20090408,8.7776,8.7776,8.7776,8.7776,131,0
20090409,8.7776,8.9697,8.329,8.9697,11639,0
20090414,8.9697,9.2905,8.8783,8.9697,6673,0
20090415,9.0613,9.51,8.6036,8.8783,9632,0
20090416,9.556,9.556,9.4092,9.4092,119,0
20090417,8.9697,9.1071,8.6951,8.9697,6523,0
20090420,8.6951,8.9697,8.6036,8.9697,5740,0
20090421,8.2375,8.6951,8.2375,8.6951,22179,0
20090422,9.1345,9.1345,8.6677,8.6951,1276,0
20090424,8.6036,8.6036,8.6036,8.6036,142033,0
20090429,8.6951,8.6951,8.6036,8.6951,11264,0
20090430,9.0156,9.518,8.5121,9.518,45441,0
20090504,9.793,9.793,9.1527,9.748,11368,0
20090505,9.693,9.693,9.693,9.693,5462,0
20090506,9.738,9.867,9.1527,9.61,76783,0
20090507,9.656,9.876,9.61,9.867,6317,0
20090508,8.9514,9.876,8.9514,9.857,5737,0
20090511,9.876,9.876,9.1623,9.876,1208,0
20090512,9.876,9.876,9.61,9.867,3488,0
20090513,9.857,9.857,9.857,9.857,55,0
20090514,9.3551,10.069,9.1161,10.069,18777,0
20090515,9.2074,10.013,9.1527,9.867,1582,0
20090518,10.105,11.879,9.4368,11.879,14056,0
20090519,11.616,11.616,10.809,10.983,2394,0
20090520,11.075,11.075,10.087,10.691,688,0
20090521,10.974,11.487,9.886,10.526,4691,0
20090522,10.343,10.343,9.711,10.059,136842,0
20090525,10.049,10.049,9.565,9.959,4217,0
20090526,9.95,9.95,9.886,9.95,3552,0
20090527,10.224,10.224,9.886,9.886,5780,0
20090528,10.206,10.206,9.967,9.967,11109,0
20090529,10.462,10.983,9.684,10.983,22151,0
20090601,11.075,12.082,10.965,12.082,18005,0
20090602,11.441,11.898,10.983,11.396,11598,0
20090603,11.807,11.807,10.983,11.158,5186,0
20090604,10.617,11.386,10.617,11.386,2832,0
20090605,11.431,11.431,10.892,10.901,3029,0
20090608,11.431,11.431,10.892,11.258,610,0
20090609,11.002,11.349,11.002,11.349,3430,0
20090610,10.965,11.322,10.947,11.322,6466,0
20090612,10.929,11.331,10.818,11.331,5933,0
20090615,10.983,11.423,10.983,11.423,372,0
20090616,10.818,11.898,10.818,11.898,3815,0
20090617,11.46,11.46,11.002,11.349,6143,0
20090618,10.892,11.322,10.828,11.258,4324,0
20090619,11.149,11.716,10.892,11.716,7999,0
20090622,11.716,11.716,10.983,11.716,5634,0
20090623,10.992,11.898,10.992,11.898,3862,0
20090624,11.872,12.072,11.807,12.072,2841,0
20090625,12.072,12.356,11.441,12.356,2744,0
20090626,12.658,12.658,12.549,12.549,273,0
20090629,11.889,12.584,11.889,11.898,1423,0
20090630,12.346,12.346,11.761,11.991,12803,0
20090701,11.304,12.264,11.304,11.991,22875,0
20090702,12.256,12.256,11.898,11.991,1422,0
20090703,11.991,11.991,11.972,11.991,3933,0
20090706,11.991,11.991,11.606,11.898,2907,0
20090707,11.898,12.814,11.716,11.991,15242,0
20090708,11.863,11.898,11.863,11.898,5578,0
20090709,11.624,11.898,11.624,11.898,824,0
20090710,12.346,12.346,12.229,12.229,84,0
20090714,12.283,12.283,11.624,12.256,1236,0
20090715,12.219,12.256,12.165,12.174,2088,0
20090716,12.174,12.174,12.174,12.174,538,0
20090717,11.807,11.898,11.441,11.441,6667,0
20090720,11.441,11.441,11.258,11.441,2154,0
20090721,11.441,11.441,10.983,11.441,24725,0
20090722,11.616,11.616,11.075,11.258,637,0
20090723,11.258,11.606,11.258,11.606,1171,0
20090724,11.578,11.879,10.983,11.423,1533,0
20090727,10.755,11.158,10.617,10.8,5450,0
20090728,11.423,11.423,10.8,11.03,1917,0
20090729,11.047,11.075,11.047,11.075,1585,0
20090730,11.377,11.377,10.8,11.12,89303,0
20090731,11.075,11.075,10.818,11.066,3846,0
20090803,11.075,11.075,10.818,10.818,3714,0
20090804,10.818,10.937,10.297,10.562,5737,0
20090805,10.8,10.8,10.251,10.489,2055,0
20090806,10.434,10.434,10.023,10.159,22643,0
20090807,10.791,10.791,10.087,10.709,2204,0
20090810,11.002,11.377,10.709,10.774,113817,0
20090811,10.847,11.396,10.343,10.617,4485,0
20090812,10.388,10.791,10.388,10.791,554,0
20090813,10.782,10.782,10.351,10.608,2832,0
20090814,11.02,11.02,10.343,10.434,5609,0
20090817,10.343,10.416,10.077,10.196,5469,0
20090818,10.424,10.424,10.069,10.251,3800,0
20090819,10.434,10.434,9.976,10.031,7860,0
20090820,10.215,10.215,9.976,10.059,9699,0
20090821,10.095,10.434,10.023,10.251,166251,0
20090824,10.37,10.791,10.37,10.572,8718,0
20090825,10.791,10.8,10.536,10.617,2886,0
20090826,10.572,10.572,10.069,10.343,25067,0
20090827,10.572,10.572,10.251,10.251,4250,0
20090828,10.434,10.526,10.388,10.434,2765,0
20090831,10.434,10.434,10.343,10.388,1689,0
20090901,10.709,10.992,10.087,10.8,16627,0
20090902,10.929,10.929,9.986,10.206,8559,0
