Date,Open,High,Low,Close,Volume,OpenInt
19991001,0.8238,0.8238,0.7802,0.7802,73701,0
19991007,0.6741,0.6741,0.6741,0.6741,161,0
19991008,0.6741,0.6741,0.6741,0.6741,260,0
19991018,0.6866,0.6866,0.6866,0.6866,801,0
19991026,0.6866,0.6866,0.6866,0.6866,665,0
19991028,0.6428,0.6428,0.6428,0.6428,1756,0
19991029,0.6428,0.6428,0.6428,0.6428,1838,0
19991101,0.6428,0.6428,0.6428,0.6428,283,0
19991102,0.6428,0.7115,0.6428,0.7115,11215,0
19991105,0.6428,0.6428,0.6428,0.6428,801,0
19991111,0.593,0.593,0.593,0.593,147,0
19991115,0.5992,0.5992,0.5992,0.5992,4005,0
19991116,0.5992,0.6055,0.5992,0.6055,25500,0
19991117,0.6741,0.6741,0.6741,0.6741,2403,0
19991118,0.6741,0.6803,0.6741,0.6803,30122,0
19991119,0.6741,0.6741,0.6741,0.6741,167750,0
19991125,0.6428,0.6428,0.6428,0.6428,2525,0
19991129,0.6241,0.6241,0.6241,0.6241,6318,0
19991130,0.6428,0.6428,0.6428,0.6428,4809,0
19991202,0.6304,0.6304,0.6304,0.6304,8489,0
19991203,0.5992,0.5992,0.5992,0.5992,16023,0
19991206,0.5992,0.6741,0.568,0.6741,1402,0
19991207,0.568,0.568,0.568,0.568,822,0
19991208,0.6741,0.6741,0.6741,0.6741,12571,0
19991209,0.6741,0.6741,0.5556,0.6741,839,0
19991210,0.568,0.568,0.568,0.568,801,0
19991214,0.5743,0.5743,0.5743,0.5743,8010,0
19991215,0.568,0.568,0.568,0.568,816,0
19991216,0.568,0.568,0.568,0.568,24034,0
19991217,0.568,0.5867,0.5556,0.5556,9379,0
19991222,0.5556,0.5556,0.5556,0.5556,504,0
19991227,0.5556,0.5556,0.5556,0.5556,563,0
19991229,0.5556,0.5556,0.5556,0.5556,3595,0
19991230,0.5743,0.5743,0.5743,0.5743,8010,0
20000103,0.5743,0.6428,0.568,0.6428,12818,0
20000104,0.5743,0.5743,0.5743,0.5743,762,0
20000107,0.5867,0.6679,0.5867,0.6679,15062,0
20000110,0.6679,0.6741,0.593,0.593,6487,0
20000111,0.6803,0.6803,0.6803,0.6803,1603,0
20000112,0.593,0.593,0.593,0.593,781,0
20000117,0.593,0.6741,0.593,0.6741,6174,0
20000118,0.6117,0.6117,0.6117,0.6117,6233,0
20000119,0.6055,0.6055,0.6055,0.6055,8010,0
20000120,0.6055,0.6055,0.6055,0.6055,8010,0
20000121,0.6055,0.6055,0.6055,0.6055,8010,0
20000124,0.6866,0.8364,0.6866,0.8364,23232,0
20000125,0.7365,0.7365,0.6491,0.6491,8307,0
20000127,0.8863,0.8863,0.8863,0.8863,8010,0
20000128,0.8987,0.9487,0.8987,0.8987,16023,0
20000202,0.7927,0.7927,0.7927,0.7927,1286,0
20000203,0.7927,0.7927,0.7927,0.7927,519,0
20000204,0.8987,0.8987,0.8987,0.8987,16023,0
20000207,0.8987,1.0173,0.8114,1.0173,1621,0
20000208,0.8238,0.8238,0.8238,0.8238,41,0
20000209,0.8489,1.0173,0.8489,1.0173,11315,0
20000210,0.8987,0.8987,0.8551,0.8987,10583,0
20000211,0.93,0.9737,0.93,0.9737,16181,0
20000215,1.0173,1.0485,1.0173,1.0485,16023,0
20000216,1.0485,1.0797,0.8987,0.9737,16341,0
20000217,0.9611,0.9611,0.9611,0.9611,5609,0
20000218,1.1234,1.1234,1.1234,1.1234,2403,0
20000223,0.8987,0.8987,0.8987,0.8987,14350,0
20000225,0.8987,1.0361,0.8987,0.8987,20091,0
20000228,0.8987,1.0049,0.8987,1.0049,4104,0
20000229,1.0049,1.0236,0.8987,0.8987,8395,0
20000301,0.8675,0.8675,0.8675,0.8675,321,0
20000302,0.8675,0.8675,0.8675,0.8675,3205,0
20000303,1.0361,1.0361,1.0361,1.0361,639,0
20000306,1.0236,1.0236,0.8987,0.8987,10306,0
20000307,0.8987,1.0236,0.8987,1.0236,309,0
20000309,0.9737,0.9737,0.9737,0.9737,1603,0
20000310,0.8675,0.8675,0.8675,0.8675,1579,0
20000314,0.8863,0.8987,0.8863,0.8863,8491,0
20000317,0.9113,0.9737,0.9113,0.9113,9874,0
20000320,0.93,0.93,0.93,0.93,801,0
20000323,0.93,1.0173,0.93,1.0173,384,0
20000324,1.0173,1.0173,0.93,1.0173,22149,0
20000328,0.9425,0.9425,0.9425,0.9425,518,0
20000330,0.9425,0.9425,0.9425,0.9425,260,0
20000331,0.9425,0.9425,0.9425,0.9425,4826,0
20000404,0.9425,0.9425,0.9425,0.9425,293,0
20000405,0.9425,0.9425,0.9425,0.9425,320,0
20000406,0.9425,0.9425,0.9425,0.9425,519,0
20000410,1.0173,1.0173,1.0173,1.0173,1603,0
20000411,0.9425,0.9425,0.9425,0.9425,321,0
20000417,0.8675,0.8675,0.8675,0.8675,4324,0
20000419,0.8987,0.8987,0.8987,0.8987,1123,0
20000424,0.8987,0.9861,0.8987,0.9861,685,0
20000425,0.8987,0.8987,0.8987,0.8987,928,0
20000427,0.8987,0.8987,0.8987,0.8987,504,0
20000428,0.8987,0.8987,0.8987,0.8987,2403,0
20000502,0.8987,0.8987,0.8987,0.8987,2464,0
20000504,0.8613,0.8613,0.8613,0.8613,1037,0
20000505,0.8675,0.8675,0.8675,0.8675,1603,0
20000509,0.8675,0.8675,0.8675,0.8675,6400,0
20000510,0.8675,0.8675,0.8675,0.8675,612,0
20000512,0.8675,0.9425,0.8675,0.8675,3942,0
20000515,0.8675,0.8675,0.7927,0.7927,17181,0
20000517,0.7614,0.7614,0.7614,0.7614,3222,0
20000523,0.7614,0.7614,0.7614,0.7614,2564,0
20000524,0.7802,0.7802,0.7802,0.7802,57261,0
20000525,0.7614,0.7614,0.7614,0.7614,3205,0
20000526,0.7614,0.7614,0.6741,0.6741,8588,0
20000530,0.6803,0.6803,0.6803,0.6803,16023,0
20000609,0.8238,0.8238,0.8238,0.8238,4324,0
20000612,0.6741,0.6741,0.6741,0.6741,962,0
20000613,0.7053,0.7053,0.7053,0.7053,161,0
20000615,0.7864,0.7864,0.7864,0.7864,8010,0
20000616,0.7864,0.7864,0.7053,0.7053,28841,0
20000704,0.6741,0.6741,0.6741,0.6741,283,0
20000705,0.6803,0.6803,0.6803,0.6803,147,0
20000706,0.6741,0.6741,0.6741,0.6741,15221,0
20000707,0.7053,0.7053,0.7053,0.7053,8010,0
