Date,Open,High,Low,Close,Volume,OpenInt
20031229,16.182,17.324,16.182,17.074,192740,0
20031230,17.324,18.537,17.324,18.537,198615,0
20031231,18.793,19.364,17.966,18.091,236004,0
20040102,17.835,18.157,17.199,18.157,98052,0
20040105,17.835,17.966,17.199,17.835,139900,0
20040106,17.521,18.216,17.389,17.835,118004,0
20040107,17.835,18.216,17.769,17.901,67533,0
20040108,17.901,18.091,17.58,17.58,104672,0
20040109,17.455,17.521,17.074,17.324,116162,0
20040112,17.199,17.389,17.074,17.199,51298,0
20040113,17.264,17.455,17.199,17.199,49710,0
20040114,17.264,17.264,17.009,17.009,34444,0
20040115,16.884,16.884,16.497,16.753,56422,0
20040116,16.628,16.628,16.372,16.372,69158,0
20040119,16.182,16.628,16.182,16.497,32431,0
20040120,16.439,17.009,16.439,17.009,34380,0
20040121,17.074,17.133,16.884,16.944,16732,0
20040122,17.074,17.199,16.944,17.199,31025,0
20040123,17.199,17.455,17.074,17.264,56308,0
20040126,17.199,17.646,17.009,17.58,97329,0
20040127,17.58,17.58,17.389,17.521,36986,0
20040128,17.455,17.455,16.944,17.133,71714,0
20040129,16.884,17.074,16.753,17.009,49408,0
20040130,17.133,17.199,16.944,17.133,10570,0
20040202,17.009,17.58,17.009,17.521,52153,0
20040203,17.264,17.58,17.199,17.199,14097,0
20040204,17.199,17.389,17.133,17.324,14722,0
20040205,17.264,17.389,17.199,17.389,15691,0
20040206,17.521,17.966,17.455,17.835,149309,0
20040209,17.901,18.157,17.901,18.091,76257,0
20040210,18.281,18.281,17.835,17.966,58807,0
20040211,17.901,18.026,17.711,17.901,20939,0
20040212,17.835,17.966,17.769,17.966,15422,0
20040213,17.901,17.966,17.769,17.769,20756,0
20040216,17.835,17.901,17.646,17.901,18292,0
20040217,17.966,18.026,17.835,18.026,42448,0
20040218,18.026,18.091,17.711,17.966,23079,0
20040219,17.835,17.966,17.711,17.835,19931,0
20040220,17.711,17.835,17.58,17.835,8070,0
20040223,17.835,17.901,17.646,17.835,21691,0
20040224,17.835,17.835,17.521,17.58,14941,0
20040225,17.521,17.646,17.324,17.389,10471,0
20040226,17.389,17.769,17.389,17.711,11127,0
20040227,17.769,17.901,17.58,17.901,52742,0
20040301,17.835,18.216,17.769,18.157,76277,0
20040302,18.157,18.281,17.966,18.026,21472,0
20040303,18.157,18.347,17.901,18.216,24585,0
20040304,18.216,18.281,18.157,18.216,23557,0
20040305,18.216,18.216,17.966,18.091,36017,0
20040308,18.091,18.091,17.521,17.901,55400,0
20040309,17.966,18.157,17.966,18.026,49680,0
20040310,18.026,18.281,18.026,18.157,21323,0
20040311,18.026,18.091,17.711,17.901,47670,0
20040312,17.835,18.157,17.835,18.157,63748,0
20040315,18.157,18.216,17.901,17.901,26553,0
20040316,17.769,18.026,17.769,17.835,17570,0
20040317,18.157,18.793,17.901,18.793,68695,0
20040318,19.108,19.941,18.917,19.048,203137,0
20040319,19.173,19.239,18.026,18.471,63657,0
20040322,18.216,18.728,18.157,18.603,28997,0
20040323,18.603,18.983,18.603,18.917,15334,0
20040324,19.108,19.43,18.793,19.239,35861,0
20040325,19.43,19.43,18.917,19.173,7285,0
20040326,19.108,19.62,19.108,19.305,27878,0
20040329,19.364,19.941,19.364,19.941,36041,0
20040330,20.066,20.321,19.81,20.255,41846,0
20040331,20.255,20.255,19.685,20.066,56183,0
20040401,19.75,20.255,19.75,20.19,12223,0
20040402,20.321,20.833,20.13,20.577,43181,0
20040405,20.703,21.023,20.512,21.023,24061,0
20040406,21.023,22.171,20.892,21.725,98367,0
20040407,21.849,21.849,21.528,21.725,51645,0
20040408,21.725,22.296,21.66,22.23,31486,0
20040413,22.616,22.932,22.296,22.362,44808,0
20040414,22.039,22.039,21.785,21.785,18031,0
20040415,21.785,22.616,21.785,22.296,21352,0
20040416,22.362,22.362,21.849,22.039,8597,0
20040419,21.849,22.171,21.785,21.849,14642,0
20040420,22.23,22.23,21.725,21.915,18578,0
20040421,21.725,21.975,21.725,21.785,23167,0
20040422,21.725,21.849,21.594,21.594,54455,0
20040423,21.66,21.785,21.594,21.785,28056,0
20040426,21.66,21.915,21.594,21.725,10682,0
20040427,21.725,21.975,21.725,21.915,28869,0
20040428,21.915,21.915,21.785,21.849,7712,0
20040429,21.785,21.849,21.594,21.849,62323,0
20040430,21.528,21.725,21.528,21.725,4836,0
20040504,21.66,22.362,21.66,22.039,18342,0
20040505,22.296,22.296,21.849,21.849,20202,0
20040506,21.66,21.66,20.833,21.469,27911,0
20040507,21.148,21.594,21.023,21.28,19457,0
20040510,19.75,20.255,19.43,20.19,39617,0
20040511,18.662,19.875,18.662,19.75,41306,0
20040512,19.75,20,19.62,19.75,8717,0
20040513,19.62,19.941,19.553,19.75,67428,0
20040514,19.43,20,19.43,19.875,67370,0
20040517,19.75,20.635,19.43,20.635,7358,0
20040518,20.703,21.915,20.703,21.28,27668,0
20040519,21.66,21.785,21.28,21.28,10530,0
20040520,21.28,21.28,20.446,21.28,7606,0
20040521,21.594,21.66,21.083,21.469,12099,0
20040524,21.469,21.469,21.083,21.083,2033,0
20040525,21.083,21.338,21.083,21.083,17621,0
20040526,21.023,21.338,21.023,21.338,5823,0
20040527,21.338,21.469,21.148,21.148,2926,0
20040528,21.338,21.469,21.338,21.469,7469,0
20040531,21.023,21.66,21.023,21.469,4808,0
20040601,21.083,21.469,21.083,21.469,3912,0
20040602,21.083,22.105,21.083,21.915,62750,0
20040603,21.725,21.725,21.528,21.66,6745,0
20040604,21.594,21.975,21.594,21.915,2190,0
20040607,21.975,22.039,21.594,21.66,9796,0
20040608,21.849,21.849,21.28,21.66,5111,0
20040609,21.594,21.594,21.28,21.338,15156,0
20040611,21.528,21.528,21.148,21.528,1175,0
20040614,21.528,21.528,21.083,21.469,19183,0
20040615,21.083,21.338,21.083,21.28,785,0
20040616,21.28,21.338,21.083,21.338,7366,0
20040617,21.083,21.338,20.703,21.023,2695,0
20040618,21.023,21.023,20.703,21.023,919,0
20040621,20.703,21.213,20.703,21.213,2579,0
20040622,21.023,21.213,21.023,21.213,1186,0
20040623,21.213,21.28,21.023,21.023,2635,0
20040624,21.338,21.66,21.083,21.083,3468,0
20040625,21.28,21.785,21.023,21.785,27828,0
